Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70)
4.244128676961333e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4410573269253338,0.0748945011627695,0.0062523022304448945,3.929705159861076e-06,0.0003595485652517536,0.07150380062210791,0.03265121955564577,3.690173058677514e-05,4.03621870060564e-10,0.0017901220562657784,4.6179871841567925e-11,0.0005600914616815488,2.730108137198816e-09,3.737871953915182e-06,3.3257302356816355e-09,1.6592519287422396e-10,8.737931836772608e-06,2.3949273773490783e-05,0.005359225030747225,8.339596332133666e-05,0.0006143414810724959,3.267487582926062e-09,2.784474882659041e-09,5.012507898046976e-09,1.3547570406592491e-09,3.802887162571392e-05,0.003707023935873736,1.9105032973676873e-05,0.001425974606448549,3.7900356159015325e-05,5.525358766143624e-09,1.0075418032880965e-07,1.2576761789051831e-09,4.7956402823882576e-06,1.6056602278220917e-08,3.597375836874086e-12,1.4626539127283905e-10,2.721713703855858e-06,6.731084770675507e-12
4.249438717269875e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4410400528787183,0.07485888609692885,0.006242191527906229,3.927949089710622e-06,0.0003597108111217268,0.07157979662617402,0.03267167765272752,3.6868648181194645e-05,4.04772353737953e-10,0.0017893247060089049,4.6155304599433965e-11,0.0005602281290709166,2.7298889392342903e-09,3.7305949751986788e-06,3.328625213219515e-09,1.6597425336098722e-10,8.724544250890794e-06,2.3972807322733764e-05,0.005356467492388473,8.301683148316046e-05,0.0006146288274937747,3.2542856641974764e-09,2.7787338152237016e-09,5.010484097920657e-09,1.3628621945284131e-09,3.823742015275799e-05,0.003725464634605872,1.9116041553810155e-05,0.0014274350713498521,3.7937599064631255e-05,5.5226813743015045e-09,1.0081336096014317e-07,1.2590387719788447e-09,4.788955804013584e-06,1.6063216971001754e-08,3.5834176004289254e-12,1.462918461549555e-10,2.7243060019857955e-06,6.737435131308504e-12
4.254748757578417e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4410227579247298,0.07482328857207628,0.006232097886053889,3.926191374488158e-06,0.00035987252239434215,0.07165575596730583,0.032692098874484314,3.683560131721784e-05,4.0592390202894726e-10,0.001788527815274588,4.613076720206334e-11,0.0005603646723315487,2.729670464312065e-09,3.723331298966432e-06,3.331516709891954e-09,1.6602304307202297e-10,8.71117701306652e-06,2.3996318107493047e-05,0.005353711149395233,8.264097224878717e-05,0.000614915814099863,3.2411953863264387e-09,2.7730050627584588e-09,5.00846391944046e-09,1.370986691081626e-09,3.844631992007163e-05,0.003743922725265807,1.9127027251706095e-05,0.001428894618151852,3.797480594442147e-05,5.520005331796697e-09,1.0087241808427757e-07,1.2603999641439988e-09,4.782279809822188e-06,1.6069806484853976e-08,3.5695748245725605e-12,1.4631809194932258e-10,2.7268953466190544e-06,6.7437782565559435e-12
4.260058797886958e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4410054421883882,0.07478770857722272,0.0062220212759541375,3.92443203885466e-06,0.0003600337000259217,0.0717316786660416,0.032712483318744205,3.680258988915779e-05,4.070765124428336e-10,0.0017877313827290055,4.6106259491921036e-11,0.0005605010916717888,2.729452708074106e-09,3.716080910860187e-06,3.3344047327925003e-09,1.6607156286269865e-10,8.697830098373888e-06,2.401980615039054e-05,0.005350956002771749,8.22683446382959e-05,0.0006152024415889765,3.22821536131264e-09,2.7672885967211895e-09,5.006447358289501e-09,1.3791305087906272e-09,3.865557006907778e-05,0.0037623981222201265,1.913799012716213e-05,0.001430353247541708,3.8011976834192845e-05,5.517330636259765e-09,1.0093135203610511e-07,1.2617597570671562e-09,4.775612294053618e-06,1.607637086856246e-08,3.5558460844453325e-12,1.4634412927545888e-10,2.729481741099021e-06,6.7501141545017824e-12
4.2653688381955e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4409881057933707,0.07475214610141838,0.006211961668715497,3.922671107163972e-06,0.00036019434496995135,0.07180756474285405,0.032732831082590834,3.676961379246866e-05,4.082301824911811e-10,0.0017869354070552694,4.6081781313295515e-11,0.0005606373872994185,2.7292356662124532e-09,3.7088437964287643e-06,3.337289288952617e-09,1.6611981358166418e-10,8.68450348188705e-06,2.404327147398996e-05,0.005348202053504581,8.189890833532733e-05,0.0006154887106561473,3.2153442235822065e-09,2.76158438866305e-09,5.004434410227085e-09,1.3872936262471592e-09,3.886516974669457e-05,0.0037808907405344656,1.9148930239844454e-05,0.001431810960202735,3.804911176964646e-05,5.514657285353359e-09,1.0099016314794074e-07,1.2631181524106582e-09,4.768953250921276e-06,1.6082910170750748e-08,3.5422299784227384e-12,1.463699587496413e-10,2.7320651887559028e-06,6.756442833200353e-12
4.270147874473187e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44097248547584267,0.07472015484296263,0.006202922535802234,3.921084923898195e-06,0.00036033847075752083,0.0718758309171095,0.03275111278794954,3.6739965428271345e-05,4.092693894672964e-10,0.0017862194184993646,4.6059776074735995e-11,0.0005607599477612789,2.7290409358091833e-09,3.7023417304149272e-06,3.3398824311966137e-09,1.661630098685172e-10,8.672526861413518e-06,2.406437085882515e-05,0.005345724523705178,8.15691114338754e-05,0.0006157460469378798,3.2038521872496e-09,2.7564610585440955e-09,5.0026258427162024e-09,1.3946569156390318e-09,3.905410760271741e-05,0.0037975487516360017,1.91587569279152e-05,0.0014331221183562421,3.8082502500042606e-05,5.512252417292463e-09,1.0104298839305645e-07,1.2643395146447084e-09,4.762967351402622e-06,1.6088774138076647e-08,3.530070644550195e-12,1.4639302806974096e-10,2.7343877748553186e-06,6.762132478206254e-12
4.274449007123106e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44095841304065314,0.07469137482905992,0.006194799054173249,3.9196562845947655e-06,0.00036046781628325416,0.07193724513782147,0.03276754104414056,3.6713306235908836e-05,4.102054063771245e-10,0.001785575343530779,4.603999161373632e-11,0.0005608701667678357,2.7288661677017337e-09,3.6964990448031846e-06,3.3422138673209897e-09,1.6620170126804966e-10,8.661761928228732e-06,2.4083344600028362e-05,0.005343495577360656,8.127445334334378e-05,0.0006159774022609392,3.19358303607119e-09,2.7518585140265455e-09,5.001000628844132e-09,1.401297214613014e-09,3.922439264411237e-05,0.0038125527795451076,1.916758525906371e-05,0.0014343015266919034,3.811252930329394e-05,5.5100889642955335e-09,1.0109044646663008e-07,1.2654377748748447e-09,4.757585902018337e-06,1.6094034401135963e-08,3.5192034742961923e-12,1.4641364730219713e-10,2.7364760658115057e-06,6.767248169398495e-12
4.278750139773024e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44094432726692656,0.07466260629006154,0.006186686676890208,3.918226640437406e-06,0.00036059681399888726,0.07199863536708087,0.03278394540455437,3.6686670042239595e-05,4.111421140960144e-10,0.001784931566028545,4.6020226257373093e-11,0.0005609803049741394,2.7286918608017754e-09,3.6906650420582146e-06,3.3445430412235416e-09,1.6624021761717414e-10,8.651010268377054e-06,2.4102303475008755e-05,0.00534126741829938,8.098181949742066e-05,0.0006162085236493389,3.1833829688846342e-09,2.74726396168687e-09,4.999377778218907e-09,1.4079501384525253e-09,3.9394905511678155e-05,0.003827567957604837,1.917639875997543e-05,0.0014354803347645482,3.8142532580076924e-05,5.5079263894620765e-09,1.0113782452765238e-07,1.2665351210448094e-09,4.752210001157293e-06,1.6099278294136866e-08,3.5084077833536093e-12,1.464341312483317e-10,2.7385624292361057e-06,6.7723591382671324e-12
4.283051272422943e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4409302282179164,0.07463384922022075,0.006178585388680297,3.916796003799765e-06,0.0003607254644058424,0.07206000161564619,0.03280032591941105,3.666005679383071e-05,4.120795113058226e-10,0.0017842880853242058,4.600047992630162e-11,0.0005610903624895295,2.7285180129151524e-09,3.6848397143285176e-06,3.346869956527863e-09,1.6627855935454496e-10,8.640271868611193e-06,2.4121247495637318e-05,0.005339040047013056,8.069118968938675e-05,0.0006164394114667041,3.1732513010311753e-09,2.7426773865814644e-09,4.997757288725348e-09,1.4146156759915518e-09,3.9565645762040444e-05,0.0038425942419684886,1.9185197461498684e-05,0.0014366585429302792,3.817251234917783e-05,5.50576469161196e-09,1.01185122748035e-07,1.2676315540057046e-09,4.746839645694978e-06,1.610450584261482e-08,3.497682868678028e-12,1.4645448022962678e-10,2.740646866874502e-06,6.777465389037088e-12
4.287352405072862e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44091611595634383,0.07460510361380654,0.006170495174288944,3.915364386932404e-06,0.0003608537680043859,0.0721213438942496,0.03281668263863434,3.663346643771183e-05,4.13017596689357e-10,0.0017836449007560965,4.5980752541919824e-11,0.0005612003394231034,2.7283446218685956e-09,3.6790230537256357e-06,3.3491946168333826e-09,1.6631672691616328e-10,8.629546715683557e-06,2.4140176673758457e-05,0.005336813463986393,8.04025439739957e-05,0.0006166700660754233,3.1631873566609477e-09,2.7380987738052484e-09,4.9961391582777405e-09,1.4212938161082858e-09,3.973661295396226e-05,0.0038576315890676825,1.919398139427653e-05,0.0014378361515436924,3.820246862934242e-05,5.5036038695776515e-09,1.0123234129867819e-07,1.2687270746002543e-09,4.741474832496051e-06,1.610971707203894e-08,3.4870280361971477e-12,1.4647469456627319e-10,2.7427293804667934e-06,6.782566925920442e-12
4.29165353772278e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4409019905444061,0.07457636946510335,0.006162416018479829,3.913931801964361e-06,0.00036098172529363826,0.0721826622135973,0.032833015611855726,3.6606898921370285e-05,4.1395636893037016e-10,0.0017830020116692612,4.596104402636074e-11,0.0005613102358837153,2.7281716855091016e-09,3.6732150523246654e-06,3.3515170257155368e-09,1.6635472073541716e-10,8.618834796346227e-06,2.415909102119177e-05,0.005334587669697177,8.011586266333165e-05,0.0006169004878366165,3.153190468610768e-09,2.733528108491582e-09,4.9945233848197035e-09,1.4279845477252978e-09,3.9907806648333025e-05,0.0038726799556084613,1.9202750588839007e-05,0.0014390131609578983,3.823240143927479e-05,5.50144392220477e-09,1.0127948034947741e-07,1.2698216836675578e-09,4.736115558414408e-06,1.61149120078131e-08,3.476442600765831e-12,1.4649477457717042e-10,2.7448099717478617e-06,6.787663753117583e-12
4.295954670372699e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44088785204378417,0.07454764676841073,0.0061543479060348905,3.912498260904686e-06,0.00036110933677158585,0.07224395658436991,0.03284932488841847,3.658035419274593e-05,4.148958267135557e-10,0.001782359417415366,4.5941354302485104e-11,0.0005614200519799773,2.7279992017038397e-09,3.6674157021647875e-06,3.353837186726063e-09,1.663925412431206e-10,8.608136097350921e-06,2.4177990549731092e-05,0.005332362664616393,7.983112632272012e-05,0.0006171306771101602,3.1432599782497608e-09,2.728965375811995e-09,4.99290996632365e-09,1.4346878598081093e-09,4.0079226408126744e-05,0.003887739298567456,1.9211505075540042e-05,0.001440189571524548,3.826231079763885e-05,5.499284848352749e-09,1.0132654006934502e-07,1.270915382040746e-09,4.7307618202932586e-06,1.6120090675276103e-08,3.4659258859290196e-12,1.465147205799314e-10,2.7468886424474324e-06,6.7927558748177685e-12
4.3002558030226175e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44087370051565006,0.0745189355180435,0.006146290821754336,3.911063775643933e-06,0.00036123660293509093,0.07230522701722263,0.032865610517381655,3.6553832200226374e-05,4.158359687245423e-10,0.0017817171173526187,4.5921683293873985e-11,0.0005615297878202585,2.7278271683402614e-09,3.6616249952497684e-06,3.356155103393596e-09,1.6643018886755242e-10,8.597450605448946e-06,2.4196875271143988e-05,0.005330138449208302,7.954831576680667e-05,0.0006173606342547333,3.1333952353440004e-09,2.7244105609758007e-09,4.991298900789939e-09,1.441403741363389e-09,4.02508717983536e-05,0.0039028095751882487,1.9220244884513437e-05,0.0014413653835938535,3.829219672305949e-05,5.497126646893006e-09,1.013735206262253e-07,1.2720081705436237e-09,4.725413614965213e-06,1.61252530997024e-08,3.4554772237706494e-12,1.4653453289092759e-10,2.7489653942901413e-06,6.797843295197619e-12
4.304556935672536e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44085953602067485,0.07449023570833112,0.006138244750456642,3.909628357955674e-06,0.0003613635242799024,0.07236647352278562,0.032881872547523824,3.652733289264196e-05,4.167767936498891e-10,0.0017810751108456825,4.590203092482133e-11,0.0005616394435126876,2.7276555833254487e-09,3.655842923548472e-06,3.358470779223942e-09,1.6646766403449396e-10,8.586778307391181e-06,2.4215745197174195e-05,0.0053279150239305606,7.92674120556983e-05,0.0006175903596277828,3.123595597952611e-09,2.7198636492300447e-09,4.989690186246867e-09,1.4481321814395913e-09,4.042274238605886e-05,0.003917890742977717,1.9228970045800613e-05,0.0014425405975146154,3.832205923412066e-05,5.494969316709423e-09,1.0142042218709655e-07,1.2731000499972617e-09,4.720070939252333e-06,1.613039930630334e-08,3.4450959549198235e-12,1.4655421182528798e-10,2.751040228995595e-06,6.802926018422375e-12
4.308858068322455e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4408453586190351,0.07446154733361783,0.006130209676978567,3.908192019497926e-06,0.0003614901013006657,0.07242769611166439,0.03289811102734685,3.6500856219260964e-05,4.1771830017708133e-10,0.0017804333972655968,4.588239712032671e-11,0.000561749019165149,2.7274844445858923e-09,3.6500694789953544e-06,3.360784217700244e-09,1.6650496716726587e-10,8.576119189928042e-06,2.42346003395406e-05,0.005325692389234291,7.898839649113609e-05,0.0006178198535855372,3.113860432279557e-09,2.7153246258592904e-09,4.9880838207502144e-09,1.4548731691256757e-09,4.0594837740284455e-05,0.003932982759702466,1.9237680589289094e-05,0.001443715213634242,3.8351898349367056e-05,5.4928128566996e-09,1.0146724491799294e-07,1.2741910212183338e-09,4.714733789966231e-06,1.6135529320227216e-08,3.4347814283050054e-12,1.4657375769689169e-10,2.753113148278437e-06,6.808004048646955e-12
4.313159200972373e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4408311683704207,0.0744328703882623,0.006122185586175153,3.906754771814609e-06,0.00036161633449093315,0.07248889479443993,0.032914326005079715,3.647440212978473e-05,4.1866048699452536e-10,0.0017797919759896955,4.586278180608801e-11,0.0005618585148852873,2.7273137500677743e-09,3.64430465349096e-06,3.363095422283499e-09,1.6654209868676485e-10,8.565473239809472e-06,2.425344070993599e-05,0.005323470545564194,7.871125061274047e-05,0.0006180491164830615,3.104189112535752e-09,2.7107934761851535e-09,4.986479802382246e-09,1.4616266935487812e-09,4.0767157432012005e-05,0.003948085583385334,1.9246376544624177e-05,0.0014448892322987718,3.8381714087305845e-05,5.490657265772562e-09,1.0151398898402224e-07,1.275281085012734e-09,4.7094021639081266e-06,1.6140643166559696e-08,3.424533000978794e-12,1.4659317081842296e-10,2.755184153848403e-06,6.813077390013819e-12
4.317460333622292e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44081696533404147,0.07440420486663755,0.006114172462919733,3.905316626336964e-06,0.0003617422243431739,0.07255006958166917,0.032930517528682104,3.6447970574342906e-05,4.1960335279154417e-10,0.001779150846401528,4.5843184908494286e-11,0.0005619679307805043,2.7271434977363156e-09,3.638548438902407e-06,3.3654043964129554e-09,1.6657905901149868e-10,8.5548404437849e-06,2.42722663200302e-05,0.005321249493358623,7.843595619433526e-05,0.0006182781486742252,3.0945810208515397e-09,2.706270185566294e-09,4.984878129251791e-09,1.4683927438753411e-09,4.0939701034170806e-05,0.003963199172301914,1.9255057941374505e-05,0.0014460626538528953,3.8411506466404116e-05,5.488502542848996e-09,1.015606545493631e-07,1.2763702421841558e-09,4.704076057868929e-06,1.6145740870325487e-08,3.414350038176253e-12,1.4661245150137149e-10,2.757253247410386e-06,6.818146046654219e-12
4.321761466272211e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44080274956863436,0.0743755507631306,0.0061061702921039384,3.90387759438493e-06,0.00036186777134878344,0.07261122048388517,0.03294668564584793,3.642156150348864e-05,4.2054689625837325e-10,0.0017785100078907806,4.582360635461844e-11,0.0005620772669579618,2.726973685575394e-09,3.6328008270638687e-06,3.3677111435062357e-09,1.6661584855762163e-10,8.54422078860325e-06,2.4291077181469263e-05,0.005319029233049685,7.816249524035044e-05,0.0006185069505117044,3.085035547135455e-09,2.701754739398277e-09,4.983278799493967e-09,1.475171309310113e-09,4.1112468121605494e-05,0.003978323484977196,1.9263724808985205e-05,0.001447235478639978,3.844127550509035e-05,5.486348686863353e-09,1.0160724177728655e-07,1.2774584935342755e-09,4.698755468629307e-06,1.6150822456488104e-08,3.404231913060617e-12,1.4663160005600975e-10,2.7593204306644933e-06,6.823210022690019e-12
4.326062598922129e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44078852113247013,0.07434690807214245,0.006098179058637699,3.902437687168538e-06,0.0003619929759980936,0.0726723475115975,0.032962830404009026,3.6395174868193974e-05,4.2149111608615645e-10,0.0017778694598531983,4.580404607221015e-11,0.0005621865235245795,2.7268043115879706e-09,3.6270618097770496e-06,3.3700156669597174e-09,1.6665246773896829e-10,8.533614261012893e-06,2.4309873305873096e-05,0.005316809765063323,7.789084998227936e-05,0.000618735522347045,3.0755520889314644e-09,2.697247123113006e-09,4.981681811268961e-09,1.4819623790931147e-09,4.128545827100748e-05,0.003993458480182282,1.9272377176629537e-05,0.0014484077070020785,3.8471021221757165e-05,5.484195696761026e-09,1.016537508301777e-07,1.2785458398519396e-09,4.6934403929597584e-06,1.6155887949950107e-08,3.394178006520485e-12,1.4665061679145817e-10,2.761385705306106e-06,6.8282693222308166e-12
