Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C2H2(37),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C4H4(421),C8H9X(637),S(632)
9.862615631520702e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282572075411,0.66999999994152004,7.6336492884947518e-48,0.0,1.7700673371557524e-27,7.2056936728292319e-57,0.0,0.0,0.0,0.0,0.0,5.8480088760574983e-11,5.8480088760573419e-11,1.6689007446568325e-31,5.5949099866503126e-42,2.7974549931139496e-42,5.6471284727924181e-61,7.7214057723471735e-25,1.4697269393778431e-71,5.0998842345953293e-76,7.3486346968775679e-72,7.348634697069609e-72,1.0656704143737276e-54,1.1622597306339705e-86,1.2846066744095114e-106
1.97252315243115e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282560379395,0.66999999988303993,1.2213812847941324e-46,0.0,7.0802536521820457e-27,2.8822775127389486e-56,0.0,0.0,0.0,0.0,0.0,1.1696017899680629e-10,1.1696017899680009e-10,1.3351206353546996e-30,8.9518562570501917e-41,4.475928128188016e-41,3.6141623824960231e-59,3.0885623686385456e-24,1.8812505647647003e-69,5.0998842343680236e-76,9.4062528238031673e-70,9.4062528240448735e-70,3.4101454359271446e-53,3.4504585752244674e-86,1.6479722289896319e-105
3.945046330989309e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282536987357,0.66999999976607971,1.9542016276579583e-45,0.0,2.8320888193957973e-26,1.1529110056219578e-55,0.0,0.0,0.0,0.0,0.0,2.3392035924865785e-10,2.3392035924863318e-10,1.0680965221744679e-29,1.43229701907617e-39,7.1614850948442523e-40,2.3130639669059564e-57,1.2354249583966262e-23,2.4080007631272231e-67,5.0998842350355425e-76,1.2040003815615273e-67,1.2040003815914138e-67,1.0912465538431022e-51,8.0268562571699374e-86,1.578741984104186e-104
7.890092688105627e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282490203286,0.66999999953215938,3.1266955517759938e-44,0.0,1.1328253978229108e-25,4.6116439579800114e-55,0.0,0.0,0.0,0.0,0.0,4.6784071886991682e-10,4.6784071886981828e-10,8.5447722015828003e-29,2.291675231041546e-38,1.1458376154357904e-38,1.4803609404259563e-55,4.9416998474791019e-23,3.0822409700539598e-65,5.0998847769705563e-76,1.5411204850256594e-65,1.541120485061221e-65,3.491988974499689e-50,1.7179652562254005e-85,1.3683266647710321e-103
1.1835139045221946e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282443419215,0.66999999929823906,1.1920479931996897e-43,0.0,2.4072390873628916e-25,9.7997432966344932e-55,0.0,0.0,0.0,0.0,0.0,7.0176107760873202e-10,7.0176107760852233e-10,2.5367292458659727e-28,8.6698728781513233e-38,4.3349364387531378e-38,8.4050510160293496e-55,1.0501112175587441e-22,2.0445573230245421e-64,3.6425924176043379e-71,1.022278661512082e-64,1.0222786615350317e-64,1.629005181232793e-49,6.537556047176959e-81,4.6066397748298392e-99
1.9725231759454584e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282349851073,0.66999999883039829,9.8024788835874587e-43,0.0,6.6552019521992034e-25,2.7093407060205173e-54,0.0,0.0,0.0,0.0,0.0,1.1696017915565863e-09,1.1696017915560062e-09,1.1882573750400439e-27,6.8423513078882042e-37,3.4211756536831112e-37,2.2595074568839086e-53,2.9032486531978697e-22,9.5399322897888101e-63,3.6425924254742022e-71,4.7699661448970196e-63,4.7699661449930976e-63,2.1829726282352742e-48,1.961232444244969e-80,7.3701578130120518e-98
2.682631520226396e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282265639746,0.66999999840934166,2.8589108727484593e-42,0.0,1.1850817605590992e-24,4.8245329655731331e-54,0.0,0.0,0.0,0.0,0.0,1.5906584312584569e-09,1.5906584312574241e-09,2.7420244652931707e-27,1.920187080455382e-36,9.6009354015200716e-37,9.8110854465762048e-53,5.1698256632991942e-22,4.5955253259621036e-62,-1.7338445919243303e-70,2.2977626629818943e-62,2.2977626630297706e-62,7.2451337392835973e-48,-9.4623169259985577e-80,1.6495198735245824e-97
3.392739864507333e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282181428419,0.66999999798828502,6.5417002219032441e-42,0.0,1.8499096241153448e-24,7.5311638768537169e-54,0.0,0.0,0.0,0.0,0.0,2.0117150679423919e-09,2.0117150679407797e-09,5.2796021369253909e-27,4.3963834522147181e-36,2.198191725935669e-36,2.970802784073723e-52,8.0701708004820158e-22,1.6300600518399611e-61,1.9737841660670235e-69,8.1503002592106284e-62,8.1503002593595798e-62,1.9467762166266986e-47,6.2710105156065857e-79,1.9062721677451849e-96
4.1028482087882704e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282097217092,0.66999999756722839,1.293658572352651e-41,0.0,2.651953111290414e-24,1.0796471248634226e-53,0.0,0.0,0.0,0.0,0.0,2.4327717017755674e-09,2.4327717017732566e-09,8.9766217095404023e-27,8.5732163266599359e-36,4.2866081629927239e-36,7.712515910383491e-52,1.1569177102863201e-21,4.6471216275716692e-61,4.7898542258601373e-69,2.3235608137894065e-61,2.3235608138310529e-61,4.306733891075301e-47,2.2305404296170904e-78,1.4284803097858892e-95
5.523064897350146e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281928794439,0.66999999672511512,3.6185362164275689e-41,0.0,4.5689468444210708e-24,1.8601137312127722e-53,0.0,0.0,0.0,0.0,0.0,3.2748849629408127e-09,3.2748849629368315e-09,1.9847404189632659e-26,2.2761550017917713e-35,1.1380775008022943e-35,3.4114011310841166e-51,1.9932425495717018e-21,2.2785582245634629e-60,6.7038785122689007e-69,1.1392791122830901e-60,1.1392791123052065e-60,1.3550340849713245e-46,6.0223071779204978e-78,9.7327025061070508e-95
