Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C8H9X(653),S(610),C8H9X(652),C8H9X(651),C8H9X(650)
5.275479675832063e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033334711358761475,0.51342240851085019,7.5963287681428355e-10,0.0,1.3375633912838545e-09,3.0776577100876593e-35,0.0,0.0,0.0,0.0,0.0,0.15859920630221155,0.080575765874007402,0.035429353674914316,0.00011477633260744631,0.0006595314869553983,0.0011392768898132683,1.3851692651581123e-05,1.4741429108730535e-05,1.2383236413402818e-05,1.2191264919867846e-05,1.2582576275876239e-07,1.5939900770831411e-07,9.4270374982294279e-08,9.3146835120327797e-08,9.3708649854439409e-08
5.298519700428214e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033289230222952423,0.51327480711367135,7.6311290848284726e-10,0.0,1.3385338960660321e-09,3.085021628378766e-35,0.0,0.0,0.0,0.0,0.0,0.15875878154569079,0.080457244442847145,0.035547127462331955,0.000115031779756132,0.00066340190493347363,0.0011462130099767279,1.3943497642810364e-05,1.4890071898715658e-05,1.2486878483940684e-05,1.2292418622905304e-05,1.2722231865644637e-07,1.6166998030785396e-07,9.5433257640421214e-08,9.4290666653131938e-08,9.4862007753173655e-08
5.321559725024365e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.03324391426070672,0.51312767005123516,7.6659033969191555e-10,0.0,1.339500963599362e-09,3.0923808286411421e-35,0.0,0.0,0.0,0.0,0.0,0.15891790042223228,0.080339012685416641,0.035664514656368322,0.00011528569144729968,0.00066727456931922006,0.0011531532356672998,1.4035395744852113e-05,1.5039433848659875e-05,1.2590871958457427e-05,1.2393903135230814e-05,1.2862696945530946e-07,1.6396169484023503e-07,9.6604683296775356e-08,9.5442807821819415e-08,9.6023791979578274e-08
5.344599749620515e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033198761558253027,0.51298099481836068,7.7006516667618657e-10,0.0,1.3404646140540395e-09,3.0997354183991319e-35,0.0,0.0,0.0,0.0,0.0,0.15907656525437627,0.080221070254073268,0.035781516919628928,0.00011553807100602212,0.00067114942119109622,0.0011600974543199518,1.4127384662376283e-05,1.5189513151123142e-05,1.269521524854164e-05,1.2495716801361478e-05,1.3003969946857226e-07,1.6627421336191881e-07,9.7784661156581941e-08,9.6603266141688158e-08,9.719401089400234e-08
5.367639774216666e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033153770245812737,0.51283477893763951,7.7353738577314518e-10,0.0,1.3414248673772329e-09,3.1070855026577175e-35,0.0,0.0,0.0,0.0,0.0,0.15923477833820171,0.08010341678309453,0.035898135908159649,0.00011578892186479638,0.00067502640206947506,0.0011670455541718983,1.4219462107528394e-05,1.5340307981070031e-05,1.2799906761994921e-05,1.2597857962364271e-05,1.314604926633264e-07,1.686075971779456e-07,9.8973200122489467e-08,9.7772048823962813e-08,9.8372672553470285e-08
5.390679798812817e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033108938496368132,0.51268901995885552,7.7700699342118222e-10,0.0,1.342381743297576e-09,3.1144311839634003e-35,0.0,0.0,0.0,0.0,0.0,0.15939254194390418,0.079986051889335788,0.036014373271409009,0.00011603824756029043,0.00067890545391591944,0.0011739974242633178,1.4311625800141651e-05,1.5491816496158497e-05,1.2904944903009422e-05,1.2700324956034277e-05,1.3288933266455024e-07,1.7096190684144382e-07,1.0017030879606133e-07,9.8949162777348182e-08,9.9559784713204107e-08
5.413719823408968e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033064264524467951,0.51254371545842314,7.8047398615775607e-10,0.0,1.3433352613295295e-09,3.1217725624635722e-35,0.0,0.0,0.0,0.0,0.0,0.15954985831635671,0.079868975172866716,0.036130230652193118,0.0001162860517301555,0.00068278651913238324,0.0011809529544378847,1.440387346794353e-05,1.5644036837027235e-05,1.3010328072342988e-05,1.2803116117070461e-05,1.3432620275912556e-07,1.7333720215323848e-07,1.0137599547928624e-07,1.0013461460960076e-07,1.0075535482816455e-07
5.436759848005119e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.033019746585069162,0.51239886303883897,7.8393836061759602e-10,0.0,1.3442854407776247e-09,3.1291097359644133e-35,0.0,0.0,0.0,0.0,0.0,0.15970672967565527,0.079752186217587812,0.036245709686663095,0.00011653233810990364,0.00068666954056035006,0.0011879120353431095,1.4496202846756849e-05,1.5796967127581547e-05,1.3116054667491917e-05,1.2906229777249057e-05,1.3577108589985418e-07,1.7573354216155884e-07,1.0259026817610622e-07,1.013284106291179e-07,1.0195939005460965e-07
5.45979987260127e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.032975382972413751,0.51225446032815092,7.8740011353094831e-10,0.0,1.3452323007405905e-09,3.1364427999873462e-35,0.0,0.0,0.0,0.0,0.0,0.15986315821764871,0.079635684591827127,0.036360812004275059,0.0001167771105298491,0.00069055446147990454,0.0011948745584305076,1.4588611680695439e-05,1.5950605475277664e-05,1.3222123082861365e-05,1.3009664265594536e-05,1.372239647094729e-07,1.7815098516184202e-07,1.0381313459396237e-07,1.0253055684654434e-07,1.0317189725167084e-07
5.482839897197421e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.032931172018939289,0.51211050497943977,7.9085924172185991e-10,0.0,1.3461758601153668e-09,3.1437718478240947e-35,0.0,0.0,0.0,0.0,0.0,0.16001914611445348,0.07951946984891832,0.036475539227762387,0.00011702037291211269,0.00069444122560874204,0.0012018404159555914,1.4681097722354515e-05,1.6104949971405508e-05,1.3328531709933369e-05,1.3113417908548183e-05,1.3868482148466702e-07,1.805895886966326e-07,1.0504460214535739e-07,1.0374105897639484e-07,1.0439288298294544e-07
5.505879921793571e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.032887112094222341,0.51196699467031714,7.9431574210650171e-10,0.0,1.3471161376010091e-09,3.1510969705903799e-35,0.0,0.0,0.0,0.0,0.0,0.16017469551495411,0.079403541527760121,0.036589892973110369,0.0001172621292676886,0.00069832977710111602,0.0012088095009776911,1.4773658732995682e-05,1.6259998691369855e-05,1.3435278937432554e-05,1.3217489030134293e-05,1.4015363820008039e-07,1.8304940955557586e-07,1.0628467794943394e-07,1.0495992243869285e-07,1.0562235351810556e-07
5.528919946389722e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.032843201603953716,0.51182392710243585,7.9776961169153001e-10,0.0,1.3480531517024871e-09,3.1584182572782604e-35,0.0,0.0,0.0,0.0,0.0,0.16032980854528986,0.079287899153358293,0.036703874849532948,0.00011750238369357222,0.0007022200605467314,0.0012157817073596179,1.4866292482726858e-05,1.6415749694969869e-05,1.3542363151489457e-05,1.3321875952123998e-05,1.4163039651232238e-07,1.8553050377550355e-07,1.0753336883356923e-07,1.0618715236062451e-07,1.068603148345218e-07
