Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C2H6(343),C4H6(54),C4H7(69),C4H5X(380),C4H7X(140),C4H7(439),C4H7(68),C4H7X(145),C4H7X(142),C4H7X(143),C4H5X(381),C4H7X(146),C4H6a(379),C6H10(384),C6H9X(985),C6H9X(986),C6H9X(525),C6H9(1116),SX(1115),C6H9(1156),SX(1533),SX(1527),SX(2037),S(1546),SX(2134),S(2186),C3H6(75),SX(2035),SX(2135),S(2216),SX(3411),S(3472),SX(4084)
0.00030785340776879634,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541271252,0.66999999966867319,3.5719045912819708e-13,1.4953729779561646e-16,2.7782060092497184e-16,1.962657311549674e-30,5.7812071986215317e-30,1.5286409423005244e-33,4.8037515869257731e-35,2.8699423081312664e-31,-2.6238721221283351e-36,9.4657382836877367e-11,3.3034464184977748e-10,1.1772136110791751e-10,7.6478005117263325e-17,1.7040759931652769e-13,4.8236700038129597e-14,1.2198879320509591e-18,1.1718185002358669e-18,9.422764000085537e-20,4.3330407333447488e-22,8.3969365079261299e-22,1.4987505266603219e-18,5.9713356415221972e-22,2.674012215574477e-23,3.4916780539899484e-24,-1.831904761415568e-22,2.9288212279390766e-21,1.9004633764731006e-21,3.6261681425256386e-30,6.9894439335431127e-30,4.6557105489408194e-24,7.4302422560069736e-26,8.9024532220974651e-24,8.8338418206552401e-26,5.1302674382679261e-22,2.5453047016939353e-27,3.1315607088201807e-27,4.9983928132518795e-29,3.5432294792927195e-26,5.6533853127852048e-28,1.5977261643893781e-25,1.5973089474355572e-25,6.8739552091073146e-31,1.096475735364523e-32,4.0379157483214426e-29,6.4409628716162962e-31,8.1333432012130718e-35
0.000310100290261652,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541223846,0.66999999966800095,3.6037579713033176e-13,1.5131551972106929e-16,2.778205450867675e-16,1.967180006586013e-30,5.8433221494792622e-30,1.5473057848959802e-33,4.8915303838347605e-35,2.8983354376568188e-31,-2.325929145493391e-36,9.4467522281774141e-11,3.3100856496195568e-10,1.1814779882046154e-10,7.9709579468426973e-17,1.713856923298924e-13,4.8758471599894137e-14,1.2710468391546495e-18,1.3499040396769837e-18,9.3715920232961136e-19,4.5147447376376354e-22,7.4311942894555675e-21,1.2285138035492752e-18,7.4279669272277973e-22,3.4285150763332408e-23,4.1164528772522956e-24,1.7179710479637419e-22,2.9784657217262603e-21,1.9342046650111398e-21,3.8331838664260415e-30,7.3599622749176391e-30,4.8906109374948261e-24,7.7948869772260777e-26,9.0303627696055019e-24,8.9736324254892595e-26,5.2315450349903731e-22,-2.5667726189327982e-27,3.1944170588176533e-27,5.0987162047934405e-29,3.6175383819717706e-26,5.771954412200211e-28,1.6431546001356611e-25,1.6427224050390014e-25,7.0700055991312296e-31,1.1277493938663041e-32,4.1833849898373231e-29,6.6730091809575471e-31,8.0795624756380388e-35
0.0003123471727545077,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541176628,0.66999999966733226,3.6357069029266487e-13,1.5298422075249274e-16,2.7782057639757279e-16,1.9608483140463027e-30,5.9059260957084344e-30,1.5653624484323475e-33,4.9830018622006313e-35,2.9358473480536299e-31,-8.084112301369363e-37,9.4279473663324853e-11,3.3166879324281346e-10,1.1857148575643073e-10,7.8516710421870146e-17,1.7236183083986372e-13,4.9283398469381074e-14,1.2531283255079395e-18,1.3170320018134703e-18,1.33602618137698e-18,4.4511336308798078e-22,1.072425453026931e-20,1.5308719368963047e-18,7.0571985933400352e-22,3.2164087527169147e-23,3.9719704739324917e-24,6.1186522172643534e-23,3.0285913645124218e-21,1.9683097115279696e-21,3.8624366650749565e-30,7.4300852461795972e-30,5.1104235050889683e-24,8.153053978227396e-26,9.2905487803516118e-24,9.2079750787322979e-26,5.3346871863442401e-22,-7.959252203250156e-28,3.2581937308970275e-27,5.2005259173494428e-29,3.6928220205608577e-26,5.892078630255451e-28,1.6895321132980486e-25,1.6890845159368823e-25,7.2701651289988669e-31,1.1596785660325835e-32,4.3329872976221464e-29,6.911647602719308e-31,8.50815909213398e-35
0.00031424875479809175,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541136815,0.66999999966676915,3.6627978617611173e-13,1.5445447202514186e-16,2.7782060800293199e-16,1.9571133161036368e-30,5.9588697422395748e-30,1.5823346092071845e-33,5.0598488553794231e-35,2.9689798698564089e-31,-5.1031860270865556e-38,9.4121720048815383e-11,3.3222469351713445e-10,1.1892793299170057e-10,7.8252505791508748e-17,1.7318644340245584e-13,4.9728449550928499e-14,1.248245478614017e-18,1.3030021722157309e-18,1.0846654315554292e-18,4.433768400538942e-22,8.7230423795905153e-21,1.8002756072116081e-18,6.8874747177843458e-22,3.1278404525086605e-23,3.9198311864253096e-24,7.0536100796042346e-25,3.0713909181930697e-21,1.9974590648187568e-21,3.9039318009751476e-30,7.5131567112580209e-30,5.1145300538306804e-24,8.1611369631221109e-26,9.4816373186074664e-24,9.3949478678546448e-26,5.4240356823425838e-22,2.2768089991545606e-29,3.3131744195151031e-27,5.2882881433491419e-29,3.7573511255411299e-26,5.9950420313124781e-28,1.7295332744392515e-25,1.7290723039290264e-25,7.4428147296792267e-31,1.1872194139248947e-32,4.4628922293078572e-29,7.1188666118648518e-31,8.8401123211108934e-35
0.0003161503368416758,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541097136,0.66999999966620882,3.689928845473341e-13,1.5603722983351339e-16,2.7782061440699219e-16,1.954948208584984e-30,6.0118266312143958e-30,1.601080228841072e-33,5.1361918033598868e-35,3.0012653457295993e-31,2.0993399937345885e-37,9.3965229182688608e-11,3.3277798717295795e-10,1.1928244817607224e-10,7.8547690553392309e-17,1.7400968057350623e-13,5.017438421551015e-14,1.2530679979322992e-18,1.3172652540508492e-18,1.0820793230977927e-18,4.4509016263500466e-22,8.6873744477229822e-21,1.9122743305727457e-18,6.9532609616528992e-22,3.1576763895065787e-23,3.9626694016825304e-24,1.5857207996610225e-24,3.1145364714305106e-21,2.0268708569727377e-21,3.9682907184568871e-30,7.6370428338287508e-30,5.1006879063162725e-24,8.137459234300101e-26,9.5772256217536337e-24,9.5014851231553561e-26,5.5147397724444646e-22,1.3966191430899161e-29,3.3690864982493214e-27,5.3775212135280217e-29,3.8226824475282873e-26,6.0992849420163165e-28,1.7702316562403123e-25,1.7697569970644483e-25,7.6184814297831531e-31,1.2152415634694633e-32,4.5958726718329426e-29,7.3309913252078615e-31,9.1176939463681561e-35
0.0003180519188852599,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228254105759,0.66999999966565082,3.7171044361790348e-13,1.5768800411513772e-16,2.7782061045685552e-16,1.9526880253323956e-30,6.0648953595871439e-30,1.6207561083282879e-33,5.2127071973501651e-35,3.0330463673213057e-31,2.557058526681159e-37,9.3809985970060859e-11,3.3332869354507926e-10,1.1963504845210562e-10,7.8800610839230149e-17,1.74831553332001e-13,5.0621574972715848e-14,1.2571472484047446e-18,1.3311952408089877e-18,1.0956562434272378e-18,4.4653925584242341e-22,8.805445584264895e-21,1.9306231576965766e-18,7.0155452524212858e-22,3.1856204285101527e-23,4.0041594431569929e-24,1.5463756875992897e-24,3.1580281529627659e-21,2.0565456684281459e-21,4.0329595076061685e-30,7.7616249875215157e-30,5.1332761876082576e-24,8.1889453235581777e-26,9.6359307500028748e-24,9.5788317204443873e-26,5.6060925799525218e-22,1.8937719867730996e-29,3.4256743420045091e-27,5.4678301877499705e-29,3.888842764193947e-26,6.2048506639190247e-28,1.8116359939066131e-25,1.8111473250675842e-25,7.7972023245535658e-31,1.2437509307399233e-32,4.731982138316401e-29,7.5481074447718972e-31,9.4033458121940632e-35
0.00031995350092884397,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282541018177,0.66999999966509549,3.7443227745286365e-13,1.5935642981958984e-16,2.7782060817683382e-16,1.95039375221726e-30,6.1181191715334946e-30,1.6406618459465121e-33,5.2897850478926677e-35,3.0646686825850206e-31,2.473580487450771e-37,9.3655975437642443e-11,3.3387683114057575e-10,1.1998575072836043e-10,7.9035205772993275e-17,1.7565207252541193e-13,5.1070169864211919e-14,1.260871849911291e-18,1.3448837499309684e-18,1.0961823041116058e-18,4.4786217827971143e-22,8.8087105668690022e-21,1.9235518741393001e-18,7.0760304450362963e-22,3.2130683023511427e-23,4.04535490270478e-24,8.8574546901620794e-25,3.2018663248676028e-21,2.0864842145685469e-21,4.098175818900181e-30,7.8871334157737788e-30,5.1919658220692686e-24,8.28271144628835e-26,9.7169593613287894e-24,9.6744284353022961e-26,5.6979006883026855e-22,2.6964057146253945e-29,3.4827088586732911e-27,5.5588574950225949e-29,3.9558208648078451e-26,6.311721767620186e-28,1.8537551228728323e-25,1.8532521178226624e-25,7.9790156398644469e-31,1.2727536136849558e-32,4.8712748796806295e-29,7.7703015245868691e-31,9.6967586907580675e-35
0.00032185508297242804,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540978897,0.66999999966454271,3.7715825574184699e-13,1.6102212781665223e-16,2.7782060837320935e-16,1.9481524410460897e-30,6.1715116657142356e-30,1.6605447989967646e-33,5.3675746709417916e-35,3.0963707624867871e-31,2.4718932814775485e-37,9.350318281871349e-11,3.3442241839866699e-10,1.2033457168292227e-10,7.9280690449838628e-17,1.7647124887994029e-13,5.152021330714029e-14,1.2647855230733259e-18,1.3590891191486176e-18,1.1018346531405738e-18,4.4925230818405544e-22,8.8531155215346673e-21,1.9235662101547283e-18,7.1403572511522273e-22,3.242350679947887e-23,4.0881537667508429e-24,1.1959588692574114e-24,3.2460515207104494e-21,2.1166873103443601e-21,4.1644062595868897e-30,8.0145755545191277e-30,5.2524127122417654e-24,8.3792709144871652e-26,9.8283685213477471e-24,9.794484482472958e-26,5.7903763717565881e-22,2.3081667463843368e-29,3.5401536851914604e-27,5.6505437404001259e-29,4.023584920681283e-26,6.4198474896613417e-28,1.8965976810827074e-25,1.8960800076536496e-25,8.163959450551863e-31,1.3022556876984568e-32,5.0138058322352147e-29,7.9976611657378105e-31,9.9964933501688236e-35
0.00032565824705959624,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540900737,0.6699999996634447,3.8262266621861015e-13,1.6436142811473134e-16,2.7782060858746131e-16,1.943722460708403e-30,6.2787864686573504e-30,1.7004838519480984e-33,5.5251985081542863e-35,3.1600877515241621e-31,2.3176611232453378e-37,9.3201193442121067e-11,3.3550601473562289e-10,1.2102663483934017e-10,7.9765461621465754e-17,1.7810561512412505e-13,5.2424580444998363e-14,1.2725195781648427e-18,1.3874329592989393e-18,1.1124449227529985e-18,4.5199944874467375e-22,8.9380002054406112e-21,1.9324700146405823e-18,7.2673142603343236e-22,3.2999930919621825e-23,4.1734017379487278e-24,1.2349191674978818e-24,3.3354653768837955e-21,2.177890565282535e-21,4.2987048229095787e-30,8.273043321008698e-30,5.3686334532911719e-24,8.5648323459149993e-26,1.0073242070464349e-23,1.0053182447597805e-25,5.9780682174665721e-22,2.3735268030965827e-29,3.6566642018765741e-27,5.8365038791846258e-29,4.1613996751742238e-26,6.6397482095109491e-28,1.984486011069684e-25,1.9839379814569481e-25,8.5433841625065935e-31,1.3627812433078476e-32,5.3088065380620885e-29,8.4682347455520573e-31,1.0618971060724126e-34
0.00032946141114676444,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540823111,0.66999999966235668,3.8810348915805201e-13,1.6771458666415472e-16,2.7782060843591812e-16,1.9393730710487118e-30,6.3867220421694586e-30,1.7407008232270461e-33,5.6856917783185137e-35,3.2244940550311096e-31,2.5153240703972122e-37,9.2903904137119406e-11,3.3657962731957023e-10,1.2171136705580652e-10,8.0247200010969834e-17,1.7973473540862671e-13,5.3334664174343477e-14,1.28020675902949e-18,1.416027064680061e-18,1.1227305801298256e-18,4.5472994439119979e-22,9.0213521273522858e-21,1.9636056175336324e-18,7.3949275368678402e-22,3.3579362298644643e-23,4.2594074039032165e-24,1.2449070139421043e-24,3.4262743328364213e-21,2.2401621671184289e-21,4.4357585866291941e-30,8.536812328429348e-30,5.4750752822159152e-24,8.734547750908277e-26,1.0318356213763082e-23,1.0313494261828966e-25,6.1698493489268849e-22,2.4696695070305173e-29,3.7756208948664027e-27,6.0263655106154054e-29,4.3022237525345126e-26,6.8644508867295522e-28,2.0753666131870091e-25,2.0747868295671104e-25,8.9357645103529715e-31,1.4253735576011974e-32,5.6174364131710756e-29,8.9605494844804969e-31,1.1272306698181807e-34
0.00033326457523393264,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540745995,0.66999999966127854,3.9360057894146396e-13,1.7110110794627561e-16,2.7782060804499815e-16,1.9351012113591981e-30,6.4953105360202785e-30,1.7814474905744487e-33,5.84904571521396e-35,3.2895930392569974e-31,2.9619494585120505e-37,9.2611204801797814e-11,3.3764339796386352e-10,1.2238889415090139e-10,8.0725733538639165e-17,1.813586911553141e-13,5.4250416459045737e-14,1.2878410879709076e-18,1.4449048339724229e-18,1.1330590213422254e-18,4.5744166150095579e-22,9.1048590631591863e-21,1.997483607293643e-18,7.5234728497608224e-22,3.4163118506875499e-23,4.346275095719978e-24,1.300293393924031e-24,3.5184829405762093e-21,2.3035088286717109e-21,4.5756177222693337e-30,8.80597763546876e-30,5.5838654884081093e-24,8.9080384866405624e-26,1.055531662950099e-23,1.0568646813743538e-25,6.3657281385355698e-22,2.503267461279262e-29,3.8971757485846385e-27,6.2203725666187176e-29,4.4460935348469139e-26,7.0940133185190403e-28,2.1693046623987819e-25,2.1686916797168609e-25,9.3413839569333913e-31,1.4900778531533942e-32,5.9401575194505991e-29,9.475342476009347e-31,1.19575686840597e-34
0.00033706773932110084,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282540669417,0.66999999966020984,3.9911379606771622e-13,1.7452679465500762e-16,2.7782060770447061e-16,1.9309048064720231e-30,6.6045440657952067e-30,1.8227945077968647e-33,6.0152416429070331e-35,3.3553292677801728e-31,3.5089042240091573e-37,9.2322988871923694e-11,3.3869746530236254e-10,1.230593385915917e-10,8.1200903320144926e-17,1.8297756183967278e-13,5.5171789254175439e-14,1.2954218625137199e-18,1.474030672617583e-18,1.1432722597065573e-18,4.6013435641121136e-22,9.1872697904763781e-21,2.0254467233237671e-18,7.6526562299156492e-22,3.4749710456838228e-23,4.4338833168792276e-24,1.3264045248157604e-24,3.6120956332333648e-21,2.3679372076673235e-21,4.7182792003269669e-30,9.0805380575304699e-30,5.6966446685946123e-24,9.0879620511723443e-26,1.0794844616102509e-23,1.0827178962930327e-25,6.5655978049640832e-22,2.5785683586244778e-29,4.0212867015082435e-27,6.4184598273605656e-29,4.5930673213586305e-26,7.3285287179417893e-28,2.2663660635448848e-25,2.2657183884662104e-25,9.7605279252824736e-31,1.5569396626148626e-32,6.2774422193664622e-29,1.0013367244962866e-30,1.2676001708679288e-34
