Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C4H6(54),C2H2X(348),C2H6(343),C2H2(37),C4H5X(380),C4H5X(379),C4H7X(140),C6H9X(429),C6H8(498),C6H9X(428),C6H8(56)
2.4656537119276026e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580847428,0.66999999998538007,1.9696222044086782e-48,0.0,1.1062944282305451e-28,4.2869165141091602e-55,1.7091079129636086e-68,0.0,0.0,2.0934562931834005e-87,0.0,1.4620021035142787e-11,1.4620021035142781e-11,1.1062925778935101e-28,1.8503650253350249e-34,3.1946228791896443e-27,9.4988553241658827e-53,5.3259589550086618e-32,1.5508151439696542e-45,7.754075719848263e-46,1.4706602353170885e-40,1.703466092403021e-62,2.1573360103184365e-69,1.7034663080265186e-62,1.1897862926152895e-71
4.931307685125302e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577923422,0.6699999999707601,3.1513908725297265e-47,0.0,4.4251780639220332e-28,1.7147667398896058e-54,5.4691384678792124e-67,0.0,0.0,1.3398104090022626e-85,0.0,2.9240043614882769e-11,2.9240043614882743e-11,4.4251632612474875e-28,1.4802898465161461e-33,1.2778492529408506e-26,1.519817067110835e-51,2.1303837510241246e-31,2.4813007275310042e-44,1.2406503637655006e-44,1.1765264605529389e-39,5.4510832503539207e-61,1.3806929795947602e-67,5.4510846303422367e-61,7.6146220161409181e-70
9.862615631520702e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282572075411,0.66999999994152004,5.0422094282847328e-46,0.0,1.7700712953597596e-27,6.8590672158614573e-54,1.7501194217085904e-65,0.0,0.0,8.5747631401291872e-84,0.0,5.8480088760574246e-11,5.8480088760574156e-11,1.7700594532565509e-27,1.1842282345252978e-32,5.1113972125573422e-26,2.4317074785124876e-50,8.5215353404156427e-31,3.9700693634846744e-43,1.9850346817423344e-43,9.4121827323140241e-39,1.7443409691868968e-59,8.8364065840427008e-66,1.7443418523765726e-59,4.8733438317119024e-68
1.97252315243115e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282560379395,0.66999999988303993,8.0674831288699294e-45,0.0,7.0802853177487321e-27,2.7436269278541026e-53,6.4881223375568812e-64,0.0,0.0,7.2511801894899189e-82,0.0,1.1696017899680337e-10,1.1696017899680298e-10,7.0801905815124741e-27,9.4737669349311825e-32,2.0445589237928826e-25,3.8907320984901416e-49,3.4086142020523387e-30,6.3520727468357248e-42,3.1760363734178592e-42,7.5296993392898344e-38,5.5818541758320082e-58,5.6552631023001644e-64,5.5818598282088361e-58,3.1189214385912774e-66
3.945046330989309e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282536987357,0.66999999976607971,1.2907806063894886e-43,0.0,2.8321141517436699e-26,1.0974507716426754e-52,2.0850495545807488e-62,0.0,0.0,4.6583314578446907e-80,0.0,2.3392035924864632e-10,2.3392035924864471e-10,2.8320383637003356e-26,7.5789189801047396e-31,8.1782357616006816e-25,6.2251714524424154e-48,1.3634456928959532e-29,1.016319366734216e-40,5.0815968336710759e-41,6.0236843088525153e-37,1.7861696040053631e-56,3.6193206770044242e-62,1.7861732214788482e-56,1.9960857805777191e-64
7.890092688105627e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282490203286,0.66999999953215938,2.0651954957244287e-42,0.0,1.1328456635320938e-25,4.3898030251658146e-52,6.6728706590960469e-61,0.0,0.0,2.9814346103151085e-78,0.0,4.6784071886987081e-10,4.6784071886986419e-10,1.1327850346114998e-25,6.0629837756213563e-30,3.2712943090375079e-24,9.9602743625157237e-47,5.4537827869162568e-29,1.6260716850574626e-39,8.1303584252873083e-40,4.8188271075411353e-36,5.7155906905555619e-55,2.3163041022367337e-60,5.715613841774842e-55,1.27746422027957e-62
1.1835139045221946e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282443419215,0.66999999929823906,7.8734652287192517e-42,0.0,2.4072970343471959e-25,9.3283313198914787e-52,2.9499991095553396e-60,0.0,0.0,1.4795280965294419e-77,0.0,7.01761077608634e-10,7.0176107760862025e-10,2.4071236760146095e-25,1.7336105822182268e-29,6.9515003984034142e-24,3.7973546011197365e-46,1.1589288421860036e-28,5.984956636137784e-39,2.9924783180688894e-39,1.3778636073409413e-35,2.673854136819854e-54,1.2983065037943221e-59,2.6738671132587088e-54,7.1274176931747034e-62
1.9725231759454584e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282349851073,0.66999999883039829,6.4743150296442412e-41,0.0,6.6554682511474323e-25,2.5790091637304271e-51,4.7571369900851127e-59,0.0,0.0,4.6791705236830179e-76,0.0,1.1696017915563152e-09,1.1696017915562769e-09,6.6546715952058449e-25,7.9666871533965181e-29,1.9218853940868988e-23,3.1227016192800335e-45,3.2040973793718358e-28,4.6046863064730416e-38,2.30234315323652e-38,6.3318746386578704e-35,3.9051273854548699e-53,3.2455623330148724e-58,3.9051598245137249e-53,1.8460148865301002e-60
2.682631520226396e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282265639746,0.66999999840934166,1.888213511226151e-40,0.0,1.1851417037026047e-24,4.5924511085974125e-51,1.764138006160449e-58,0.0,0.0,2.1456377242729065e-75,0.0,1.590658431257974e-09,1.5906584312579056e-09,1.1849623815649859e-24,1.7932508718581396e-28,3.4223084546710055e-23,9.1074945226296674e-45,5.7055481077521159e-28,1.2681249706763597e-37,6.3406248533817976e-38,1.4252643281414434e-34,1.39814084999344e-52,1.3257936322839564e-57,1.3981541011632635e-52,7.8649565265319397e-60
3.392739864507333e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282181428419,0.66999999798828502,4.3205090477081352e-40,0.0,1.8500229196006725e-24,7.1688808309707917e-51,4.6147021228843696e-58,0.0,0.0,6.2112109922953861e-75,0.0,2.0117150679416383e-09,2.0117150679415316e-09,1.8496839976482343e-24,3.3892763429791729e-28,5.3422717712054913e-23,2.0839728457194752e-44,8.9064410946781921e-28,2.8561369985335093e-37,1.4280684992667548e-37,2.6937743172825247e-34,3.6945889339802561e-52,4.1198249753914484e-57,3.6946301112034838e-52,2.3607723233370361e-59
