Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),CH4OX(63),C2H6X(52),CHO2X(213),OH(D)X(68),HOCO(73),S(216),CHO2(74)
2.2985954383790245e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4429024550993505,0.0896350756851547,0.011291755138745564,5.497784975525841e-05,0.004444633653391545,0.03607407366417864,0.01843409510698825,5.2586932184322884e-05,6.48710141606957e-11,0.002134352937929764,5.868152697705356e-11,0.0004858487367168854,2.9013473010220446e-09,1.4188784175285281e-05,1.6288420514536458e-09,1.0288415788606221e-10,2.0454387857649692e-05,1.412192268939653e-05,0.00644047713199996,1.735816738129768e-05,0.0004477541771690454,3.825298449393303e-08,5.99581742342664e-09,5.928295387193586e-09,3.3928647767791187e-10,1.3038458352432755e-05,0.0017511320030514524,1.093693012683867e-05,1.9959807685377604e-07,0.00072206989033159,6.615415442606942e-09,2.2348121330348465e-05,5.7121287327434934e-08,5.225565467475379e-10,7.692263219290025e-06,9.845720314542366e-11,1.6009877902160145e-06,2.547177131231512e-10,3.985653837965471e-12,1.5726103148458992e-10,1.4509725134257345e-07,4.6346627159153805e-14,6.328238549617359e-11,2.0365765464590517e-12,2.9813222586869313e-19,1.1372797628239365e-13
2.302044885571734e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428960193601968,0.08960738723394387,0.011279831313592075,5.4989081005677194e-05,0.004445335950224422,0.036132526403856176,0.018457367206585838,5.255460878553987e-05,6.515055344703594e-11,0.002133707212854951,5.86549557464456e-11,0.00048598837443642167,2.9009490425254112e-09,1.4151223657255868e-05,1.6313671804304373e-09,1.0300347576171123e-10,2.0422228596144223e-05,1.4143965256970438e-05,0.0064383951169917205,1.727143932854845e-05,0.0004480793412701347,3.8090811952615336e-08,5.987673928244577e-09,5.926390285311827e-09,3.4113962973283724e-10,1.3100579464037412e-05,0.001758172889261479,1.0950227938803857e-05,1.9962668822251352e-07,0.0007232305439774414,6.6133179224508405e-09,2.2383004687512747e-05,5.719256919673584e-08,5.235794598289404e-10,7.686280277214417e-06,9.855167562746666e-11,1.603502653740749e-06,2.544077888044011e-10,3.991816943772249e-12,1.5684245081796275e-10,1.4500595073857665e-07,4.6206926068023044e-14,6.318197189800219e-11,2.037577768352473e-12,2.9865858234140667e-19,1.1378390256618707e-13
2.3054943327644434e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44288956973866533,0.08957970747419282,0.011267920345997964,5.500026665656662e-05,0.004446034989796042,0.03619096366195436,0.01848061611910589,5.252231630375433e-05,6.543076324208168e-11,0.0021330618655431718,5.862842508183908e-11,0.0004861278795782048,2.900551838223097e-09,1.4113804720144645e-05,1.6338909941379262e-09,1.0312259633419407e-10,2.0390185907995263e-05,1.4165993984635552e-05,0.006436313580895744,1.7185284978742694e-05,0.0004484041468844403,3.792959001180776e-08,5.97954214617047e-09,5.924486500643847e-09,3.42999240955777e-10,1.3162868351821484e-05,0.0017652271778154198,1.0963511566843275e-05,1.996551462971519e-07,0.0007243908308393353,6.611221424074467e-09,2.2417866142343837e-05,5.726377532802645e-08,5.246022438118471e-10,7.680299331909963e-06,9.864596660191201e-11,1.6060157972184434e-06,2.54099494499867e-10,3.997975837519328e-12,1.5642544651166804e-10,1.4491473353747577e-07,4.60678395110212e-14,6.308191986369065e-11,2.0385769843193603e-12,2.991845885946108e-19,1.1383971677630095e-13
2.308943779957153e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428831062506149,0.08955203640270627,0.011256022222617158,5.501140694457633e-05,0.0044467307879007805,0.0362493854319971,0.018503841861037318,5.249005465077304e-05,6.571164355397967e-11,0.002132416894736052,5.860193481562661e-11,0.0004862672524299992,2.9001556834659015e-09,1.4076526816644828e-05,1.6364134915582507e-09,1.0324151976952513e-10,2.0358259023270508e-05,1.4188008884959946e-05,0.006434232523870726,1.709969957203905e-05,0.0004487285947347389,3.7769311480116164e-08,5.971422057049105e-09,5.922584031005855e-09,3.4486531885651545e-10,1.3225325052605874e-05,0.0017722948568927937,1.0976781020513526e-05,1.9968345179633453e-07,0.0007255507507161426,6.609125943951244e-09,2.2452705714731784e-05,5.733490577081597e-08,5.256248970728434e-10,7.67432039294674e-06,9.874007627674889e-11,1.6085272220102715e-06,2.537928188235683e-10,4.00413052248307e-12,1.5601001247594535e-10,1.4482359950558068e-07,4.592936375193245e-14,6.298222700710429e-11,2.03957420253998e-12,2.9971024484757135e-19,1.1389541936989564e-13
2.3123932271498623e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428766289119056,0.089524374016298,0.01124413693011506,5.50225021047429e-05,0.004447423360225699,0.03630779170757974,0.018527044448900545,5.2457823738722825e-05,6.599319438853555e-11,0.0021317722991827906,5.857548478085837e-11,0.0004864064932785471,2.8997605736277774e-09,1.4039389400601843e-05,1.6389346716827777e-09,1.0336024623397311e-10,2.0326447179119006e-05,1.4210009970469982e-05,0.00643215194607567,1.7014678396403814e-05,0.0004490526855412062,3.76099692334813e-08,5.963313640783229e-09,5.920682874239079e-09,3.4673787091589434e-10,1.3287949602410462e-05,0.0017793759146256137,1.0990036309391406e-05,1.997116054338894e-07,0.0007267103034084083,6.6070314785778016e-09,2.2487523424500618e-05,5.740596057473222e-08,5.266474179948316e-10,7.66834346985441e-06,9.883400485995554e-11,1.6110369294730346e-06,2.534877504894423e-10,4.010281001929487e-12,1.55596142633805e-10,1.4473254841006718e-07,4.579149508463983e-14,6.288289096407349e-11,2.0405694311443312e-12,3.002355513195367e-19,1.1395101080132142e-13
2.315842674342572e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428701377383986,0.08949672031179037,0.011232264455168546,5.503355237050383e-05,0.004448112722351485,0.03636618248236833,0.018550223899247202,5.2425623480053895e-05,6.627541574922066e-11,0.0021311280776401286,5.854907481124793e-11,0.0004865456024095725,2.8993665041058535e-09,1.4002391927027718e-05,1.6414545335120549e-09,1.0347877589405927e-10,2.0294749619686524e-05,1.4231997253650513e-05,0.006430071847669867,1.6930216787041686e-05,0.00044937642002142907,3.745155621441406e-08,5.955216877333298e-09,5.9187830282095996e-09,3.486169045858347e-10,1.335074203645758e-05,0.0017864703390988283,1.1003277443073745e-05,1.997396079188709e-07,0.0007278694887183355,6.604938024473887e-09,2.252231929140866e-05,5.7476939789520644e-08,5.276698049670083e-10,7.662368572122186e-06,9.892775255949907e-11,1.6135449209591858e-06,2.531842783102656e-10,4.016427279114304e-12,1.551838309211888e-10,1.4464158001898655e-07,4.56542298328206e-14,6.278390939213109e-11,2.0415626782125534e-12,3.0076050822973443e-19,1.1400649152214142e-13
2.3192921215352813e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428636327459561,0.08946907528601468,0.011220404784465945,5.5044557973711245e-05,0.00444879888975338,0.0364245577500991,0.01857338022865977,5.239345378754295e-05,6.655830763717858e-11,0.0021304842288723163,5.852270474117817e-11,0.00048668458010778394,2.898973470320449e-09,1.396553385211518e-05,1.6439730760557563e-09,1.0359710891655562e-10,2.0263165596032084e-05,1.4253970746945117e-05,0.006427992228812904,1.684631012583445e-05,0.00044969979889042063,3.7294065431244856e-08,5.947131746717198e-09,5.916884490808191e-09,3.505024272893763e-10,1.3413702389174677e-05,0.0017935781183507514,1.1016504431177187e-05,1.9976745995560173e-07,0.0007290283064497738,6.602845578182254e-09,2.2557093335148937e-05,5.754784346504314e-08,5.286920563848427e-10,7.656395709198769e-06,9.902131958333467e-11,1.6160511978168574e-06,2.528823911965748e-10,4.022569357283022e-12,1.5477307128712821e-10,1.4455069410127437e-07,4.551756434962253e-14,6.268527997025353e-11,2.042553951775322e-12,3.012851157973687e-19,1.140618619811539e-13
2.3227415687279908e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44285711395044236,0.08944143893581068,0.011208557904707058,5.5055519144645614e-05,0.004449481877802114,0.036482917504577723,0.018596513453751306,5.2361314574296214e-05,6.684187005123198e-11,0.0021298407516510817,5.849637440570678e-11,0.0004868234266568786,2.8985814677150933e-09,1.3928814633251353e-05,1.6464902983326354e-09,1.0371524546848322e-10,2.0231694366045815e-05,1.4275930462756295e-05,0.006425913089664641,1.676295384078748e-05,0.00045002282286063397,3.713748995737915e-08,5.939058229009993e-09,5.914987259950146e-09,3.523944464206983e-10,1.34768306941978e-05,0.001800699240373498,1.1029717283338073e-05,1.9979516224371494e-07,0.000730186756408208,6.6007541362685885e-09,2.259184557534945e-05,5.7618671651277306e-08,5.297141706500577e-10,7.65042489049232e-06,9.911470613940574e-11,1.6185557613898825e-06,2.5258207815561764e-10,4.028707239670979e-12,1.5436385769389777e-10,1.4445989042675903e-07,4.538149501737004e-14,6.258700039860612e-11,2.0435432598142607e-12,3.01809374241617e-19,1.1411712262441488e-13
2.3261910159207002e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428505813677225,0.0894138112580267,0.011196723802603134,5.506643611202924e-05,0.0044501617017648045,0.036541261739678754,0.018619623591165077,5.2329205753752286e-05,6.71261029878891e-11,0.0021291976447555963,5.847008364057131e-11,0.00048696214233954604,2.8981904917565315e-09,1.389223372903115e-05,1.649006199370476e-09,1.0383318571711042e-10,2.0200335194368006e-05,1.4297876413445703e-05,0.00642383443038522,1.6680143405483878e-05,0.00045034549264197555,3.698182293056724e-08,5.930996304343641e-09,5.913091333575125e-09,3.5429296934515696e-10,1.354012698437426e-05,0.0018078336931134106,1.1042916009212177e-05,1.9982271547819367e-07,0.0007313448384007431,6.5986636953213775e-09,2.262657603157357e-05,5.768942439831507e-08,5.307361461706036e-10,7.644456125370413e-06,9.920791243564286e-11,1.6210586130178192e-06,2.522833282903041e-10,4.0348409295034e-12,1.5395618411716432e-10,1.4436916876616958e-07,4.524601824725029e-14,6.24890683982917e-11,2.044530610262328e-12,3.023332837816279e-19,1.141722738952603e-13
2.3296404631134097e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44284403501366376,0.08938619224951944,0.01118490246487688,5.507730910303958e-05,0.004450838376805873,0.03659959044934497,0.01864271065757427,5.229712723968485e-05,6.741100644135064e-11,0.002128554906972446,5.844383228219434e-11,0.0004871007274374715,2.897800537934734e-09,1.3855790599270314e-05,1.651520778206042e-09,1.0395092982995109e-10,2.0169087352309383e-05,1.4319808611334366e-05,0.0064217562511350475,1.659787433854624e-05,0.00045066780894181867,3.682705755218017e-08,5.9229459529067644e-09,5.911196709647001e-09,3.561980033993004e-10,1.3603591291765918e-05,0.0018149814644714893,1.1056100618474609e-05,1.9985012034941318e-07,0.0007325025522360931,6.5965742519518396e-09,2.2661284723320342e-05,5.7760101756361926e-08,5.317579813606385e-10,7.638489423160027e-06,9.930093867996386e-11,1.623559754035977e-06,2.5198613079818313e-10,4.0409704299954755e-12,1.5355004454613388e-10,1.4427852889114372e-07,4.511113047902612e-14,6.239148171110356e-11,2.0455160110042128e-12,3.0285684463651804e-19,1.142273162343276e-13
2.333089910306119e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4428374749041352,0.08935858190715382,0.011173093878262456,5.508813834332244e-05,0.004451511917987929,0.03665790362758679,0.018665774669681685,5.226507894620525e-05,6.76965804035163e-11,0.0021279125370955933,5.841762016768799e-11,0.00048723918223133954,2.8974116017628914e-09,1.3819484705018134e-05,1.6540340338850288e-09,1.0406847797476283e-10,2.013795011777252e-05,1.4341727068702879e-05,0.006419678552074803,1.6516142203105796e-05,0.0004509897724650175,3.667318708649774e-08,5.9149071549443535e-09,5.909303386153672e-09,3.581095558909208e-10,1.3667223647652121e-05,0.0018221425423038127,1.1069271120819589e-05,1.9987737754318002e-07,0.0007336598977245687,6.594485802793813e-09,2.269597167002486e-05,5.783070377573591e-08,5.32779674640509e-10,7.632524793147495e-06,9.939378508027306e-11,1.62605918577544e-06,2.516904749704212e-10,4.0470957443524086e-12,1.5314543298369327e-10,1.441879705742348e-07,4.497682818072859e-14,6.229423809928153e-11,2.046499469876717e-12,3.0338005702536903e-19,1.1428225007957764e-13
2.3365393574988286e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44283090105500733,0.08933098022780299,0.011161298029505473,5.5098924057005115e-05,0.00445218234027265,0.03671620126848159,0.018688815644219384,5.223306078776499e-05,6.798282486399136e-11,0.0021272705339263455,5.839144713485852e-11,0.0004873775070008382,2.89702367877742e-09,1.3783315508569845e-05,1.6565459654620153e-09,1.0418583031954525e-10,2.0106922775174473e-05,1.4363631797791653e-05,0.006417601333365414,1.643494260627895e-05,0.0004513113839139197,3.652020486000458e-08,5.9068798907575265e-09,5.907411361106921e-09,3.600276340990647e-10,1.3731024082532836e-05,0.0018293169144219625,1.1082427525960263e-05,1.999044877407714e-07,0.0007348168746780645,6.592398344503629e-09,2.273063689105859e-05,5.790123050686638e-08,5.33801224436724e-10,7.626562244578496e-06,9.948645184446076e-11,1.6285569095630912e-06,2.5139635019080633e-10,4.053216875769481e-12,1.5274234344654947e-10,1.4409749358891907e-07,4.484310784837941e-14,6.219733534527192e-11,2.0474809946691484e-12,3.039029211672257e-19,1.143370758663162e-13
2.339988804691538e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44282431348215295,0.08930338720834817,0.011149514905362975,5.51096664667093e-05,0.004452849658521667,0.036774483366173255,0.018711833597948428,5.220107267915803e-05,6.826973981009349e-11,0.0021266288962733214,5.836531302221033e-11,0.0004875157020246617,2.896636764537952e-09,1.3747282473478699e-05,1.6590565720004173e-09,1.0430298703253799e-10,2.0076004615370547e-05,1.4385522810801113e-05,0.0064155245951680664,1.6354271198650854e-05,0.0004516326439883807,3.636810426069738e-08,5.898864140703247e-09,5.905520632542246e-09,3.619522452740708e-10,1.3794992626131455e-05,0.0018365045685934417,1.1095569843628579e-05,1.9993145161897503e-07,0.0007359734829100468,6.590311873760044e-09,2.2765280405729723e-05,5.797168200029335e-08,5.348226291819364e-10,7.620601786658036e-06,9.957893918040285e-11,1.6310529267216376e-06,2.511037459347556e-10,4.059333827432113e-12,1.523407699653643e-10,1.440070977096019e-07,4.470996600569391e-14,6.210077125149123e-11,2.04846059312369e-12,3.044254372810928e-19,1.1439179402721494e-13
2.3434382518842476e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44281771220144706,0.0892758028456785,0.011137744492603461,5.5120365793563816e-05,0.004453513887497421,0.03683274991487143,0.018734828547658528,5.216911453552299e-05,6.855732522685915e-11,0.002125987622952415,5.833921766895021e-11,0.00048765376758051494,2.8962508546273233e-09,1.371138506456773e-05,1.661565852572434e-09,1.044199482822191e-10,2.0045194935579118e-05,1.4407400119891902e-05,0.006413448337644187,1.627412367376631e-05,0.000451953553385776,3.62168787373982e-08,5.89085988519408e-09,5.903631198518684e-09,3.6388339663760804e-10,1.3859129307398203e-05,0.0018437054925420939,1.1108698083575054e-05,1.9995826985012802e-07,0.0007371297222355435,6.5882263872641104e-09,2.2799902233283513e-05,5.804205830666622e-08,5.358438873149243e-10,7.614643428550429e-06,9.967124729596018e-11,1.6335472385696357e-06,2.5081265176833726e-10,4.0654466025159234e-12,1.5194070658488685e-10,1.4391678271162436e-07,4.457739920380279e-14,6.200454364009279e-11,2.049438272935782e-12,3.049476055859327e-19,1.1444640499233262e-13
