Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
2.845079969570895e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44324109478620793,0.085233556848594197,0.0097738686871278666,9.8853905426018665e-07,1.2203953611649654e-05,0.049842538373132635,0.024886085648918307,4.6598026514786233e-05,1.4470738384458532e-10,0.002008694401729389,5.2813425511123194e-11,0.00051995463606921747,2.7785404254905412e-09,9.1556203084694898e-09,2.3531941425355601e-09,1.3432275580803883e-10,1.956669278115765e-08,1.7142936632775533e-05,0.0061281161799618443,0.0011878512500851648,0.0005207702476487646,1.9001776066302459e-08,4.884286449606451e-09,8.191330179570877e-09,1.2213026665972512e-10,2.7457736442089975e-06,0.00022078895103477616,7.1416446088465421e-06,0.00099866234905274763,2.7128764392072424e-05,7.717288350880009e-08,5.6990683966496077e-10,9.1146808400850939e-12,5.5061431314722897e-10
2.84666183436444e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44324390165091437,0.085221328441989305,0.009769227408476076,9.8890879215213823e-07,1.2207616335086119e-05,0.049868472649256416,0.024898700381540545,4.6584643336728718e-05,1.449301115611698e-10,0.0020084066958358255,5.2803749297769595e-11,0.00052000579881626686,2.7784315164582323e-09,9.1508649837515046e-09,2.3546186734502803e-09,1.3438169413247775e-10,1.9548042057095481e-08,1.7152556911050039e-05,0.00612727610451485,0.001184511132045652,0.00052089907626868127,1.8952912061996578e-08,4.8812678221652865e-09,8.1897945299435923e-09,1.225648511740074e-10,2.7552062534250357e-06,0.00022149407097461947,7.1452215845378212e-06,0.00099918872948508391,2.7143988995645745e-05,7.721249144617185e-08,5.7032972706484573e-10,9.0935643645858813e-12,5.5077276858527981e-10
2.8482436991579855e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.443246703237549,0.085209102325098832,0.0097645882750971684,9.8927716479605867e-07,1.2211263041991221e-05,0.049894402236099013,0.024911309098317944,4.6571263774544787e-05,1.4515302381141411e-10,0.0020081190348888961,5.2794075580903702e-11,0.00052005694263571837,2.778322668544465e-09,9.1460991270395927e-09,2.3560427846870329e-09,1.344405891841195e-10,1.9529378098599059e-08,1.7162174681083948e-05,0.0061264361158993169,0.001181172759989562,0.00052102784792520159,1.8904048345521005e-08,4.8782510400686914e-09,8.1882593765786591e-09,1.2300169819367971e-10,2.7646870447962944e-06,0.00022220274609608727,7.1487966628936181e-06,0.00099971501068801577,2.715920962980381e-05,7.7252080303671775e-08,5.7075254324721533e-10,9.0724335949432575e-12,5.5093049853326571e-10
2.849825563951531e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44324949950091797,0.085196878497758866,0.0097599512861386954,9.8964417158372836e-07,1.2214893729177084e-05,0.049920327134848085,0.024923911777470865,4.6557887832688812e-05,1.4537612055022783e-10,0.0020078314190173233,5.2784404367618393e-11,0.0005201080675532948,2.7782138819999635e-09,9.141322761201852e-09,2.3574664740080672e-09,1.3449944089355166e-10,1.9510701033012949e-08,1.7171789943377308e-05,0.0061255962135508364,0.0011778361574133131,0.00052115656260960424,1.8855185331074287e-08,4.87523610258875e-09,8.1867247226347973e-09,1.2344082223301731e-10,2.7742163225552294e-06,0.00022291499847127837,7.1523698359265154e-06,0.0010002411925636922,2.7174426295337871e-05,7.7291650004109197e-08,5.7117528743819062e-10,9.0512887415953179e-12,5.510875028604667e-10
2.851407428745076e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44325229039556452,0.085184656959804775,0.0097553164407493728,9.900098119200535e-07,1.2218508393603106e-05,0.049946247346698308,0.024936508397086884,4.6544515515621273e-05,1.455994017321265e-10,0.0020075438483502608,5.2774735665012489e-11,0.00052015917359475876,2.7781051570759661e-09,9.1365359091917537e-09,2.358889739162813e-09,1.3455824919087471e-10,1.9492010988440217e-08,1.7181402698431361e-05,0.0061247563969017886,0.0011745013479437,0.00052128522031279385,1.8806323435319825e-08,4.8722230089968701e-09,8.1851905712883671e-09,1.2388223790483667e-10,2.7837943928714901e-06,0.00022363085030676895,7.1559410955993674e-06,0.001000767275013607,2.7189638993041141e-05,7.7331200469847697e-08,5.71597958852251e-10,9.0301300176158298e-12,5.5124378144297722e-10
2.8529892935386215e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44325507587576846,0.085172437711071025,0.0097506837380790766,9.9037408522314468e-07,1.2222107032376839e-05,0.049972162872851444,0.024949098935120328,4.6531146827808889e-05,1.4582286731122973e-10,0.0020072563230172963,5.2765069480190979e-11,0.00052021026078591403,2.7779964940242266e-09,9.1317385940486718e-09,2.3603125778878357e-09,1.3461701400570002e-10,1.9473308093746434e-08,1.7191012946748612e-05,0.0061239166653813387,0.0011711683553382827,0.00052141382102532322,1.8757463077348106e-08,4.8692117585650881e-09,8.1836569257330269e-09,1.243259599170924e-10,2.7934215638378661e-06,0.0002243503239440358,7.1595104338238233e-06,0.0010012932579385977,2.7204847723708751e-05,7.7370731622783147e-08,5.7202055669838455e-10,9.0089576376361224e-12,5.5139933416371928e-10
2.854571158332167e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44325785589554617,0.085160220751391361,0.0097460531772788489,9.9073699092440478e-07,1.2225689642754855e-05,0.04999807371451636,0.024961683369391943,4.6517781773724799e-05,1.4604651724125912e-10,0.0020069688431484517,5.2755405820265206e-11,0.00052026132915260561,2.7778878930970239e-09,9.126930838898437e-09,2.3617349879068045e-09,1.3467573526714676e-10,1.9454592478563702e-08,1.7200620688832784e-05,0.0061230770184154291,0.001167837203485762,0.00052154236473741784,1.8708604678607627e-08,4.8662023505701801e-09,8.1821237891778784e-09,1.2477200306678095e-10,2.8030981454482467e-06,0.00022507344185988283,7.1630778424743121e-06,0.0010018191412388426,2.7220052488137762e-05,7.7410243384292625e-08,5.7244308019205305e-10,8.9877718159947868e-12,5.5155416091242307e-10
2.856153023125712e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44326063040864816,0.085148006080598609,0.0097414247575008939,9.9109852846860878e-07,1.2229256222143633e-05,0.050023979872909054,0.024974261677588469,4.6504420357848635e-05,1.4627035147553665e-10,0.0020066814088741908,5.2745744692353098e-11,0.00052031237872072003,2.7777793545471716e-09,9.122112666953855e-09,2.3631569669304476e-09,1.3473441290384001e-10,1.943586427329462e-08,1.7210225925188784e-05,0.0061222374554267579,0.0011645079164063518,0.00052167085143892296,1.8659748663045962e-08,4.8631947842881116e-09,8.1805911648499551e-09,1.25220382251353e-10,2.8128244496579685e-06,0.00022580022666677328,7.1666433133762461e-06,0.0010023449248138605,2.7235253287127199e-05,7.7449735675306282e-08,5.7286552853591074e-10,8.9665727698920166e-12,5.5170826158575751e-10
2.8575767014399032e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44326312272379403,0.08513701483374464,0.0097372610095750271,9.9142274203605889e-07,1.2232452435075687e-05,0.050047291412275555,0.02498557689862101,4.6492398197935611e-05,1.4647195982761544e-10,0.0020064227571189074,5.2737051847992322e-11,0.00052035830728066766,2.7776817233943175e-09,9.1177674251004694e-09,2.3644363776481755e-09,1.3478718541830829e-10,1.9418998232430469e-08,1.7218868495929955e-05,0.0061214819200577399,0.0011615131723748551,0.00052178644071754069,1.8615780639040025e-08,4.8604895487000177e-09,8.1792122435907836e-09,1.2562593321876403e-10,2.8216208956702651e-06,0.00022645748698364691,7.1698505736122404e-06,0.0010028180446827236,2.7248930616428811e-05,7.7485262024222621e-08,5.732456671266802e-10,8.9474825025974178e-12,5.5184633131752883e-10
2.8590003797540942e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44326561050676616,0.08512602544063004,0.009733098994575055,9.9174584657171446e-07,1.2235635659250145e-05,0.050070599160078944,0.024996887122894346,4.6480378991880009e-05,1.46673717393405e-10,0.0020061641424970016,5.2728361065532284e-11,0.00052040422065369977,2.7775841431573923e-09,9.113413781562718e-09,2.3657154357076733e-09,1.3483992248577685e-10,1.9402122196006994e-08,1.7227509037811153e-05,0.0061207264518146082,0.0011585199760694815,0.00052190198380118046,1.857181520326694e-08,4.8577858037883962e-09,8.1778337422400876e-09,1.26033399511995e-10,2.8304581013860295e-06,0.00022711775258496851,7.1730562515828686e-06,0.0010032910836180354,2.7262604734958352e-05,7.7520772479276881e-08,5.736257436128943e-10,8.928381860279984e-12,5.519838127846446e-10
2.8604240580682852e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44326809372329601,0.085115037901131146,0.00972893871188538,9.9206784169893593e-07,1.2238805893091301e-05,0.050093903117220687,0.025008192333862349,4.6468362742961539e-05,1.4687562413803897e-10,0.0020059055651045076,5.2719672350176403e-11,0.00052045011885877449,2.7774866140218304e-09,9.1090517534456107e-09,2.366994139413022e-09,1.3489262405317712e-10,1.938523626070443e-08,1.7236147551203032e-05,0.0061199710502697425,0.0011555283452755899,0.0005220174806817102,1.8527852669848654e-08,4.8550835490300667e-09,8.1764556631851617e-09,1.2644279218826296e-10,2.8393362982566288e-06,0.00022778104023860274,7.1762603412380809e-06,0.0010037640415451615,2.7276275643302364e-05,7.755626698180863e-08,5.7400575740935697e-10,8.9092710034960326e-12,5.521207059262513e-10
2.8618477363824763e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44327057233893968,0.085104052215123849,0.0097247801608911794,9.9238872705006822e-07,1.2241963135123998e-05,0.050117203284606983,0.025019492514890093,4.6456349454464515e-05,1.4707768002638342e-10,0.002005647025037755,5.2710985707132955e-11,0.00052049600191487804,2.7773891361734269e-09,9.1046813579125976e-09,2.3682724870597194e-09,1.3494529006711024e-10,1.9368340523718421e-08,1.7244784036477055e-05,0.0061192157149933743,0.0011525382978656749,0.00052213293135073429,1.848389335461131e-08,4.8523827838981789e-09,8.1750780088270069e-09,1.2685412237546997e-10,2.8482557190488224e-06,0.00022844736680230316,7.1794628364810138e-06,0.0010042369183890264,2.7289943342048654e-05,7.7591745472895727e-08,5.7438570791488254e-10,8.8901500957821322e-12,5.5225701068619774e-10
2.8632714146966673e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44327304631907738,0.085093068382483358,0.0097206233409784012,9.9270850226648966e-07,1.2245107383974174e-05,0.05014049966314886,0.025030787649253702,4.6444339129677958e-05,1.4727988502303655e-10,0.0020053885223933706,5.2702301141615137e-11,0.00052054186984102464,2.7772917097983466e-09,9.1003026121858702e-09,2.3695504769346552e-09,1.3499792047384583e-10,1.9351435082762367e-08,1.7253418494005525e-05,0.0061184604455535767,0.0011495498517995497,0.00052224833579967095,1.843993757488387e-08,4.8496835078716373e-09,8.1737007815756883e-09,1.2726740125524305e-10,2.8572165977714673e-06,0.00022911674922398506,7.1826637311941752e-06,0.0010047097140741146,2.7303607831786283e-05,7.7627207893234631e-08,5.7476559454260623e-10,8.8710192988197307e-12,5.5239272701290435e-10
2.864552725179439e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44327526890908808,0.085083184517632013,0.0097168836826246434,9.9299535050701034e-07,1.2247926097714486e-05,0.050161463165131398,0.025040948941388988,4.6433532374064687e-05,1.4746199697815158e-10,0.0020051559020896562,5.2694486813246289e-11,0.00052058313805418139,2.7772040702246375e-09,9.0963546158979297e-09,2.370700360504409e-09,1.3504525735107749e-10,1.9336211970186707e-08,1.7261187772367014e-05,0.0061177807589893,0.0011468616344032696,0.00052235216027823514,1.8400380659613085e-08,4.8472554322025241e-09,8.1724616442269934e-09,1.2764102767547495e-10,2.8653170296218469e-06,0.00022972182024227336,7.1855431629081563e-06,0.0010051351607371689,2.7315903129335679e-05,7.7659110281790507e-08,5.751074374000741e-10,8.8537932615322058e-12,5.5251436855767382e-10
