Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,0.0,1.2682163592213414e-42,4.5230094514001889e-30,9.2756122776982866e-55,1.7369982121711755e-39,9.4492886507821515e-93,6.7227771442716957e-19,1.1133545101901043e-83,6.7227767743007941e-19,2.7565622495232454e-56,1.9121010541589247e-47,9.2229195011293362e-77,5.5729126011435534e-78,9.1969379308338047e-37,8.427722287949245e-66,2.6661564623941043e-12,1.281911720494541e-13,4.9411800396871183e-17,3.6064777823972115e-26,4.9411807504836167e-17,3.5487830843288774e-24,3.1571625537566595e-27,9.9788454357527246e-31,1.3654597394898878e-49,6.8940249526412848e-37,8.1639109162873713e-67
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,0.0,2.0291376456817006e-41,1.8093176842847151e-29,1.1858001028881389e-52,1.389599757468526e-38,4.8320235617866406e-90,1.3445560726466484e-18,7.1254789546579128e-82,1.344555924658203e-18,4.4105036983870025e-55,3.059354427584837e-46,2.3581314235438317e-74,1.4248915676265946e-75,7.3575313333627137e-36,2.6968737394669184e-64,5.3323151832779281e-12,2.563824527646214e-13,9.8823635572445305e-17,1.4425868899113328e-25,9.8823664016945837e-17,1.4182528786264695e-23,2.5228403591652121e-26,1.5946220586677688e-29,8.7280335404047227e-48,5.5151955674363256e-36,2.0873601241339072e-64
2.6445338700486946e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,0.0,3.246589069819389e-40,7.2381728251644525e-29,1.5143761984608381e-50,1.1116800571755626e-37,2.4683910063915385e-87,2.6891130107704851e-18,4.5603091340190823e-80,2.6891124188165885e-18,7.0568078182078909e-54,4.8949355193160461e-45,6.023127402916416e-72,3.6394508090988567e-73,5.8859881000301545e-35,8.6299984789206797e-63,1.0664632620122474e-11,5.1276501418480979e-13,1.9764728459888547e-16,5.7703082726041938e-25,1.9764739847774911e-16,5.6629483161849565e-23,2.0136588302216762e-25,2.5455713179924375e-28,5.5732070725367212e-46,4.4121125138900826e-35,5.3315133727547616e-62
5.2890683005472925e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,0.0,5.1944396951183189e-39,2.8959858552874939e-28,1.9298289232072043e-48,8.89343787993582e-37,1.2582429641613362e-84,5.3782277737572822e-18,2.9185978779948507e-78,5.3782254059419105e-18,1.129088961846082e-52,7.8317891567284392e-44,1.5351145024027705e-69,9.275868124850291e-71,4.7087287149970024e-34,2.761598853456021e-61,2.1329267474119163e-11,1.0255301369846023e-12,3.9529449735297086e-16,2.3080907794511836e-24,3.9529495367262537e-16,2.2571675594082269e-22,1.6035837291402927e-24,4.0548031221101904e-27,3.5510175196397744e-44,3.5296177450618298e-34,1.3588370510247585e-59
1.0578137161544488e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.11866996598730599,0.022821567692028758,0.0,8.3107720372669377e-38,1.1589618056901759e-27,2.4485939265531851e-46,7.1147435413342351e-36,6.3860692808892725e-82,1.075646084668435e-17,1.8679021246396152e-76,1.0756451375426762e-17,1.8065406960849086e-51,1.2530510870987918e-42,3.89561642158241e-67,2.3539105356247487e-68,3.7668831039963682e-33,8.8371084797493739e-60,4.2658537103342905e-11,2.0510603824218511e-12,7.9058858166625779e-16,9.2321006903663658e-24,7.9059041333855038e-16,8.9652048512597501e-22,1.2712409784141866e-23,6.4306707758083617e-26,2.2527127561880778e-42,2.8235777903087059e-33,3.4482528047577767e-57
2.115627488353888e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464665,0.022821567691003228,0.0,1.3296172654628027e-36,4.6402981119705081e-27,3.0801474034181647e-44,5.6917829574420367e-35,3.2134433291919838e-79,2.1512941180327821e-17,1.1954560464252369e-74,2.1512903295333295e-17,2.8904592822839741e-50,2.0047690370855836e-41,9.801122386167885e-65,5.9222880176623156e-66,3.0133462876592671e-32,2.8278691081165644e-58,8.5317076046711886e-11,4.1021208726470036e-12,1.5811753855156782e-15,3.6926299107695374e-23,1.5811827627357701e-15,3.5362965016080885e-21,9.9877797944111351e-23,1.0110631444640208e-24,1.4167743647919535e-40,2.2586756861452627e-32,8.6754364271072886e-55
4.2312550327527663e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932797,0.022821567688952167,0.0,2.1270474945686231e-35,1.8595446725813689e-26,3.8097753474106389e-42,4.5534069428543586e-34,1.5900204311879353e-76,4.3025958598576029e-17,7.6509007737658018e-73,4.3025807058893723e-17,4.6247157316668553e-49,3.2072695560073244e-40,2.4247290026259362e-62,1.465132204112564e-63,2.4104205892782855e-31,9.0491443426332829e-57,1.7063415267313578e-10,8.2042418504999411e-12,3.1623435341249393e-15,1.4768836108638442e-22,3.162373437685968e-15,1.3762021267050051e-20,7.7106272806432015e-22,1.5629038382398159e-23,8.7607108711414012e-39,1.8066420047221029e-31,2.1461691339120853e-52
6.346882577151645e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400929,0.022821567686901106,0.0,7.8283958201228192e-35,3.9564061942081796e-26,2.4645110377084597e-41,1.3517893966461566e-33,1.3400254301056778e-75,6.4539032767589383e-17,4.3439486012359523e-72,6.4538710746201497e-17,1.7496204069534183e-48,1.2227094007518114e-39,1.8046691763203168e-61,1.0904636153334806e-62,6.8918751885221231e-31,4.2213988945600428e-56,2.5595122803924568e-10,1.2306362825755509e-11,4.7435062236636652e-15,3.1381304403293294e-22,4.7435703372039541e-15,2.8699118088548418e-20,2.1602712380465477e-21,5.6583887380435123e-23,4.8302092674374575e-38,5.1653766620380293e-31,1.5973291788860313e-51
1.0578137665949401e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337194,0.022821567682798985,0.0,6.0216573632831525e-34,1.0970786208036638e-25,1.0439337344095603e-39,6.3320133842079592e-33,1.7692243573365379e-73,1.0756540810710861e-16,1.1677679326374691e-70,1.0756451781580695e-16,1.3808072004852228e-47,1.0052618422741267e-38,1.3414982628215579e-59,8.1059402190449925e-61,3.1666649981617588e-30,5.656904647428988e-55,4.2658537373020946e-10,2.0510604765877332e-11,7.9058097666111954e-15,8.6742455284250592e-22,7.9059909096205141e-15,7.5710640040700085e-20,9.3514751816983156e-21,4.1115768347251396e-22,1.1814970507308167e-36,2.3731345006693605e-30,1.1873010366423165e-49
1.4386267245867383e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979833,0.022821567679107077,0.0,1.6581993369121054e-33,1.9572214937159878e-25,4.8709549252389722e-39,1.4611688811816233e-32,9.6946641548339735e-73,1.4628932927341999e-16,5.0706003795099997e-70,1.4628774393207824e-16,3.8749800144731551e-47,2.931560890329645e-38,6.8462972971555336e-59,4.1368411903110877e-60,7.1274007985590416e-30,1.8774810819626847e-54,5.8015610077997123e-10,2.7894422503594995e-11,1.075186531710329e-14,1.5444181751759044e-21,1.0752192331532715e-14,1.3073584826734807e-19,2.0363283035396076e-20,1.1030891316434188e-21,4.9399749753372229e-36,5.3410518352708085e-30,6.0592929367213732e-49
