Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
7.389553308584688e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756444055277474,0.11866698675160751,0.022821496053521722,0.0,1.978706700112187e-19,8.6263927691762725e-18,1.5764593282208793e-19,9.8892855486436022e-22,2.0283948229527665e-46,7.5849801555150393e-13,1.5340060038408997e-48,7.5136717070537282e-13,8.8271860090428242e-33,1.5760721700526592e-23,6.0640904064255598e-36,3.635698445970932e-37,6.6228582927976512e-18,1.2252992997852986e-36,2.9792223457547778e-06,1.432790364265615e-07,4.3464405098145536e-11,2.8702872789227335e-14,9.0560672042322084e-11,1.7466086689744773e-19,3.0090378945090698e-15,3.2839886891274082e-14,1.1753330444341929e-11,8.6162740582794561e-19
7.5099363682371e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756438969404789,0.11866693822896898,0.022821494886456413,0.0,2.090576343222951e-19,8.8987477842786715e-18,1.7026321570261313e-19,1.0322944165654824e-21,2.265171923763925e-46,7.7095374842352068e-13,1.6838770540266116e-48,7.6360697457603599e-13,9.3746032088852682e-33,1.672903084947404e-23,6.660687405960658e-36,3.9928825610516177e-37,6.9385383536516575e-18,1.3234406017065663e-36,3.0277440712565677e-06,1.4561316617000614e-07,4.4008064639768672e-11,2.9571131629365908e-14,9.2530854609358242e-11,1.8123504116430574e-19,3.0468156303892927e-15,3.3251416345883701e-14,1.2109796905198009e-11,9.1495965802086933e-19
7.630319427889513e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756433883571635,0.11866688970673829,0.02282149371939152,0.0,2.2066174716855196e-19,9.1750182018675918e-18,1.8365447179742205e-19,1.0767406407566643e-21,2.5250358775140226e-46,7.8341213490531881e-13,1.84554990663307e-48,7.7584675681180146e-13,9.9458031019554874e-33,1.7738720192999596e-23,7.3047039280964765e-36,4.378399844390445e-37,7.263683929706621e-18,1.4276138831537535e-36,3.0762653889058085e-06,1.4794729507997315e-07,4.4547320303460625e-11,3.0450133237747695e-14,9.4514303381083699e-11,1.8792492784404654e-19,3.0841152094840895e-15,3.3659804025597245e-14,1.2470685500511104e-11,9.7059814061240416e-19
7.750702487541926e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756428797778038,0.11866684118491544,0.022821492552327034,0.0,2.3269027374412065e-19,9.455191291324767e-18,1.9785289411166527e-19,1.122271596386034e-21,2.8098095116024494e-46,7.9587315344310519e-13,2.0197357421839314e-48,7.8808651745014094e-13,1.054137211051936e-32,1.8790770172565528e-23,7.9990367147646008e-36,4.7939756641681013e-37,7.5984109066723873e-18,1.5380790737483785e-36,3.124786298705928e-06,1.5028142315655325e-07,4.5082207891716464e-11,3.1339792039383283e-14,9.6510910777463174e-11,1.9472980153057261e-19,3.1212608177934855e-15,3.4064724133532906e-14,1.2835960450847067e-11,1.0285989036619535e-18
7.871085547194338e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756423712024003,0.11866679266350039,0.022821491385262963,0.0,2.4515043540592441e-19,9.7392547002575764e-18,2.1289244561587528e-19,1.1688914151338363e-21,3.1214226472947053e-46,8.0833678265197595e-13,2.2071744379663728e-48,8.0032625652823545e-13,1.1161898847140366e-32,1.9886163288038785e-23,8.746702247435223e-36,5.2414063040440093e-37,7.9428342813518928e-18,1.6551022226522903e-36,3.1733068006603582e-06,1.5261555039983629e-07,4.5612762926490259e-11,3.2240023283913671e-14,9.8520570701936956e-11,2.016489310948645e-19,3.1578641307077874e-15,3.446663274934828e-14,1.3205586187777064e-11,1.0890181647070723e-18
7.991468606846751e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756418626309531,0.11866674414249317,0.022821490218199306,0.0,2.5804940843663297e-19,1.0027195847354756e-17,2.2880787793294724e-19,1.21660399111227e-21,3.4619185132049928e-46,8.2080300131834032e-13,2.4086358001070581e-48,8.1256597408296966e-13,1.1807974048369148e-32,2.1025883940449197e-23,9.5508419424872501e-36,5.7225620158693866e-37,8.2970681496417574e-18,1.7789556514807764e-36,3.2218268947725268e-06,1.5494967680991145e-07,4.613902064516607e-11,3.3150742867702102e-14,1.0054317707864614e-10,2.0868158025605873e-19,3.1944602821300658e-15,3.4864970843088785e-14,1.3579527518920946e-11,1.1519122992071752e-18
8.111851666499164e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756413540634644,0.11866669562189379,0.022821489051136054,0.0,2.7139432301428211e-19,1.0319002705629372e-17,2.4563474687937955e-19,1.265412981371386e-21,3.8334599743840575e-46,8.3327178840164884e-13,2.6249206923104329e-48,8.2480567015092975e-13,1.2480190498568951e-32,2.2210918257772526e-23,1.0414726971590626e-35,6.2393898482111102e-37,8.6612256979486424e-18,1.9099180824846867e-36,3.270346581045864e-06,1.5728380238686717e-07,4.6661015997689635e-11,3.4071867543426391e-14,1.0257862575404076e-10,2.1582700813541028e-19,3.230405852817408e-15,3.5260475164518698e-14,1.3957749421936361e-11,1.2173378333800914e-18
8.232234726151576e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756408454999348,0.11866664710170223,0.022821487884073219,0.0,2.8519226282562599e-19,1.061466282333155e-17,2.6340941674165038e-19,1.3153218102748498e-21,4.2383346690597799e-46,8.4574312303351166e-13,2.8568617890282535e-48,8.3704534476840523e-13,1.3179142911762321e-32,2.3442253896342726e-23,1.1341761580212342e-35,6.7939155841101015e-37,9.0354192084087655e-18,2.048274677673672e-36,3.3188658594837994e-06,1.5961792713079125e-07,4.7178783648030883e-11,3.5003314662043789e-14,1.0462681212499976e-10,2.2308446993729423e-19,3.2665089972129671e-15,3.5652285639853597e-14,1.434021730553337e-11,1.2853514304507319e-18
8.352617785803989e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756403369403654,0.11866659858191846,0.022821486717010789,0.0,2.9945026499397022e-19,1.0914164538936931e-17,2.8216905932949605e-19,1.3663336756331736e-21,4.6789596992841872e-46,8.5821698451564386e-13,3.1053241588584796e-48,8.492849979713915e-13,1.3905427796244901e-32,2.4720879799702021e-23,1.233548572018923e-35,7.3882452716678818e-37,9.4197600703830998e-18,2.1943170366578058e-36,3.3673847300897618e-06,1.6195205104177044e-07,4.7692357977598653e-11,3.5945002501250762e-14,1.0668763407030379e-10,2.3045321766439307e-19,3.3017604680228516e-15,3.6041541419002722e-14,1.4726896678990206e-11,1.356009879567608e-18
8.473000845456402e-12,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756398283847572,0.11866655006254251,0.022821485549948776,0.0,3.1417532001530128e-19,1.1217495457921514e-17,3.0195165350378589e-19,1.4184515545302923e-21,5.157886496764485e-46,8.706933523179783e-13,3.3712058713078643e-48,8.6152462979559403e-13,1.465964332490046e-32,2.6047785996096089e-23,1.3399577774432714e-35,8.0245668080203635e-37,9.814358791144178e-18,2.3483431982972127e-36,3.4159031928671817e-06,1.642861741198912e-07,4.8201773088374039e-11,3.6896849835935781e-14,1.0876098826115512e-10,2.3793250078111262e-19,3.3374241414730614e-15,3.642688017403178e-14,1.5117753559197802e-11,1.4293700798173424e-18
