Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176)
1.1459428181271293e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33710858571391583,0.11822081190741342,0.022821567693054285,0.0,4.5126131263074247e-26,1.062963990704466e-10,0.0,6.2116523284882077e-10,0.0,1.3859712197182467e-07,4.6950386183466851e-27,2.3256382986970052e-10,9.7971034066923314e-19,8.2974134528794102e-31,0.0,0.0,7.2182697280038654e-23,2.3171919269922964e-20,0.00044411691173111805,9.9632029846380949e-06,2.4341257495565759e-06,5.3916930546597923e-11,2.4631917018026364e-06
1.1560323320641625e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33710467737120414,0.1182170135672289,0.022821567693054285,0.0,4.7372085430903006e-26,1.0966933550271949e-10,0.0,6.3245895983303776e-10,0.0,1.4051262464355763e-07,4.9453639667837559e-27,2.3592701079923013e-10,1.0077902477998343e-18,8.8346173107754198e-31,0.0,0.0,7.512524264521353e-23,2.4070225131507148e-20,0.00044787144678684745,1.007514360190988e-05,2.4419197628782692e-06,5.4370114530714438e-11,2.4972642739726781e-06
1.1661218460011956e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33710077148728984,0.1182132178833801,0.022821567693054285,0.0,4.9709113607164076e-26,1.1311810178840448e-10,0.0,6.4382442751173943e-10,0.0,1.4243414618085412e-07,5.206365816515215e-27,2.3931622483700074e-10,1.0363756017010162e-18,9.4013072971147406e-31,0.0,0.0,7.8160717143188975e-23,2.4994143271015959e-20,0.00045162333692962229,1.0187287919941175e-05,2.4495885391017226e-06,5.4825981163461674e-11,2.5314444954221593e-06
1.1762113599382287e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33709686806373762,0.11820942485402762,0.022821567693054285,0.0,5.2140075447076591e-26,1.1664367987743833e-10,0.0,6.5526070393261328e-10,0.0,1.4436158849493791e-07,5.4783829530995275e-27,2.4273151596525456e-10,1.0654695283627213e-18,9.9988119539520036e-31,0.0,0.0,8.1291199368914073e-23,2.5944132025217473e-20,0.00045537258402150352,1.0299632434519751e-05,2.4571338953266887e-06,5.5284577016276007e-11,2.5657306263362223e-06
1.1863008738752618e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33709296710206305,0.11820563447733258,0.022821567693054285,0.0,5.4667894127636446e-26,1.2024705386683205e-10,0.0,6.6676686323196509e-10,0.0,1.4629485492078143e-07,5.761761002761744e-27,2.4617292733457773e-10,1.0950751116930506e-18,1.0628506532778447e-30,0.0,0.0,8.4518794663456499e-23,2.6920652537713921e-20,0.00045911918992327727,1.0412173692671817e-05,2.4645576226340142e-06,5.5745947838286677e-11,2.6001209521755265e-06
1.196390387812295e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3370890686037335,0.11820184675145672,0.022821567693054285,0.0,5.7295557156245879e-26,1.2392920993940401e-10,0.0,6.7834198577050924e-10,0.0,1.4823385019671833e-07,6.0568524792735952e-27,2.4964050127609286e-10,1.1251953938014396e-18,1.1291814163080796e-30,0.0,0.0,8.7845635170913663e-23,2.7924168721027442e-20,0.00046286315649445551,1.0524908291927036e-05,2.4718614864574218e-06,5.6210138567876093e-11,2.63461378331397e-06
1.206479901749328e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33708517257016807,0.11819806167456241,0.022821567693054285,0.0,6.0026117180936435e-26,1.2769113630346332e-10,0.0,6.8998515826073009e-10,0.0,1.5017848044434642e-07,6.3640168299483877e-27,2.5313427931347724e-10,1.1558333752876154e-18,1.1990207037505684e-30,0.0,0.0,9.1273879893663703e-23,2.8955147218944558e-20,0.00046660448559327655,1.0637832879593923e-05,2.4790472269499037e-06,5.6677193344126923e-11,2.6692074546816082e-06
1.2165694156863612e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33708127900273915,0.11819427924481254,0.022821567693054285,0.0,6.286269280213639e-26,1.3153382313343356e-10,0.0,7.0169547388612135e-10,0.0,1.5212865314871891e-07,6.683620480754408e-27,2.5665430217480808e-10,1.1869920155359561e-18,1.2725207613654017e-30,0.0,0.0,9.4805714745981914e-23,3.001405736912434e-20,0.00047034317907670477,1.0750944152045563e-05,2.4861165593448172e-06,5.7147155518155129e-11,2.7039003254126667e-06
1.2266589296233944e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33707738790277253,0.11819049946037075,0.022821567693054285,0.0,6.5808469385931621e-26,1.3545826251141034e-10,0.0,7.134720324126025e-10,0.0,1.54084277138818e-07,7.0160368805514974e-27,2.602006098042379e-10,1.218674233014907e-18,1.3498389832515459e-30,0.0,0.0,9.8443352606048361e-23,3.1101371165974921e-20,0.00047407923880043149,1.0864238854015439e-05,2.4930711743117549e-06,5.7620067664328819e-11,2.7386907784985949e-06
1.2367484435604275e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33707349927154828,0.11818672231940122,0.022821567693054285,0.0,6.8866699878770391e-26,1.3946544836964232e-10,0.0,7.2531394029240537e-10,0.0,1.5604526256830753e-07,7.3616465444557794e-27,2.637732413735022e-10,1.2508829055811002e-18,1.4311380353552202e-30,0.0,0.0,1.0218903336637361e-22,3.2217563223802986e-20,0.00047781266661887467,1.0977713777903309e-05,2.4999127383072725e-06,5.8095971591372783e-11,2.7735772204460725e-06
1.2468379574974606e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33706961311030176,0.11818294782006879,0.022821567693054285,0.0,7.2040705623564304e-26,1.4355637643392866e-10,0.0,7.3722031076070786e-10,0.0,1.5801152089655992e-07,7.7208370963374388e-27,2.6737223529326164e-10,1.2836208707878559e-18,1.5165859806446209e-30,0.0,0.0,1.0604502398266718e-22,3.336311074024009e-20,0.00048154346438517975,1.1091365763090869e-05,2.5066428939205566e-06,5.8574908353357974e-11,2.8085580809399085e-06
1.2569274714344937e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33706572942022373,0.11817917596053899,0.022821567693054285,0.0,7.5333877177139114e-26,1.4773204416792325e-10,0.0,7.4919026392528178e-10,0.0,1.5998296486995473e-07,8.0940033104566104e-27,2.7099762922428241e-10,1.3168909261977556e-18,1.606356405952511e-30,0.0,0.0,1.1001361852117303e-22,3.4538493459949625e-20,0.00048527163395121976,1.1205191695267177e-05,2.5132632602140993e-06,5.9056918260576167e-11,2.8436318125107498e-06
1.2670169853715269e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33706184820246116,0.118175406738978,0.022821567693054285,0.0,7.8749675128988446e-26,1.5199345071833856e-10,0.0,7.612229268494104e-10,0.0,1.6195950850344339e-07,8.4815471522427395e-27,2.7464946008845451e-10,1.3506958296989797e-18,1.7006285504877905e-30,0.0,0.0,1.1409713820449716e-22,3.5744193638618289e-20,0.00048899717716759572,1.1319188505763638e-05,2.5197754330594585e-06,5.9542040890299402e-11,2.8787968902075373e-06
1.27710649930856e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33705796945811828,0.11817164015355262,0.022821567693054285,0.0,8.2291630921285691e-26,1.5634159686103897e-10,0.0,7.733174336283346e-10,0.0,1.6394106706237731e-07,8.8838778182233188e-27,2.7832776407965298e-10,1.3850382998251232e-18,1.7995874360168119e-30,0.0,0.0,1.1829793145595153e-22,3.6980696007234883e-20,0.00049272009588363717,1.1433353170898441e-05,2.5261809854681835e-06,6.0030315097424356e-11,2.9140518112746513e-06
