Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23)
7.083759439423812e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32093393525739239,0.11283498916798772,0.01723302035094175,0.0,3.1605722848618594e-07,0.00040302468833457649,0.00021658169186850572,1.3606402649177254e-08,3.9352226778906579e-19,2.0669193932028929e-05,1.122143574936203e-18,1.1270132895384037e-07,3.0365105811769466e-15,4.4939991489462301e-11,3.1123820044103103e-14,1.0588140763032136e-16,8.7138546440059837e-11,3.3547828452581971e-14,0.005597155279324399,0.010960176505966306,1.5080467424289383e-07,2.0139624349447856e-08,6.9766662310119165e-05,8.9962167491745196e-11,2.3142222347017114e-07,1.6097993662378456e-07,1.4220638807687912e-10,5.9659011594423608e-06,1.5221254148635215e-11
7.096523314575221e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32091796047550453,0.11283452732076532,0.017224576908222832,0.0,3.1804681363703839e-07,0.00040441516576012788,0.00021729799600486217,1.3697644986031208e-08,3.9659388924398314e-19,2.0717081369769404e-05,1.1365499480353355e-18,1.1285669942873783e-07,3.061971728785142e-15,4.5217202503322336e-11,3.1270532341693935e-14,1.064860087721921e-16,8.744361187886461e-11,3.3896542329570256e-14,0.0055968522996127168,0.010976345040314738,1.5101232396098419e-07,2.0195884024532933e-08,6.9855040628395533e-05,9.0173778326345415e-11,2.3169128266345748e-07,1.6095518086902864e-07,1.4263878052829118e-10,5.9862411420020751e-06,1.5314658388810851e-11
7.109287189726631e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32090199649091217,0.11283406440302422,0.017216138442088323,0.0,3.2004534870543574e-07,0.00040580751857458551,0.00021801524529630516,1.3789299729200169e-08,3.9968386573838471e-19,2.0764955559615758e-05,1.1511105980591384e-18,1.1301198751063433e-07,3.0875914702178592e-15,4.5495570724147157e-11,3.1417645928420504e-14,1.0709308304580763e-16,8.7749065774884552e-11,3.424817704215128e-14,0.0055965494582593958,0.010992502667342413,1.5121973986388481e-07,2.0252188188610244e-08,6.9943365067119253e-05,9.0385458108288501e-11,2.3196003905539058e-07,1.6093038839470669e-07,1.4307166001859655e-10,6.0066071989992688e-06,1.5408468899001092e-11
7.122051064878041e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32088604329473747,0.11283360041618083,0.017207704948668325,0.0,3.220528575061162e-07,0.00040720174428494498,0.00021873343854246101,1.3881367689573101e-08,4.0279227271869806e-19,2.0812816363204935e-05,1.1658268280799221e-18,1.1316719337725967e-07,3.1133704055018546e-15,4.5775098468621957e-11,3.1565161021324076e-14,1.0770263687001737e-16,8.8054907366933977e-11,3.4602750761644676e-14,0.0055962467551846796,0.011008649395965813,1.5142692203579003e-07,2.0308536737860215e-08,7.0031635706251319e-05,9.0597206464392901e-11,2.3222849287609443e-07,1.6090555930908668e-07,1.4350502581831282e-10,6.026999291089213e-06,1.5502686697965938e-11
7.134814940029451e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32087010087811185,0.1128331353616502,0.017199276424096986,0.0,3.2406936386784051e-07,0.00040859784039995765,0.00021945257454361724,1.3973849676055719e-08,4.0591918578966801e-19,2.0860663642815364e-05,1.1806999489005476e-18,1.1332231720522271e-07,3.1393091349238511e-15,4.6055788051078408e-11,3.1713077836314877e-14,1.0831467667125943e-16,8.8361135894746206e-11,3.4960281728004676e-14,0.0055959441903088904,0.011024785235092588,1.516338705614762e-07,2.0364929568790077e-08,7.0119852625418386e-05,9.0809022903630866e-11,2.3249664436017119e-07,1.6088069371569866e-07,1.4393887719998659e-10,6.0474173789641107e-06,1.5597312805104344e-11
7.14757881518086e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32085416923217591,0.11283266924084603,0.017190852864512544,0.0,3.2609489163332382e-07,0.00040999580443013391,0.00022017265210072417,1.4066746495565623e-08,4.0906468071425822e-19,2.0908497261364762e-05,1.1957312790761408e-18,1.1347735917002243e-07,3.1654082590232693e-15,4.6337641783486309e-11,3.1861396588174537e-14,1.0892920888354697e-16,8.8667750598974674e-11,3.5320788249849476e-14,0.0055956417635524116,0.011040910193621606,1.5184058552615748e-07,2.0421366578004929e-08,7.0208015903919447e-05,9.102090696792231e-11,2.3276449374288341e-07,1.6085579171874182e-07,1.443732134365621e-10,6.067861423353119e-06,1.5692348240193017e-11
7.16034269033227e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32083824834807878,0.11283220205518067,0.01718243426605727,0.0,3.2812946465915895e-07,0.00041139563388774584,0.00022089367001539969,1.416005895302752e-08,4.1222883341355011e-19,2.0956317082407898e-05,1.210922144935735e-18,1.1363231944605834e-07,3.1916683785849685e-15,4.6620661975445115e-11,3.2010117490558435e-14,1.0954623994845466e-16,8.8974750721193928e-11,3.5684288704489654e-14,0.0055953394748356981,0.011057024280442926,1.5204706701600724e-07,2.0477847662174208e-08,7.029612562073306e-05,9.1232858315058542e-11,2.33032041253852e-07,1.6083085342652772e-07,1.4480803380030302e-10,6.0883313850223791e-06,1.5787794023126177e-11
7.17310656548368e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32082233821697903,0.11283173380606512,0.017174020624877512,0.0,3.3017310681574968e-07,0.00041279732628683079,0.00022161562708993129,1.4253787851368454e-08,4.1541171996664276e-19,2.1004122970134459e-05,1.2262738806038404e-18,1.1378719820664143e-07,3.2180900946319962e-15,4.6904850934176201e-11,3.2159240755998011e-14,1.1016577631510476e-16,8.928213550390054e-11,3.6050801537955897e-14,0.0055950373240792745,0.011073127504437818,1.5225331511783452e-07,2.0534372718346527e-08,7.0384181854510802e-05,9.1444876450826766e-11,2.332992871270503e-07,1.608058789426014e-07,1.4524333756575973e-10,6.1088272247750372e-06,1.5883651174496192e-11
7.184594053119948e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32080802828550176,0.11283131147377622,0.017166452583104494,0.0,3.3202015860344106e-07,0.00041406044020774304,0.00022226619044931771,1.4338500578832572e-08,4.1829239831605727e-19,2.1047136244365342e-05,1.2402290953441933e-18,1.1392651953782644e-07,3.2420083010010459e-15,4.7161622197620157e-11,3.2293795890059767e-14,1.1072550641435059e-16,8.9559110067720465e-11,3.6383253973014558e-14,0.0055947655062889125,0.011087611125649934,1.5243873893466892e-07,2.0585282779943715e-08,7.0463386801662795e-05,9.1635749487886507e-11,2.3353955070671532e-07,1.6078337104926813e-07,1.4563552366390297e-10,6.1272955739473662e-06,1.5970275174600257e-11
7.196081540756217e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32079372705036496,0.11283088828226109,0.017158888550802824,0.0,3.3387459315403828e-07,0.00041532505928927707,0.00022291751268639916,1.4423551854667758e-08,4.2118836852308986e-19,2.1090138025000046e-05,1.2543166852046e-18,1.1406577510583452e-07,3.2660583260054142e-15,4.7419343707663468e-11,3.2428677262795832e-14,1.1128727574991374e-16,8.9836395042786127e-11,3.6718174975910719e-14,0.0055944938001242246,0.01110208596162145,1.5262397384185714e-07,2.0636228300582198e-08,7.054254854789476e-05,9.1826675997803152e-11,2.3377957031784363e-07,1.6076083400373311e-07,1.460281002011041e-10,6.1457848241254478e-06,1.605723395448535e-11
