Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70)
8.586438820417456e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4247138903744214,0.05091378294075346,0.001735908510453692,2.1092645461931546e-06,0.00037113136432058175,0.1225216522389666,0.04178788636014278,1.81951650509659e-05,1.51186026187834e-09,0.0012583876278507709,3.1872086054376014e-11,0.0006417834954215877,2.6857348160300206e-09,7.646887636217289e-07,4.876262554530508e-09,1.5693492749401393e-10,2.559317546832752e-06,3.7545570474169816e-05,0.0035082703642212174,4.43659742769138e-07,0.0007669584920162696,2.326248276557336e-11,5.434528963177886e-10,4.023341703844897e-08,1.0892251991058185e-07,0.0007958779901015604,0.02016137398264313,2.662805094032576e-06,0.0023533836153148534,5.941711660781301e-05,3.740190297809464e-09,1.2416972111878793e-07,6.745276574483909e-10,1.5030489629742327e-06,1.595991910556406e-08,1.3159046352367478e-10,4.1217824479965305e-06,2.753937633424706e-13,1.0161383634506338e-11
8.59741510417822e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42467232165142255,0.05086433404364465,0.0017305010734066303,2.1067176958133786e-06,0.0003709950446141923,0.12262686217982655,0.04179885877790137,1.8163014929062458e-05,1.514708785319139e-09,0.0012572774523086942,3.184454666337594e-11,0.0006419367728594919,2.6857901310808e-09,7.617102295745702e-07,4.878705955924263e-09,1.5684835412217388e-10,2.5517054795032334e-06,3.7568822372687584e-05,0.003504519651814756,4.4205052728189947e-07,0.0007672036855157869,2.3189399291626834e-11,5.41282062818915e-10,4.032968242067329e-08,1.0923690298764398e-07,0.0007978420758115684,0.020202691808179497,2.663234706460947e-06,0.0023551745436473197,5.945391382274602e-05,3.73652487776517e-09,1.2419016866572375e-07,6.749182202484691e-10,1.4986747852833646e-06,1.5952497535702244e-08,1.3150889348532071e-10,4.123944046544029e-06,2.7501007884917456e-13,1.0166681401899482e-11
8.608391387938983e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42463077085567735,0.05081493456770413,0.0017251114633912118,2.1041741591950315e-06,0.00037085826599019163,0.12273196636044786,0.04180979593721104,1.8130923228153873e-05,1.5175562420881574e-09,0.0012561683091528563,3.181704026465342e-11,0.0006420898486178587,2.685846103818677e-09,7.587438573871321e-07,4.881144319691707e-09,1.5676166329883158e-10,2.544117918282858e-06,3.7592035452940465e-05,0.0035007731586305345,4.404505993192646e-07,0.0007674483927267371,2.3116707179400914e-11,5.391202305602184e-10,4.0426078885996614e-08,1.095514617085652e-07,0.000799806280012748,0.020243990180356528,2.663662079739033e-06,0.0023569631440489547,5.949064960603438e-05,3.732863329092359e-09,1.2421051032769028e-07,6.753079050330027e-10,1.4943136795471363e-06,1.5945058052495208e-08,1.3142725966264677e-10,4.1261010220602874e-06,2.746272164141406e-13,1.0171967863140697e-11
8.619367671699747e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.424589238054169,0.050765584462815504,0.0017197396182666144,2.10163393176109e-06,0.00037072103069585695,0.12283696488760402,0.04182069796034753,1.8098889836687016e-05,1.5204026258135518e-09,0.0012550601972994536,3.178956680465299e-11,0.0006422427230684684,2.6859027337759173e-09,7.557895957997704e-07,4.883577658798613e-09,1.566748559073105e-10,2.5365547803513415e-06,3.76152098250777e-05,0.003497030880344417,4.388598906664882e-07,0.0007676926148386821,2.304440369321226e-11,5.369673607639109e-10,4.052260601508685e-08,1.0986619500545151e-07,0.0008017705973301616,0.020285269037471267,2.6640872226852963e-06,0.0023587494197951195,5.952732413197986e-05,3.7292056478535706e-09,1.242307465225955e-07,6.756967139115867e-10,1.4899656065514221e-06,1.5937600760086694e-08,1.3134556270446516e-10,4.1282533889257586e-06,2.742451725524504e-13,1.0177243053510486e-11
8.63034395546051e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.424547723313494,0.05071628367891388,0.0017143854761188127,2.099097008940058e-06,0.0003705833409707892,0.1229418578679657,0.041831564969139465,1.8066914643355987e-05,1.5232479301545152e-09,0.0012539531156666632,3.176212623005407e-11,0.0006423953965820283,2.685960020488734e-09,7.5284739377075e-07,4.886005986162095e-09,1.5658793282691588e-10,2.5290159831714605e-06,3.7638345599034146e-05,0.003493292812632649,4.3727833371921175e-07,0.0007679363530374831,2.2972486132507112e-11,5.348234148628147e-10,4.061926338865625e-08,1.1018110181251864e-07,0.0008037350224086361,0.020326528318194387,2.664510144123652e-06,0.0023605333741569504,5.9563937574740134e-05,3.7255518300686646e-09,1.2425087766263088e-07,6.760846489655715e-10,1.4856305271922702e-06,1.593012576236774e-08,1.3126380325486195e-10,4.130401161497614e-06,2.7386394381655877e-13,1.0182507008193226e-11
8.640222610845197e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4245103755436312,0.050671955101509035,0.0017095818332411006,2.0968166000712847e-06,0.00037045903352481347,0.12303617139586344,0.04184131544011998,1.8038186636968483e-05,1.5258077759719615e-09,0.001252957622143237,3.173745778605119e-11,0.0006425326312485941,2.6860121396936614e-09,7.502096808559187e-07,4.888187206415475e-09,1.5650960386409173e-10,2.522251809062596e-06,3.765913488502164e-05,0.0034899321481598796,4.3586270178674966e-07,0.0007681553046476922,2.29080881304141e-11,5.329014616813786e-10,4.07063660382126e-08,1.1046466541129365e-07,0.000805503092702717,0.020363644882643566,2.664888881284184e-06,0.0023621369509993014,5.9596837590743545e-05,3.7222666940761485e-09,1.2426890621302753e-07,6.764330451985288e-10,1.4817400330974859e-06,1.5923383211735734e-08,1.3119016685292128e-10,4.132330240538708e-06,2.7352153207479374e-13,1.0187234990011856e-11
8.649113400691416e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42447677514432364,0.050632093474351395,0.0017052707350808161,2.0947665147888576e-06,0.0003703468449937734,0.12312098061249716,0.04185006677177448,1.801237159264377e-05,1.5281108815251984e-09,0.0012520623900540329,3.171527889260689e-11,0.0006426560037676945,2.6860595012447906e-09,7.478440253766704e-07,4.890146850447605e-09,1.5643902880860835e-10,2.516180803180364e-06,3.767781865348453e-05,0.003486910460568873,4.3459488461898104e-07,0.0007683520274918005,2.2850393775859614e-11,5.311778343667945e-10,4.0784848081704105e-08,1.10719991438566e-07,0.0008070944236943218,0.020397036154280915,2.665228217562225e-06,0.0023635785667114988,5.962640552700149e-05,3.7193127422254433e-09,1.2428505969059904e-07,6.767459994029014e-10,1.4782475367154108e-06,1.5917302787971252e-08,1.3112385164399918e-10,4.134063248448348e-06,2.732139216104076e-13,1.01914824379141e-11
8.658004190537636e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4244431867118802,0.05059226411784476,0.0017009711424979977,2.0927185895528502e-06,0.00037023436226774905,0.12320572076920859,0.04185879534567488,1.798659453501759e-05,1.5304132677215175e-09,0.0012511678319755098,3.169312148122764e-11,0.0006427792451076616,2.6861072929152732e-09,7.454861921299713e-07,4.892103229149504e-09,1.5636837939998368e-10,2.5101256214352542e-06,3.7696477292839494e-05,0.003483891527849337,4.333329536519562e-07,0.0007685484349371896,2.27929479335907e-11,5.294599939352916e-10,4.086341483468101e-08,1.1097542941814439e-07,0.000808685815924774,0.020430414474025483,2.6655661118563854e-06,0.0023650186651661066,5.9655933695373686e-05,3.7163613181849394e-09,1.2430114497751852e-07,6.770583840625251e-10,1.4747634962904306e-06,1.5911210930953835e-08,1.3105749657266165e-10,4.135793267493264e-06,2.729068399089839e-13,1.0195722576545196e-11
8.666894980383855e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42440961028095747,0.05055246700548119,0.0016966830230209827,2.0906728219444224e-06,0.0003701215865223072,0.123290391922491,0.041867501225714275,1.796085540540909e-05,1.5327149312504107e-09,0.0012502739473365145,3.167098552401907e-11,0.0006429023554634796,2.6861555144846778e-09,7.431361544048995e-07,4.894056349326543e-09,1.5629765609786489e-10,2.50408622050347e-06,3.771511086131354e-05,0.0034808753477043133,4.320768741025976e-07,0.0007687445276072294,2.27357492430957e-11,5.277479201833678e-10,4.0942066075241895e-08,1.1123097878794808e-07,0.000810277266582794,0.020463779809998188,2.6659025687877666e-06,0.002366457248093563,5.968542218792352e-05,3.71341241987096e-09,1.2431716229375102e-07,6.773702003271521e-10,1.471287891251798e-06,1.5905107695038473e-08,1.3099110197689383e-10,4.137520305258843e-06,2.7260028519713295e-13,1.0199955424541878e-11
8.675785770230074e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42437604588604894,0.05051270211077474,0.0016924063442740995,2.0886292095471216e-06,0.0003700085189297527,0.12337499412879377,0.041876184475596614,1.7935154145242466e-05,1.535015868814567e-09,0.0012493807355667312,3.1648870993184926e-11,0.0006430253350296819,2.686204165731507e-09,7.407938855826224e-07,4.896006217767267e-09,1.5622685936020246e-10,2.498062557181327e-06,3.773371941701881e-05,0.003477861917837061,4.3082661143837464e-07,0.0007689403061237326,2.2678796308320994e-11,5.260415930111452e-10,4.102080158121729e-08,1.1148663898647239e-07,0.000811868772864831,0.02049713213047839,2.666237592952061e-06,0.0023678943172225526,5.971487109667521e-05,3.710466045186102e-09,1.243331118553656e-07,6.77681449287365e-10,1.4678207010757626e-06,1.5898993134496818e-08,1.309246681916811e-10,4.139244369320478e-06,2.722942556925818e-13,1.020418100047216e-11
8.684676560076294e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42434249356148485,0.05047296940726155,0.0016881410739773752,2.0865877499468854e-06,0.0003698951606591376,0.12345952744452224,0.041884845158837156,1.7909490696046632e-05,1.5373160771298404e-09,0.0012484881960966813,3.162677786102646e-11,0.0006431481840003522,2.6862532464373105e-09,7.384593591360949e-07,4.897952841238401e-09,1.5615598964325564e-10,2.492054588384948e-06,3.7752303018009305e-05,0.003474851235951073,4.295821313750307e-07,0.0007691357711071396,2.2622087756022912e-11,5.243409923896848e-10,4.109962113065e-08,1.117424094532445e-07,0.0008134603319754933,0.020530471403902864,2.6665711889394643e-06,0.002369329874279956,5.974428051355716e-05,3.7075221920308964e-09,1.2434899387793168e-07,6.779921320430381e-10,1.4643619052854991e-06,1.5892867303434938e-08,1.3085819555084994e-10,4.140965467243588e-06,2.719887496300952e-13,1.0208399322884696e-11
8.693567349922513e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42430895334143365,0.0504332688684997,0.001683887179946249,2.0845484407320415e-06,0.00036978151287626773,0.123543991926038,0.04189348333876306,1.788386499945502e-05,1.5396155529252214e-09,0.0012475963283577196,3.1604706099941566e-11,0.0006432709025691273,2.6863027563953343e-09,7.36132548629755e-07,4.899896226498378e-09,1.5608504740159752e-10,2.486062271149948e-06,3.777086172234872e-05,0.003471843299750072,4.283433998744651e-07,0.0007693309231763711,2.256562226573707e-11,5.226460983252427e-10,4.11785245021312e-08,1.1199828962903327e-07,0.0008150519411270126,0.02056379759886582,2.6669033613307004e-06,0.0023707639209908397,5.977365053033413e-05,3.704580858329545e-09,1.2436480858031377e-07,6.78302249753665e-10,1.460911483451026e-06,1.5886730255687326e-08,1.3079168438879325e-10,4.142683606583628e-06,2.7168376527222293e-13,1.021261041035477e-11
8.702458139768732e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42427542525990186,0.0503936004680693,0.0016796446300912813,2.082511279493312e-06,0.000369667576743711,0.12362838762965893,0.04190209907851409,1.785827699720529e-05,1.5419142929428096e-09,0.0012467051317820344,3.1582655682424506e-11,0.0006433934909292003,2.686352695397484e-09,7.338134277192219e-07,4.901836380291905e-09,1.5601403308812085e-10,2.4800855626311324e-06,3.778939558797369e-05,0.0034688381069380328,4.2711038314278607e-07,0.0007695257629487479,2.2509398467917128e-11,5.209568909340563e-10,4.12575114738765e-08,1.1225427895506898e-07,0.0008166435975391695,0.020597110684118375,2.6672341146768318e-06,0.002372196459078498,5.980298123874406e-05,3.701642041989905e-09,1.2438055617673272e-07,6.786118035038854e-10,1.4574694151891312e-06,1.5880582045024993e-08,1.307251350365061e-10,4.144398794886092e-06,2.713793008665159e-13,1.021681428137804e-11
8.711348929614952e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4242419093507352,0.0503539641795724,0.0016754133924178662,2.080476263823811e-06,0.00036955335342080456,0.12371271461165892,0.04191069244104299,1.783272663113912e-05,1.5442122939377785e-09,0.0012458146058026407,3.1560626581065615e-11,0.0006435159492733174,2.6864030632359232e-09,7.31501970150994e-07,4.903773309339777e-09,1.559429471540455e-10,2.4741244201021846e-06,3.780790467274291e-05,0.0034658356552191853,4.2588304762807725e-07,0.0007697202910401732,2.2453415006114184e-11,5.192733504128548e-10,4.133658182421522e-08,1.1251037687352566e-07,0.0008182352984399132,0.020630410628567387,2.6675634535243155e-06,0.002373627490264447,5.983227273044898e-05,3.6987057409104917e-09,1.243962368798101e-07,6.789207943722244e-10,1.4540356801632946e-06,1.587442272508536e-08,1.3065854782333664e-10,4.146111039686507e-06,2.71075354673807e-13,1.0221010954417484e-11
8.720239719461171e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42420840564761847,0.05031435997663303,0.001671193435025944,2.078443391319049e-06,0.0003694388440636629,0.12379697292826795,0.0419192634891162,1.7807213843201926e-05,1.5465095526783522e-09,0.001244924749853384,3.153861876855049e-11,0.0006436382777937827,2.6864538597169167e-09,7.29198149762148e-07,4.905707020352696e-09,1.5587179004892276e-10,2.4681788009553643e-06,3.782638903455514e-05,0.0034628359422980213,4.2466136001831116e-07,0.0007699145080651473,2.2397670600712507e-11,5.175954569759394e-10,4.14157353322383e-08,1.1276658282803277e-07,0.0008198270410648943,0.020663697401275386,2.6678913824153174e-06,0.0023750570162683897,5.986152509691711e-05,3.6957719530222216e-09,1.244118509072473e-07,6.792292235286059e-10,1.4506102580836103e-06,1.586825234918907e-08,1.3059192308011313e-10,4.147820348510451e-06,2.707719249926671e-13,1.0225200447986468e-11
8.72913050930739e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42417491418407666,0.0502747878328971,0.0016669847261097156,2.0764126595769336e-06,0.0003693240498251853,0.12388116263567263,0.04192781228531433,1.7781738575442634e-05,1.5488060659457732e-09,0.0012440355633689317,3.1516632217659523e-11,0.0006437604766824601,2.686505084646074e-09,7.269019404800378e-07,4.907637520031332e-09,1.558005622206417e-10,2.4622486627011934e-06,3.7844848731174106e-05,0.0034598389658793086,4.2344528723952265e-07,0.0007701084146365767,2.2342163909615925e-11,5.159231909520157e-10,4.149497177656938e-08,1.130228962625791e-07,0.0008214188226571248,0.020696970971460334,2.668217905856902e-06,0.002376485038808236,5.989073842959793e-05,3.6928406762389057e-09,1.2442739847156311e-07,6.795370920539911e-10,1.4471931287067094e-06,1.5862070970607046e-08,1.3052526113394635e-10,4.149526728873561e-06,2.704690101004246e-13,1.0229382780510007e-11
8.737132220168987e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4241447823593055,0.05023920029238975,0.0016632064793200676,2.074586829377694e-06,0.00036922049238729936,0.12395687475786984,0.0419354872281131,1.775884286639803e-05,1.550872287857068e-09,0.0012432358674587492,3.149686247812572e-11,0.0006438703450053117,2.6865515532418454e-09,7.248418381458695e-07,4.909372229568716e-09,1.5573639707573408e-10,2.456924739413165e-06,3.786144141704802e-05,0.0034571440249152804,4.223555952735573e-07,0.00077028266561842,2.2292410024949754e-11,5.144229467857204e-10,4.1566355304036237e-08,1.1325366979021564e-07,0.0008228514571350564,0.02072690587115239,2.6685105790182594e-06,0.0023777689750507235,5.9916997130666326e-05,3.690204672388585e-09,1.2444133462664118e-07,6.798136952593458e-10,1.4441247858346731e-06,1.5856498366542354e-08,1.30465233842388e-10,4.151059973570001e-06,2.701968254252777e-13,1.0233140772275307e-11
8.745133931030583e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42411466049983154,0.050203638679326895,0.0016594372950549257,2.0727627295046975e-06,0.00036911670596273153,0.12403253139298512,0.04194314424279407,1.7735977459739768e-05,1.5529379010102367e-09,0.001242436712946839,3.1477109918826275e-11,0.0006439801086207172,2.686598368587218e-09,7.227878608818013e-07,4.911104348190388e-09,1.5567217533069925e-10,2.4516132905184025e-06,3.787801421290004e-05,0.0034544512969865086,4.2127040094183423e-07,0.0007704566660729434,2.2242846690023964e-11,5.129272306942317e-10,4.1637805669838366e-08,1.1348452952335209e-07,0.0008242841189512552,0.020756830029769042,2.6688021206961855e-06,0.002379051696127209,5.99432243548805e-05,3.687570699321497e-09,1.2445521727355213e-07,6.80089846057521e-10,1.441063129000377e-06,1.5850916931900064e-08,1.3040517691791814e-10,4.152590857757663e-06,2.699250551221703e-13,1.0236892991921867e-11
8.753135641892179e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4240845486297638,0.050168102974541925,0.001655677150322567,2.0709403582118023e-06,0.0003690126913852953,0.1241081325818876,0.04195078337459478,1.7713142313435574e-05,1.5550029030857334e-09,0.0012416380994227777,3.145737452011332e-11,0.0006440897676676344,2.686645530554554e-09,7.207399898672504e-07,4.9128338807529645e-09,1.5560789730861766e-10,2.4463142852865748e-06,3.789456716076254e-05,0.003451760780420373,4.201896806197754e-07,0.0007706304164440019,2.219347296880269e-11,5.114360284602311e-10,4.170932271311393e-08,1.1371547505878592e-07,0.0008257168061118138,0.020786743425190275,2.669092534146394e-06,0.002380333203286323,5.9969420168665344e-05,3.6849387555358367e-09,1.2446904656845057e-07,6.803655452701299e-10,1.4380081435427821e-06,1.5845326705105038e-08,1.3034509059746404e-10,4.154119386894804e-06,2.6965369796458865e-13,1.0240639452862248e-11
