Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),HX(5),C2H3X(75),C4H6(49),C4H5X(118),C6H8(51),C4H5X(117),C6H8(233)
5.1413120734793745e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281989673707,0.6699999970216014,0.0,0.0,2.9783984788672355e-09,2.9625786632635548e-09,7.9099077875501629e-12,6.3202240838503185e-21,2.4526251339958841e-23,3.168313148050805e-21,4.0958496001761139e-24
5.343173471036565e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322819664786,0.66999999690466172,0.0,0.0,3.0953382124885976e-09,3.0775899508413815e-09,8.874130806942736e-12,7.3679367697188348e-21,3.0874287164646996e-23,3.6942897617250232e-21,5.1567584640406213e-24
5.545034868593756e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281943298459,0.66999999678772204,0.0,0.0,3.2122779458880643e-09,3.1924516805589207e-09,9.9131326452474807e-12,8.5402073029725015e-21,3.8533142802466287e-23,4.2829825334572847e-21,6.4370052675404527e-24
5.7468962661509466e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281920133794,0.66999999667078236,0.0,0.0,3.3292176790656596e-09,3.3071584761070848e-09,1.1029601456998094e-11,9.8463969697332734e-21,4.7709879447394259e-23,4.939141048928715e-21,7.9713133888912448e-24
6.150619061265327e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281873853104,0.66999999643690289,0.0,0.0,3.5630971447553616e-09,3.5360859093015809e-09,1.3505617697663936e-11,1.2899543269753097e-20,7.1563568011157068e-23,6.4736751409253043e-21,1.1960944643517459e-23
6.51396957686827e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281832258809,0.66999999622641138,0.0,0.0,3.7735886631176502e-09,3.7415374138174858e-09,1.602562461333407e-11,1.6205657916325888e-20,1.0080286429711995e-22,8.1364868547256141e-21,1.6853564354970922e-23
6.877320092471213e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281790722929,0.66999999601591986,0.0,0.0,3.9840801807617032e-09,3.946404738887038e-09,1.8837720891700974e-11,2.0105373378572934e-20,1.3934697981065628e-22,1.0099198235895187e-20,2.3306120348782077e-23
7.240670608074156e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281749248477,0.66999999580542835,0.0,0.0,4.1945716976878553e-09,4.1506576977625595e-09,2.1956999906616502e-11,2.466427249626468e-20,1.894087760983418e-22,1.2395336061350166e-20,3.1690867494955643e-23
7.604021123677099e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281707838452,0.66999999559493684,0.0,0.0,4.4050632138965002e-09,4.354266480494662e-09,2.5398366632811616e-11,2.9950966076610762e-20,2.5356689487991238e-22,1.5060062132033178e-20,4.2442036965868128e-23
7.967371639280042e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281666495772,0.66999999538444532,0.0,0.0,4.6155547293880861e-09,4.5572016706273827e-09,2.9176529298320332e-11,3.6037012962447738e-20,3.3480192005449856e-22,1.8130145145807888e-20,5.6062084160035229e-23
8.456654243476881e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281610935855,0.6699999951010005,0.0,0.0,4.8989995905542852e-09,4.8293559984322842e-09,3.4821795956988048e-11,4.5626922768080406e-20,4.7727148053615797e-22,2.2972535525733952e-20,7.9964748690807937e-23
