Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),COX(50)
7.872721962987305e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33497355487393682,0.11622744442086576,0.022746003769222919,2.1785324217659494e-13,9.7163839049399433e-12,1.7725034938400042e-10,9.5224628445468667e-09,4.2717825050286412e-19,1.395253062738522e-28,7.8863854132458963e-10,8.6114428058252996e-37,7.7610313995208542e-10,3.9193171961261798e-27,5.9130269721496501e-18,3.4111153614994209e-21,3.1439140317326612e-23,4.3448804341453091e-12,6.8565147036430031e-28,0.0024424257857955443,0.00015111744232874973,5.9306443856849017e-11,3.7931891633295957e-07,4.1064597537979591e-15,9.0341131330261645e-12,8.4842304847687959e-08,2.6703475612551012e-10,3.154019294879836e-15,6.0132648438752351e-10,9.5672410062669767e-16,7.8498421033638222e-15
7.99886981834302e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33494191263564743,0.11619820976267342,0.022744803645985637,2.3311881496548097e-13,1.0378185031326233e-11,1.8763433049948788e-10,1.0023618667418937e-08,4.4463540374697625e-19,1.5307871513845678e-28,8.0107409193484631e-10,9.3328065411955458e-37,7.8832746248323039e-10,4.1240729808990079e-27,6.2732970805672913e-18,3.682802844180042e-21,3.362456437806335e-23,4.5730020215837533e-12,7.3109942068325567e-28,0.0024716583302545505,0.00015351715486164189,5.9821698993134322e-11,3.8769006041028154e-07,4.1421465289868386e-15,9.3999887959958395e-12,8.6419711785455981e-08,2.7706137651794094e-10,3.2924669073656907e-15,6.2316461486594683e-10,1.0072794149102195e-15,8.2623622971699252e-15
8.125017673698736e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33491052723278092,0.11616923139663843,0.022743603811862096,2.4918408539488854e-13,1.1075997482419713e-11,1.9847278379140691e-10,1.0542392338577251e-08,4.6257287814773104e-19,1.6769880272830505e-28,8.1350405924658893e-10,1.0103470969656929e-36,8.0055068718321806e-10,4.3366744647637874e-27,6.6502351849968464e-18,3.9711647988752093e-21,3.5923460943136492e-23,4.8095767176693238e-12,7.7890578384057059e-28,0.0025006345645925501,0.00015591627086717711,6.033671169654402e-11,3.9613184920865447e-07,4.1778171605997625e-15,9.774889528738811e-12,8.7997054734147862e-08,2.8731812151563476e-10,3.4355500517906566e-15,6.4540855214434208e-10,1.0596055282005533e-15,8.6893440604094963e-15
8.251165529054451e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33487939641567277,0.11614050707620319,0.022742404264960211,2.6607680062853255e-13,1.1811324134501654e-11,2.0977935960666915e-10,1.1079085195285857e-08,4.8099731284521403e-19,1.8345016801181718e-28,8.259284758998903e-10,1.092607061866477e-36,8.1277305656827275e-10,4.5573132178131272e-27,7.0443840359106611e-18,4.2769197856254824e-21,3.8339750178121899e-23,5.0547947396731743e-12,8.2916031684756297e-28,0.0025293567353773146,0.00015831479382557787,6.0851485016849281e-11,4.0464420865910367e-07,4.213471881693842e-15,1.0158872211958896e-11,8.9574023338381029e-08,2.9780720249742103e-10,3.5833970461059754e-15,6.680569551973396e-10,1.1137307446388637e-15,9.1310329265626978e-15
8.377313384410167e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.334848517954417,0.11611203457453891,0.022741205003404846,2.8382514480580077e-13,1.2585712992445242e-11,2.2156794898155218e-10,1.1633996561943221e-08,4.9991533930691381e-19,2.0040014887481526e-28,8.3834737439944557e-10,1.1803342195366119e-36,8.2499481218590261e-10,4.7861825994117858e-27,7.4562972046717962e-18,4.6008035580741009e-21,4.0877417138210466e-23,5.308848038342086e-12,8.8195495207021567e-28,0.0025578270694477873,0.00016071272718525106,6.1366021965613412e-11,4.1322706467234012e-07,4.2491109229807992e-15,1.0551990907902432e-11,9.1150309523391321e-08,3.0853082698296738e-10,3.736139528880855e-15,6.911083540274054e-10,1.1696830041019307e-15,9.5876727338848459e-15
8.503461239765882e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33481788963869191,0.11608381168437154,0.02274000602533768,3.0245773326870284e-13,1.3400758051187566e-11,2.3385268525387961e-10,1.2207423645377491e-08,5.1933358140233795e-19,2.1861888602392576e-28,8.5076078711708228e-10,1.2738127029665543e-36,8.372161946195926e-10,5.0234777370353126e-27,7.8865391751815583e-18,4.9435690588447817e-21,4.3540511284299059e-23,5.5719302932961335e-12,9.3738381733256152e-28,0.0025860477740879849,0.00016311007436320117,6.1880325516668136e-11,4.2188034312674762e-07,4.2847345128535273e-15,1.0954296837574638e-11,9.2725607596268151e-08,3.1949119862474468e-10,3.8939125237564299e-15,7.1456115138848171e-10,1.2274898690130634e-15,1.0059505540760318e-14
8.629609095121598e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3347875092775866,0.11605583621780945,0.022738807328917015,3.220036065866927e-13,1.4258100164422575e-11,2.4664794566614744e-10,1.2799661431927681e-08,5.392586554771014e-19,2.3817938683476005e-28,8.6316874629424993e-10,1.3733373536311211e-36,8.4943744349342484e-10,5.2693955054158958e-27,8.3356854352995788e-18,5.3059864065043635e-21,4.633314597722703e-23,5.844236908422584e-12,9.9554325578263709e-28,0.002614021037199364,0.00016550683874543909,6.2394398606584296e-11,4.3060396985646514e-07,4.3203428774120083e-15,1.1365838359976881e-11,9.4299614345365435e-08,3.3069051719935795e-10,4.0568545043868259e-15,7.384136245690677e-10,1.2871785115265741e-15,1.0546771542536255e-14
8.755756950477313e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33475737469943062,0.11602810600617261,0.022737608912317669,3.4249222438523089e-13,1.5159427920484674e-11,2.5996835295952203e-10,1.3411002586356294e-08,5.5969717042650135e-19,2.5915758911445538e-28,8.7557128404449301e-10,1.4792139695700826e-36,8.616587974766225e-10,5.5241345059924392e-27,8.8043225680358581e-18,5.6888428741949999e-21,4.9259497950565136e-23,6.1259650072655025e-12,1.0565318455244482e-27,0.0026417490274716457,0.00016790302368738529,6.2908244135137027e-11,4.3939787063956094e-07,4.3559362404886357e-15,1.1786660953369328e-11,9.5872029137843838e-08,3.4213097859824346e-10,4.2251074598639887e-15,7.6266392723311162e-10,1.3487757010931756e-15,1.1049708989872201e-14
8.881904805833029e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33472748375162337,0.11600061889982333,0.02273641077373079,3.6395345898406962e-13,1.6106478525392098e-11,2.7382877695863542e-10,1.4041737352637536e-08,5.8065572776858741e-19,2.8163242474851559e-28,8.8796843235590367e-10,1.5917595553113186e-36,8.7388049428802219e-10,5.7878950466618505e-27,9.2930483425141462e-18,6.0929428600255033e-21,5.23238067623717e-23,6.4173134284105325e-12,1.1204504190193784e-27,0.0026692338945521346,0.00017029863251426903,6.3421864965765292e-11,4.4826197118629909e-07,4.3915148236729342e-15,1.2216807198561985e-11,9.7442554015301641e-08,3.5381477481774385e-10,4.3988169606231083e-15,7.8731009131705386e-10,1.4123077924132191e-15,1.156855410864052e-14
9.008052661188744e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33469783430046596,0.11597337276799832,0.022735212911363732,3.8641758885134494e-13,1.7101038693018657e-11,2.882443361470983e-10,1.4692153456663655e-08,6.0214092171674026e-19,3.0568588320226742e-28,9.0036022309355812e-10,1.7113025736077375e-36,8.8610277070047185e-10,6.0608791218286558e-27,9.802471804705921e-18,6.5191078493162671e-21,5.5530374226340199e-23,6.7184827208643023e-12,1.1874020822604241e-27,0.0026964777692135263,0.00017269366852152202,6.3935263926025568e-11,4.5719619712749668e-07,4.4270788463356704e-15,1.2656316764235164e-11,9.9010893787453703e-08,3.6574409394856117e-10,4.5781322248255557e-15,8.1235002898133527e-10,1.4778007137844016e-15,1.2103541021411239e-14
