Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24),CH3X(55),C2H4X(215)
6.108870188783538e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,6.862782826442461e-75,2.3473330007749807e-42,1.8587288231737753e-24,5.7388819085338965e-53,9.575303040565514e-37,4.6090015141762484e-85,5.391562384526118e-14,1.2273055767244824e-71,5.39156238366526e-14,7.142428560760084e-49,6.372021056855498e-49,6.263517117589034e-71,7.262532389830532e-72,3.817125072440234e-36,1.8448469121426028e-53,2.9444802299048605e-12,8.718082631347952e-14,3.490144356001241e-16,5.637359495082748e-26,2.087639236624943e-25,3.490137300854026e-16,3.491598136528844e-22,6.5440590063148375e-25,1.9036992966382694e-28,1.1469443101499342e-47,7.434453518795061e-35,1.7851170568589016e-46,1.1030634296387485e-64,1.1493370900848181e-36,7.9385545829254e-68,5.790304000312005e-68,1.8781694431674143e-25,1.7013579887096346e-57
1.2217745556124889e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767939352,0.11866996602396783,0.022821567692967105,3.4020377722237577e-72,3.755366449499596e-41,7.434964501334034e-24,7.111832653061136e-51,7.660249650233414e-36,2.284279290221268e-82,1.0783129340000131e-13,7.854766996227329e-70,1.0783129336556695e-13,1.1427897021794437e-47,1.0194184129080558e-47,1.5522246974216428e-68,1.7998002920287675e-69,3.053398256609187e-35,1.1778416485283888e-51,5.888962954423331e-12,1.7436172652923053e-13,6.980298776784442e-16,2.2547046612940086e-25,8.350557374534473e-25,6.980270530083734e-16,1.3940296832293056e-21,5.224687240815029e-24,2.9508888284624942e-27,7.108248651409895e-46,5.947600432269603e-34,5.701032859424549e-45,2.733609398346182e-62,9.193769201980238e-36,1.9677111186907962e-65,1.4352714954625749e-65,7.512675462506462e-25,1.086724245335917e-55
2.443549629080759e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,1.7083655110468324e-69,6.007407165713141e-40,2.974022145593227e-23,8.92794933562961e-49,6.128202177494995e-35,1.1469528120779506e-79,2.1566263252328016e-13,5.027053981415052e-68,2.1566263238554277e-13,1.8284642410885747e-46,1.6307309223477466e-46,3.8970164191680084e-66,4.518578114763754e-67,2.4422331454050873e-34,7.506862211978302e-50,1.1777928399094294e-11,3.487235269550525e-13,1.3960629092600352e-15,9.016897523253151e-25,3.340220106759409e-24,1.396051589784861e-15,5.555345717509821e-21,4.162936289077466e-23,4.632051781848793e-26,4.4621913908529754e-44,4.758134971158314e-33,1.8171056421053044e-43,6.862990680256458e-60,7.353523578961289e-35,4.940360969487705e-63,3.6037692926574856e-63,3.0050654710233938e-24,6.927707967775208e-54
4.8870997760172994e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276775741,0.11866996600597535,0.022821567692705564,8.611733878944742e-67,9.608074593740181e-39,1.189637073527093e-22,1.1251190838725495e-46,4.902562037236892e-34,5.781528073086296e-77,4.313253108250323e-13,3.21731488362707e-66,4.3132531027408283e-13,2.9255427570576634e-45,2.608084568669577e-45,9.822060150816518e-64,1.1388638529138983e-64,1.9530091428695595e-33,4.766324094624477e-48,2.3555859270972327e-11,6.974471277839807e-13,2.792137669666494e-15,3.6052213103181206e-24,1.336085131172614e-23,2.7920922271111748e-15,2.205690998553853e-20,3.303721085881454e-22,7.297580823667817e-25,2.811761039350538e-42,3.8065924112771743e-32,5.768963479560487e-42,1.729746142106989e-57,5.880430119392975e-34,1.245061098430486e-60,9.083225841297415e-61,1.2020218440770412e-23,4.399104259992106e-52
9.77420006989038e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.02282156769235684,4.325211759737894e-64,1.536084252638934e-37,4.758768293207636e-22,1.412730730842459e-44,3.9220486476160346e-33,2.9038478490394595e-74,8.626506676493096e-13,2.0590807914632863e-64,8.626506654455168e-13,4.680866459521745e-44,4.16945706151116e-44,2.4666097383518154e-61,2.8600194215026307e-62,1.5611645189686742e-32,3.003195328002722e-46,4.711172094487279e-11,1.3948943293509646e-12,5.58432282333373e-15,1.440859489449714e-23,5.344315958408586e-23,5.5841397572658224e-15,8.693874982841249e-20,2.601232991279854e-21,1.1453245577431881e-23,1.7652109252020825e-40,3.0454055225529423e-31,1.8173526323181095e-40,4.3438761912051656e-55,4.700525213764302e-33,3.1259098619142346e-58,2.2809917728131172e-58,4.808051475687024e-23,2.7719760066127397e-50
1.954840065763654e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,2.144689144901224e-61,2.4538786302347403e-36,1.9036760789689427e-21,1.75133661440862e-42,3.1376367648550374e-32,1.4400557561392844e-71,1.725301382180937e-12,1.3178103942355257e-62,1.7253013733657998e-12,7.489378601732132e-43,6.6600388676189476e-43,6.115955240779401e-59,7.091391818980966e-60,1.2469475553352607e-31,1.864086601053344e-44,9.422344401325133e-11,2.7897887321215295e-12,1.1168842123898202e-14,5.753628426853267e-23,2.1377064757605026e-22,1.1168099842855245e-14,3.3785506898165953e-19,2.016830331413836e-20,1.7743857892890084e-22,1.0940369676192269e-38,2.4365265119358834e-30,5.638960597980571e-39,1.077049657377738e-52,3.754323536168315e-32,7.746264885220431e-56,5.65509022506606e-56,1.9231916411219545e-22,1.7206217777599633e-48
3.9096801833128864e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766059288,0.1186699658380455,0.0228215676902645,1.0349822071285994e-58,3.9139216332756444e-35,7.615951407021385e-21,2.1130344504961085e-40,2.5101057342088063e-31,6.95107887169949e-69,3.450602814776312e-12,8.433968534503456e-61,3.450602779516028e-12,1.1982979826270087e-41,1.06207327324796e-41,1.4759857880826024e-56,1.7113807753340402e-57,9.943980787446956e-31,1.1243894734235873e-42,1.8844688903231879e-10,5.5795775362095576e-12,2.233852429434205e-14,2.293640902681917e-22,8.550666136728163e-22,2.2335480141326172e-14,1.2782359783859698e-18,1.5185303648981888e-19,2.6746776314527927e-21,6.598449390392249e-37,1.94952064307305e-29,1.6998927576209312e-37,2.5992165923476484e-50,2.9937488847504423e-31,1.8672712132777655e-53,1.3644383699571417e-53,7.692534522538734e-22,1.0378737031185592e-46
5.864520300862119e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727650889324,0.11866996574208558,0.022821567688869605,8.713949079031395e-58,1.4384170152483027e-34,1.6185613778233744e-20,1.3575355464710077e-39,7.451870127245254e-31,5.826844852915781e-68,5.1759042509038065e-12,4.7885541271664277e-60,5.175904175975918e-12,4.5333999673039555e-41,4.0430746976383297e-41,1.0919298252964915e-55,1.266072151064169e-56,2.8381849208186734e-30,6.181603960740121e-42,2.826703329336967e-10,8.369366338846512e-12,3.3508893930647197e-14,4.862560313990245e-22,1.816993074541978e-21,3.3502320593260554e-14,2.6154788639465663e-18,4.1951388081026345e-19,9.571988280577692e-21,3.6092953558099705e-36,5.574874561273064e-29,7.774609743126487e-37,1.9228793499141018e-49,8.54435795097545e-31,1.3879071569690007e-52,1.0144361392042926e-52,1.6346294931396627e-21,5.705986633466813e-46
9.774200535960583e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763148221,0.11866996555016575,0.022821567686079815,1.3474875056803959e-55,1.100824440900602e-33,4.475918172321622e-20,5.528351425163395e-38,3.490602749124163e-30,7.390426076680687e-66,8.626507137284864e-12,1.2872888410621365e-58,8.626506930134372e-12,3.5777906986209135e-40,3.303873987582966e-40,7.800604676470067e-54,9.044503087666849e-55,1.2971990179024494e-29,1.3934974026047314e-40,4.711172162656944e-10,1.3948943938311026e-11,5.585268417042857e-14,1.3362780498155782e-21,5.023284018193538e-21,5.583384232031898e-14,6.6017890031257155e-18,1.748084866473335e-18,6.703782693305369e-20,8.490199547199668e-35,2.5625749232267807e-28,1.0236316663628691e-35,1.3736101482843928e-47,3.904774869030005e-30,1.2079982648759365e-50,8.842988260734274e-51,4.5190267055073605e-21,1.2862992337470884e-44
1.3221208591358186e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727614371735,0.11866996538095775,0.022821567683620172,8.093083229027524e-55,2.9475791537023424e-33,7.880697701796032e-20,2.4301342367684093e-37,7.911479023081382e-30,3.732681903509995e-65,1.166876514122936e-11,5.373007396887626e-58,1.1668764776556092e-11,9.785345737827497e-40,9.370739459706322e-40,3.713610117814575e-53,4.3057512108268606e-54,2.858972160938548e-29,5.271125591545029e-40,6.372632620459116e-10,1.8868233434376136e-11,7.555484674523824e-14,2.3433739214130256e-21,8.843012713267392e-21,7.552097661970608e-14,1.0975231337301265e-17,3.669013961677956e-18,1.727743800596143e-19,3.371114908654668e-34,5.664889974727563e-28,3.399334214529997e-35,6.539215470897581e-47,8.605437947324413e-30,6.887580260047718e-50,5.042609464147386e-50,7.955211375026355e-21,4.865648862628789e-44
