Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),H2OX(23),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74)
2.735914703859899e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418763739367252,0.10801645644875889,0.020996287413277463,3.7712545958047956e-08,1.4540136540168589e-05,0.002858284132745862,0.001159667649811064,1.798697052792614e-05,5.691051765511923e-14,0.0016972855023484278,5.921201681937756e-12,0.00038524475859033944,7.707700648270323e-10,1.0007148858255885e-06,8.102953618087858e-11,3.2865788086832893e-12,1.7046780964493035e-05,1.8556097616908312e-07,0.007744852463209686,0.0024483532056336667,0.00016736834524892452,5.386792026242461e-08,8.865695884117193e-09,3.0336363880969145e-08,2.7496203774471372e-11,2.29225054330076e-07,1.3399368852750054e-05,2.2498942273550233e-08,5.65677470458297e-05,2.9354970088196565e-07,5.248500203585287e-09,3.58500210891203e-09,6.554301207698773e-10,9.778193355194718e-06,2.4689238054625797e-12,4.9254430517958275e-12,1.6274645871115786e-08,1.1407445528259294e-11,5.22498010716234e-14,1.1103306184123186e-15,6.186723197366298e-17
2.746515993891105e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418709905423456,0.10800580351392657,0.02098953166183436,3.817790652517594e-08,1.4651069458300273e-05,0.0028749907845849205,0.0011674128860853254,1.8113016700417336e-05,5.772516843107717e-14,0.001700786002152625,5.995018156896226e-12,0.00038533515612946433,7.763059643720453e-10,1.0098526828172012e-06,8.159105447433964e-11,3.3185557245473023e-12,1.7083533759419573e-05,1.878223207294451e-07,0.007743988459073898,0.0024539492646435206,0.0001676894334480037,5.409525275615656e-08,8.881122805068625e-09,3.039869159502224e-08,2.7573986523929626e-11,2.296119671417015e-07,1.3396120627465256e-05,2.2628157328641994e-08,5.690018275140091e-05,2.9712759184248e-07,5.259260955041481e-09,3.608902328905808e-09,6.604167113898619e-10,9.790229597389038e-06,2.487897247658301e-12,4.968565592298032e-12,1.6492846892389432e-08,1.1499481166598043e-11,5.288590085109442e-14,1.1242855877182565e-15,6.264531262617607e-17
2.757117283922311e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44186562714274147,0.10799515128418612,0.02098277821884421,3.8646992359896265e-08,1.4762278726364153e-05,0.0028917204061224785,0.0011751738838810056,1.8239134241742474e-05,5.854824870993872e-14,0.0017042693455066329,6.069294279891613e-12,0.00038542522737075157,7.818462541130414e-10,1.0190190649096825e-06,8.21538650992092e-11,3.3506833777281628e-12,1.7120000790931257e-05,1.9009967180410684e-07,0.007743124893117655,0.002459525052236152,0.00016800991042397405,5.4322415301736686e-08,8.896449375978685e-09,3.0460716828082186e-08,2.765159842110442e-11,2.2999768769682856e-07,1.3392864197429656e-05,2.2757570069082706e-08,5.723307604126162e-05,3.00730813130728e-07,5.269968628487468e-09,3.6328508565995726e-09,6.654156314701622e-10,9.802132317378173e-06,2.506938101450875e-12,5.011840592290899e-12,1.6712813044097596e-08,1.159182603567113e-11,5.3526494507226884e-14,1.1383555455032395e-15,6.34298112822721e-17
2.767718573953517e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418602836588847,0.1079844997625011,0.020976027082971162,3.9119815662418754e-08,1.4873762751576955e-05,0.0029084728782452873,0.0011829505659958154,1.836531922985518e-05,5.937981208414487e-14,0.0017077356156210961,6.1440282645851675e-12,0.0003855149808971654,7.873907636726476e-10,1.0282137739025969e-06,8.271796386971952e-11,3.382961457503831e-12,1.7156183658190862e-05,1.9239303978845964e-07,0.007742261764195154,0.0024650806472312253,0.0001683297797109008,5.4549406856021513e-08,8.911676123003014e-09,3.052244103566588e-08,2.772904023498814e-11,2.3038222396193447e-07,1.3389599759025489e-05,2.2887179519552896e-08,5.756642452911848e-05,3.0435938122193633e-07,5.2806234836808335e-09,3.656847454153992e-09,6.704268095109854e-10,9.813902798149417e-06,2.526046281576438e-12,5.055267380746066e-12,1.6934546926794192e-08,1.168447908704218e-11,5.417158488028101e-14,1.1525409171024301e-15,6.422075172668665e-17
2.778319863984723e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44185496001215496,0.10797384895177835,0.02096927825288026,3.9596388588369385e-08,1.498551994999031e-05,0.0029252480825363307,0.0011907428556041492,1.849156776930527e-05,6.021991225318108e-14,0.0017111848953460316,6.219218295016983e-12,0.000385604425071673,7.929393237623193e-10,1.0374365518511988e-06,8.32833466169973e-11,3.415389650848951e-12,1.7192083960241243e-05,1.947024345815611e-07,0.0077413990711533,0.0024706161280719685,0.00016864904480753967,5.477622638944808e-08,8.926803569793751e-09,3.058386566696007e-08,2.780631273178874e-11,2.3076558383482991e-07,1.338632750601819e-05,2.301698470965159e-08,5.7900225842860165e-05,3.0801331180571056e-07,5.2912257792344985e-09,3.680891884905116e-09,6.754501744130507e-10,9.82554231186419e-06,2.545221702682202e-12,5.09884528693844e-12,1.7158051077553414e-08,1.1777439271917149e-11,5.482117467143512e-14,1.1668421269026608e-15,6.501815769106828e-17
2.788921154015929e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418496561243365,0.10796319885486884,0.020962531727237374,4.007672324878215e-08,1.5097548746491377e-05,0.0029420459012687544,0.0011985506762553896,1.8617875991283558e-05,6.106860302287163e-14,0.0017146172671707379,6.294862526018283e-12,0.0003856935680427407,7.984917661850099e-10,1.0466871410876466e-06,8.385000918889719e-11,3.4479676424736094e-12,1.7227703295804335e-05,1.9702786558939734e-07,0.0077405368128323285,0.0024761315728269047,0.00016896770917783937,5.5002872885873e-08,8.94183223750261e-09,3.064499216482088e-08,2.7883416674924313e-11,2.3114777514546576e-07,1.338304762959384e-05,2.3146984673869615e-08,5.823447762443135e-05,3.1169261979119815e-07,5.301775772616718e-09,3.7049839133589493e-09,6.804856554775514e-10,9.837052119905484e-06,2.564464279329765e-12,5.1425736404850865e-12,1.738332797027873e-08,1.1870705541189402e-11,5.547526644370843e-14,1.1812595983388067e-15,6.582205285377377e-17
2.799522444047135e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418443719176163,0.10795254947456871,0.020955787504709358,4.056083171009277e-08,1.5209847574802365e-05,0.002958866217399889,0.0012063739518722155,1.8744240053662114e-05,6.192593830467546e-14,0.0017180328132237617,6.3709590836238e-12,0.00038578241774969317,8.040479238376498e-10,1.0559652842418163e-06,8.441794744984046e-11,3.4806951148617476e-12,1.7263043263084705e-05,1.9936934172815125e-07,0.007739674988066395,0.0024816270591915737,0.00016928577625143482,5.522934534241327e-08,8.956762644784309e-09,3.070582196577445e-08,2.796035282501789e-11,2.3152880565672676e-07,1.3379760318396045e-05,2.3277178451563215e-08,5.856917752970847e-05,3.1539731931225975e-07,5.312273720151277e-09,3.729123305186071e-09,6.855331824060742e-10,9.84843347292647e-06,2.5837739259983358e-12,5.1864517713834345e-12,1.7610380016014844e-08,1.1964276845484111e-11,5.61338626228856e-14,1.1957937538902314e-15,6.663246083966797e-17
2.810123734078341e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44183910731457987,0.10794190081362037,0.020949045583964036,4.104872599413429e-08,1.5322414877478824e-05,0.0029757089145653584,0.001214212606748905,1.887065614103036e-05,6.279197211498393e-14,0.0017214316152729082,6.447506065484225e-12,0.0003858709819279404,8.096076307134435e-10,1.065270724261729e-06,8.498715728065833e-11,3.5135717483092216e-12,1.7298105459577746e-05,2.0172687142747728e-07,0.007738813595684139,0.002487102664490251,0.000169603249424131,5.5455642769289466e-08,8.971595307800198e-09,3.076635650001819e-08,2.803712193989311e-11,2.319086830652149e-07,1.3376465758562205e-05,2.340756508692751e-08,5.890432322837741e-05,3.191274237326512e-07,5.322719877017797e-09,3.75330982721619e-09,6.905926853004562e-10,9.859687610900225e-06,2.6031505570878802e-12,5.230479010048732e-12,1.783920956326236e-08,1.2058152135201575e-11,5.679696549844253e-14,1.2104450150773073e-15,6.74494052199274e-17
2.820725024109547e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418338622382103,0.1079312528747133,0.020942305963670266,4.1540418078134304e-08,1.5435249105906913e-05,0.0029925738770732796,0.0012220665655496461,1.8997120464726994e-05,6.366675857442011e-14,0.001724813754725294,6.524501541278595e-12,0.00038595926811407435,8.151707219039873e-10,1.0746032044335939e-06,8.555763457844014e-11,3.5465972209615094e-12,1.7332891481882156e-05,2.0410046263378096e-07,0.007737952634509197,0.002492558465677664,0.00016992013205837788,5.568176418967029e-08,8.986330740222099e-09,3.082659719142283e-08,2.8113724774569924e-11,2.3228741500201776e-07,1.3373164133759226e-05,2.35381436289704e-08,5.923991240381307e-05,3.2288294565121373e-07,5.333114497252203e-09,3.7775432474327755e-09,6.95664094662603e-10,9.870815763170544e-06,2.6225940869222507e-12,5.274654687350842e-12,1.806981889829508e-08,1.2152330360560181e-11,5.746457722447406e-14,1.225213802458005e-15,6.82729095118479e-17
2.831326314140753e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418286366118844,0.10792060566048503,0.020935568642497994,4.203591989471406e-08,1.5548348720299488e-05,0.003009460989898547,0.0012299357533068459,1.9123629262867738e-05,6.455035190713998e-14,0.0017281793126274572,6.601943553126558e-12,0.00038604728365083924,8.207370336012094e-10,1.0839624684014643e-06,8.612937525638582e-11,3.5797712088510802e-12,1.7367402925516928e-05,2.0649012281350406e-07,0.0077370921033607,0.002497994539340709,0.00017023642748373698,5.590770863952005e-08,9.000969453236457e-09,3.0886545457535396e-08,2.8190162081260768e-11,2.326650090334692e-07,1.3369855625218689e-05,2.3668913131486384e-08,5.9575942752960616e-05,3.266638969070718e-07,5.343457833747333e-09,3.8018233349676466e-09,7.00747341394251e-10,9.881819148503759e-06,2.642104429752344e-12,5.318978134650359e-12,1.8302210245479897e-08,1.2246810471638911e-11,5.813669982062241e-14,1.2401005356245564e-15,6.910299717865673e-17
2.841927604171959e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44182343035937083,0.10790995917352227,0.020928833619118282,4.2535243331889205e-08,1.5661712189691198e-05,0.003026370138677197,0.0012378200954194425,1.9250178800369144e-05,6.54428064401349e-14,0.0017315283696654959,6.679830116000415e-12,0.0003861350356919783,8.263064030991372e-10,1.0933482601865219e-06,8.670237524366287e-11,3.6130933859344127e-12,1.7401641384742587e-05,2.0889585895641347e-07,0.007736232001053756,0.0025034109617001646,0.00017055213899733892,5.61334751674471e-08,9.015511955548624e-09,3.094620270958265e-08,2.8266434609367752e-11,2.3304147266189512e-07,1.3366540411771448e-05,2.379987265303067e-08,5.9912411986218624e-05,3.3047028858483856e-07,5.353750138253653e-09,3.8261498600955975e-09,7.058423567966873e-10,9.892698975141507e-06,2.661681499759025e-12,5.363448683834023e-12,1.8536385767599165e-08,1.2341591418418456e-11,5.881333517300716e-14,1.2551056332001856e-15,6.993969162932811e-17
2.8525288942031653e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418182434048274,0.10789931341636165,0.020922100892203373,4.30384002330723e-08,1.5775337991932525e-05,0.003043301209700859,0.001245719517651218,1.937676536896843e-05,6.634417660253661e-14,0.0017348610061652604,6.758159218136874e-12,0.0003862225312069603,8.318786687954955e-10,1.1027603242059824e-06,8.727663048526772e-11,3.646563424128676e-12,1.743560845238661e-05,2.1131767757889483e-07,0.007735372326399877,0.002508807808612394,0.00017086726986433306,5.6359062834554844e-08,9.02995875338742e-09,3.10055703524755e-08,2.834254310547898e-11,2.3341681332634995e-07,1.3363218669881663e-05,2.3931021256893315e-08,6.024931782732385e-05,3.3430213101982674e-07,5.363991661380136e-09,3.850522594229022e-09,7.109490725704232e-10,9.903456440854454e-06,2.681325211056266e-12,5.408065667349496e-12,1.8772347566175446e-08,1.2436672150822643e-11,5.949448503515596e-14,1.2702295128359177e-15,7.078301621840336e-17
2.8631301842343713e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418130756727985,0.10788866839149074,0.020915370460426692,4.354540239707687e-08,1.588922461368278e-05,0.0030602540899112795,0.001253633946129114,1.950338528723948e-05,6.725451692492335e-14,0.0017381773020925843,6.83692882144843e-12,0.00038630977698558827,8.374536701931362e-10,1.1121984052916376e-06,8.78521369418909e-11,3.680180993348066e-12,1.7469305719673035e-05,2.1375558472724893e-07,0.0077345130782074155,0.002514185155571067,0.00017118182331832857,5.658447071429456e-08,9.044310350509874e-09,3.1064649784814014e-08,2.841848831336692e-11,2.3379103840334188e-07,1.335989057368035e-05,2.4062358011073585e-08,6.0586658013237775e-05,3.381594338032662e-07,5.3741826525952405e-09,3.874941309912536e-09,7.160674208148197e-10,9.914092732996878e-06,2.701035477693994e-12,5.452828418239469e-12,1.9010097681798545e-08,1.2532051618758406e-11,6.018015102893628e-14,1.285472591207441e-15,7.163299424581426e-17
2.8737314742655774e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418079270882125,0.10787802410134896,0.02090864232246294,4.405626157812324e-08,1.600337055040214e-05,0.0030772286668949355,0.0012615633073415492,1.963003490060496e-05,6.817388203862819e-14,0.0017414773370535504,6.916136861934277e-12,0.0003863967796424947,8.430312479013026e-10,1.1216622487080277e-06,8.842889058978641e-11,3.713945761539812e-12,1.7502734776056113e-05,2.1620958598099113e-07,0.007733654255281945,0.0025195430777088432,0.00017149580256182792,5.680969789231964e-08,9.058567248206173e-09,3.1123442398892957e-08,2.8494270973985577e-11,2.3416415520754587e-07,1.3356556294998362e-05,2.4193881988254363e-08,6.0924430294034536e-05,3.420422057875247e-07,5.384323360228002e-09,3.89940578081762e-09,7.211973340276724e-10,9.924609028562042e-06,2.7208122136610886e-12,5.497736270175125e-12,1.9249638094454795e-08,1.2627728772155648e-11,6.087033464548766e-14,1.3008352840120609e-15,7.248964895671109e-17
2.8843327642967834e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418027975763799,0.1078673805483285,0.020901916476988087,4.457098948584593e-08,1.61177743063427e-05,0.003094224828877715,0.001269507528136742,1.975671058134491e-05,6.910232667504893e-14,0.0017447611902948028,6.995781250090708e-12,0.00038648354562152335,8.486112436367367e-10,1.1311516001702545e-06,8.90068874206448e-11,3.747857394719837e-12,1.753589720905796e-05,2.1867968645615397e-07,0.0077327958564266455,0.00252488164979909,0.0001718092107666524,5.7034743466342256e-08,9.072729945304824e-09,3.118194958070829e-08,2.8569891825469062e-11,2.345361709925087e-07,1.3353216003398874e-05,2.432559226577686e-08,6.126263243279095e-05,3.459504550913343e-07,5.394414031469307e-09,3.923915781737284e-09,7.263387451047529e-10,9.9350064942384e-06,2.7406553328882244e-12,5.5427885574889855e-12,1.949097072385842e-08,1.2723702561006227e-11,6.156503724615483e-14,1.3163180059656995e-15,7.335300354129395e-17
2.8949340543279895e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44179768706299033,0.10785673773477525,0.02089519292267943,4.508959778530262e-08,1.6232434394538603e-05,0.0031112424647196735,0.0012774665357210317,1.9883408728601528e-05,7.003990566496029e-14,0.001748028940703892,7.0758598713208865e-12,0.0003865700812000039,8.541935002246248e-10,1.1406662058614391e-06,8.958612344146998e-11,3.781915557008098e-12,1.7568794604110163e-05,2.2116589080859113e-07,0.007731937880442657,0.0025302009462575665,0.00017212205107435994,5.725960654599124e-08,9.086798938177956e-09,3.124017270996404e-08,2.8645351603130353e-11,2.349070929513407e-07,1.3349869866209359e-05,2.4457487925615213e-08,6.160126220547758e-05,3.498841891050194e-07,5.40445491237318e-09,3.948471088580712e-09,7.314915873393076e-10,9.945286286466537e-06,2.760564749250736e-12,5.587984615207094e-12,1.9734097429785015e-08,1.2819971935402515e-11,6.226426006342104e-14,1.3319211707999842e-15,7.422308113464836e-17
2.9055353443591955e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4417925954741104,0.10784609566298958,0.020888471658215623,4.561209809698466e-08,1.634734933679524e-05,0.0031282814639098716,0.0012854402576572036,2.0010125768380512e-05,7.098667393782744e-14,0.0017512806668096583,7.156370586343956e-12,0.00038665639249291884,8.597778615993912e-10,1.1502058124498225e-06,9.016659467445979e-11,3.816119910663585e-12,1.760142854439918e-05,2.23668203237283e-07,0.007731080326129415,0.002535501041144126,0.00017243432659665552,5.748428625267247e-08,9.100774720746883e-09,3.129811316007988e-08,2.872065103945981e-11,2.3527692821739998e-07,1.3346518048553076e-05,2.4589568054351476e-08,6.194031740085181e-05,3.5384341449572894e-07,5.414446247858273e-09,3.973071478367936e-09,7.366557944215173e-10,9.955449551496766e-06,2.7805403765713705e-12,5.6333237790806114e-12,1.997902001240693e-08,1.2916535845574974e-11,6.29680042018418e-14,1.3476451912593825e-15,7.50999048165842e-17
