Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C4H7X(140),C4H9X(153),C4H9X(171),C4H7X(142),SX(176),SX(174),C6H10(456),C6H10(549),C6H9X(432),C6H8(857),C6H9X(431)
1.2732579669220497e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258226148,0.6699999999924503,1.5457945125287408e-55,9.6331885690996547e-73,2.9501180066222623e-29,1.1431775623533789e-55,1.0676293275698068e-81,0.0,0.0,5.6743987809264365e-86,0.0,7.5497455993679008e-12,7.5497455991959329e-12,8.5984114523764918e-23,2.9501180065598261e-29,2.8120680758454385e-41,2.0251912657568809e-41,9.8809725434734226e-47,6.3308662430610242e-59,6.1662572659034947e-59,6.3308662429357561e-59,3.9254201731500453e-71,8.1413544823539005e-73,1.5609804546319096e-86,6.9035208155613322e-70,4.9826545031881843e-83,6.9035208155618097e-70
2.546516203682695e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580751532,0.66999999998490056,2.4732719216585461e-54,3.0826209747656828e-71,1.1800473901304098e-28,4.5727109734735375e-55,3.4164151413261356e-80,0.0,0.0,3.6316163434691153e-84,0.0,1.5099492797682123e-11,1.5099492796994251e-11,3.4393651271875984e-22,1.1800473900804615e-28,2.2496548776545511e-40,1.6201533129042841e-40,7.9047795000137006e-46,1.0129388000680453e-57,9.8660136102666507e-58,1.0129388000279598e-57,1.2561347131831127e-69,2.6052339689745209e-71,9.9902769928670528e-85,2.209127325842617e-68,3.1888998572688148e-81,2.2091273258429226e-68
5.0930326772039846e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577731631,0.66999999996980109,3.9572356350420783e-53,9.8643881304244155e-70,4.7201899349927956e-28,1.8290845325497327e-54,1.0932530518937835e-78,0.0,0.0,2.3242348188922443e-82,0.0,3.0198987191149555e-11,3.0198987188398068e-11,1.3757461598611375e-21,4.7201899345932089e-28,1.7997240686865715e-39,1.2961227702784859e-39,6.3238241853837876e-45,1.620702240872554e-56,1.5785623423372552e-56,1.6207022407442796e-56,4.0196314940718441e-68,8.3367495549319738e-70,6.3937779411915213e-83,7.0692085048656356e-67,2.0408962202635385e-79,7.0692085048675939e-67
1.0186065624246566e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282571691835,0.66999999993960213,6.3315774614925299e-52,3.1566043628376454e-68,1.8880760484978487e-27,7.3163384033060017e-54,3.4984100952780194e-77,0.0,0.0,1.4875103983484096e-80,0.0,6.0397975965440317e-11,6.0397975954434356e-11,5.5029848553197842e-21,1.8880760481781791e-27,1.4397793212090475e-38,1.036898263941672e-38,5.0590595813022292e-44,2.5931237134343604e-55,2.5256998984037305e-55,2.5931237130238835e-55,1.2862821436499692e-66,2.6677599934967962e-68,4.0920180942849778e-81,2.2621468904726056e-65,1.3061736800934526e-77,2.2621468904738584e-65
2.0372131518331724e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282559612242,0.66999999987920411,1.0130524284003318e-50,1.0101134214452643e-66,7.5523043398448284e-27,2.9265354053729566e-53,1.289070275155619e-75,0.0,0.0,9.5200669035700717e-79,0.0,1.2079595346344556e-10,1.2079595341942164e-10,2.2011939836318921e-20,7.5523043372874738e-27,1.1518234828865369e-37,8.2951862981986243e-38,4.0472477563935535e-43,4.1489980420930231e-54,4.0411200184842824e-54,4.1489980407794982e-54,4.116102962284562e-65,8.5368321918235834e-67,2.6188916467243087e-79,7.2388703106199447e-64,8.3595118593285694e-76,7.2388703106279641e-64
4.074426330650205e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282535453051,0.66999999975840818,1.6208839100007416e-49,3.2323629863543062e-65,3.0209217625901943e-26,1.1706141625026058e-52,4.1419828541406809e-74,0.0,0.0,6.0928429199687298e-77,0.0,2.4159190825715048e-10,2.4159190808105499e-10,8.8047760041487405e-20,3.0209217605443101e-26,9.2145879574156082e-37,6.6361491064885317e-37,3.237798238701449e-42,6.6383969419630313e-53,6.4657923680279399e-53,6.6383969377597533e-53,1.3171529628946792e-63,2.7317863323099969e-65,1.6760906733112145e-77,2.3164385365161097e-62,5.350087677425856e-74,2.3164385365212421e-62
8.14885268828427e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282487134668,0.66999999951681632,2.5934142656079549e-48,1.0343561598716349e-63,1.208368708351791e-25,4.6824565830637671e-52,1.3256040991849919e-72,0.0,0.0,3.899419485789749e-75,0.0,4.8318381703533871e-10,4.8318381633095658e-10,3.52191040487509e-19,1.2083687067150831e-25,7.3716703886955964e-36,5.3089193015843293e-36,2.5902385996692402e-41,1.0621435148066622e-51,1.0345268679198952e-51,1.062143513461613e-51,4.214889495904751e-62,8.7417162930665412e-64,1.0726980347813921e-75,7.4126033452307248e-61,3.4240561273312852e-72,7.4126033452635727e-61
1.2223279045918334e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282438816285,0.66999999927522447,9.8873845485952698e-48,4.7225012833210924e-63,2.5677835049715972e-25,9.9502201210586579e-52,5.8734878006306861e-72,0.0,0.0,2.1746153795341114e-74,0.0,7.2477572500430499e-10,7.2477572350749324e-10,7.4840595987844794e-19,2.5677835002916364e-25,2.1078370015847724e-35,1.5180191126640697e-35,7.4064634962175715e-41,3.9093934650065943e-51,3.8077460376751907e-51,3.9093934588704884e-51,1.9243682032025139e-61,3.9911558515586313e-63,5.8937303199016163e-75,3.46778089269678e-60,1.9192264071684273e-71,3.4677808927152075e-60
2.0372131761186461e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228234217952,0.66999999879204064,8.1307420021997718e-47,6.147629284232593e-62,7.0991661422161699e-25,2.7509431193208892e-51,9.4358097125268219e-71,0.0,0.0,5.6526373815833557e-73,0.0,1.2079595377053508e-09,1.2079595335671062e-09,2.0691223471662179e-18,7.0991661207088128e-25,9.6868355899601006e-35,6.9762517479924371e-35,3.4037354008936714e-40,3.0079198948061726e-50,2.9297120169972266e-50,3.0079198865679842e-50,2.5050924491819101e-60,5.1955828251851113e-62,1.3141161774516925e-73,5.0648928371383124e-59,4.7979970117970199e-70,5.0648928371845901e-59
2.7595564247682953e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282256517265,0.66999999836372937,2.3283881560762491e-46,1.9592908570645574e-61,1.2535029083336876e-24,4.8573523483083351e-51,3.4164574193076593e-70,0.0,0.0,2.348859444145804e-72,0.0,1.6362708289897591e-09,1.6362708216828424e-09,3.6534584791211823e-18,1.2535029035571091e-24,2.1513538020183972e-34,1.5493589813199182e-34,7.5593717148804944e-40,8.1273125660509282e-50,7.9159978584080441e-50,8.1273125389359528e-50,7.9838983493085718e-60,1.6558672376847835e-61,4.8010248671187617e-73,1.771263848702143e-58,1.9009678285088004e-69,1.7712638487205306e-58
