Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77)
5.4505339322047654e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33091298779014011,0.11302497621491081,0.022316321831844305,0.0,1.8224395690901368e-07,1.7916225155523357e-08,0.0,1.0285609334846191e-11,0.0,2.0462691013542248e-06,1.9961949866917344e-24,4.3106024271342277e-09,9.2041446896184877e-19,1.9139505308732772e-10,0.0,0.0,1.2713713269993208e-07,6.1500961496651139e-19,0.0056429177502633002,0.0010100923513341163,2.5232321640306245e-08,8.9066440392710302e-08,1.4509801431474839e-06,2.9356720579991803e-11,3.5140201907335867e-10
5.476210051920547e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33090615516075067,0.11302273320560996,0.022314018288023301,0.0,1.8640504683698096e-07,1.8200485845382467e-08,0.0,1.0486703412036629e-11,0.0,2.0636109745390012e-06,2.0844765780977366e-24,4.3278919212527145e-09,9.5018892789434743e-19,1.9509613779515656e-10,0.0,0.0,1.2900280631866689e-07,6.3652473604579832e-19,0.0056451432969687864,0.0010146926356683589,2.534598718541539e-08,8.983283091624929e-08,1.4568978908861451e-06,2.9902564770186571e-11,3.5435539994458979e-10
5.501886171636329e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3308993647975455,0.11302053091540881,0.022311715404340342,0.0,1.906309559355835e-07,1.8486893348663865e-08,0.0,1.0690966438493764e-11,0.0,2.0810245026873306e-06,2.1763801750811017e-24,4.3451513230075395e-09,9.8083086922357658e-19,1.9884603750651717e-10,0.0,0.0,1.3088323119849395e-07,6.5873476071652343e-19,0.0056473280527970298,0.0010192915215697263,2.5459708348529041e-08,9.0597730177463595e-08,1.4627401950150969e-06,3.0453633164168054e-11,3.5732057457192136e-10
5.5275622913521106e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33089261597921898,0.11301836862095743,0.022309413181475054,0.0,1.9492199800320482e-07,1.8775423523234748e-08,0.0,1.089843620753613e-11,0.0,2.0985096755009924e-06,2.2720415936193216e-24,4.3623802989506305e-09,1.0123620469333111e-18,2.0264499300941693e-10,0.0,0.0,1.3277834872801433e-07,6.816598949852261e-19,0.005649472741108167,0.0010238890075144952,2.5573484901203032e-08,9.1361047243310537e-08,1.4685066157369495e-06,3.1009878956347126e-11,3.6029753764290256e-10
5.5532384110678924e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33088590799726647,0.11301624561172807,0.022307111620115918,0.0,1.9927847510659819e-07,1.9066051696929504e-08,0.0,1.1109150814274743e-11,0.0,2.1160664824767166e-06,2.3716011947910026e-24,4.379578514168262e-09,1.0448046471055243e-18,2.064932407998718e-10,0.0,0.0,1.3468809830105884e-07,7.0532085027341101e-19,0.0056515780724404087,0.0010284850919739172,2.5687316616810277e-08,9.2122692301322023e-08,1.4741967384533086e-06,3.1571254004872618e-11,3.6328628381303706e-10
5.578914530783674e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33087924015575598,0.11301416118978774,0.022304810720960022,0.0,2.0370067748249125e-07,1.935875268093089e-08,0.0,1.1323148656755708e-11,0.0,2.1336949129062975e-06,2.4752040155118361e-24,4.3967456324414483e-09,1.0781812935006103e-18,2.1039101306084649e-10,0.0,0.0,1.3661241734616723e-07,7.2973885342226999e-19,0.0056536447447373519,0.0010330797734146233,2.5801203270609129e-08,9.2882576700548958e-08,1.4798101738647615e-06,3.213770865752236e-11,3.662868077058174e-10
5.604590650499456e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33087261177110433,0.11301211466957503,0.022302510484712899,0.0,2.081888834478726e-07,1.9653500783469214e-08,0.0,1.1540468437101023e-11,0.0,2.1513949558767984e-06,2.5829999023015857e-24,4.41388131640623e-09,1.1125150531498685e-18,2.1433853764386882e-10,0.0,0.0,1.3855124135695549e-07,7.549356568259142e-19,0.0056556734435712734,0.0010376730502990115,2.5915144639809474e-08,9.3640612991490333e-08,1.4853465580520153e-06,3.2709192099699518e-11,3.6929910391277076e-10
5.6302667702152376e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33086602217185768,0.11301010537768064,0.022300210912088336,0.0,2.1274335931987876e-07,1.9950269823824449e-08,0.0,1.1761149162647635e-11,0.0,2.1691666002708044e-06,2.6951436481316422e-24,4.4309852277137322e-09,1.1478294419595857e-18,2.1833603805332373e-10,0.0,0.0,1.4050450392334569e-07,7.8093354869339178e-19,0.0056576648423624634,0.0010422649210856175,2.6029140503636522e-08,9.4396714965043235e-08,1.4908055525380652e-06,3.3285652375518148e-11,3.7232316699351763e-10
5.6559428899310194e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3308594706984756,0.11300813265263215,0.022297912003808255,0.0,2.1736435934531703e-07,2.0249033146615426e-08,0.0,1.1985230147084697e-11,0.0,2.187009834766768e-06,2.8117951324032417e-24,4.4480570271898936e-09,1.1841484303260672e-18,2.223837334334257e-10,0.0,0.0,1.4247213676363077e-07,8.0775536343975233e-19,0.0056596196025946524,0.0010468553842294696,2.614319064339217e-08,9.51507976902018e-08,1.4961868443316283e-06,3.3867036097982106e-11,3.7535899147584328e-10
5.681619009646801e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33085295670311871,0.11300619584468216,0.022295613760602444,0.0,2.2205212563884674e-07,2.0549763636360242e-08,0.0,1.2212751011589053e-11,0.0,2.2049246478394054e-06,2.9331194641067904e-24,4.465096374994737e-09,1.2214964487610003e-18,2.2648183855786383e-10,0.0,0.0,1.4445406975734814e-07,8.3542449220641323e-19,0.0056615383740266428,0.001051444438182431,2.6257294842514036e-08,9.5902777550588575e-08,1.5014901459517534e-06,3.4453288851990828e-11,3.7840657185578137e-10
