Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C2H2X(98)
5.431810233602454e-12,0.004023131612903226,0.0,0.0,0.010942250746631218,0.49999976936840518,1.6095418294156014e-75,5.6606564040807658e-27,2.4418585917324494e-45,2.2455341916803715e-53,1.9433449079567598e-78,3.0847935728896611e-21,3.6040169482063627e-23,0.0,0.49995067207906868,1.4078104270294792e-07,4.9070114794969547e-05,2.3063159493643998e-07,8.069868064697167e-09,1.9494246937234592e-07,6.8282477257984096e-09,9.4057110823275296e-08
5.4602013791881524e-12,0.004023131612903226,0.0,0.0,0.010942249164081302,0.49999976936757035,1.6978511784777609e-75,5.7529578326948299e-27,2.5214237552504023e-45,2.3310890201715419e-53,2.0609273664600402e-78,3.1179438952305672e-21,3.6622531391413713e-23,0.0,0.49995042000689993,1.4078095130461131e-07,4.9321491882257769e-05,2.3063242971686507e-07,8.1538207955143887e-09,1.9599700847584279e-07,6.8282434800535138e-09,9.4584382497896188e-08
5.4885925247738505e-12,0.004023131612903226,0.0,0.0,0.010942247581574489,0.49999976936677748,1.7904984743034858e-75,5.8462578542924876e-27,2.6031378552958645e-45,2.4194239750183257e-53,2.1849443232422293e-78,3.1512699555379649e-21,3.7211133043492293e-23,0.0,0.4999501679862432,1.4078085992148803e-07,4.957281660200797e-05,2.3063322262304947e-07,8.2382014443336552e-09,1.9705154675636366e-07,6.8282392206235302e-09,9.5111653767871627e-08
5.5169836703595486e-12,0.004023131612903226,0.0,0.0,0.010942245999108756,0.49999976936602436,1.8876721119079627e-75,5.9405618408339156e-27,2.6870470388861267e-45,2.5106139397239948e-53,2.3157110314836203e-78,3.1847717206378369e-21,3.7806007400205192e-23,0.0,0.49994991601708794,1.4078076855354318e-07,4.9824088965139545e-05,2.3063397567482065e-07,8.3230099114624793e-09,1.9810608421295435e-07,6.8282349485797454e-09,9.5638924632188879e-08
5.545374815945247e-12,0.004023131612903226,0.0,0.0,0.010942244416682182,0.49999976936530927,1.9895676050102702e-75,6.0358751642651252e-27,2.773198190247926e-45,2.6047354015148727e-53,2.4535563999205631e-78,3.2184491573625172e-21,3.8407187416957451e-23,0.0,0.49994966409942332,1.4078067720074338e-07,5.0075308982569556e-05,2.3063469079457851e-07,8.4082460972295593e-09,1.9916062084473999e-07,6.828230664913728e-09,9.6166195089914726e-08
5.602157107116643e-12,0.004023131612903226,0.0,0.0,0.010942241251939289,0.49999976936398555,2.2083432022750272e-75,6.2295513095104746e-27,2.9524176658156981e-45,2.8020869381182888e-53,2.751870175435588e-78,3.2863309130474992e-21,3.9628596219704566e-23,0.0,0.49994916041852322,1.4078049454045298e-07,5.0577592023981895e-05,2.306360144679213e-07,8.5800012260993021e-09,2.0126969163075925e-07,6.8282220663167601e-09,9.7220734782222878e-08
5.653261169170899e-12,0.004023131612903226,0.0,0.0,0.010942238403787167,0.49999976936290652,2.4235053718731471e-75,6.407365663468724e-27,3.1218684346450475e-45,2.9905301057446226e-53,3.0481593671893376e-78,3.3480249575133678e-21,4.0749759975082325e-23,0.0,0.49994870728170376,1.407803301976823e-07,5.1029467848427326e-05,2.3063709349838889e-07,8.736042640356443e-09,2.0316785250999102e-07,6.8282142963469219e-09,9.8169819106823696e-08
5.704365231225156e-12,0.004023131612903226,0.0,0.0,0.010942235555736014,0.49999976936192453,2.6573572456071198e-75,6.5885338128125684e-27,3.2993468397174224e-45,3.1897368830502103e-53,3.3731789768564484e-78,3.4102876625117861e-21,4.1891866294463296e-23,0.0,0.49994825431154738,1.4078016590352598e-07,5.1481174242478251e-05,2.3063807554663325e-07,8.8934683138821696e-09,2.0506601070629334e-07,6.8282065010805308e-09,9.911890210260808e-08
5.755469293279413e-12,0.004023131612903226,0.0,0.0,0.010942232707777581,0.49999976936103119,2.9113281259199603e-75,6.7730870862256492e-27,3.4851539953565098e-45,3.4002147622107513e-53,3.7294127812945607e-78,3.4731188348401245e-21,4.3055107138882559e-23,0.0,0.49994780150799178,1.407800016578362e-07,5.1932711269720873e-05,2.3063896887047281e-07,9.0522776661595578e-09,2.0696416621674739e-07,6.8281986841046786e-09,1.0006798376632307e-07
5.806573355333669e-12,0.004023131612903226,0.0,0.0,0.010942229859904309,0.499999769360219,3.1869420308351418e-75,6.9610568122465088e-27,3.6795993827010231e-45,3.6224901815640792e-53,4.1195336303459853e-78,3.5365182813632026e-21,4.4239674401235291e-23,0.0,0.49994734887097458,1.4077983746047621e-07,5.2384078993717504e-05,2.3063978102434847e-07,9.2124701168939044e-09,2.0886231903889821e-07,6.8281908485396304e-09,1.0101706409518104e-07
