Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
7.906542509983592e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31938141034791712,0.11279665801568339,0.016704868028318387,0.0,8.8007311165832289e-14,0.00054859168163642869,3.9025768704483158e-06,7.6017462308388359e-12,8.0990109329894844e-21,1.5643444818979617e-07,4.1458522840580113e-24,1.2856863032756326e-07,1.0234418170664097e-18,1.8546581917964055e-18,6.378937750335904e-16,1.3596790797901067e-18,1.2623081202086666e-13,1.6708185615275898e-17,0.0055684527253697753,0.012229495958105451,1.1044530891001612e-08,7.9322562150716653e-05,8.1225826168940664e-13,5.9435746136193464e-10,2.6112302705442807e-05,0.00027467152732688072,7.9346882693712784e-10,8.0853432560161992e-06
7.945071581632734e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31933050337683594,0.11279490027753777,0.016680414815786342,0.0,8.9424471735333811e-14,0.00055368672960611149,3.9562675771131299e-06,7.7052887723108991e-12,8.3137269940815336e-21,1.5726079679421162e-07,4.2573796194397041e-24,1.2905369922989809e-07,1.0401393381201318e-18,1.894332877203701e-18,6.4916195126524427e-16,1.3857847544842152e-18,1.2748523736223265e-13,1.7064361436183109e-17,0.0055674757817832906,0.012278348682312644,1.1089454064623389e-08,7.95996233176373e-05,8.1848132761073743e-13,6.0384157325656015e-10,2.6432824408352539e-05,0.00027703110554507638,8.0361016302605495e-10,8.1593080735851709e-06
7.979747746116963e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3192847529255895,0.11279330879697808,0.016658444177857661,0.0,9.07119392193211e-14,0.00055828885616730241,4.0049596735170784e-06,7.7992268369918428e-12,8.5108673909453187e-21,1.5800408678585804e-07,4.359815279373069e-24,1.2948978169989787e-07,1.0553284923443904e-18,1.9305560810628708e-18,6.5941958747968067e-16,1.4095860858617569e-18,1.2861740270692854e-13,1.7389873926986733e-17,0.0055665972392795549,0.012322241256875194,1.1129849020775855e-08,7.984865995097638e-05,8.2409470247782211e-13,6.1246517909696164e-10,2.6723231829834208e-05,0.00027916122740382412,8.128005297724327e-10,8.2261031331229038e-06
8.014423910601191e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31923906470116631,0.11279170831950494,0.016636508757348945,0.0,9.2010828746849739e-14,0.00056290665759473708,4.0540032987497279e-06,7.8938774552508428e-12,8.7117534273309647e-21,1.5874697481327842e-07,4.464233311176682e-24,1.2992541237824135e-07,1.0706714525232079e-18,1.9672720251189048e-18,6.6978801574092296e-16,1.433679704073151e-18,1.2975255417184118e-13,1.7720129324067716e-17,0.0055657193650583778,0.012366063045009052,1.1170210487352735e-08,8.0097396208472188e-05,8.2971997396847408e-13,6.2117249192095922e-10,2.7015477612312033e-05,0.00028129748829407175,8.2205079626586023e-10,8.2931123888591192e-06
8.04910007508542e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31919343857707011,0.11279009886287783,0.016614608481918553,0.0,9.332117075711933e-14,0.0005675400995456977,4.1033989925077295e-06,7.9892427862840324e-12,8.9164384016650507e-21,1.5948946046445282e-07,4.5706627367602613e-24,1.3036059364968853e-07,1.086169102498864e-18,2.0044844815992172e-18,6.8026784707169123e-16,1.4580677143558883e-18,1.3089066398414187e-13,1.8055175549282675e-17,0.0055648421579219546,0.012409814190857753,1.121053896809559e-08,8.034583331298302e-05,8.3535708932426598e-13,6.2996392453142552e-10,2.73095641111568e-05,0.00028343986875846569,8.313610192666347e-10,8.3603352692064399e-06
8.083776239569648e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3191478744271492,0.11278848044481539,0.01659274327941802,0.0,9.4642995415044901e-14,0.00057218914776868289,4.1531472882815111e-06,8.0853249903507626e-12,9.1249761070711977e-21,1.6023154340840237e-07,4.679132867040556e-24,1.3079532786387116e-07,1.1018223279498185e-18,2.0421972240454312e-18,6.9085969186296692e-16,1.4827522251627473e-18,1.3203170447811344e-13,1.8395060799357017e-17,0.0055639656166756235,0.012453494838184705,1.1250834968001715e-08,8.0593972474570224e-05,8.4100599599565226e-13,6.3883988940191395e-10,2.7605493659438324e-05,0.00028558834940587129,8.4073125455283904e-10,8.4277712043911845e-06
8.118452404053876e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31910237212559428,0.11278685308299535,0.016570913077891346,0.0,9.5976332612315629e-14,0.00057685376810303354,4.2032487133910199e-06,8.1821262289158131e-12,9.337420833244002e-21,1.6097322339427301e-07,4.7896733035593575e-24,1.3122961733608243e-07,1.1176320164095705e-18,2.080414027199051e-18,7.015641598630889e-16,1.507735348124536e-18,1.3317564809546241e-13,1.8739833546455184e-17,0.0055630897401278481,0.012497105130374478,1.1291098993315418e-08,8.0841814890758205e-05,8.4666664163973144e-13,6.4780079866813884e-10,2.7903268567987718e-05,0.00028774291091116611,8.5016155692699632e-10,8.4954196264451495e-06
8.153128568538105e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31905693154693771,0.11278521679505485,0.016549117805574439,0.0,9.7321211968459781e-14,0.00058153392647854391,4.2537037890209604e-06,8.2796486647919735e-12,9.5538273683034484e-21,1.617145002504498e-07,4.9023139401153123e-24,1.3166346434802685e-07,1.1335990572859875e-18,2.119138666890502e-18,7.1238186016703874e-16,1.5330191980132868e-18,1.3432246738559051e-13,1.9089542538763166e-17,0.0055622145270902172,0.012540645210434055,1.1331331551522976e-08,8.1089361746304971e-05,8.5233897412409469e-13,6.5684706413096303e-10,2.8202891125990248e-05,0.00028990353401450313,8.5965198022354541e-10,8.5632799691974844e-06
8.18433711657391e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31901608769580014,0.11278373651861975,0.016529531865804633,0.0,9.8541496196891021e-14,0.00058575932595525924,4.2994161541258113e-06,8.3680372695452653e-12,9.752026281945482e-21,1.6238130466644163e-07,5.0055111280763364e-24,1.3205355021459014e-07,1.1481046670124505e-18,2.154428164367197e-18,7.2221510694239971e-16,1.5560335347971571e-18,1.3535704084600235e-13,1.9408541634762338e-17,0.0055614274016777951,0.012579771369008367,1.1367514369968983e-08,8.131190218146725e-05,8.5745402268570379e-13,6.6506202267225089e-10,2.8474133042708244e-05,0.00029185326160839235,8.6824480829651191e-10,8.6245350033735095e-06
8.212424809806135e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31897937081410677,0.11278239811080998,0.016511928617648632,0.0,9.9647783384857807e-14,0.00058957290239726999,4.340802867133851e-06,8.4480892828318302e-12,9.9332209322494485e-21,1.6298114937508192e-07,5.0998823477587954e-24,1.324043239634238e-07,1.1612698455268323e-18,2.1865453059981046e-18,7.3114423566268399e-16,1.5769574508134095e-18,1.3629011315623512e-13,1.9699123060094499e-17,0.0055607194467871988,0.012614936470825436,1.1400057773530809e-08,8.1511985394783131e-05,8.620655929739653e-13,6.7251513146587736e-10,2.8719533281553764e-05,0.00029361218958034622,8.760200582541984e-10,8.6798105698749681e-06
