Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),H2OX(23),CHOX(53)
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,4.9987462898870824e-62,9.3745342344386986e-38,6.3810828669637794e-24,6.2061041401081156e-47,1.5330035055933477e-39,1.736894759526596e-82,1.108749269341098e-17,4.4080082604491097e-80,1.1087492650570495e-17,4.0124112277307921e-55,3.5508671383574512e-46,1.0205195587887772e-67,6.165980889361307e-69,3.0919389820358846e-34,2.0231908605875709e-63,4.3971413571189661e-11,2.1141846502975355e-12,8.1463273938839228e-16,8.1544965410955918e-16,4.9162305350215178e-20,2.3779834754828542e-19,1.3043978695032536e-21,9.801979961106955e-24,4.9081098320077032e-38,7.4134452427516898e-57,3.7251131705411741e-33,3.0902823078355707e-33,7.5506342976662808e-59
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,1.4077236017348456e-59,1.4988207647963936e-36,2.7949011613912248e-23,4.3711902012237923e-45,1.2255940923140058e-38,4.9264936626286861e-80,2.2174986032893825e-17,2.8193392608665128e-78,2.2174985861576274e-17,6.4157611607544227e-54,5.6751396972730779e-45,1.4384579464791284e-65,8.6905031267914913e-67,2.4717435797011094e-33,6.4701448628730546e-62,8.7942829025707707e-11,4.2283694116887456e-12,1.6286893601760388e-15,1.6320534162727665e-15,1.0542811372786212e-19,1.0358357163124887e-18,1.1446906653250707e-20,3.9177221332531536e-23,1.7266244811419473e-36,1.0435920316377731e-54,3.2939662762155613e-32,2.4703442697587962e-32,1.0633424046948771e-56
3.271108378488655e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630617383,0.11866996589804861,0.022821567689883009,1.0812071882400616e-58,5.5147097317668803e-36,6.1039751167810292e-23,2.4881156828751667e-44,3.6371182203022486e-38,3.7641315381478177e-79,3.3262479416318637e-17,1.6003960621609694e-77,3.326247905233175e-17,2.4264672552613757e-53,2.1626659432742348e-44,9.56840531341427e-65,5.7806554804307937e-66,7.0646750077224597e-33,3.0175319709710268e-61,1.3191424414545494e-10,6.3425541723900661e-12,2.442314154351289e-15,2.4495326863010629e-15,1.6175440989302249e-19,2.2537419152326056e-18,3.3500855380120837e-20,8.3206546739699884e-23,8.2181362381181555e-36,6.9965987202472698e-54,9.674330689988417e-32,7.0605524572992566e-32,7.1274583110147755e-56
5.451847335994327e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756296956381,0.11866996581010412,0.022821567687768825,1.0260378182551292e-56,4.2377187053760121e-35,1.732726540064695e-22,6.4164235478495566e-43,1.7015243390465316e-37,3.0355525838762799e-77,5.543746635872303e-17,4.2968477157051713e-76,5.5437465352873064e-17,1.9126698072122342e-52,1.7745220046490202e-43,4.2896599949185839e-63,2.5910439956538599e-64,3.2425499046203058e-32,4.0388876757034051e-60,2.198570730458662e-10,1.0570923691033419e-11,4.0678382678916033e-15,4.088022102655668e-15,2.7430966329503499e-19,6.3353753353476629e-18,1.574164517917842e-19,2.2972110786295366e-22,1.2356498802743262e-34,3.7765121760249752e-52,4.5898023572161607e-31,3.240487081936142e-31,3.852196119931794e-54
7.414512397749432e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756288660678,0.11866996573095409,0.022821567685866059,5.9163542771252678e-56,1.1664132123012002e-34,3.1144597533520518e-22,2.6337455435588111e-42,3.9233614124479419e-37,1.5443719565828358e-76,7.5394954748542697e-17,1.8647793808690052e-75,7.5394952957967639e-17,5.3642527475836661e-52,5.1694021986220543e-43,1.9641939404887865e-62,1.1862987483394248e-63,7.2938167451059015e-32,1.3398126241729378e-59,2.9900561797458356e-10,1.4376456255583706e-11,5.529417520945297e-15,5.5655347335068791e-15,3.7551418274876179e-19,1.1314288003890879e-17,3.5608793822432766e-19,4.0868743109227496e-22,4.4464917730779219e-34,2.014240830352099e-51,1.0435784442128723e-30,7.2889634473479966e-31,2.0562658534534943e-53
9.377177459504537e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756280364975,0.11866996565180406,0.022821567683963293,2.3704628810042555e-55,2.6254224036170003e-34,4.8891393294790546e-22,8.2047526551373308e-42,7.5488487697291046e-37,6.3905541038496851e-76,9.5352443288070063e-17,5.6442111628181425e-75,9.5352440493842226e-17,1.2274239559174492e-51,1.1817836061645737e-42,7.0879911065923572e-62,4.2806565959624171e-63,1.3775627676638965e-31,3.5981386936846292e-59,3.7815416175839362e-10,1.8181988817774896e-11,6.9895244848177361e-15,7.0461112087286664e-15,4.7661683886983329e-19,1.7646500031469044e-17,6.7389948687259869e-19,6.3737275726431661e-22,1.1774305429757588e-33,6.9049075354065884e-51,1.9854426971621007e-30,1.3766038954715303e-30,7.047419286213582e-53
1.1339842521259643e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756272069272,0.11866996557265402,0.022821567682060527,7.5433569851986582e-55,5.0430344954211221e-34,7.0346511498218271e-22,2.0732178790724681e-41,1.2825557729730962e-36,2.0001418108423306e-75,1.1530993196890426e-16,1.4646085456657624e-74,1.1530992796436261e-16,2.3921432277374121e-51,2.3345991720920453e-42,1.9898899205586276e-61,1.2016718266054181e-62,2.3009629730318868e-31,7.9559663499184888e-59,4.5730270446071729e-10,2.1987521377737943e-11,8.4482420168748082e-15,8.5296007980157563e-15,5.7762329664103117e-19,2.5234146964408898e-17,1.1258498360129656e-18,9.1290952691807516e-22,2.6690872917468674e-33,2.0211599523840027e-50,3.3331852772018649e-30,2.2992955824307226e-30,2.0640982067412769e-52
1.5265172644769853e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756255477866,0.11866996541435397,0.022821567678254995,4.7257053807625825e-54,1.3029024239512942e-33,1.2170348933850609e-21,8.2300251245079473e-41,2.8318461195161627e-36,1.0822170408724313e-74,1.5522490965241917e-16,6.4715080118573479e-74,1.5522490275641869e-16,6.3443496113572273e-51,6.5162808504331561e-42,8.9940846810109285e-61,5.4301739377906886e-62,4.9068296543404816e-31,2.501043506326546e-58,6.1559978739905528e-10,2.9598586492583254e-11,1.1362512262205539e-14,1.150327687738914e-14,7.7941706449734653e-19,4.3207568655271651e-17,2.3967648368253994e-18,1.5705002080740324e-21,9.3140197221393285e-33,1.1849772914246438e-49,7.1516379133561721e-30,4.9030464671315425e-30,1.2129342551399385e-51
1.9190502768280063e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756238886459,0.11866996525605392,0.022821567674449462,1.8591348599276885e-53,2.756898540976515e-33,1.8673870459503655e-21,2.4126221046954967e-40,5.2986320002334361e-36,3.97245176071806e-74,1.951398878569603e-16,1.9459793856116954e-73,1.9513987730700227e-16,1.3748189444252311e-50,1.4565146792871276e-41,2.9217894065364819e-60,1.7637207992806946e-61,8.9131742443884622e-31,6.1815252707189164e-58,7.7389686633977956e-10,3.7209651599193311e-11,1.4271657556669953e-14,1.4487875855974633e-14,9.8085596319042476e-19,6.5633884493813838e-17,4.3402603258295362e-18,2.4003204471888563e-21,2.4206698806626708e-32,4.15950810651455e-49,1.3046185295881929e-29,8.9059119708176242e-30,4.2620470838658855e-51
2.3115832891790275e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756222295053,0.11866996509775386,0.02282156767064393,6.023191858997696e-53,5.2112685371437973e-33,2.6635594891104196e-21,6.0643744366144881e-40,8.955661591731375e-36,1.2412387926321588e-73,2.3505486661683029e-16,5.0335323848023022e-73,2.3505485159983319e-16,2.6543240637427323e-50,2.8725470982102095e-41,8.1021459728419578e-60,4.8899846733738855e-61,1.4728412478703165e-30,1.3434225859575715e-57,9.321939410117414e-10,4.4820716697010372e-11,1.7175339270072879e-14,1.7484261415711883e-14,1.1819165445069717e-18,9.2665364962263243e-17,7.1427309200336369e-18,3.4132730611854716e-21,5.4536999577565169e-32,1.2293685440300307e-48,2.1629839463098172e-29,1.4715756421133476e-29,1.2613154611004155e-50
