Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99)
8.416361390674976e-13,0.004023131612903226,0.0,0.0,0.010942568902360859,0.49999982261521708,8.8283087976557524e-72,1.4641657869696327e-21,2.590738879460466e-42,3.7840388241808733e-51,1.6944825865010249e-75,6.3234199249883644e-19,1.1744020199633905e-21,0.0,0.4999921113805888,1.407473770276637e-07,7.7318465944214934e-06,1.7738478291543827e-07,1.9617378229466454e-10,1.5633091773085867e-08,1.5319484176605713e-08,1.5680379855830212e-10
8.465043075902632e-13,0.004023131612903226,0.0,0.0,0.010942568275034151,0.49999982216555972,9.3522411855108666e-72,1.4897195615092883e-21,2.681917424853404e-42,3.9398801402945752e-51,1.805430728720559e-75,6.3967133699085028e-19,1.1948887524710455e-21,0.0,0.49999206669984481,1.4074958665755265e-07,7.7764301601515663e-06,1.778344403169464e-07,1.9844712106315411e-10,1.5723513756489409e-08,1.5404521867671184e-08,1.5949594473103602e-10
8.513724761130287e-13,0.004023131612903226,0.0,0.0,0.01094256765166313,0.49999982171969792,9.9039911904397399e-72,1.5155689392001873e-21,2.7757540354904436e-42,4.1011900119165335e-51,1.9229436168570614e-75,6.4704283338654173e-19,1.215612244586114e-21,0.0,0.4999920220207677,1.4075169605390626e-07,7.8210121331418916e-06,1.7828030206356166e-07,2.0073352583123075e-10,1.5813935719163508e-08,1.548949978383083e-08,1.6221796799198369e-10
8.562406446357943e-13,0.004023131612903226,0.0,0.0,0.010942567032211536,0.49999982127759979,1.0484863831799988e-71,1.5417156199101398e-21,2.8723103235921794e-42,4.2681273943396889e-51,2.0473687640096432e-75,6.5445648031578949e-19,1.2365738538447662e-21,0.0,0.49999197734335282,1.4075370972377631e-07,7.8655925134494306e-06,1.7872240019498529e-07,2.0303299607858748e-10,1.5904357661161307e-08,1.5574417637858881e-08,1.6497001198060637e-10
8.611088131585598e-13,0.004023131612903226,0.0,0.0,0.010942566416643573,0.4999998208392335,1.1096217378863692e-71,1.5681613035059251e-21,2.9716489656162198e-42,4.4408549166418598e-51,2.1790699382015956e-75,6.6191227640854371e-19,1.2577749377371107e-21,0.0,0.49999193266759584,1.407556319716351e-07,7.910171301131136e-06,1.7916076648046583e-07,2.053455312849362e-10,1.5994779582535383e-08,1.5659275143430107e-08,1.6775221988579397e-10
8.659769816813254e-13,0.004023131612903226,0.0,0.0,0.010942565804923924,0.49999982040456759,1.1739465201993178e-71,1.594907689853295e-21,3.0738337144221397e-42,4.6195389449604627e-51,2.3184278237000951e-75,6.6941022029482505e-19,1.2792168537071978e-21,0.0,0.4999918879934927,1.4075746690848018e-07,7.9547484962439692e-06,1.7959543242108257e-07,2.0767113093000773e-10,1.6085201483337731e-08,1.5744072015123189e-08,1.7056473444421404e-10
8.70845150204091e-13,0.004023131612903226,0.0,0.0,0.010942565197017707,0.49999981997357079,1.241607767711535e-71,1.6219564788169746e-21,3.1789294115050957e-42,4.8043496464884523e-51,2.4658407052589451e-75,6.7695031060472453e-19,1.300900959153021e-21,0.0,0.49999184332103935,1.4075921846052993e-07,7.9993240988448762e-06,1.8002642925200871e-07,2.10009794493552e-10,1.61756233636198e-08,1.5828807968423949e-08,1.7340769793867443e-10
8.757133187268565e-13,0.004023131612903226,0.0,0.0,0.010942564592890487,0.49999981954621203,1.3127584144714196e-71,1.6493093702606654e-21,3.2870019992981165e-42,4.9954610541955003e-51,2.6217251759424274e-75,6.8453254596840312e-19,1.3228286114265206e-21,0.0,0.49999179865023197,1.4076089037752838e-07,8.0438981089908165e-06,1.804537879447562e-07,2.123615214553378e-10,1.6266045223432451e-08,1.5913482719728617e-08,1.7628125219649992e-10
8.805814872496221e-13,0.004023131612903226,0.0,0.0,0.010942563992508253,0.49999981912246078,1.3875574924582116e-71,1.6769680640470459e-21,3.3981185335430433e-42,5.193051132278502e-51,2.7865168692033591e-75,6.9215692501609186e-19,1.3450011678335832e-21,0.0,0.49999175398106688,1.4076248624067635e-07,8.0884705267387328e-06,1.8087753920940161e-07,2.1472631129515284e-10,1.6356467062826036e-08,1.5998095986347056e-08,1.791855385879226e-10
8.854496557723876e-13,0.004023131612903226,0.0,0.0,0.010942563395837416,0.49999981870228655,1.4661703387591624e-71,1.7049342600377767e-21,3.5123471957301229e-42,5.397301842345442e-51,2.9606712159037302e-75,6.9982344637809171e-19,1.3674199856340478e-21,0.0,0.49999170931354076,1.4076400947020684e-07,8.1330413521455677e-06,1.812977134967925e-07,2.171041634928039e-10,1.6446888881850335e-08,1.6082647486505972e-08,1.8212069802448673e-10
8.903178242951532e-13,0.004023131612903226,0.0,0.0,0.010942562802844799,0.49999981828565898,1.5487688085770083e-71,1.7332096580934971e-21,3.6297573056062496e-42,5.6083992103367144e-51,3.144664226981804e-75,7.0753210868477241e-19,1.3900864220417048e-21,0.0,0.4999916646476501,1.4076546333261924e-07,8.1776105852682706e-06,1.8171434100073597e-07,2.1949507752811671e-10,1.6537310680554614e-08,1.6167136939352079e-08,1.8508687095746665e-10
8.951859928179188e-13,0.004023131612903226,0.0,0.0,0.010942562213497618,0.49999981787254832,1.6355314941982032e-71,1.7617959580738332e-21,3.7504193337518308e-42,5.8265333941879073e-51,3.3389933024853873e-75,7.1528291056657309e-19,1.4130018342243017e-21,0.0,0.49999161998339192,1.4076685094758909e-07,8.2221782261637758e-06,1.8212745166016818e-07,2.218990528809359e-10,1.6627732458987595e-08,1.625156406495522e-08,1.8808419737629961e-10
9.000541613406843e-13,0.004023131612903226,0.0,0.0,0.010942561627763494,0.49999981746292488,1.726643950054486e-71,1.7906948598373947e-21,3.8744049142262835e-42,6.0518987522381537e-51,3.5441780677069906e-75,7.2307585065400175e-19,1.4361675793035415e-21,0.0,0.49999157532076305,1.4076817529456662e-07,8.2667442748890308e-06,1.8253707516130609e-07,2.2431608903112512e-10,1.6718154217197493e-08,1.6335928584311529e-08,1.9111281680703207e-10
9.049223298634499e-13,0.004023131612903226,0.0,0.0,0.010942561045610416,0.49999981705675905,1.8222989240126071e-71,1.8199080632417791e-21,4.0017868572821616e-42,6.2846939123880775e-51,3.7607612371729726e-75,7.3091092757763498e-19,1.4595850143550887e-21,0.0,0.49999153065976054,1.4076943921907939e-07,8.3113087315009666e-06,1.8294324093978032e-07,2.2674618545856691e-10,1.6808575955232002e-08,1.6420230219346452e-08,1.9417286831078015e-10
9.097904983862154e-13,0.004023131612903226,0.0,0.0,0.010942560467006764,0.49999981665402188,1.9226965950292132e-71,1.8494372681435733e-21,4.1326391621478666e-42,6.5251218420114018e-51,3.9893095072552894e-75,7.3878813996811769e-19,1.4832554964085693e-21,0.0,0.49999148600038174,1.4077064543875096e-07,8.3558715960565138e-06,1.8334597818275083e-07,2.2918934164316285e-10,1.6898997673138301e-08,1.650446869291787e-08,1.9726449048220423e-10
9.14658666908981e-13,0.004023131612903226,0.0,0.0,0.010942559891921269,0.49999981625468415,2.02804481731018e-71,1.8792841743983563e-21,4.2670370298789964e-42,6.7733899186242681e-51,4.2304144781913971e-75,7.467074864561629e-19,1.5071803824475727e-21,0.0,0.49999144134262391,1.4077179654904989e-07,8.4004328686126101e-06,1.8374531583100397e-07,2.316455570648335e-10,1.6989419370963087e-08,1.6588643728819073e-08,2.0038782144799778e-10
9.195268354317466e-13,0.004023131612903226,0.0,0.0,0.010942559320323038,0.49999981585871739,2.1385593711159024e-71,1.9094504818606973e-21,4.4050568762782586e-42,7.029710001316349e-51,4.4846936063149443e-75,7.5466896567255202e-19,1.5313610294096568e-21,0.0,0.49999139668648468,1.4077289502877959e-07,8.4449925492261845e-06,1.8414128258103231e-07,2.3411483120351831e-10,1.7079841048752547e-08,1.6672755051781792e-08,2.035429988653896e-10
9.243950039545121e-13,0.004023131612903226,0.0,0.0,0.010942558752181525,0.49999981546609307,2.2544642203563983e-71,1.9399378903841616e-21,4.5467763448840004e-42,7.2942985029477441e-51,4.7527911873173454e-75,7.6267257624813285e-19,1.5557987941863477e-21,0.0,0.49999135203196132,1.4077394324532167e-07,8.4895506379541627e-06,1.845339068870969e-07,2.3659716353917559e-10,1.7170262706552373e-08,1.6756802387479165e-08,2.0673015992066121e-10
9.292631724772777e-13,0.004023131612903226,0.0,0.0,0.01094255818746652,0.49999981507678293,2.3759917771223477e-71,1.9707480998213117e-21,4.692274320027292e-42,7.5673764631158184e-51,5.0353793713780113e-75,7.7071831681382219e-19,1.5804950336231429e-21,0.0,0.49999130737905184,1.4077494345964425e-07,8.5341071348534704e-06,1.8492321696327179e-07,2.3909255355178289e-10,1.7260684344407792e-08,1.6840785462528683e-08,2.0994944132767772e-10
9.389995095228088e-13,0.004023131612903226,0.0,0.0,0.010942557068196933,0.4999998143079939,2.6368885574526216e-71,2.0333437208419051e-21,4.9949276102098577e-42,8.1399084963231255e-51,5.6468618259134738e-75,7.8693618243952545e-19,1.6306683636289059e-21,0.0,0.49999121807806518,1.4077680842137757e-07,8.6232153533937602e-06,1.8569200609341883e-07,2.4412250452785184e-10,1.744152756046387e-08,1.7008557741893224e-08,2.1648490968164456e-10
