Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24)
1.4418684650035138e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32920257419897186,0.11291185901537054,0.021516012077709361,4.7611789962147427e-07,7.6594533097618088e-06,8.4411665501167692e-06,3.9843257290963574e-07,2.019923683277768e-15,1.15282081166353e-23,1.9075088181051187e-08,1.2100099835868013e-29,2.3502273460779976e-08,1.9356277274010558e-22,1.6457663687374102e-14,1.1228312550208998e-17,2.8367212473110084e-20,5.9890901065515181e-08,4.0868367459895665e-22,0.0057457285569904974,0.0025906041321354469,8.1684700409701602e-12,1.6970463118645384e-05,5.6590843177550201e-16,1.8295966550318649e-11,2.4883906452109498e-07,2.0056726275582227e-07,1.1235863792900187e-05,4.4949810867948045e-10,1.0270058406227064e-10
1.4477968193455325e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32919253635548601,0.11291192537526397,0.021510859458367764,4.8363776842139054e-07,7.7657584495362309e-06,8.5153224852447499e-06,4.0229034260457602e-07,2.0540224925715459e-15,1.17599499165736e-23,1.921686612459e-08,1.249767609558924e-29,2.3591489031558048e-08,1.9803887854751308e-22,1.6813868384711782e-14,1.1385137719802991e-17,2.8776058914514173e-20,6.0477717751370369e-08,4.1908351519053035e-22,0.0057455663085098571,0.002600698330069541,8.1990211063808973e-12,1.6990952356840265e-05,5.6802524222566065e-16,1.8333466448524028e-11,2.4899368127957283e-07,2.0159704643033955e-07,1.1320077102834717e-05,4.5533826914633653e-10,1.038761923397585e-10
1.4537251736875511e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32918250322043541,0.11291199173623599,0.021505708387139014,4.9124340302051954e-07,7.8728610199874217e-06,8.5895237930873713e-06,4.0616621387745436e-07,2.0886295932058718e-15,1.1995076485573457e-23,1.9359439444885559e-08,1.2907456700350911e-29,2.3680220184467254e-08,2.0260852507845887e-22,1.717620270217763e-14,1.1543159027084367e-17,2.918885451639349e-20,6.1066527816888161e-08,4.2972358745539964e-22,0.0057454037036449024,0.0026107881936278271,8.229558919581812e-12,1.7011174808511091e-05,5.7014113090375753e-16,1.8370732502768208e-11,2.4914832500830991e-07,2.0262525921406271e-07,1.1404541020815301e-05,4.6121776919539147e-10,1.0505999363866889e-10
1.4596535280295698e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32917247477315176,0.11291205808186938,0.021500558863345884,4.9893539770342928e-07,7.9807613564427364e-06,8.6637676844245253e-06,4.1006016024496463e-07,2.1237516231405073e-15,1.223361630246629e-23,1.9502809527902149e-08,1.3329789894556309e-29,2.3768467483350393e-08,2.0727344828396275e-22,1.7544744873284185e-14,1.1702375203381826e-17,2.9605617759288057e-20,6.1657317873177684e-08,4.4060890593181426e-22,0.00574524075898631,0.0026208737234080536,8.2600834843243269e-12,1.703113468404452e-05,5.7225609815041647e-16,1.8407768098734396e-11,2.4930299257974989e-07,2.0365191329409315e-07,1.148925480729329e-05,4.671366087877513e-10,1.0625200464524181e-10
1.4655818823715885e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32916245099372837,0.11291212439642009,0.021495410886312145,5.0671434793437148e-07,8.0894597936606005e-06,8.7380514132868817e-06,4.1397215499363389e-07,2.159395288850253e-15,1.2475597856163397e-23,1.9646977734609417e-08,1.3765033049602963e-29,2.3856231544641718e-08,2.1203541166693254e-22,1.7919573771335378e-14,1.1862784928176491e-17,3.0026367096614082e-20,6.2250074628287081e-08,4.5174457809590127e-22,0.0057450774904515868,0.002630954920005472,8.2905948043299355e-12,1.7050836108767299e-05,5.7437014430284662e-16,1.8444576551923059e-11,2.4945768091241925e-07,2.0467702064490782e-07,1.1574217721791081e-05,4.7309478793410474e-10,1.0745224191086418e-10
1.4715102367136072e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32915243186299198,0.11291219066478984,0.021490264455362531,5.1458085034736197e-07,8.1989566658400403e-06,8.8123722762513836e-06,4.179021711818964e-07,2.1955673657350184e-15,1.2721049644449672e-23,1.9791945401242894e-08,1.421355287923013e-29,2.3943513035741478e-08,2.1689620662598366e-22,1.8300768911076553e-14,1.2024386829856364e-17,3.0451120954430503e-20,6.2844784885990046e-08,4.6313580583424496e-22,0.0057449139133123519,0.0026410317840128974,8.3210928832878409e-12,1.7070283124342904e-05,5.7648326969467538e-16,1.8481161108709768e-11,2.4961238696992096e-07,2.0570059302382016e-07,1.1659429022910701e-05,4.7909230668285944e-10,1.0866072185208557e-10
1.477438591055626e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32914241736247452,0.11291225687250012,0.021485119569822707,5.2253550273626159e-07,8.3092523066198289e-06,8.8867276117418411e-06,4.218501816421513e-07,2.2322746985295016e-15,1.297000017279012e-23,1.993771383956043e-08,1.4675725659294002e-29,2.4030312673424076e-08,2.2185765280182184e-22,1.8688410450316325e-14,1.2187179486459237e-17,3.087989773120772e-20,6.3441435544563247e-08,4.7478788693479947e-22,0.0057447500422205177,0.0026511043160207634,8.3515777248538323e-12,1.7089479690177918e-05,5.7859547465573617e-16,1.8517524947435571e-11,2.4976710775995805e-07,2.0672264196712476e-07,1.1744887968342383e-05,4.8512916509303183e-10,1.0987746075064191e-10
1.4833669453976446e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32913240747438682,0.11291232300566688,0.021479976229019277,5.3057890404486043e-07,8.4203470490686389e-06,8.9611147993351037e-06,4.2581615898279838e-07,2.2695242017124923e-15,1.3222477953149016e-23,2.0084284337094699e-08,1.5151937452045502e-29,2.4116631222279602e-08,2.2692159842618422e-22,1.9082579191520217e-14,1.2351161426404313e-17,3.1312715797598223e-20,6.4040013595557591e-08,4.867062165962667e-22,0.0057445858912333987,0.0026611725166171929,8.3820493326491756e-12,1.7108429684831867e-05,5.8070675951214191e-16,1.855367117953263e-11,2.4992184033338551e-07,2.0774317878948955e-07,1.1830593814873096e-05,4.9120536324464399e-10,1.1110247475346485e-10
1.4892952997396632e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32912240218159289,0.11291238905097656,0.021474834432279731,5.3871165435696208e-07,8.5322412256667159e-06,9.0355312590732549e-06,4.2980007559025666e-07,2.3073228599157391e-15,1.3478511502821405e-23,2.0231658157401723e-08,1.5642584334986039e-29,2.4202469493188478e-08,2.320899206733318e-22,1.9483356583375761e-14,1.2516331129212613e-17,3.1749593496209565e-20,6.4640506122563865e-08,4.9889628895607569e-22,0.0057444214738378201,0.0026712363863880748,8.4125077102585517e-12,1.7127136907434249e-05,5.8281712458617865e-16,1.8589602850613228e-11,2.5007658178329108e-07,2.0876221458091095e-07,1.1916545818395046e-05,4.9732090123179505e-10,1.1233577987270209e-10
1.495223654081682e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32911240146758547,0.11291245499566295,0.021469694178932429,5.4693435488647271e-07,8.6449351682787989e-06,9.1099744507823386e-06,4.3380190363096342e-07,2.3456777283323933e-15,1.3738129343276813e-23,2.0379836540305391e-08,1.6148072634377975e-29,2.4287828341829212e-08,2.3736452601408976e-22,1.9890824722329106e-14,1.2682687026216468e-17,3.2190549141379075e-20,6.5242900299976141e-08,5.1136369863710064e-22,0.0057442568029732388,0.0026812959259171392,8.4429528612294491e-12,1.7145605079106119e-05,5.8492657019606393e-16,1.8625322941584049e-11,2.5023132924410175e-07,2.0977976020363412e-07,1.2002743233914154e-05,5.034757791220329e-10,1.1357739198575107e-10
