Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74)
7.005130491511943e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4435212594093301,0.11017216879156369,0.022337389350763005,6.012907247921481e-10,6.002070444489168e-07,0.00029013852577117416,8.250731339059169e-05,6.861866418409733e-07,3.342617870673562e-16,0.0005967132346903616,2.0770791711960228e-14,0.000300465505097685,2.6749449181934156e-11,1.596854657156421e-08,4.430356440473227e-12,6.055898504285955e-14,3.860279843849161e-06,1.3461533779157564e-09,0.007803704243279621,0.0008782390391884715,8.504593456444292e-05,9.784409682246223e-09,3.3157688751645817e-09,5.271914659914841e-09,3.2330087893875364e-12,5.618864038810445e-08,1.3397136983567742e-05,1.2354952247458838e-08,5.545237327398614e-06,2.126630492378527e-09,1.852002625669183e-09,2.559801303111216e-10,3.3232657276578e-13,3.1036132311247765e-06,2.7382736900413445e-11,1.2319788954320557e-13,5.970545408410869e-11,7.733762454858783e-13,3.8045568167203996e-16,1.3816298966878593e-17,7.693755126096282e-19
7.030912682715012e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44351670592907005,0.11016787842328249,0.02233563488518183,6.090266721041438e-10,6.06040591658441e-07,0.0002921607441613796,8.318305324554585e-05,6.932215629972523e-07,3.392755467183932e-16,0.0005987510187726742,2.113719110017134e-14,0.00030091431493121614,2.7034185922106585e-11,1.6177060948027838e-08,4.473721578049585e-12,6.132014562700738e-14,3.881760518989519e-06,1.3657352083298575e-09,0.007805263691892498,0.0008810294097815534,8.520675783369987e-05,9.834151247908825e-09,3.326832053528171e-09,5.2894951584390936e-09,3.2443456348965354e-12,5.630720196461878e-08,1.3399919159687842e-05,1.2423070628503454e-08,5.585029230293068e-06,2.1575799143806105e-09,1.85830854208868e-09,2.5807417001289025e-10,3.347941818577719e-13,3.1187533302946904e-06,2.7647392455373415e-11,1.2463107479935042e-13,6.072411255742874e-11,7.801193118554102e-13,3.859860282534589e-16,1.4014936522941298e-17,7.804380385586755e-19
7.056694873918082e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4435121829785622,0.1101636149744274,0.022333880558411612,6.16829862007832e-10,6.119066528994196e-07,0.0002941880292770692,8.386107512085554e-05,7.002995900135513e-07,3.4434205973057744e-16,0.0006007871866003531,2.150853482380982e-14,0.00030136053532051516,2.7320766068932193e-11,1.638741573292661e-08,4.5172832164927695e-12,6.208727967559122e-14,3.903258319393618e-06,1.3855239322572974e-09,0.007806795496483555,0.0008838171749891903,8.536722789442493e-05,9.883940664875442e-09,3.337884493709592e-09,5.307061626592112e-09,3.2556745344421086e-12,5.642544583395434e-08,1.3402671164226136e-05,1.2491313229758611e-08,5.624924311319966e-06,2.188856496035709e-09,1.8646094406676392e-09,2.601752657218862e-10,3.3727070682619924e-13,3.1338873990620146e-06,2.7913513547131904e-11,1.2607424336838473e-13,6.175593636664862e-11,7.868950740265474e-13,3.9157476026125703e-16,1.421553197197938e-17,7.916096298647547e-19
7.082477065121152e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44350769012431046,0.11015937802230638,0.022332126370402938,6.24700619072614e-10,6.178052568796018e-07,0.00029622036752338714,8.45413763853169e-05,7.074207831533281e-07,3.4946164778591747e-16,0.0006028217351702328,2.1884867878337852e-14,0.0003018041817039209,2.7609192674855397e-11,1.6599618578961102e-08,4.5610410455896975e-12,6.286040427413738e-14,3.9247729758149744e-06,1.405520872427639e-09,0.0078083000844173895,0.0008866023379616259,8.552734718464987e-05,9.933777701299062e-09,3.348926181339699e-09,5.324614039702765e-09,3.2669955147586445e-12,5.654337623334765e-08,1.3405393819140204e-05,1.2559680165979441e-08,5.664922287623026e-06,2.220462330180886e-09,1.870905311713552e-09,2.622834092334189e-10,3.3975615659679513e-13,3.1490152495780996e-06,2.818110143913802e-11,1.2752741730213276e-13,6.280103842284533e-11,7.937035785684079e-13,3.972222504990742e-16,1.4418095778979334e-17,8.028908698964717e-19
7.108259256324221e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44350322693951644,0.11015516715080768,0.022330372321108606,6.326392683198657e-10,6.237364319129482e-07,0.000298257745371317,8.522395443571687e-05,7.145852019993294e-07,3.546346332134266e-16,0.0006048546615076642,2.226623543943003e-14,0.00030224526942765383,2.7899468760731803e-11,1.681367711880024e-08,4.604994755654072e-12,6.36395364648347e-14,3.946304220433698e-06,1.4257273536314972e-09,0.007809777876454511,0.0008893849018140102,8.568711811354998e-05,9.983662126133382e-09,3.359957102212921e-09,5.34215237333581e-09,3.278308601421483e-12,5.6660997279609886e-08,1.340808791522863e-05,1.2628171542934746e-08,5.705022877729292e-06,2.252399512919321e-09,1.8771961456244024e-09,2.643985924286801e-10,3.4225053988894233e-13,3.164136695704337e-06,2.8450157377073707e-11,1.2899061857143016e-13,6.3859532047867e-11,8.005448714658408e-13,4.029288723458997e-16,1.4622638416213775e-17,8.142823424325336e-19
7.134041447527291e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44349879300397504,0.11015098195029761,0.022328618410483555,6.40646135217119e-10,6.297002059216349e-07,0.0003003001493571636,8.590880669578505e-05,7.217929054550583e-07,3.598613389890584e-16,0.0006068859626664091,2.2652682862066954e-14,0.00030268381374638434,2.81915973158913e-11,1.7029598964938605e-08,4.649144037506421e-12,6.4424693246757e-14,3.967851786850087e-06,1.4461447026977646e-09,0.00781122928685345,0.000892164869627556,8.584654306195581e-05,1.003359370913896e-08,3.37097724228661e-09,5.359676603291217e-09,3.2896138188790468e-12,5.677831297258828e-08,1.3410754213206327e-05,1.2696787457640947e-08,5.745225801537828e-06,2.2846701435842604e-09,1.8834819328884153e-09,2.6652080727150925e-10,3.4475386521946726e-13,3.1792515530004177e-06,2.8720682588945444e-11,1.304638690654002e-13,6.493153097243578e-11,8.074189981255525e-13,4.086949997496216e-16,1.4829170363091012e-17,8.257846316533715e-19
7.15982363873036e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44349438790397117,0.11014682201752031,0.022326864638484833,6.487215456723105e-10,6.356966064380535e-07,0.00030234756608204285,8.659593061517549e-05,7.290439517462538e-07,3.6514208873563437e-16,0.0006089156357285361,2.3044255679622233e-14,0.0003031198298237966,2.848558129820197e-11,1.724739170955557e-08,4.693488582454671e-12,6.521589157607526e-14,3.9894154100782515e-06,1.4667742484708874e-09,0.007812654723471313,0.000894942244450664,8.600562438285141e-05,1.0083572220888854e-08,3.381986587680395e-09,5.3771867056035124e-09,3.300911190484657e-12,5.6895327198555246e-08,1.3413393444750345e-05,1.2765527998593489e-08,5.785530780308583e-06,2.3172763247030506e-09,1.889762664083796e-09,2.686500458052496e-10,3.4726614090647727e-13,3.194359638712675e-06,2.8992678285175644e-11,1.3194719059074453e-13,6.601714933424346e-11,8.143260033824659e-13,4.145210072205895e-16,1.5037702106005995e-17,8.37398322132843e-19
7.18560582993343e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4434900112321778,0.11014268695549868,0.02232511100507153,6.568658260280897e-10,6.417256606068004e-07,0.00030439998221137897,8.728532366847711e-05,7.363383984223767e-07,3.704772067227639e-16,0.0006109436778043135,2.3440999602942936e-14,0.00030355333273314933,2.8781423634134646e-11,1.7467062924375883e-08,4.738028082275318e-12,6.601314836625921e-14,4.0109948265397665e-06,1.4876173217881963e-09,0.007814054587862756,0.0008977170293000148,8.616436440186082e-05,1.0133597432773954e-08,3.3929851246755276e-09,5.39468265654108e-09,3.3122007385278902e-12,5.7012043733526375e-08,1.3416006313516567e-05,1.2834393245995592e-08,5.825937536651457e-06,2.3502201619612503e-09,1.89603832987846e-09,2.7078630014969566e-10,3.497873750731776e-13,3.209460771762491e-06,2.926614565869356e-11,1.3344060487104656e-13,6.71165016760393e-11,8.212659315061028e-13,4.20407269825194e-16,1.5248244138192566e-17,8.49123998830006e-19
7.2113880211365e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44348566258755634,0.11013857637343713,0.022323357510204766,6.650793030561951e-10,6.477873951866608e-07,0.0003064573844744089,8.797698335425311e-05,7.436763023581084e-07,3.758670178667544e-16,0.0006129700860321035,2.3842960519423538e-14,0.0003039843374578321,2.9079127218828167e-11,1.7688620160532015e-08,4.782762229195173e-12,6.681648048826926e-14,4.03258977405736e-06,1.5086752554572862e-09,0.007815429275377447,0.0009004892271616345,8.632276541772233e-05,1.0183669117007979e-08,3.403972839714227e-09,5.4121644326054665e-09,3.3234824842655515e-12,5.712846624650607e-08,1.3418593496127797e-05,1.2903383271984211e-08,5.866445794515538e-06,2.3835037641668256e-09,1.9023089210297716e-09,2.7292956249812827e-10,3.5231757565172646e-13,3.2245547727347853e-06,2.954108588502605e-11,1.3494413354608866e-13,6.822970294371061e-11,8.282388262071855e-13,4.2635416317945956e-16,1.5460806959577197e-17,8.609622470809744e-19
7.237170212339569e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44348134157525815,0.11013448988662553,0.02232160415384763,6.733623039518942e-10,6.538818365525852e-07,0.00030851975966369435,8.867090719410851e-05,7.510577197548579e-07,3.813118477305178e-16,0.0006149948575782546,2.4250184492073547e-14,0.00030441285889191934,2.937869491615547e-11,1.7912070948428192e-08,4.827690715873703e-12,6.762590477073867e-14,4.054199991848623e-06,1.5299493842334459e-09,0.007816779175255993,0.0009032588409919269,8.648082970275103e-05,1.0233787046632068e-08,3.4149497193990236e-09,5.4296320105306674e-09,3.334756447952142e-12,5.72445983026617e-08,1.3421155643133602e-05,1.2972498140853e-08,5.907055279178528e-06,2.417129243214426e-09,1.908574428384261e-09,2.750798251144391e-10,3.5485675038706565e-13,3.2396414638665694e-06,2.981750012238783e-11,1.3645779817118396e-13,6.93568684843562e-11,8.352447306442605e-13,4.3236206344265413e-16,1.567540107663413e-17,8.72913652590853e-19
7.262952403542639e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44347704780652775,0.11013042711634498,0.02231985093596514,6.817151563284928e-10,6.600090106976576e-07,0.0003105870946346399,8.936709273178502e-05,7.584827061422775e-07,3.8681202252346807e-16,0.0006170179896369949,2.466271775857874e-14,0.0003048389118407182,2.96801295587902e-11,1.8137422797605916e-08,4.872813235385984e-12,6.844143800014636e-14,4.075825220519764e-06,1.5514410447971478e-09,0.007818104670724423,0.0009060258737186784,8.663855950329064e-05,1.0283950995519054e-08,3.4259157504920976e-09,5.447085367282411e-09,3.346022648869944e-12,5.736044336642645e-08,1.3423693379942555e-05,1.3041737909272214e-08,5.947765717236326e-06,2.451098714049746e-09,1.9148348428773566e-09,2.7723708033033844e-10,3.574049068407617e-13,3.254720669035576e-06,3.0095389511771564e-11,1.3798162021652207e-13,7.049811404435239e-11,8.422836874304545e-13,4.3843134731091395e-16,1.589203700224205e-17,8.849788014257595e-19
7.288734594745708e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4434727808986074,0.11012638768977481,0.022318097856524194,6.901381882119106e-10,6.661689432350586e-07,0.00031265937630501874,9.00655375322839e-05,7.659513163797887e-07,3.923678691014135e-16,0.0006190394794303236,2.5080606730356264e-14,0.00030526251102131575,2.99834339482741e-11,1.836468319661124e-08,4.918129481206237e-12,6.926309692098085e-14,4.0974652020593795e-06,1.5731515757315842e-09,0.007819406139087177,0.0009087903282420334,8.679595704015397e-05,1.0334160738377456e-08,3.4368709199146163e-09,5.464524480057424e-09,3.3572811053585845e-12,5.7476004804530944e-08,1.3426207307727169e-05,1.3111102626505412e-08,5.9885768365927706e-06,2.4854142946339728e-09,1.921090155533099e-09,2.794013205426502e-10,3.599620523948334e-13,3.2697922137489614e-06,3.037475517703742e-11,1.3951562106653033e-13,7.165355576741243e-11,8.493557386402928e-13,4.445623920108825e-16,1.6110725255542372e-17,8.971582800049307e-19
7.314516785948778e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44346854047464335,0.11012237123990114,0.022316344915493544,6.986317280353252e-10,6.723616594000182e-07,0.0003147365916545046,9.076623918101467e-05,7.734636046581173e-07,3.9797971496644463e-16,0.0006210593242079028,2.5503897991603557e-14,0.00030568367106311985,3.0288610855085006e-11,1.8593859612863564e-08,4.963639147191996e-12,7.009089823589545e-14,4.119119679832261e-06,1.5950823175002623e-09,0.007820683951818652,0.0009115522074354419,8.695302450905335e-05,1.0384416050755135e-08,3.447815214746074e-09,5.481949326282685e-09,3.368531834844122e-12,5.7591285888964305e-08,1.342869800430219e-05,1.3180592334622837e-08,6.0294883664495695e-06,2.520078105908314e-09,1.9273403574638544e-09,2.815725382106875e-10,3.625281942555639e-13,3.2848559251320717e-06,3.065559822500247e-11,1.410598220192492e-13,7.282331019263886e-11,8.56460925816571e-13,4.507555752933673e-16,1.6331476361798974e-17,9.094526750929173e-19
7.340298977151848e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4434643261635933,0.11011837740542679,0.022314592112843763,7.071961046338867e-10,6.785871840517643e-07,0.0003168187277242097,9.146919528297064e-05,7.810196245008372e-07,4.0364788826681623e-16,0.0006230775212469488,2.5932638298341153e-14,0.00030610240650839844,3.059566301870567e-11,1.8824959492526106e-08,5.0093419275688656e-12,7.092485860585474e-14,4.140788398573226e-06,1.617234612424648e-09,0.007821938474653366,0.0009143115141465796,8.710976408102063e-05,1.04347167090426e-08,3.458748622223622e-09,5.499359883614671e-09,3.379774853867665e-12,5.770628979986473e-08,1.3431166024976628e-05,1.3250207068711405e-08,6.0705000372963546e-06,2.5550922717586167e-09,1.9335854398700293e-09,2.8375072585371104e-10,3.6510333945729804e-13,3.2999116319172883e-06,3.093791974552963e-11,1.4261424428572363e-13,7.400749425256949e-11,8.635992899772948e-13,4.570112754270112e-16,1.655430085225973e-17,9.218625737918734e-19
7.366081168354917e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44346013760013625,0.11011440583068259,0.022312839448547173,7.158316472395002e-10,6.848455416754625e-07,0.0003189057716162296,9.217440346192995e-05,7.886194287659226e-07,4.0937271779682493e-16,0.0006250940678521229,2.6366874577449625e-14,0.0003065187318128138,3.090459314769294e-11,1.9057990260377883e-08,5.055237516915916e-12,7.17649946502733e-14,4.162471104380992e-06,1.6396098046618708e-09,0.0078231700676747,0.000917068251198239,8.726617790281757e-05,1.0485062490476108e-08,3.469671129741395e-09,5.516756129938597e-09,3.391010178113456e-12,5.782101962834051e-08,1.3433611903380074e-05,1.3319946857081205e-08,6.111611580900902e-06,2.5904589189800664e-09,1.939825394039779e-09,2.8593587604846676e-10,3.6768749486621434e-13,3.31495916443294e-06,3.12217208116164e-11,1.4417890898940958e-13,7.520622527121634e-11,8.707708716226376e-13,4.633298711919797e-16,1.677920926401959e-17,9.343885635339312e-19
7.391863359557987e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44345597442458207,0.11011045616554009,0.022311086922577827,7.245386854756794e-10,6.911367563841485e-07,0.00032099771049319396,9.288186135968171e-05,7.962630696473098e-07,4.151545329966837e-16,0.0006271089613554213,2.6806653925700534e-14,0.00030693266134595407,3.1215403919747796e-11,1.929295931968738e-08,5.101325610151661e-12,7.261132294714643e-14,4.184167544712055e-06,1.6622092401824784e-09,0.00782437908540227,0.0009198224213891969,8.742226809733659e-05,1.0535453173140427e-08,3.480582724849848e-09,5.5341380433676355e-09,3.4022378224364774e-12,5.793547837922186e-08,1.3436036152263835e-05,1.3389811721468416e-08,6.152822730299491e-06,2.626180177241981e-09,1.9460602113487094e-09,2.8812798142680127e-10,3.7028066718407495e-13,3.3299983545922853e-06,3.1507002479483104e-11,1.457538371655956e-13,7.64196209620989e-11,8.779757107419454e-13,4.697117418736648e-16,1.700621213988535e-17,9.470312320736748e-19
7.417645550761056e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4434518362827841,0.11010652806532562,0.022309334534911483,7.333175493524698e-10,6.974608519206534e-07,0.00032309453157782246,9.359156663527698e-05,8.039505986764667e-07,4.2099366395239247e-16,0.0006291221991160666,2.7252023608781592e-14,0.0003073442093918609,3.152809798178597e-11,1.9529874052087712e-08,5.147605902520668e-12,7.346386003317296e-14,4.205877468374637e-06,1.68503426674825e-09,0.007825565876877947,0.0009225740274950526,8.757803676399232e-05,1.0585888535971339e-08,3.4914833952550863e-09,5.551505602242141e-09,3.4134578008895106e-12,5.80496689737443e-08,1.3438439264277361e-05,1.3459801677234635e-08,6.1941332197874256e-06,2.662258179052686e-09,1.9522898832595817e-09,2.903270346733542e-10,3.7288286295194173e-13,3.34502903588256e-06,3.1793765788660876e-11,1.4733904976084134e-13,7.764779942627031e-11,8.852138468207439e-13,4.76157267256405e-16,1.7235320028242196e-17,9.597911674807084e-19
