Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
9.440691709648327e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44318204739918426,0.10984604012267477,0.02217847577780848,0.0,1.750324055906525e-07,0.0005001695550174506,0.0001539126786047287,1.5492603639364619e-06,1.0731903493359993e-15,0.0007819857476778144,8.344336231261598e-14,0.00033615715751304017,6.168291009323724e-11,2.2863970295251287e-10,9.300970571454714e-12,1.5693006177261388e-13,3.697086127654729e-08,4.330908394593202e-09,0.007871311131553406,0.0011320174162479017,9.858783510507289e-05,3.0214128365534775e-08,4.3144644452090474e-09,2.0098520189823365e-08,1.887523710145173e-11,1.9304685290339223e-07,1.337210214138776e-05,2.16437634993257e-09,9.692227657273468e-06,6.845301493227976e-09,4.771747886656357e-10,9.464677980424182e-12,2.0046580992558753e-13,2.4252066521944137e-09,2.3331035950988933e-10,1.2230865492909045e-15
9.48031396654912e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431775498178752,0.10984150959320049,0.022175838080060684,0.0,1.7720247803461544e-07,0.0005039195419056752,0.00015524961157066167,1.5666383482831599e-06,1.0906994245827313e-15,0.0007848635870256174,8.505515279123602e-14,0.0003365676173659772,6.239553147191516e-11,2.3265510793380998e-10,9.393839747696964e-12,1.5901898264039971e-13,3.730872076960671e-08,4.400608057856617e-09,0.007871589205408078,0.0011359531490998187,9.879468956046484e-05,3.038307346267382e-08,4.3298286285699925e-09,2.0171148682212565e-08,1.8950765368737832e-11,1.9348288676445967e-07,1.3374104568103375e-05,2.178086246269097e-09,9.76643647830178e-06,6.955504846819324e-09,4.813150578249346e-10,9.574778221359667e-12,2.0216096277353005e-13,2.4341075487990124e-09,2.376638615656174e-10,1.2427577555338574e-15
9.519936223449913e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431730729762021,0.1098369931409205,0.022173200749442092,0.0,1.7938940970039158e-07,0.0005076789248175863,0.00015659138115411395,1.5841249232927247e-06,1.1084096835847088e-15,0.0007877371459163073,8.669002572215554e-14,0.0003369745573237823,6.311278219460097e-11,2.36721153171899e-10,9.48710606690023e-12,1.6112487369839704e-13,3.764794556683921e-08,4.471102552231679e-09,0.0078718524472541,0.0011398832926654743,9.900105787528132e-05,3.055216142852395e-08,4.345165494733486e-09,2.0243669238852537e-08,1.9026230756905535e-11,1.9391777687213894e-07,1.3376085429810933e-05,2.1918269192750186e-09,9.840835679547459e-06,7.066965403292121e-09,4.854702621577285e-10,9.68567923400842e-12,2.0386333074434072e-13,2.4429951033080276e-09,2.420773123369175e-10,1.2626530845878708e-15
9.559558480350706e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44316861651114514,0.10983249042375832,0.022170563785651173,0.0,1.815932534684426e-07,0.0005114476708334582,0.00015793797998566727,1.601720096364017e-06,1.1263224964015259e-15,0.0007906064215331279,8.834818530333499e-14,0.0003373780092987183,6.383466306759163e-11,2.408382121103578e-10,9.580768488751074e-12,1.6324778064106647e-13,3.7988532445806046e-08,4.542396940398394e-09,0.007872101209161639,0.001143807854868576,9.920694360858999e-05,3.0721391095629805e-08,4.3604750373080524e-09,2.0316081796165817e-08,1.910163324765768e-11,1.943515299666262e-07,1.337804487000836e-05,2.205598311569808e-09,9.915424578643526e-06,7.179691174396211e-09,4.896403785433464e-10,9.797383327748539e-12,2.0557291508645907e-13,2.4518693066276042e-09,2.4655122281039535e-10,1.2827739611020344e-15
9.5991807372515e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431641800680505,0.10982800110786303,0.0221679271883908,0.0,1.8381406210519357e-07,0.0005152257472333552,0.00015928940069436548,1.6194238720266823e-06,1.1444392365496913e-15,0.000793471411161711,9.002983610791313e-14,0.0003377780049175286,6.45611747683123e-11,2.4500665859140584e-10,9.67482597515696e-12,1.6538774893829367e-13,3.8330478177238455e-08,4.614496285200096e-09,0.007872335834883106,0.001147726843625674,9.941235027657103e-05,3.089076130420248e-08,4.375757250472333e-09,2.0388386293092466e-08,1.917697282196606e-11,1.9478415269336198e-07,1.3379983029469693e-05,2.219400365750904e-09,9.990202497413752e-06,7.293690172158181e-09,4.938253838570651e-10,9.909892806742242e-12,2.0728971700644588e-13,2.460730149995377e-09,2.510861050752018e-10,1.3031218097352479e-15
9.638802994152293e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431597633004335,0.10982352486741313,0.022165290957368147,0.0,1.8605188826327803e-07,0.0005190131214954344,0.00016064563590770437,1.637236251957976e-06,1.1627612810031484e-15,0.0007963321121891582,9.173518307388936e-14,0.0003381745755239871,6.52923178461618e-11,2.492268668445152e-10,9.769277490294811e-12,1.6754482383529324e-13,3.867377952519508e-08,4.687405649504002e-09,0.007872556660049847,0.0011516402668463792,9.961728135324122e-05,3.106027090204731e-08,4.391012128969325e-09,2.0460582671068982e-08,1.9252249461716683e-11,1.9521565160840055e-07,1.3381900046424437e-05,2.233233024417389e-09,1.006516876183737e-05,7.408970408660583e-09,4.980252549701161e-10,1.0023209969964532e-11,2.0901373768979892e-13,2.4695776249775186e-09,2.556824723049963e-10,1.3236980551169523e-15
9.678425251053086e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431553658697845,0.10981906138442538,0.02216265509229458,0.0,1.8830678448178086e-07,0.0005228097612942631,0.00016200667825163475,1.655157234999602e-06,1.181290010193808e-15,0.0007991885221031268,9.346443149381035e-14,0.0003385677521814247,6.602809272335771e-11,2.5349921147506853e-10,9.864122000658856e-12,1.6971905035252052e-13,3.901843324721742e-08,4.761130096062808e-09,0.007872764012364124,0.0011555481324335528,9.982174027116715e-05,3.122991874445468e-08,4.406239668100727e-09,2.0532670874004306e-08,1.932746314819131e-11,1.9564603317756541e-07,1.3383796056728817e-05,2.24709623015092e-09,1.0140322702014165e-05,7.525539895822575e-09,5.022399687497539e-10,1.0137337111176581e-11,2.1074497828200674e-13,2.478411723465721e-09,2.6034083873994396e-10,1.344504121808267e-15
9.718047507953879e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431509874453815,0.10981461034856785,0.022160019592885598,0.0,1.905788031864817e-07,0.0005266156344991603,0.00016337252035057622,1.6731868171745511e-06,1.2000268080118907e-15,0.0008020406384909185,9.521778700446119e-14,0.0003389575656752325,6.676849969578086e-11,2.5782406745306445e-10,9.959358475107804e-12,1.719104732855907e-13,3.936443609448403e-08,4.835674687377104e-09,0.007872958211786605,0.0011594504482834854,0.00010002573042215737,3.139970369420111e-08,4.421439863722255e-09,2.060465084825533e-08,1.9402613861730342e-11,1.9607530378110237e-07,1.3385671194018231e-05,2.2609899255353625e-09,1.0215663652129966e-05,7.64340664518225e-09,5.064695020593237e-10,1.0252276518956719e-11,2.1248343988294246e-13,2.48723243767412e-09,2.650617196687504e-10,1.3655414342632615e-15
9.757669764854672e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314662770410546,0.10981017145697783,0.022157384458860674,0.0,1.9286799669009912e-07,0.0005304307091725506,0.0001647431548274422,1.6913249917039483e-06,1.2189730618065443e-15,0.0008048884590385764,9.699545557656272e-14,0.0003393440465153415,6.751353893381947e-11,2.622018101018706e-10,1.0054985884911267e-11,1.7411913720520584e-13,3.971178481196283e-08,4.911044485558786e-09,0.007873139570719388,0.0011633472222860614,0.00010022925515793736,3.156962462148549e-08,4.436612712238038e-09,2.0676522542606944e-08,1.9477701584402196e-11,1.9650346971987787e-07,1.338752558984628e-05,2.274914053187825e-09,1.0291190950422456e-05,7.762578667680415e-09,5.107138317583669e-10,1.036803047674596e-11,2.1422912358068034e-13,2.496039760136387e-09,2.698456314107334e-10,1.3868114167904692e-15
9.797292021755466e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431422863302607,0.1098057444140837,0.022154749689943232,0.0,1.9517441719253247e-07,0.0005342549535683393,0.00016611857430367405,1.7095717490239003e-06,1.2381301623865356e-15,0.0008077319815299827,9.879764350447524e-14,0.0003397272249386796,6.826321048321223e-11,2.6663281508702505e-10,1.015100320379538e-11,1.7634508645708937e-13,4.006047613856195e-08,4.98724455219554e-09,0.007873308394184687,0.0011672384623249074,0.00010043231779081848,3.173968040379737e-08,4.451758210594806e-09,2.074828590824884e-08,1.955272629799939e-11,1.969305372128191e-07,1.338935937382103e-05,2.288868555729868e-09,1.0366903939147388e-05,7.88306397344581e-09,5.149729347027884e-10,1.048460126280104e-11,2.1598203042696864e-13,2.504833683702782e-09,2.746930912979333e-10,1.4083154935148753e-15
9.836914278656259e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431379630154,0.109801328931431,0.022152115285860516,0.0,1.9749811678110338e-07,0.0005380883361303048,0.00016749877139928505,1.7279270768023462e-06,1.2574995040205662e-15,0.0008105712038459638,1.0062455739591059e-13,0.00034010713091160553,6.901751426589101e-11,2.7111745840508586e-10,1.0247409407987635e-11,1.785883651619286e-13,4.041050680727906e-08,5.0642799482161575e-09,0.00787346497999934,0.0011711241762775281,0.00010063492159434558,3.190986992593419e-08,4.466876356277445e-09,2.0819940898749835e-08,1.96276879827737e-11,1.9735651240058185e-07,1.3391172673724384e-05,2.302853375801967e-09,1.044280196454512e-05,8.004870571581928e-09,5.192467877450161e-10,1.06019911502235e-11,2.1774216141966234e-13,2.5136142015370857e-09,2.7960461765726414e-10,1.4300550883400236e-15
9.876536535557052e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431336574581531,0.10979692472751315,0.0221494812463435,0.0,1.9983914743079966e-07,0.0005419308254905065,0.00016888373873291134,1.746390959955906e-06,1.277082484437961e-15,0.0008134061239633983,1.0247640416165278e-13,0.00034048379413232087,6.977645008082261e-11,2.7565611637252876e-10,1.0344203476260937e-11,1.8084901721532502e-13,4.0761873545348935e-08,5.142155733756776e-09,0.007873609618945123,0.001175004372015429,0.00010083706980392673,3.2080192079952176e-08,4.4819671473036215e-09,2.0891487470039353e-08,1.9702586621624825e-11,1.9778140135323864e-07,1.3392965615618111e-05,2.316868456105788e-09,1.0518884376807534e-05,8.128006469955408e-09,5.235353677341738e-10,1.072020240703359e-11,2.195095175555634e-13,2.5223813071137273e-09,2.8458072979270405e-10,1.4520316249102972e-15
9.916158792457845e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431293693640595,0.1097925315276055,0.02214684757112684,0.0,2.021975610045154e-07,0.0005457823904677101,0.00017027346892187068,1.764963380666731e-06,1.2968805048295634e-15,0.0008162367399543299,1.0435339100528838e-13,0.0003408572440332592,7.054001760484946e-11,2.802491656146943e-10,1.0441384389976766e-11,1.8312708628775294e-13,4.11145730743896e-08,5.220876968028238e-09,0.007873742594935071,0.0011788790574042284,0.00010103876561746136,3.225064576500381e-08,4.497030582217739e-09,2.096292558038546e-08,1.977742219772182e-11,1.9820521006598502e-07,1.3394738323952736e-05,2.330913739365432e-09,1.0595150530045256e-05,8.252479674985743e-09,5.278386515163276e-10,1.0839237296096165e-11,2.212840998019238e-13,2.5311349942149325e-09,2.896219479675308e-10,1.4742465265737535e-15
9.955781049358638e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431250984454057,0.10978814906360376,0.02214421425994875,0.0,2.045734092532905e-07,0.0005496430000658306,0.00017166795458222888,1.7836443183993523e-06,1.3168949698479781e-15,0.0008190630499850867,1.0625572541294784e-13,0.00034122750978345356,7.130821639352961e-11,2.848969830547834e-10,1.0538951133127493e-11,1.8542261582452557e-13,4.146860211054697e-08,5.300448709184292e-09,0.007873864185175886,0.0011827482403037578,0.00010124001219594758,3.242122988737235e-08,4.512066660086715e-09,2.103425519036738e-08,1.985219469156348e-11,1.9862794446133917e-07,1.3396490921661248e-05,2.344989168333389e-09,1.067159978225525e-05,8.378298191436601e-09,5.321566159347161e-10,1.0959098075139876e-11,2.2306590905753686e-13,2.539875256927644e-09,2.9472879338659795e-10,1.4967012163450674e-15
9.995403306259432e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431208444210654,0.10978377707386612,0.022141581312550934,0.0,2.0696674381655403e-07,0.0005535126234723905,0.0001730671883288707,1.8024337499175233e-06,1.3371272876082694e-15,0.0008218850523154025,1.0818361514305817e-13,0.0003415946202908825,7.208104588197547e-11,2.895999459029031e-10,1.0636902692377835e-11,1.8773564904576997e-13,4.182395736463781e-08,5.380876014190646e-09,0.00787397466032645,0.001186611928568155,0.00010144081266406956,3.259194336044674e-08,4.527075380494947e-09,2.1105476262858334e-08,1.9926904087305184e-11,1.990496103990941e-07,1.339822353023792e-05,2.3590946858486257e-09,1.0748231495288722e-05,8.505470022208775e-09,5.3648923782997e-10,1.1079786996876369e-11,2.2485494623201548e-13,2.5486020896406993e-09,2.9990178817865704e-10,1.5193971168685712e-15
9.999999999999998e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44312035198034067,0.10978327053290833,0.02214127588017173,0.0,2.0724553589628422e-07,0.0005539621319021907,0.00017322982455697587,1.8046205890355247e-06,1.3394886652054029e-15,0.0008222121621081661,1.0840893910517688e-13,0.00034163700690607645,7.217100383073022e-11,2.901491374824467e-10,1.0648291204101665e-11,1.880051258682749e-13,4.186526886910431e-08,5.390262237338825e-09,0.007873986769455386,0.0011870598109856277,0.00010146407937483632,3.261175665330318e-08,4.528814814970524e-09,2.1113731799587634e-08,1.9935567257115834e-11,1.9909846019354565e-07,1.3398423246702295e-05,2.360733053333599e-09,1.0757133546896266e-05,8.520311571150665e-09,5.369928257578039e-10,1.1093842184451462e-11,2.2506296560690997e-13,2.5496136453411506e-09,3.0050622852852834e-10,1.5220458145261884e-15
1.0035025563160225e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44311660701634425,0.10977941530305915,0.02213894872867851,0.0,2.0937761622236245e-07,0.0005573912300569943,0.00017447116277557743,1.8213316493010575e-06,1.357578869689152e-15,0.000824702745297546,1.101372682161086e-13,0.00034195860420479363,7.285850538569156e-11,2.943584316451605e-10,1.0735238057105443e-11,1.9006622894640942e-13,4.218063554229134e-08,5.462163938695184e-09,0.007874074284652623,0.0011904701300459427,0.00010164117011078796,3.276278510451775e-08,4.542056743537972e-09,2.1176588763005935e-08,2.0001550370367245e-11,1.9947021367037714e-07,1.339993626982586e-05,2.3732302347883096e-09,1.0825045034819353e-05,8.634003168134403e-09,5.408364940404183e-10,1.1201306308892203e-11,2.2665121221812065e-13,2.557315487042073e-09,3.051414553787244e-10,1.5423356503819169e-15
1.0074647820061018e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431123859628282,0.10977506350200739,0.022136316508079942,0.0,2.1180607788763695e-07,0.0005612787893698189,0.00017587987053510937,1.840337987962664e-06,1.3782511311331003e-15,0.0008275161273754516,1.1211689290442948e-13,0.0003423194899180072,7.36405941014108e-11,2.991728180328081e-10,1.0833956219440548e-11,1.9241439829615435e-13,4.253863334408922e-08,5.544317536899037e-09,0.007874163316178382,0.0011943228525801034,0.0001018410875899114,3.2933754046829424e-08,4.557010749818391e-09,2.1247592658201724e-08,2.0076133521660588e-11,1.9988975999760422e-07,1.3401629259291444e-05,2.3873957580602954e-09,1.0902039770311854e-05,8.763905627772726e-09,5.451983614023753e-10,1.1323658253643149e-11,2.284547078171515e-13,2.566015444115797e-09,3.1044831891049535e-10,1.5655182386798852e-15
1.0114270076961811e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431081809982347,0.10977072142754632,0.022133684650506948,0.0,2.1425218011840586e-07,0.0005651752711401201,0.00017729330421929244,1.8594527346647726e-06,1.3991454904469614e-15,0.0008303251970838576,1.1412269772198573e-13,0.00034267730556919695,7.442731110793001e-11,3.0404348307143743e-10,1.093305617430472e-11,1.9478019963950136e-13,4.289794746570405e-08,5.627341861428439e-09,0.007874242006833366,0.0011981701040081423,0.00010204056812064334,3.310484912159165e-08,4.571937400441321e-09,2.1318487918065192e-08,2.0150653526757453e-11,2.003082550475864e-07,1.3403302616280325e-05,2.401591198682164e-09,1.0979215074990852e-05,8.895185397207563e-09,5.495748167503894e-10,1.1446845068642872e-11,2.302654338529396e-13,2.5747019561391637e-09,3.158229035688051e-10,1.5889463030781437e-15
1.0153892333862604e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44310399186626914,0.10976638884237924,0.022131053155714415,0.0,2.167159741100419e-07,0.000569080645274754,0.00017871145643910872,1.878675855536351e-06,1.4202633696035746e-15,0.0008331299530474488,1.161548914141853e-13,0.0003430320790451517,7.521865536694367e-11,3.0897080501022415e-10,1.1032536919448776e-11,1.9716367529574046e-13,4.325857459803653e-08,5.711241963207755e-09,0.007874310602596945,0.0012020118921621458,0.00010223961468813815,3.3276069269721315e-08,4.5868366970077205e-09,2.1389274514428154e-08,2.0225110374293752e-11,2.0072570442422288e-07,1.3404956457288337e-05,2.415816499725111e-09,1.105657032581007e-05,9.027850469846046e-09,5.539658369175903e-10,1.1570868986315634e-11,2.3208339115532435e-13,2.5833750186800923e-09,3.2126573500213867e-10,1.6126212643777429e-15
1.0193514590763397e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4430998183164823,0.10976206551493692,0.022128422023460378,0.0,2.1919751094749558e-07,0.0005729948818567126,0.00018013431980479133,1.898007314089716e-06,1.441606194041705e-15,0.0008359303939800028,1.1821368294770449e-13,0.0003433838379830152,7.601462572387638e-11,3.139551623312227e-10,1.1132397455489614e-11,1.9956486735897013e-13,4.362051142735096e-08,5.796022891333442e-09,0.007874369343638863,0.0012058482248688295,0.00010243823024404048,3.3447413438908324e-08,4.6017086416103324e-09,2.1459952421300082e-08,2.0299504045639915e-11,2.011421136650619e-07,1.3406590897722322e-05,2.4300716042859265e-09,1.1134104903421813e-05,9.161908836218765e-09,5.583713987360265e-10,1.16957322339397e-11,2.3390858042884224e-13,2.5920346275940517e-09,3.267773396951903e-10,1.6365445428297966e-15
