Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),HOCO(73),CHO2(74),S(216)
7.357042081687792e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.427591686577824,0.057034366697780815,0.002491040523006442,0.00018589036519937115,0.0023149484475181482,0.1078547171477742,0.037921387792225335,2.23997390931521e-05,1.0752618823667734e-09,0.0013956236968976979,3.533560203011342e-11,0.00061930995692532,2.683170383374987e-09,1.3996808655683808e-06,4.270324860601661e-09,1.5601721185944047e-10,4.2907293686140515e-06,3.470072422169153e-05,0.0039566727376640866,6.233590933609715e-07,0.0007258910746264571,5.858692725897426e-10,8.649077258588589e-10,2.841408467200181e-09,4.657315238424799e-09,0.0001543736629105359,0.01774399866781131,4.42947384971843e-05,1.0035613460720181e-07,0.0020856137274780475,4.176191310415964e-09,5.49150114053497e-05,1.1344419396267106e-07,2.1041145865930853e-06,2.472906207732127e-09,2.455345794370616e-10,1.3243784963278593e-10,5.966804657831223e-08,3.8337820616861395e-06,1.497701926474065e-11,9.455085638000948e-12,8.777164303046717e-12,4.901656777618273e-13,1.4201952175014384e-19
7.370144312616255e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4275412645886686,0.05696802005777305,0.0024816687581135206,0.0001857326964226405,0.0023136012701840407,0.1079980330394378,0.037941805720694555,2.235147200642731e-05,1.0785642724202517e-09,0.0013941216740593805,3.529610868698432e-11,0.0006195299438932633,2.683064104500339e-09,1.393612208032975e-06,4.274139584749018e-09,1.5595296615115726e-10,4.2770994840687455e-06,3.473370536497917e-05,0.003951603788043341,6.201582989616927e-07,0.0007262727466446875,5.833949287804785e-10,8.607264350450708e-10,2.839662127418418e-09,4.676976849309654e-09,0.0001549258534093809,0.017796011540350782,4.431305666500632e-05,1.0028590591002206e-07,0.002088139744346783,4.171204805703779e-09,5.496720558252583e-05,1.1349189092420271e-07,2.096836292139103e-06,2.475521584419374e-09,2.452920078728681e-10,1.3236654652800462e-10,5.953245246900851e-08,3.836996896580527e-06,1.4910324293206343e-11,9.462956169033163e-12,8.772834744285536e-12,4.899238936386866e-13,1.420339319063202e-19
7.383246543544718e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42749085293976435,0.056901752365638276,0.002472334290357653,0.00018557517725146125,0.00231225412737892,0.10814117970518293,0.037962148681879124,2.2303309273038304e-05,1.0818670532359388e-09,0.001392621270760634,3.525666880610073e-11,0.0006197495630457594,2.682958490533488e-09,1.3875723983093929e-06,4.277944954204916e-09,1.5588833951812882e-10,4.2635209737320665e-06,3.476660254403686e-05,0.0039465414929387346,6.16982049718977e-07,0.0007266534737598951,5.809377688330194e-10,8.565660663779381e-10,2.837922969810609e-09,4.696663228407864e-09,0.00015547833627463207,0.017848012022995206,4.433128401648788e-05,1.0021569490880692e-07,0.0020906618851124006,4.166224306857176e-09,5.501926688261519e-05,1.1353935200957834e-07,2.089583491604982e-06,2.4781302947265095e-09,2.450498394927564e-10,1.3229498253151528e-10,5.939716802942788e-08,3.840201629432127e-06,1.484395360323379e-11,9.470801936940952e-12,8.768501761743797e-12,4.896819183042216e-13,1.4204788453805473e-19
7.396348774473181e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42744045183274004,0.05683556352533245,0.002463036963552252,0.00018541780759954958,0.0023109070234117587,0.10828415734364204,0.03798241698427825,2.2255250653397993e-05,1.0851702065973903e-09,0.0013911224848674856,3.521728222680083e-11,0.0006199688153172219,2.682853536247805e-09,1.3815612914862934e-06,4.281740997157416e-09,1.5582333445756755e-10,4.249993633656216e-06,3.479941593397604e-05,0.003941485845301727,6.138301087967568e-07,0.0007270332589323654,5.784976389571247e-10,8.524265114516513e-10,2.836190981630741e-09,4.7163742564117135e-09,0.0001560311084440762,0.017899999914882572,4.434942095993415e-05,1.0014550183277773e-07,0.0020931801559620654,4.161249807421811e-09,5.5071195582802966e-05,1.1358657827891817e-07,2.082356098989798e-06,2.4807323559087996e-09,2.448080725469298e-10,1.322231596056552e-10,5.926219254190773e-08,3.843396285080207e-06,1.4777905537910087e-11,9.478623002668293e-12,8.764165385315e-12,4.894397534282213e-13,1.4206138149260565e-19
7.409451005401644e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42739006146802927,0.05676945344092695,0.002453776622187165,0.00018526058737983612,0.002309559962567923,0.10842696615325541,0.03800261093506052,2.2207295908587942e-05,1.0884737143652979e-09,0.0013896253142513647,3.517794878931713e-11,0.0006201877016382445,2.6827492364536335e-09,1.3755787434275152e-06,4.285527741711468e-09,1.5575795345383286e-10,4.236517260690303e-06,3.483214570960786e-05,0.003936436838075899,6.107022421214329e-07,0.000727412105110981,5.760743873096301e-10,8.483076624300375e-10,2.834466150045862e-09,4.7361098139294415e-09,0.00015658416686501516,0.017951975016361265,4.436746790203717e-05,1.0007532691040967e-07,0.00209569456307627,4.1562813009221216e-09,5.512299195963317e-05,1.1363357078715321e-07,2.075154028525518e-06,2.4833277852253227e-09,2.4456670530495333e-10,1.321510797014339e-10,5.912752529049789e-08,3.846580888309147e-06,1.4712178449220488e-11,9.48641942704223e-12,8.759825644689137e-12,4.891974006680053e-13,1.4207442461043127e-19
7.4225532363301074e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.427339682044877,0.05670342201660852,0.002444553111425753,0.00018510351650447677,0.0023082129491093007,0.10856960633227046,0.03802273084007019,2.2159444800355896e-05,1.091777558477362e-09,0.0013881297567890864,3.51386683347707e-11,0.0006204062229356183,2.6826455859908864e-09,1.3696246107670246e-06,4.289305215891736e-09,1.5569219897849404e-10,4.223091652477591e-06,3.486479204533397e-05,0.003931394464197091,6.075982183440134e-07,0.0007277900152332222,5.736678638708225e-10,8.442094120561176e-10,2.832748462262587e-09,4.755869781730939e-09,0.0001571375084954634,0.018003937128983162,4.438542524727778e-05,1.0000517036708278e-07,0.00209820511262887,4.151318780904451e-09,5.5174656289120126e-05,1.1368033058488752e-07,2.067977194677089e-06,2.485916599885182e-09,2.4432573605291365e-10,1.3207874476126664e-10,5.8993165560976316e-08,3.849755463848533e-06,1.464677069791442e-11,9.494191270633714e-12,8.755482569474107e-12,4.889548616772962e-13,1.4208701572714688e-19
7.434345244165724e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42729435008279487,0.05664406090999959,0.002436283314474593,0.00018496228033285645,0.002307000681014528,0.10869783847791854,0.038040775697160384,2.2116467215840648e-05,1.0947512908859408e-09,0.0013867851325690816,3.5103361095489215e-11,0.000620602580770981,2.6825528514979063e-09,1.3642900686627656e-06,4.2926970395764665e-09,1.5563270266496334e-10,4.211051842340076e-06,3.4894102550189953e-05,0.003926861993373189,6.048247935780382e-07,0.0007281293364328516,5.715161722757363e-10,8.405385103862917e-10,2.8312086406545984e-09,4.7736745254351345e-09,0.0001576357556020835,0.01805069176181757,4.4401510585748734e-05,9.994204537792048e-08,0.002100461314108327,4.1468576259994265e-09,5.5221041512871644e-05,1.1372221630029664e-07,2.0615395510131338e-06,2.4882408917378057e-09,2.441092025996488e-10,1.320134268541974e-10,5.8872504146684085e-08,3.852604028554318e-06,1.4588175407533413e-11,9.501164963346116e-12,8.751570975006978e-12,4.887364187161527e-13,1.4209796278215387e-19
7.446137252001341e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42724902728739084,0.056584763370860214,0.0024280431135048565,0.0001848211649932807,0.0023057884578090897,0.10882593433745721,0.03805876104494574,2.2073573211754433e-05,1.0977252681059093e-09,0.0013854418117479948,3.506809652982965e-11,0.0006207986443551519,2.6824606350723037e-09,1.3589783240853027e-06,4.296081397198544e-09,1.5557290761498295e-10,4.199052841979769e-06,3.492334573633371e-05,0.0039223348846718,6.020703314513815e-07,0.0007284679039212103,5.693778028569291e-10,8.368841298269393e-10,2.8296745857893365e-09,4.79149885855895e-09,0.00015813422745043486,0.018097435570920275,4.441752396975771e-05,9.987893562093397e-08,0.002102714400449531,4.1424013101991805e-09,5.5267320201776136e-05,1.1376391512687189e-07,2.05512221788668e-06,2.4905598521556394e-09,2.438929889122933e-10,1.3194790533042013e-10,5.875209072969991e-08,3.8554445087690225e-06,1.4529836277215841e-11,9.508118838695657e-12,8.74765672463997e-12,4.885178274278272e-13,1.4210854652532064e-19
7.457929259836957e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4272037138014668,0.05652552932958176,0.0024198323970284277,0.00018468017042014184,0.002304576282551626,0.10895389405500827,0.038076687103656894,2.2030762615785684e-05,1.1006994771293426e-09,0.0013840997927891325,3.503287452379526e-11,0.0006209944143559549,2.6823689330047424e-09,1.353689274101185e-06,4.29945830901375e-09,1.5551281560400562e-10,4.187094505517645e-06,3.495252173014525e-05,0.00391781313292756,5.993346688237825e-07,0.000728805719815299,5.672526494245722e-10,8.332461933762287e-10,2.8281462883181328e-09,4.809342694656958e-09,0.00015863292184492995,0.018144168414100537,4.44334656906175e-05,9.981584125779345e-08,0.0021049643761392404,4.137949828797831e-09,5.531349255586404e-05,1.1380542782105534e-07,2.048725133426979e-06,2.492873493626934e-09,2.436770937722314e-10,1.3188218158251137e-10,5.863192479289126e-08,3.858276922406965e-06,1.4471752130152765e-11,9.515052940610635e-12,8.743739839593282e-12,4.882990889975773e-13,1.421187682810064e-19
7.469721267672574e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4271584097670578,0.05646635871663104,0.0024116510539918755,0.00018453929654734907,0.002303364158285687,0.10908171777456677,0.03809455409266946,2.1988035256053865e-05,1.1036739049985236e-09,0.0013827590741592817,3.4997694963959485e-11,0.0006211898914387757,2.682277741603544e-09,1.348422816270006e-06,4.302827795222739e-09,1.5545242839924932e-10,4.175176687588889e-06,3.498163065777881e-05,0.0039132967329703365,5.96617644251274e-07,0.0007291427862247811,5.651406068672845e-10,8.296246244011496e-10,2.8266237388710044e-09,4.827205947356553e-09,0.0001591318365966705,0.0181908901499434,4.444933603852642e-05,9.975276244936058e-08,0.002107211245659771,4.133503177085787e-09,5.5359558774780674e-05,1.13846755136207e-07,2.0423482359162814e-06,2.495181828628991e-09,2.434615159713007e-10,1.3181625699593283e-10,5.851200582023732e-08,3.861101287346708e-06,1.4413921795203114e-11,9.52196731293615e-12,8.739820340973655e-12,4.880802046041273e-13,1.4212862936934582e-19
7.48151327550819e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42711311532543605,0.056407251462550184,0.002403498973774768,0.00018439854330833453,0.002302152088039809,0.10920940564000103,0.038112362230507305,2.1945390961107988e-05,1.1066485388058633e-09,0.0013814196543287028,3.496255773746278e-11,0.0006213850762665755,2.682187057195746e-09,1.343178848641579e-06,4.306189875971881e-09,1.5539174775973424e-10,4.163299243341292e-06,3.5010672645153076e-05,0.0039087856796253045,5.939190979655515e-07,0.000729479105251715,5.630415711031548e-10,8.260193466372875e-10,2.825106928068308e-09,4.845088530395306e-09,0.00015963096952357765,0.018237600637806217,4.446513530253716e-05,9.968969935554414e-08,0.0021094550134889752,4.129061350353553e-09,5.5405519057797356e-05,1.1388789782270614e-07,2.0359914637898567e-06,2.4974848696216798e-09,2.432462543112824e-10,1.317501329491602e-10,5.839233329682609e-08,3.863917621431093e-06,1.4356344106861338e-11,9.52886199942961e-12,8.735898249782415e-12,4.87861175420315e-13,1.4213813110635085e-19
7.493305283343807e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42706783061711423,0.05634820749795667,0.002395376046187986,0.00018425791063605878,0.002300940074827583,0.10933695779505259,0.03813011173484587,2.1902829559925206e-05,1.1096233656938227e-09,0.0013800815317711144,3.492746273200955e-11,0.0006215799694999019,2.6820968761255144e-09,1.3379572697531396e-06,4.309544571353397e-09,1.5533077543631896e-10,4.151462028433644e-06,3.503964781795095e-05,0.0039042799677130183,5.912388718533681e-07,0.0007298146789907546,5.609554390617754e-10,8.224302841870837e-10,2.8235958465227548e-09,4.862990357628262e-09,0.00016013031845037463,0.01828429973781535,4.448086377055654e-05,9.962665213530364e-08,0.0021116956841002307,4.124624343891821e-09,5.545137360381291e-05,1.1392885662796501e-07,2.029654755636012e-06,2.4997826290467196e-09,2.430313076037066e-10,1.3168381081371666e-10,5.82729067088553e-08,3.866725942467301e-06,1.4299017905226017e-11,9.53573704376091e-12,8.731973586916086e-12,4.876420026131249e-13,1.421472748039053e-19
7.5050972911794236e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4270225557818482,0.0562892267535432,0.002387282161472048,0.00018411739846301673,0.002299728121647734,0.10946437438333606,0.03814780282251555,2.18603508819094e-05,1.1125983728548357e-09,0.0013787447049636845,3.489240983586536e-11,0.0006217745717969037,2.6820071947546e-09,1.3327579786265687e-06,4.31289190140521e-09,1.55269513171737e-10,4.139664899034133e-06,3.5068556301620306e-05,0.003899779592049485,5.885768094364007e-07,0.0007301495095291196,5.58882108677109e-10,8.188573615180005e-10,2.8220904848382896e-09,4.880911343024573e-09,0.00016062988120860828,0.018330987310862894,4.449652172935329e-05,9.956362094665477e-08,0.0021139332619624345,4.120192152991477e-09,5.5497122611354034e-05,1.1396963229643907e-07,2.023338050196096e-06,2.502075119328602e-09,2.428166746697833e-10,1.3161729195420885e-10,5.815372554362907e-08,3.869526268226889e-06,1.4241942035968557e-11,9.542592489512372e-12,8.728046373167016e-12,4.874226873437245e-13,1.421560617697953e-19
7.51688929901504e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42697729095864073,0.056230309160077624,0.002379217210295434,0.00018397700672124315,0.002298516231484185,0.10959165554833904,0.03816543570950486,2.181795475688975e-05,1.1155735475312255e-09,0.0013774091723870166,3.485739893785365e-11,0.0006219688838133423,2.681918009462212e-09,1.3275808747656465e-06,4.316231886111126e-09,1.5520796270063304e-10,4.127907711818755e-06,3.509739822137449e-05,0.0038952845474462365,5.859327558512643e-07,0.0007304835989466428,5.56821478873443e-10,8.153005034607342e-10,2.8205908336107913e-09,4.898851400669033e-09,0.00016112965563660098,0.01837766321860338,4.4512109464561e-05,9.950060594667381e-08,0.002116167751539979,4.11576477294365e-09,5.5542766278576295e-05,1.1401022556963807e-07,2.0170412863645054e-06,2.5043623528737187e-09,2.4260235434027865e-10,1.315505777283598e-10,5.803478928955478e-08,3.872318616445839e-06,1.4185115350302216e-11,9.54942838017902e-12,8.724116629223992e-12,4.872032307674973e-13,1.4216449330771149e-19
7.528681306850657e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42693203628574433,0.05617145464840293,0.002371181083752922,0.00018383673534231847,0.002297304407306139,0.10971880143342212,0.0381830106109638,2.177564101511934e-05,1.1185488770151295e-09,0.0013760749325251395,3.482242992735295e-11,0.0006221629062026043,2.6818293166448763e-09,1.3224258581533217e-06,4.319564545400943e-09,1.551461257495991e-10,4.116190323969714e-06,3.5126173702192734e-05,0.003890794828710401,5.833065578299344e-07,0.0007308169493157967,5.547734495545652e-10,8.11759635207432e-10,2.819096883428194e-09,4.916810444763409e-09,0.00016162963957946862,0.018424327323450524,4.452762726068265e-05,9.943760729150256e-08,0.0021183991572927448,4.111342199039752e-09,5.558830480326477e-05,1.1405063718613736e-07,2.010764403188689e-06,2.5066443420705508e-09,2.423883454554094e-10,1.3148366948704432e-10,5.791609743614145e-08,3.875103004824615e-06,1.4128536704951325e-11,9.55624475916862e-12,8.720184375672852e-12,4.869836340340783e-13,1.4217257071726566e-19
7.540473314686273e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42688679190066464,0.056112663149437136,0.0023631736733639203,0.00018369658425737402,0.0022960926520681386,0.10984581218181873,0.03820052774120701,2.1733409487273717e-05,1.1215243486484142e-09,0.0013747419838654959,3.478750269429371e-11,0.000622356639615714,2.6817411127164004e-09,1.3172928292490167e-06,4.322889899150496e-09,1.5508400403721024e-10,4.104512593173835e-06,3.5154882868820697e-05,0.0038863104306447746,5.806980636803179e-07,0.0007311495627017394,5.527379215924497e-10,8.082346823099101e-10,2.817608624870573e-09,4.934788389626221e-09,0.0001621298308890947,0.018470979488573975,4.45430754010948e-05,9.937462513635268e-08,0.002120627483676081,4.1069244265715095e-09,5.5633738382834856e-05,1.1409086788158881e-07,2.0045073398691368e-06,2.5089210992895565e-09,2.4217464686473576e-10,1.3141656857432234e-10,5.7797649473997536e-08,3.877879451028202e-06,1.407220496212091e-11,9.56304166980182e-12,8.716249632997076e-12,4.867638982873859e-13,1.421802952940028e-19
