Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CO2X(24),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),CHO2(74),S(216),CHO2X(213)
2.30250880537153e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.442157782850662,0.10845067119423606,0.02127440700242244,2.125599737615715e-06,4.4534926860238066e-05,0.002170119279070794,0.0008573250621150707,1.2870639114503295e-05,2.997572458496601e-14,0.001534670020991085,3.2929865339082522e-12,0.00038061925560735127,5.481403375329637e-10,7.763084063756355e-07,5.914225552017504e-11,2.111235929507018e-12,1.898200711392264e-05,1.0611329671312256e-07,0.007781076490963212,0.00215611227329325,0.0001520560580124368,3.7931242114912716e-07,8.122433170185114e-09,2.1838092390153983e-09,1.0741133297789502e-12,1.7397555554528908e-08,1.4120493481248202e-05,2.786694062544682e-06,2.0614949164589023e-09,4.2888845056204205e-05,4.748656306998388e-09,1.6785180385361846e-07,2.652007789776164e-09,7.685659759484796e-10,2.1929866151472857e-11,9.151006763020956e-06,3.2924313016937035e-12,8.783063792239705e-09,2.989814040006502e-14,3.5155257863820365e-08,8.589305710209567e-12,6.1692412858785e-14,3.4446932524910328e-15,8.657403363829076e-23,1.3314454549575738e-14
2.314804780803341e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421511014384993,0.10843826061057936,0.021266459457846065,2.162083649930267e-06,4.5148122534191515e-05,0.002187849291325447,0.0008654583901571555,1.3008277540707066e-05,3.056651435388644e-14,0.0015396065639450996,3.3551437923036316e-12,0.0003807467150255279,5.541475658121252e-10,7.875373400504737e-07,5.972482279181875e-11,2.1408662700334002e-12,1.9072667031667798e-05,1.0798791103742609e-07,0.0077800603525678665,0.0021630397400685506,0.00015244738709121038,3.8151560082598965e-07,8.14551748854449e-09,2.1907697735873805e-09,1.0776866274601281e-12,1.7443469142329484e-08,1.4121166473618196e-05,2.8089631921326615e-06,2.0896220588837724e-09,4.3241774039664024e-05,4.7638596374125085e-09,1.7081761286978122e-07,2.6771272318095723e-09,7.77216059349973e-10,2.216233722026979e-11,9.172658709791605e-06,3.3343575038496526e-12,8.955351131057673e-09,3.0425866191815684e-14,3.553305445183833e-08,8.713417251819422e-12,6.277228498030383e-14,3.504991489517679e-15,8.96159458508452e-23,1.349901055341251e-14
2.3271007562351522e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421444564502958,0.10842585056510791,0.02125851507398012,2.1989749896592553e-06,4.576605539415761e-05,0.0022056135115723664,0.0008736171464051284,1.3146251705769543e-05,3.1165679412638634e-14,0.0015445151453718912,3.4179722581317407e-12,0.0003808728745735084,5.601712193649353e-10,7.988441142525093e-07,6.030932641294202e-11,2.1707113946299355e-12,1.916290137117873e-05,1.0988279115857913e-07,0.007779044901628393,0.0021699304679699987,0.00015283761869916543,3.8371583207097286e-07,8.168435614115088e-09,2.19769087975487e-09,1.0812417616649238e-12,1.7489247535739172e-08,1.4121828978473918e-05,2.8312831843136943e-06,2.1179632516096234e-09,4.359538737304143e-05,4.77897638020555e-09,1.7381549099767096e-07,2.70232479703561e-09,7.85906811094751e-10,2.2395957039987727e-11,9.19404764080377e-06,3.376521807327819e-12,9.129785412713347e-09,3.095928843080001e-14,3.5911783392787685e-08,8.838387042061216e-12,6.38644802858151e-14,3.5659778635393136e-15,9.274466168817737e-23,1.3684947742772593e-14
2.3393967316669634e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.442137847738774,0.1084134410674877,0.02125057384865879,2.2362756280893202e-06,4.63887303823771e-05,0.0022234116897812163,0.0008818011813585928,1.3284554021271863e-05,3.1773292711965136e-14,0.00154939591715431,3.481471553334543e-12,0.00038099777238267615,5.662109734607473e-10,8.102284139764952e-07,6.08957580728921e-11,2.200770999985188e-12,1.9252711064272226e-05,1.1179798894210717e-07,0.0077780301392311475,0.002176784599144402,0.00015322676169829164,3.859130858776723e-07,8.19118852642204e-09,2.204572769095567e-09,1.0847788317631108e-12,1.7534892298561237e-08,1.4122481541714037e-05,2.853653734012538e-06,2.146518690535173e-09,4.39496800378033e-05,4.794007011387955e-09,1.7684552036237404e-07,2.7276000247716965e-09,7.946380198792874e-10,2.2630723780086807e-11,9.215176272479287e-06,3.418923192029705e-12,9.306375060150428e-09,3.149842159387788e-14,3.629142375242979e-08,8.96421158484398e-12,6.496906042000023e-14,3.627655817210493e-15,9.596205636425195e-23,1.3872265354458007e-14
2.3516927070987746e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421312751576537,0.10840103212727645,0.021242635779710223,2.273987426157298e-06,4.7016152342354015e-05,0.0022412435779371456,0.0008900103463354842,1.342317693497422e-05,3.2389427417312257e-14,0.0015542490306299625,3.5456412193216843e-12,0.00038112144547707325,5.722665047533886e-10,8.216899207708203e-07,6.148410951719258e-11,2.231044775170921e-12,1.934209707602553e-05,1.1373355514779438e-07,0.007777016066251862,0.0021836022750393665,0.0001536148248279193,3.8810733362312075e-07,8.213777200765825e-09,2.2114156524172787e-09,1.0882979367763918e-12,1.7580404977648156e-08,1.4123124700576186e-05,2.87607453797183e-06,2.175288567176117e-09,4.430464705678522e-05,4.8089520052021e-09,1.7990778133890966e-07,2.75295245690536e-09,8.034094737581661e-10,2.2866635605097498e-11,9.236047301633411e-06,3.4615606343573106e-12,9.485128366674838e-09,3.204327984767676e-14,3.667195469604779e-08,9.090887346424353e-12,6.608608680110647e-14,3.690028780544359e-15,9.927003126169957e-23,1.406096256986648e-14
2.3639886825305858e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44212473856163315,0.10838862375391842,0.021234700864956855,2.3121122344216826e-06,4.764832601954475e-05,0.0022591089300147238,0.0008982444934689204,1.3562112931448892e-05,3.3014156907171884e-14,0.001559074636583316,3.6104807176161563e-12,0.00038124392980515195,5.783374913094306e-10,8.332283128273777e-07,6.20743725463848e-11,2.2615324017586802e-12,1.943106040374356e-05,1.15689539434692e-07,0.007776002683370216,0.002190383636406216,0.00015400181670715817,3.902985470620387e-07,8.236202608186246e-09,2.2182197397492087e-09,1.091799175374005e-12,1.7625787103150908e-08,1.4123758983791135e-05,2.8985452947408985e-06,2.2042730687051237e-09,4.4660283493645615e-05,4.823811834100954e-09,1.830023525601441e-07,2.778381637883493e-09,8.122209601647223e-10,2.3103690674864425e-11,9.25666340532168e-06,3.5044331073842886e-12,9.666053496150392e-09,3.259387705001755e-14,3.705335549021147e-08,9.218410756402288e-12,6.721562062112834e-14,3.753100170925157e-15,1.0267051404700451e-22,1.4251038516890347e-14
2.376284657962397e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421182378063696,0.1083762159567401,0.021226769102215794,2.350651893035e-06,4.828525606203596e-05,0.0022770075019524247,0.0009065034757040195,1.3701354532691848e-05,3.3647554771423336e-14,0.0015638728852381747,3.675989430512562e-12,0.00038136526027062265,5.844236126356069e-10,8.448432650702886e-07,6.266653901490536e-11,2.2922335539353266e-12,1.95196020759481e-05,1.1766599036621422e-07,0.007774989991083414,0.002197128823302935,0.00015438774583727895,3.9248669831937084e-07,8.25846571542805e-09,2.2249852403311416e-09,1.0952826458642846e-12,1.767104018874951e-08,1.4124384911733992e-05,2.9210657046645947e-06,2.2334723779657246e-09,4.5016584452331594e-05,4.838586968724883e-09,1.8612931092485293e-07,2.8038871147026017e-09,8.210722659299742e-10,2.3341887144521556e-11,9.27702724070013e-06,3.5475395810342408e-12,9.84915848321386e-09,3.315022675138069e-14,3.7435605504482614e-08,9.346778208702766e-12,6.835772284201846e-14,3.816873392886495e-15,1.061654587838371e-22,1.4442492266817202e-14
2.3885806333942084e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421117727484632,0.10836380874494662,0.021218840489299146,2.3896082317170747e-06,4.892694702121467e-05,0.0022949390516276563,0.0009147871467946844,1.3840894298713415e-05,3.4289694809675237e-14,0.001568643926250507,3.742166661747547e-12,0.0003814854707624267,5.905245497053821e-10,8.565344492434826e-07,6.326060082999931e-11,2.323147898617507e-12,1.96077231513884e-05,1.196629554153195e-07,0.007773977989718813,0.002203837975097129,0.00015477262060402673,3.946717598883404e-07,8.280567484912902e-09,2.2317123626026027e-09,1.0987484461933817e-12,1.7716165731980903e-08,1.4125002996572486e-05,2.943635469872066e-06,2.2628866735124786e-09,4.5373545076556144e-05,4.853277877878011e-09,1.8928873160592383e-07,2.829468436897911e-09,8.299631772996815e-10,2.358122316469452e-11,9.297141444898263e-06,3.59087902220908e-12,1.0034451233509003e-08,3.3712342196382975e-14,3.7818684213061736e-08,9.475986062536942e-12,6.951245419394088e-14,3.881351838020888e-15,1.0975684602956833e-22,1.4635322836593176e-14
2.40087660882602e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421053432454387,0.10835140212761867,0.021210915024014336,2.4289830697291965e-06,4.9573403352432144e-05,0.0023129033388323093,0.000923095361300355,1.3980724828108326e-05,3.494065102960885e-14,0.0015733879087016136,3.809011637181926e-12,0.000381604594183857,5.966399849846422e-10,8.683015339971372e-07,6.38565499506685e-11,2.354275095565077e-12,1.9695424718072767e-05,1.2168048096978285e-07,0.007772966679445696,0.0022105112304690324,0.00015515644927987677,3.9685370462544103e-07,8.302508874709375e-09,2.2384013141961626e-09,1.1021966739427878e-12,1.7761165214476285e-08,1.4125613742412486e-05,2.966254294265743e-06,2.292516129657627e-09,4.5731160549286606e-05,4.86788502851077e-09,1.924806880586886e-07,2.85512515653208e-09,8.388934799544097e-10,2.3821696881800306e-11,9.317008634904343e-06,3.634450394948215e-12,1.0221939523939127e-08,3.4280236325272186e-14,3.820257119637743e-08,9.606030643359689e-12,7.06798751764357e-14,3.94653888505055e-15,1.1344668294197078e-22,1.48295291922851e-14
2.4131725842578313e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420989491557311,0.10833899611370995,0.02120299270416443,2.468778215849151e-06,5.0224629415656184e-05,0.0023309001252488325,0.0009314279745827288,1.412083875860557e-05,3.560049764532195e-14,0.0015781049810916353,3.876523505494067e-12,0.00038172266248084956,6.027696024565662e-10,8.801441849729822e-07,6.445437838665308e-11,2.3856147974934754e-12,1.9782707892320836e-05,1.2371861233754792e-07,0.00777195606028624,0.002217148727414523,0.00015553924002624205,3.9903250574194334e-07,8.324290838503248e-09,2.2450523019282007e-09,1.1056274263193074e-12,1.7806040102150238e-08,1.4126217645440815e-05,2.9889218835103955e-06,2.3223609164741743e-09,4.608942609224379e-05,4.882408885700376e-09,1.957052520293876e-07,2.8808568281853945e-09,8.478629590281585e-10,2.4063306437969032e-11,9.336631407462534e-06,3.678252660609164e-12,1.0411631002937665e-08,3.485392177546696e-14,3.858724614261948e-08,9.736908243815165e-12,7.186004605430283e-14,4.0124378995825164e-15,1.172370033878062e-22,1.50251102440219e-14
2.425468559689643e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420925903386699,0.10832659071204516,0.02119507352754843,2.50899546834712e-06,5.088062947611568e-05,0.002348929174426792,0.0009397848428024573,1.4261228767598377e-05,3.6269309075673304e-14,0.001582795291333376,3.944701338884085e-12,0.00038183970666947107,6.089130876457046e-10,8.920620648884708e-07,6.505407819744624e-11,2.4171666501850477e-12,1.986957381783605e-05,1.2577739375215316e-07,0.007770946132125709,0.0022237506032481737,0.00015592100089561616,4.012081368028601e-07,8.34591432557567e-09,2.251665531788509e-09,1.1090408001550224e-12,1.785079184553159e-08,1.4126815194065207e-05,3.0116379450221067e-06,2.3524211998341792e-09,4.6448336965411764e-05,4.896849912629091e-09,1.9896249356376546e-07,2.906663008944737e-09,8.568713991238228e-10,2.4306049971209945e-11,9.356012338981489e-06,3.722284777980244e-12,1.0603533190756368e-08,3.543341088310317e-14,3.8972688849216606e-08,9.868615124658025e-12,7.305302685517481e-14,4.079052233980774e-15,1.2112986802841374e-22,1.5222064848149685e-14
2.437764535121454e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44208626665446443,0.10831418593131849,0.0211871574919616,2.549636614962428e-06,5.154140770494095e-05,0.002366990251759926,0.0009481658229158125,1.440188757265477e-05,3.6947159942629235e-14,0.0015874589867464484,4.013544133788424e-12,0.0003819557568626244,6.150701276412317e-10,9.040548336198246e-07,6.565564149134096e-11,2.448930292599338e-12,1.9956023664798003e-05,1.27856868378243e-07,0.007769936894721966,0.002230316994606315,0.00015630173983366137,4.0338057172308647e-07,8.367380280779044e-09,2.2582412089355704e-09,1.1124368919077323e-12,1.7895421879997684e-08,1.4127406869051715e-05,3.034402187957408e-06,2.3826971414676746e-09,4.680788846655789e-05,4.911208570570343e-09,2.022524810157796e-07,2.932543258391694e-09,8.659185843325766e-10,2.454992561579046e-11,9.375153985453855e-06,3.766545703424713e-12,1.0797653479770655e-08,3.6018715684588985e-14,3.935887922425984e-08,1.00011475156727e-11,7.425887737194853e-14,4.1463852275134315e-15,1.2512736441689365e-22,1.542039181340219e-14
2.4500605105532657e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44207997796419113,0.10830178178009249,0.02117924459519572,2.5907034328811173e-06,5.220696817979178e-05,0.002385083124463675,0.0009565707726713293,1.4542807932008985e-05,3.763412506961173e-14,0.0015920962140517144,4.083050811604388e-12,0.000382070842295993,6.212404111194079e-10,9.161221482839517e-07,6.625906042450773e-11,2.480905356982343e-12,2.004205862897426e-05,1.2995707831715129e-07,0.007768928347714352,0.002236848037450128,0.00015668146468125795,4.0554978475742564e-07,8.388689644511029e-09,2.264779537689064e-09,1.1158157976483629e-12,1.7939931625913023e-08,1.4127993143659593e-05,3.0572143232025634e-06,2.4131888989517406e-09,4.7168075930762816e-05,4.9254853188730185e-09,2.055752810564284e-07,2.958497138592752e-09,8.7500429825256e-10,2.4794931502103856e-11,9.39405888238636e-06,3.811034391068125e-12,1.099399913480171e-08,3.660984791821143e-14,3.974579728787284e-08,1.0134501616584083e-11,7.54776571584615e-14,4.214440206089892e-15,1.2923160710326008e-22,1.562008989318839e-14
2.462356485985077e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420737241297798,0.1082893782667972,0.021171334835039378,2.6321976887143724e-06,5.287731488547738e-05,0.0024032075615531595,0.0009649995506064222,1.4683982645034181e-05,3.833027947984699e-14,0.0015967071193660214,4.153220219424198e-12,0.0003821849913532469,6.274236283652929e-10,9.282636633192508e-07,6.686432720010221e-11,2.5130914689747217e-12,2.0127679930851265e-05,1.3207806461254841e-07,0.007767920490631916,0.0022433438670687554,0.0001570601831764919,4.07715750500359e-07,8.409843352698397e-09,2.2712807215194075e-09,1.1191776130616541e-12,1.798432248896508e-08,1.4128574483773431e-05,3.080074063362749e-06,2.4438966257429674e-09,4.752889472996014e-05,4.939680614940924e-09,2.089309586827003e-07,2.984524214088278e-09,8.84128324002633e-10,2.5041065756772206e-11,9.412729544740055e-06,3.8557497928959765e-12,1.1192577293454826e-08,3.720681902574743e-14,4.0133423173529885e-08,1.0268673597939046e-11,7.670942552592673e-14,4.283220482068654e-15,1.3344473770880944e-22,1.5821157786827808e-14
2.4746524614168886e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44206750501400155,0.10827697539972973,0.021163428209278235,2.674121138477724e-06,5.3552451714574686e-05,0.002421363333821625,0.0009734520160439844,1.4825404552696758e-05,3.9035698394717366e-14,0.0016012918481972311,4.224051130778178e-12,0.00038229823159053016,6.336194712936953e-10,9.404790305652991e-07,6.747143406740281e-11,2.5454882477189962e-12,2.0212888814784043e-05,1.342198672561666e-07,0.007766913322901126,0.002249804618082422,0.0001574379029565884,4.0987844388394546e-07,8.43084233677874e-09,2.277744963044917e-09,1.1225224334511344e-12,1.802859586040861e-08,1.4129151348032905e-05,3.102981122751329e-06,2.4748204712570847e-09,4.789034027248567e-05,4.953794914222133e-09,2.1231957722662249e-07,3.010624051879953e-09,8.932904442408469e-10,2.5288326503132288e-11,9.431168466880286e-06,3.900690858878001e-12,1.1393394966473701e-08,3.780964015407069e-14,4.052173712932275e-08,1.0403659601987093e-11,7.795424154694032e-14,4.3527293545013635e-15,1.377689250122306e-22,1.6023594150171908e-14
