Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CH4OX(63),C2H4X(70),C2H6X(52),CO2X(24),OH(D)X(68)
4.638078239095341e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4361868988470455,0.07271978860416672,0.005560950502516418,7.357868392823997e-06,0.004601842288619719,0.07197338090839629,0.029882510453236373,3.549370879206802e-05,3.9527065478730864e-10,0.0017559121978054188,4.5861233798636456e-11,0.0005590188580011689,2.7657723962724073e-09,4.119863227820207e-06,3.0378457266057417e-09,1.4803870821197578e-10,9.711109878068557e-06,2.6455227799209895e-05,0.005146192654951509,1.7378377243159138e-06,0.0006093568840788525,5.446964773548063e-09,2.4292516244119145e-09,1.918067656068319e-08,2.804880851353047e-08,0.0002648717203925058,0.00867332053784156,1.962483749805005e-06,2.0351895897003096e-07,0.001419511009876327,5.359918786248374e-09,4.186613036725947e-05,9.119233538567799e-08,3.8458317088890445e-10,4.325370973651594e-06,1.3130443789043695e-10,2.9751378685914554e-06,4.496997147061516e-11,7.353291692543204e-12,9.644805310713511e-08,2.425819064082986e-11,2.958894120032111e-11
4.646155965951096e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43615796362370973,0.07266740577860545,0.005547569979680415,7.358426925633537e-06,0.004601598131227574,0.07208526153901954,0.029909565083208786,3.544641018364442e-05,3.9681940195718124e-10,0.0017547461929952998,4.582656685856623e-11,0.0005592193891904514,2.765532885551405e-09,4.107142652681456e-06,3.0416856464553e-09,1.480975491369005e-10,9.690707267310868e-06,2.6489536725188663e-05,0.005142145070931257,1.7277752888017952e-06,0.0006097686181060991,5.420308638413222e-09,2.421797210668714e-09,1.9203074827033335e-08,2.8185531170161565e-08,0.0002659658079315557,0.00870268882224117,1.9641014869504456e-06,2.0349465610565995e-07,0.001421624417020595,5.356004235185171e-09,4.192042579219789e-05,9.126884318457427e-08,3.8518581830484185e-10,4.316378386225643e-06,1.313360456007581e-10,2.9788305769559086e-06,4.4828147217685314e-11,7.362339511984693e-12,9.631313702036728e-08,2.424920161984985e-11,2.952481741626376e-11
4.654233692806851e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43612900483678796,0.072615061519364,0.005534223257588603,7.3589825883069445e-06,0.00460135174975728,0.07219706161452503,0.029936554141491847,3.539917893078437e-05,3.983703016420342e-10,0.001753581060179827,4.579194752339105e-11,0.0005594196497199678,2.7652944855626165e-09,4.0944775267135155e-06,3.045519392223056e-09,1.481559135123168e-10,9.67036260725319e-06,2.6523797333007595e-05,0.005138100425587715,1.717786855219892e-06,0.0006101795992340808,5.393826040731966e-09,2.4143665063548584e-09,1.9225600829700398e-08,2.832257557329456e-08,0.00026706159744705697,0.008732078677879503,1.9657146511316526e-06,2.0347024536347782e-07,0.0014237358649889355,5.352092528577945e-09,4.197464475153507e-05,9.13451350155608e-08,3.8578762149944427e-10,4.307403097074376e-06,1.3136727301285429e-10,2.9825171288527857e-06,4.468694414303189e-11,7.371372239588832e-12,9.617841579544689e-08,2.424025859650213e-11,2.946087683581374e-11
4.662311419662605e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4361000226198453,0.07256275579831604,0.0055209102486322974,7.359535398357033e-06,0.004601103155178094,0.072308781183014,0.029963477793598977,3.53520149174991e-05,3.999233466616927e-10,0.0017524167983374475,4.5757375654996236e-11,0.0005596196402410279,2.7650571925398217e-09,4.081867469208243e-06,3.0493469731684355e-09,1.4821380290167777e-10,9.65007565740754e-06,2.6558009692429082e-05,0.005134058718578612,1.707871753810411e-06,0.0006105898293634624,5.36751555833794e-09,2.4069594337931437e-09,1.9248254569200158e-08,2.84599413210154e-08,0.00026815908420197424,0.008761489973675388,1.9673232542105047e-06,2.0344572731194553e-07,0.0014258453551254926,5.348183664993272e-09,4.202878735567311e-05,9.142121143814168e-08,3.863885808305976e-10,4.29844508539056e-06,1.3139812152618037e-10,2.9861975335525007e-06,4.454635800738441e-11,7.380389898134385e-12,9.604388913098294e-08,2.4231361208661425e-11,2.939711871024994e-11
4.67038914651836e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.436071017106085,0.07251048858735158,0.005507630865423881,7.3600853731646186e-06,0.0046008523583882695,0.07242042029262855,0.029990336204660042,3.53049180281466e-05,4.014785298381582e-10,0.0017512534064501844,4.5722851115945386e-11,0.0005598193614022813,2.7648210027349543e-09,4.069312103219531e-06,3.0531683985533885e-09,1.4827121886422806e-10,9.629846179078569e-06,2.659217387313943e-05,0.00513001994955365,1.698029322065319e-06,0.0006109993103878407,5.341375783263544e-09,2.3995759155664965e-09,1.9271036045029667e-08,2.8597628009899743e-08,0.0002692582634611364,0.008790922578913405,1.968927308022995e-06,2.0342110251610687e-07,0.0014279528887769998,5.3442776429998225e-09,4.20828537148937e-05,9.149707301060578e-08,3.869886966628631e-10,4.289504330291302e-06,1.3142859253571822e-10,2.9898718003187874e-06,4.440638461323018e-11,7.389392510383658e-12,9.590955672631457e-08,2.4222509097668687e-11,2.933354229634963e-11
4.678466873374115e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4360419884283478,0.07245825985837731,0.005494385020796338,7.3606325299797275e-06,0.004600599370215701,0.07253197899155116,0.03001712953942176,3.5257888147428965e-05,4.0303584399570025e-10,0.0017500908835036048,4.568837376947504e-11,0.0005600188138497344,2.764585912417955e-09,4.056811055519949e-06,3.0569836776422244e-09,1.4832816295501e-10,9.609673935343125e-06,2.6626289944749056e-05,0.00512598411815452,1.6882589046371968e-06,0.0006114080441938273,5.3154053215757474e-09,2.3922158745170847e-09,1.929394525567042e-08,2.87356352350175e-08,0.0002703591304912413,0.008820376363243461,1.970526824379244e-06,2.0339637153761816e-07,0.001430058467292751,5.34037446116828e-09,4.213684393935847e-05,9.1572720290027e-08,3.875879693674222e-10,4.280580810819053e-06,1.3145868743198807e-10,2.993539938408692e-06,4.426701980433222e-11,7.39838009908247e-12,9.577541828150451e-08,2.421370190829238e-11,2.927014685632561e-11
4.6865446002298694e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4360129367191136,0.07240606958331641,0.005481172627802757,7.361176885922804e-06,0.004600344201418535,0.07264345732800408,0.030043857962248222,3.5210925160389816e-05,4.045952819609469e-10,0.0017489292284867816,4.565394347948946e-11,0.0005602179982267668,2.764351917876649e-09,4.044363956557815e-06,3.0607928197014737e-09,1.483846367248696e-10,9.58955869103007e-06,2.666035797679285e-05,0.005121951224014947,1.6785598532487175e-06,0.0006118160326610531,5.289602793208031e-09,2.3848792337453905e-09,1.9316982198593248e-08,2.887396258995227e-08,0.00027146168056095565,0.008849851196680258,1.9721218150635183e-06,2.0337153493477527e-07,0.0014321620920245753,5.336474118071263e-09,4.219075813910947e-05,9.16481538322655e-08,3.881863993220215e-10,4.271674505942641e-06,1.314884076010598e-10,2.9972019570725802e-06,4.4128259465252056e-11,7.407352686960199e-12,9.56414734973346e-08,2.420493928869004e-11,2.920693165776417e-11
4.694622327085624e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43598386211050116,0.07235391773410862,0.0054679935997158854,7.361718457985896e-06,0.004600086862685798,0.07275485535024864,0.03007052163712134,3.5164028952411714e-05,4.061568365629754e-10,0.001747768440392261,4.561956011055538e-11,0.0005604169151741452,2.764119015416609e-09,4.031970440414877e-06,3.06459583399972e-09,1.4844064172046323e-10,9.569500212700399e-06,2.6694378038730317e-05,0.005117921266760706,1.66893152660386e-06,0.000612223277662237,5.263966831799531e-09,2.3775659166093318e-09,1.934014687026114e-08,2.9012609666806664e-08,0.00027256590894092784,0.008879346949602823,1.973712291834249e-06,2.0334659326254324e-07,0.0014342637643268148,5.332576612283236e-09,4.224459642406948e-05,9.172337419196801e-08,3.8878398691091573e-10,4.2627853945582636e-06,1.315177544245648e-10,3.0008578655541267e-06,4.399009952087901e-11,7.41631029672973e-12,9.550772207529945e-08,2.4196220890370384e-11,2.914389597356391e-11
4.702700053941379e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4359547647342686,0.07230180428271034,0.005454847850027638,7.362257263033827e-06,0.004599827364637999,0.07286617310658483,0.030097120727641345,3.5117199409213564e-05,4.077205006334007e-10,0.0017466085182160289,4.558522352789686e-11,0.0005606155653300404,2.763887201361028e-09,4.019630144764581e-06,3.068392729807447e-09,1.4849617948426364e-10,9.549498268627687e-06,2.672835019994592e-05,0.00511389424600967,1.6593732902998268e-06,0.000612629781063196,5.238496084531606e-09,2.3702758467233483e-09,1.936343926613401e-08,2.915157605622011e-08,0.0002736718109038766,0.008908863492753992,1.975298266424046e-06,2.0332154707258217e-07,0.0014363634855562985,5.328681942380449e-09,4.22983589040425e-05,9.179838192256881e-08,3.8938073252481253e-10,4.2539134554904925e-06,1.3154672927970703e-10,3.0045076730903212e-06,4.3852535935966345e-11,7.425252951087483e-12,9.537416371759996e-08,2.418754636815566e-11,2.9081039081875707e-11
4.7107777807971335e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43592564472181455,0.07224972920109449,0.0054417352924486405,7.362793317805352e-06,0.0045995657178277355,0.07297741064535058,0.03012365539702724,3.50704364168482e-05,4.0928626700646487e-10,0.0017454494609574758,4.55509335973903e-11,0.000560813949330043,2.763656472050596e-09,4.007342710830797e-06,3.0721835163968947e-09,1.4855125155456628e-10,9.529552628778801e-06,2.6762274529749288e-05,0.005109870161371829,1.6498845167410014e-06,0.0006130355447229094,5.213189211971423e-09,2.3630089479575204e-09,1.9386859380671967e-08,2.9290861347375795e-08,0.0002747793817246119,0.008938400697239902,1.976879750539718e-06,2.0329639691327614e-07,0.0014384612570723194,5.324790106940858e-09,4.235204568871413e-05,9.187317757629048e-08,3.899766365608172e-10,4.245058667493247e-06,1.3157533353927462e-10,3.0081513889114635e-06,4.3715564714672395e-11,7.434180672713394e-12,9.524079812713784e-08,2.417891538014494e-11,2.9018360266043296e-11
