Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C2H2(37),C4H7X(140),C6H9X(432),C6H8(482),C6H9X(431),C6H8(56)
1.1695621237096964e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582384454,0.66999999999306525,1.0469438597794051e-52,0.0,2.4891620673859345e-29,1.0133003951193733e-58,4.1021320501576386e-70,0.0,0.0,2.3834087235464216e-89,0.0,6.9348841523198822e-12,6.9348841523194249e-12,2.2835841917669866e-25,2.4877245209739742e-29,1.4375471343975524e-32,1.1406949727711738e-29,1.5687457542169729e-41,2.9776522184049477e-61,7.1530017079869907e-66,2.9777236615188821e-61,8.6903145287313189e-69
2.3391244952819694e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580997475,0.66999999998613036,1.6741749203010277e-51,0.0,9.9566498486125442e-29,4.0532022224390651e-58,1.3120285351288387e-68,0.0,0.0,1.5246334076231272e-87,0.0,1.3869769773299932e-11,1.3869769773298103e-11,9.1343382179506044e-25,9.9451556711146218e-29,1.149418327742671e-31,4.5627806160274251e-29,1.2543206954993199e-40,9.5232091100769201e-60,4.5754053013610626e-64,9.5236660947193427e-60,5.5588771347845045e-67
4.678249238426515e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282578223521,0.66999999997226056,2.6756906717354342e-50,0.0,3.9826602531599387e-28,1.6212810160013981e-57,4.1943112491155047e-67,0.0,0.0,9.7480850862661287e-86,0.0,2.7739541012158989e-11,2.773954101215168e-11,3.6537355767679881e-24,3.9734748083079655e-28,9.1854494755896678e-31,1.8251123912244876e-28,1.002376514813061e-39,3.0440528782458029e-58,2.9250428229869833e-62,3.0443450271338437e-58,3.5539425854884556e-65
9.356498724715607e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282572675615,0.66999999994452097,4.2715690607810916e-49,0.0,1.5930641623278725e-27,6.4851243071247376e-57,1.339511831566856e-65,0.0,0.0,6.2265607265998622e-84,0.0,5.5479083477472947e-11,5.5479083477443718e-11,1.4614942881536961e-23,1.5857315935124334e-27,7.3325725143508629e-30,7.3004498531246854e-28,8.0017842355049256e-39,9.7194401779697284e-57,1.8679224930189159e-60,9.7213058307109029e-57,2.2697518444986973e-63
1.871299769729379e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282561579796,0.66999999988904191,6.8041873115971224e-48,0.0,6.3722567580065778e-27,2.594049762727799e-56,4.9407535669078039e-64,0.0,0.0,5.241229543404003e-82,0.0,1.1095816835848428e-10,1.1095816835836737e-10,5.8459772637395706e-23,6.3138472353606155e-27,5.8409552237526973e-29,2.9201799977749743e-27,6.3740335783933117e-38,3.0965270843473143e-55,1.1902483160712761e-58,3.0977158860922814e-55,1.4465711055248986e-61
3.742599564245016e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282539388164,0.66999999977808378,1.079088117924563e-46,0.0,2.5489027141954789e-26,1.0376199060699601e-55,1.5735962158608662e-62,0.0,0.0,3.3388103737024407e-80,0.0,2.2191633792204067e-10,2.21916337921573e-10,2.3383909247061415e-22,2.5025717917029618e-26,4.6330946166204303e-28,1.168072009518812e-26,5.0559368318676854e-37,9.8223206599947574e-54,7.5515626231839984e-57,9.8298630413139235e-54,9.1813040231886536e-60
7.48519915327629e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282495004895,0.6699999995561674,1.6966355575508731e-45,0.0,1.019561079279826e-25,4.1504795702635978e-55,4.9474839160199604e-61,0.0,0.0,2.1015390194399523e-78,0.0,4.4383267625528771e-10,4.4383267625341694e-10,9.3535637131280529e-22,9.8311565433310796e-26,3.644544388634306e-27,4.6722880517233038e-26,3.9771659599486649e-36,3.0890776910772203e-52,4.7505180976051843e-55,3.0938224290259939e-52,5.7801488357558986e-58
1.1227798742307565e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282450621626,0.66999999933425103,6.417559340600115e-45,0.0,2.1665672797357812e-25,8.8197689900793306e-55,2.1777956006111712e-60,0.0,0.0,1.0390626210942928e-77,0.0,6.6574901379466918e-10,6.6574901379069385e-10,1.9876322869359947e-21,2.0633544135647782e-25,1.0321292041564748e-26,9.9286121103762716e-26,1.1263271054854701e-35,1.4355771294712578e-51,2.6476506561769744e-54,1.4382215577826487e-51,3.2223447883157732e-57
1.8712997920370112e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282361855093,0.66999999889041839,5.1091379772423658e-44,0.0,5.989921190851856e-25,2.4384066460381739e-54,3.383103800429173e-59,0.0,0.0,3.177911870126508e-76,0.0,1.10958168569797e-09,1.1095816856869795e-09,5.4952186484226964e-21,5.528892892788728e-25,4.610285475776077e-26,2.7449692243289006e-25,5.0310459837336636e-35,2.0320535327076111e-50,6.4153745597144495e-53,2.0384610891590924e-50,7.8181082383976957e-56
2.5449677180626407e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282281965209,0.66999999849096903,1.4653856856391925e-43,0.0,1.0666274803958414e-24,4.3420796929206776e-54,1.2324640919303323e-58,0.0,0.0,1.4366342608969761e-75,0.0,1.5090310878459421e-09,1.5090310878263706e-09,9.785356246029924e-21,9.6446591148108376e-25,1.0216162514536519e-25,4.8879768968845219e-25,1.1148546786023349e-34,7.1765022222210925e-50,2.591157264495084e-52,7.2023822061650213e-50,3.1588701043510226e-55
3.21863564408827e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282202075336,0.66999999809151967,3.3068716236167855e-43,0.0,1.6650205275907265e-24,6.7780475343500816e-54,3.1920500779135493e-58,0.0,0.0,4.1299085032032272e-75,0.0,1.9084804872789148e-09,1.9084804872483633e-09,1.5275079131312383e-20,1.4750360081728469e-24,1.8998462579217636e-25,7.630200900557405e-25,2.0732368771649218e-34,1.8751557374309819e-49,7.9679788166152082e-52,1.8831139971928071e-49,9.719054797282225e-55
3.8923035701138996e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282122185458,0.6699999976920703,6.4429359140532459e-43,0.0,2.386928063788765e-24,9.716824199290356e-54,7.2459468303711436e-58,0.0,0.0,1.0825658060387839e-74,0.0,2.3079298841472832e-09,2.3079298841034852e-09,2.1897937450802129e-20,2.074098900841798e-24,3.1282934089591437e-25,1.0938448236400664e-24,3.4137989976251799e-34,4.1956547590318245e-49,1.9901256996953017e-51,4.2155317303160313e-49,2.4285712765188348e-54
5.239639422165159e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281962405702,0.66999999689317147,1.751098324779171e-42,0.0,4.1124156487726365e-24,1.6741023742140569e-53,2.5639642444219142e-57,0.0,0.0,4.9903747095500889e-74,0.0,3.1068286720354874e-09,3.1068286719600278e-09,3.7727748604232161e-20,3.4604188529652053e-24,6.5199717636932571e-25,1.8845748718164142e-24,7.115020912750826e-34,1.4313489471906443e-48,7.7447699934565281e-51,1.4390842602495831e-48,9.4569345249194138e-54
6.586975274216417e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281802625946,0.66999999609427263,3.8299561412053542e-42,0.0,6.2944630272517395e-24,2.5623809138912003e-53,6.7206869183506471e-57,0.0,0.0,1.5283984656311498e-73,0.0,3.9057274504438704e-09,3.9057274503283704e-09,5.7746089459483009e-20,5.1351960625224646e-24,1.1592676577988338e-24,2.8845301815762316e-24,1.2650689162189909e-33,3.6630546018134192e-48,2.2380504120841357e-50,3.6854077625526368e-48,2.7343381643618683e-53
7.934311126267676e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228164284619,0.66999999529537402,7.3894882741784925e-42,0.0,8.9640375811537484e-24,3.6491243845518967e-53,1.5181365504581621e-56,0.0,0.0,3.9842364320634449e-73,0.0,4.7046262187294368e-09,4.7046262185649519e-09,8.2237058359819642e-20,7.0891038311524615e-24,1.8749348978589764e-24,4.1079020238466523e-24,2.0460519527181463e-33,8.1305379912344552e-48,5.5520638645978844e-50,8.1859907578074549e-48,6.7872073030165864e-53
1.0628982830370193e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281323286689,0.66999999369757646,2.2149963329962754e-41,0.0,1.5793239768240635e-23,6.4291893262358807e-53,6.1752929963191086e-56,0.0,0.0,2.2440614603395825e-72,0.0,6.30242372436171e-09,6.3024237240719131e-09,1.4488890850643033e-19,1.1694284470596098e-23,4.0989579498708308e-24,7.2374846232590099e-24,4.473051782027118e-33,3.3086501866476632e-47,3.1179646924018821e-49,3.3397916244213566e-47,3.8209150353981291e-52
1.3323654534472711e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332281003727193,0.6699999920997789,5.072307440422446e-41,0.0,2.4602985729604954e-23,1.0015503544330692e-52,1.7407341847452859e-55,0.0,0.0,7.759960229657351e-72,0.0,7.9002211888707702e-09,7.9002211884193182e-09,2.2571048818366975e-19,1.7105790007464901e-23,7.4972008220275478e-24,1.1274680839403101e-23,8.1814372818572632e-33,9.3210516466506818e-47,1.0743316489307574e-48,9.4283529200624716e-47,1.318914813859263e-51
1.8712997942677745e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228036460823,0.66999998890418422,1.7997529815455447e-40,0.0,4.816805920215701e-23,1.9608487538675315e-52,8.8117701321128955e-55,0.0,0.0,5.7998850729942998e-71,0.0,1.1095815994437213e-08,1.1095815993553351e-08,4.4189908474047049e-19,2.9601323012834926e-23,1.8566750231653669e-23,2.2073724920699234e-23,2.0261255514785673e-32,4.8083449990707283e-46,8.3997951522211209e-48,4.8922392400258931e-46,1.0371056712309073e-50
2.9491684759087812e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332279086370409,0.66999998251299508,9.5068278413200528e-40,0.0,1.1908140111495253e-22,4.8476229183556283e-52,7.5427804521687878e-54,0.0,0.0,8.4350584245709753e-70,0.0,1.7487005111745217e-08,1.7487005109560116e-08,1.092466053304793e-18,5.8616480326649312e-23,6.0464976714850364e-23,5.4570821329804871e-23,6.5983347100881293e-32,4.2562551405538814e-45,1.3438047848323498e-46,4.390467414321503e-45,1.6820471573756367e-49
5.104905839190795e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332276529895155,0.66999996973061882,6.4537168116474457e-39,0.0,3.5604449670257379e-22,1.4494026748664689e-51,9.0189882360281259e-53,0.0,0.0,1.8776353943153981e-68,0.0,3.0269381370985148e-08,3.0269381364451798e-08,3.2663928680731557e-18,1.2326436517234911e-22,2.3278043037800558e-22,1.6316273999440739e-22,2.5402526062275166e-31,5.2495351081539364e-44,3.2196269102960219e-45,5.5710833333576808e-44,4.1446582615616699e-48
9.416380565754823e-15,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332271416946236,0.66999994416587416,4.878153081999393e-38,0.0,1.2105173343997983e-21,4.9278282666930224e-51,1.2646006352230884e-51,0.0,0.0,5.1587821377088537e-67,0.0,5.5834125987930981e-08,5.5834125965718051e-08,1.1105430817913499e-17,2.5887090857065725e-22,9.5164835086604545e-22,5.5473816596867818e-22,1.038500980888242e-30,7.3664952985517269e-43,8.9637205525072286e-44,8.2616490788814926e-43,1.2182749217841976e-46
1.803933001888288e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332261191054708,0.6699998930364166,3.8145306603646668e-37,0.0,4.4416484075237978e-21,1.8081242367372845e-50,1.8949011767290021e-50,0.0,0.0,1.5487399996561423e-65,0.0,1.0696358361563939e-07,1.0696358353413486e-07,4.0748262222069544e-17,5.3215032755374578e-22,3.9095118490371504e-21,2.0354566459068583e-21,4.2663147301267109e-30,1.0407221942102311e-41,2.5308240612161375e-42,1.2934241721954814e-41,3.8042813659721333e-45
3.5285228925138994e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332240739296954,0.66999979077762783,3.0148319262755841e-36,0.0,1.6992615658727876e-20,6.917408132622984e-50,2.9268569255741289e-49,0.0,0.0,4.8166236354217238e-64,0.0,2.0922237244650568e-07,2.0922237213468853e-07,1.5589284531406531e-16,1.0773552572009531e-21,1.5915364466053282e-20,7.7871619407635565e-21,1.7367881010471357e-29,1.383000872855362e-40,6.7448009430038703e-41,2.0562722686994826e-40,1.2086984568895399e-43
6.977702673765121e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332199835882609,0.66999958626055633,2.3956588995629903e-35,0.0,6.6449064537397176e-20,2.7050181738963273e-49,4.596022932483641e-48,0.0,0.0,1.5205685294898556e-62,0.0,4.1373944441179125e-07,4.1373944319243259e-07,6.0961674886575195e-16,2.1664137423210211e-21,6.4283459803387554e-20,3.0451621966008947e-20,7.0150257294519038e-29,1.6589287798468856e-39,1.626568109582784e-39,3.2816396518806448e-39,3.8572375505267882e-42
1.0426882455016344e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332158932603134,0.66999938174415941,7.5984551123720249e-35,0.0,1.4837779530831853e-19,6.0401635512147805e-49,2.0208605828839555e-47,0.0,0.0,9.3749852962150217e-62,0.0,6.1825584211752951e-07,6.1825583939474369e-07,1.3612523631634616e-15,3.2552795136446716e-21,1.4512506561274455e-19,6.7997448018258613e-20,1.5836976493875946e-28,6.4122713977617251e-39,8.1086062753938404e-39,1.4499395844958345e-38,2.1481828204711103e-41
1.3876062236267567e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332118029458558,0.66999917722843705,1.7335900297562945e-34,0.0,2.6277824349018662e-19,1.069714048665534e-48,5.8929466071269642e-47,0.0,0.0,3.5216545177076029e-61,0.0,8.2277156556705114e-07,8.227715607449561e-07,2.4107979094130398e-15,4.3441793151842463e-21,2.5843986112849005e-19,1.2042459363157498e-19,2.8202601066705863e-28,1.6680402654681032e-38,2.5779248271673381e-38,4.2384414995235924e-38,7.5235931142295923e-41
1.732524201751879e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332077126448856,0.66999897271338926,3.3082260940025175e-34,0.0,4.096498250997826e-19,1.6675911272299559e-48,1.3718581881713818e-46,0.0,0.0,1.0045634915631784e-60,0.0,1.027286614763808e-06,1.0272866072465252e-06,3.7582515448981585e-15,5.4330803120592032e-21,4.0422778157500376e-19,1.8773301058104276e-19,4.4111887909667296e-28,3.4899811196161828e-38,6.412040352606971e-38,9.8815434635524674e-38,2.0478008676607732e-40
