Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
1.9011281534223972e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33327393742049571,0.11442347347942046,0.0227980001196997,0.0,6.3982111468913688e-24,2.6590159743280342e-11,0.0,3.6638824138417678e-18,0.0,1.9177499834368708e-09,6.6784623752348894e-35,1.8645696712776109e-09,5.9078494606315576e-26,1.7279995904829553e-30,0.0,0.0,4.5356873155906867e-22,2.1063852447912449e-26,0.0042464906327948412,4.7135146709160583e-05
1.9136532378518878e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33326057895808414,0.1144101129404347,0.022798001151674473,0.0,6.5660256488409083e-24,2.6934945931438198e-11,0.0,3.7366571970019378e-18,0.0,1.930374511323866e-09,6.9363336277269201e-35,1.8765046269338313e-09,6.054784170046815e-26,1.7851771009599055e-30,0.0,0.0,4.6245222305670304e-22,2.1735059950351416e-26,0.0042598511591560627,4.7133082759616621e-05
1.9261783222813785e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33324733657400846,0.11439686849752807,0.02279800217477734,0.0,6.7370960406712102e-24,2.7281891354331386e-11,0.0,3.8103901431627895e-18,0.0,1.9429997707586057e-09,7.2023299580666882e-35,1.8884359956702402e-09,6.2043286317771279e-26,1.8438532208585888e-30,0.0,0.0,4.7144943442420283e-22,2.2422902850067746e-26,0.0042730955894374452,4.7131036553893464e-05
1.938703406710869e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33323420925915265,0.11438373914144709,0.022798003189076956,0.0,6.9114635210884448e-24,2.7630995193484297e-11,0.0,3.8850875752953368e-18,0.0,1.9556257733282805e-09,7.4766499356205124e-35,1.9003637907109944e-09,6.3565104062363488e-26,1.9040570465359145e-30,0.0,0.0,4.8056105460635508e-22,2.31276755627896e-26,0.0042862249328924464,4.7129007954654753e-05
1.9512284911403597e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33322119601318234,0.11437072387171952,0.022798004194642202,0.0,7.0891695350926871e-24,2.7982256636654154e-11,0.0,3.9607558183578976e-18,0.0,1.968252530518469e-09,7.7594955790000859e-35,1.9122880251661703e-09,6.5113571367239749e-26,1.9658180440025286e-30,0.0,0.0,4.897877720258815e-22,2.3849675601769746e-26,0.0042992401899932288,4.7126996824162929e-05
1.9637535755698504e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33320829584446804,0.11435782169657804,0.022798005191542067,0.0,7.2702557738205168e-24,2.8335674877754742e-11,0.0,4.0374011993112221e-18,0.0,1.9808800537139962e-09,8.0510723913621323e-35,1.9242087120327771e-09,6.6688965488388981e-26,2.0291660511702987e-30,0.0,0.0,4.9913027458568994e-22,2.4589203587054181e-26,0.0043121423525072072,4.7125003024435208e-05
1.976278659999341e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33319550777000939,0.11434503163288404,0.022798006179845592,0.0,7.454764174388531e-24,2.8691249116781123e-11,0.0,4.1150300471334176e-18,0.0,1.9935083541997936e-09,8.3515893958088747e-35,1.9361258641957696e-09,6.82915644990056e-26,2.0941312800988666e-30,0.0,0.0,5.0858924967110108e-22,2.5346563254685315e-26,0.0043249324035729061,4.7123026417383529e-05
1.9888037444288317e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3331828308153596,0.1143323527060527,0.022798007159621814,0.0,7.6427369197377954e-24,2.9048978559735201e-11,0.0,4.1936486928347117e-18,0.0,2.0061374431617432e-09,8.661259170888725e-35,1.9480394944290383e-09,6.9921647283774139e-26,2.1607443192412885e-30,0.0,0.0,5.1816538415204742e-22,2.6122061465840628e-26,0.0043376113177751611,4.7121066864940185e-05
2.0013288288583223e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33317026401455097,0.11431978394997828,0.022798008130939702,0.0,7.8342164384791607e-24,2.9408862418552079e-11,0.0,4.2732634694720378e-18,0.0,2.0187673316875179e-09,8.9802978861966262e-35,1.9599496153963991e-09,7.1579493533225979e-26,2.2290361356887571e-30,0.0,0.0,5.2785936438524618e-22,2.6916008215907613e-26,0.0043501800612196669,4.7119124229170253e-05
2.013853913287813e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33315780641002046,0.1143073244069604,0.022798009093868098,0.0,8.0292454047394718e-24,2.9770899911027374e-11,0.0,4.3538807121634347e-18,0.0,2.031398030767418e-09,9.3089253380734973e-35,1.971856239652573e-09,7.3265383738167217e-26,2.299038077414433e-30,0.0,0.0,5.3767187621634875e-22,2.7728716643495744e-26,0.0043626395916068718,4.7117198372372521e-05
2.0263789977173036e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3331454570525374,0.11429497312763053,0.0227980100484757,0.0,8.2278667380086103e-24,3.013509026074527e-11,0.0,4.4355067581022912e-18,0.0,2.0440295512951939e-09,9.6473649854042654e-35,1.9837593796441555e-09,7.4979599184177056e-26,2.3707818755163768e-30,0.0,0.0,5.4760360498206197e-22,2.8560503039386335e-26,0.0043749908583052225,4.7115289157169433e-05
2.0389040821467942e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33313321500112947,0.11428272917087962,0.022798010994830985,0.0,8.4301236029873656e-24,3.050143269700754e-11,0.0,4.5181479465713995e-18,0.0,2.0566619040688671e-09,9.9958439855139099e-35,1.9956590477105756e-09,7.6722421946175459e-26,2.4442996464595986e-30,0.0,0.0,5.57655235512246e-22,2.9411686855421086e-26,0.0043872348024237735,4.7113396446587751e-05
2.051429166576285e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33312107932301155,0.11427059160378603,0.022798011933002214,0.0,8.6360594094361393e-24,3.0869926454763178e-11,0.0,4.6018106189568548e-18,0.0,2.0692950997915418e-09,1.0354593230161017e-34,2.0075552560850534e-09,7.84941348830596e-26,2.5196238943172284e-30,0.0,0.0,5.6782745213198769e-22,3.0282590713329978e-26,0.0043993723568841554,4.7111520104130306e-05
2.0639542510057755e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33310904909351402,0.11425855950154422,0.022798012863057361,0.0,8.8457178120244225e-24,3.1240570774539116e-11,0.0,4.6865011187617759e-18,0.0,2.0819291490722109e-09,1.0723847381628357e-34,2.0194480168955415e-09,8.0295021632407896e-26,2.5967875130108259e-30,0.0,0.0,5.7812093866364839e-22,3.1173540413499397e-26,0.0044114044464919179,4.7109659993840049e-05
2.089004419864757e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33308530132185732,0.1142348080325519,0.022798014699089809,0.0,9.2763782479471577e-24,3.1988308089740007e-11,0.0,4.8589909853084531e-18,0.0,2.1071998502777158e-09,1.1494828124237349e-34,2.0432232438156033e-09,8.3985454981075651e-26,2.7567664012679423e-30,0.0,0.0,5.990744542506086e-22,3.3016896487497038e-26,0.0044351558902135406,4.7105987928952618e-05
2.1115495718378406e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33306427984903497,0.11421378328628758,0.022798016324437492,0.0,9.677146871807779e-24,3.2668619088291442e-11,0.0,5.0178107168191184e-18,0.0,2.1299465050616429e-09,1.2227070186895142e-34,2.0646092769200456e-09,8.7409480645308888e-26,2.9073761018597409e-30,0.0,0.0,6.1835421126161606e-22,3.4747807551830758e-26,0.0044561806137312253,4.7102737233579086e-05
2.1340947238109242e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33304358601279033,0.1141930862271059,0.022798017924531237,0.0,1.0090666802544468e-23,3.3355886344233362e-11,0.0,5.1800593615058989e-18,0.0,2.1526960861468297e-09,1.2997173786172947e-34,2.0859843238178257e-09,9.0932475637824115e-26,3.0644749851833606e-30,0.0,0.0,6.3803749482674659e-22,3.6548880189720519e-26,0.0044768776501633127,4.7099537046086785e-05
