Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53)
1.9988808975686497e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30641286406348878,0.11180303227004744,0.010761128614997225,2.3981407136881197e-10,3.4506505311114285e-08,0.0030210459397389598,1.0983367235449151e-05,2.2227066668939802e-12,1.0581662166641679e-16,1.346114853239955e-07,5.0508400630122202e-24,2.6682168259623604e-07,5.1878205535178205e-19,1.6557149567993373e-16,3.767101210045902e-15,1.0436487780812939e-17,3.8916251342558328e-12,2.2190228618192441e-17,0.0052947097488052304,0.024099848446501187,2.9873705270498714e-10,0.00015620255851843089,2.7521506178272706e-12,4.2036113663159677e-06,0.0015468983105344136,7.787605692471333e-09,1.0003559254773275e-05,4.2824806952897233e-05,4.2112587045267623e-15,5.4794402490739924e-12
2.0038626000762887e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30636954692972812,0.1117974572152351,0.010742383762496583,2.4229820269592588e-10,3.4778836199992e-08,0.0030338992733525043,1.1051183920776866e-05,2.2368299624741856e-12,1.0711445739002091e-16,1.3486286979202478e-07,5.1133463470747788e-24,2.6732588549611969e-07,5.2287967172493973e-19,1.6697253557876402e-16,3.7975748669161319e-15,1.0530183936187072e-17,3.9060295639804193e-12,2.2422687460634007e-17,0.0052936954627693447,0.024137211406136873,2.991814413865782e-10,0.0001564734304307216,2.7738473142004592e-12,4.2290218207965469e-06,0.0015533355452155599,7.8143080536835307e-09,1.0062183876583238e-05,4.300109823307283e-05,4.2431052514046604e-15,5.5218900739916487e-12
2.008346132333164e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30633061868214762,0.11179243140244165,0.010725545831200703,2.4454970201405209e-10,3.5025130376805723e-08,0.0030454823758272898,1.1112400483486402e-05,2.2495858661652485e-12,1.0829301662474769e-16,1.3508894384291253e-07,5.1701238301610209e-24,2.6777932469428243e-07,5.2658612529841137e-19,1.6824010136783137e-16,3.8251343818290496e-15,1.061500089222628e-17,3.9189968209137499e-12,2.2633467927270105e-17,0.0052927832695837812,0.024170772872977982,2.9958052008266254e-10,0.00015671697863571974,2.7934697451872928e-12,4.2519616986977229e-06,0.0015591362616464088,7.8383480092978349e-09,1.0115088175957715e-05,4.31599388478789e-05,4.2718879990407827e-15,5.5602691328282313e-12
2.012829664590039e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30629174447586593,0.11178739778016651,0.010708738558115955,2.4681621125900234e-10,3.5272560231277237e-08,0.0030570797502424115,1.1173788927312536e-05,2.2623843837937385e-12,1.0948159075962633e-16,1.3531485526182243e-07,5.2273989762004909e-24,2.6823243912581549e-07,5.3031024275179548e-19,1.695139618332395e-16,3.8528203127366028e-15,1.0700283775626897e-17,3.9319671165247093e-12,2.2845740750121549e-17,0.0052918717044773645,0.024204272715818445,2.9997877533664313e-10,0.0001569603032275784,2.8131827372666368e-12,4.2749683360042225e-06,0.0015649437864632741,7.8623952996233448e-09,1.0168126999392515e-05,4.3318948022124773e-05,4.3007853087506024e-15,5.5988134558922551e-12
2.017313196846914e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30625292419318434,0.11178235636674358,0.01069196187536948,2.4909778771236551e-10,3.5521127946174225e-08,0.0030686913625219163,1.1235349145668719e-05,2.2752255551835112e-12,1.1068023862336071e-16,1.3554060432350325e-07,5.2851749806494552e-24,2.6868522933911542e-07,5.3405206642912918e-19,1.7079413019416715e-16,3.8806328555794337e-15,1.0786033860632065e-17,3.9449403938374408e-12,2.3059513032451767e-17,0.005290960766289164,0.024237711070638719,3.0037620890547179e-10,0.0001572034046432162,2.8329864615130871e-12,4.2980417318903681e-06,0.0015707581027306987,7.8864498442732935e-09,1.0221300216532704e-05,4.3478125265103113e-05,4.3297972447379696e-15,5.6375232516249901e-12
2.0217967291037892e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30621415771673277,0.11177730718046099,0.010675215715276701,2.5139448866885122e-10,3.5770835700113011e-08,0.0030803171786744146,1.1297081031237932e-05,2.2881094200550708e-12,1.1188901921943001e-16,1.3576619130051157e-07,5.3434550518184858e-24,2.6913769588062896e-07,5.378116386591558e-19,1.7208061964302916e-16,3.9085722055085383e-15,1.0872252420446396e-17,3.9579165961587649e-12,2.3274791894524545e-17,0.0052900504538613531,0.024271088073043814,3.0077282254172904e-10,0.00015744628331799008,2.8528810886443725e-12,4.3211818853301358e-06,0.0015765791935571361,7.9105115632549567e-09,1.0274607696608313e-05,4.3637470087560704e-05,4.3589238697629137e-15,5.6763987268006328e-12
2.025831908134977e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30617931379551105,0.11177275628209012,0.010660170212272004,2.5347449834408713e-10,3.5996549209319463e-08,0.0030907925294971247,1.135278641443537e-05,2.2997414341121546e-12,1.1298563414910456e-16,1.359690812209474e-07,5.3963407549571684e-24,2.6954463947869062e-07,5.4121046365099744e-19,1.7324387555913556e-16,3.9338262011600548e-15,1.0950250721703379e-17,3.9695976325001627e-12,2.3469836894662624e-17,0.0052892317067469927,0.024301075030669514,3.011290752170102e-10,0.00015766468404044347,2.8708641160476731e-12,4.3420651001038822e-06,0.0015818239536233192,7.9321731785594737e-09,1.0322699115073418e-05,4.3781023305026955e-05,4.3852359427259027e-15,5.7115284807260155e-12
2.029867087166165e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30614451327743025,0.11176819911574748,0.010645149328866092,2.5556684707099539e-10,3.6223189493828656e-08,0.0031012793333310934,1.140863068130884e-05,2.3114080907901697e-12,1.1409054778556851e-16,1.3617184026747769e-07,5.4496397182989712e-24,2.6995132173929769e-07,5.4462373008010209e-19,1.7441227180015272e-16,3.9591832091390143e-15,1.1028630444697291e-17,3.9812809514712077e-12,2.3666113220179506e-17,0.0052884134647234789,0.02433101250070592,3.0148466643432087e-10,0.00015788290500946337,2.8889210370019754e-12,4.3630023863886928e-06,0.0015870741751833825,7.9538404826931598e-09,1.0370899084299409e-05,4.3924711512121493e-05,4.4116410089588407e-15,5.7467927517915661e-12
2.033902266197353e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3061097560776066,0.11176363569467085,0.01063015301610548,2.5767157664255693e-10,3.6450758133225513e-08,0.0031117775655712665,1.1464613752127467e-05,2.3231094188308218e-12,1.1520380350473319e-16,1.3637446863434965e-07,5.5033543074781492e-24,2.7035774305681173e-07,5.48051468771762e-19,1.7558581792766062e-16,3.9846433700729469e-15,1.1107392515414125e-17,3.9929665123247453e-12,2.3863626097043499e-17,0.0052875957269531426,0.024360900581234409,3.0183959746200158e-10,0.00015810094653928171,2.9070519748979762e-12,4.3839937429593481e-06,0.0015923298460142237,7.9755134180470032e-09,1.0419207508020159e-05,4.406853435517858e-05,4.4381391119293322e-15,5.7821916881433516e-12
2.0379374452285407e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30607504211136977,0.11175906603206837,0.010615181225158601,2.597887288590349e-10,3.667925670437046e-08,0.003122287201667435,1.1520735546694148e-05,2.3348454469081234e-12,1.1632544479671768e-16,1.3657696651443898e-07,5.5574868966058318e-24,2.7076390382434765e-07,5.5149371054086945e-19,1.7676452348562676e-16,4.0102068240732453e-15,1.11865378591445e-17,4.0046542744958754e-12,2.4062380762361181e-17,0.0052867784926003162,0.024390739370093173,3.021938695657325e-10,0.00015831880894313813,2.9252570535706999e-12,4.4050391684539088e-06,0.0015975909539211572,7.9971919272556197e-09,1.0467624289763448e-05,4.4212491481473327e-05,4.4647302950814138e-15,5.8177254380659344e-12
