Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),CX(177),H2X(44)
2.1569193305504684e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948679111847068,0.11208810441239531,0.0228215676929737,0.0,2.0937628450894713e-14,0.00085907898203706244,0.0,5.7722469527134228e-13,0.0,2.7047545202604731e-07,8.604946159610967e-25,2.008046305148181e-06,6.6163568340771695e-19,7.149092316944501e-19,0.0,0.0,1.4037781153347869e-13,2.0748103768766177e-18,0.0057088380468297752,0.0014862474649099799,4.0511984661849371e-08,2.8449723380232357e-09,0.00025887520046182112,0.00061383453671528686,1.2933475655463496e-05
2.158892101376822e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948584351655164,0.11208737234028883,0.022821567692973471,0.0,2.1017826021017572e-14,0.00086050350325056859,0.0,5.7953627068900934e-13,0.0,2.7089119988296966e-07,8.668303205531768e-25,2.0091443692126767e-06,6.6479878491842006e-19,7.1879766113256773e-19,0.0,0.0,1.4075609422071276e-13,2.0865327526021654e-18,0.0057087831428042409,0.001486441752001861,4.0510672603405002e-08,2.8459997111589144e-09,0.00025893411508404944,0.00061456218275727961,1.2955134128627351e-05
2.1608648722031754e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948489662420649,0.11208664026165902,0.022821567692973242,0.0,2.1098240253647099e-14,0.000861928390438114,0.0,5.818548143153104e-13,0.0,2.7130697465664095e-07,8.7320607468506299e-25,2.0102401756305042e-06,6.679733536273608e-19,7.2270255089101759e-19,0.0,0.0,1.4113491995335247e-13,2.0983111371367541e-18,0.0057087282546981486,0.0014866353173603648,4.0509360106533079e-08,2.8470252473708573e-09,0.00025899297276275022,0.00061528987632203955,1.2976798264915802e-05
2.1626403659468935e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948404502572926,0.1120859813853521,0.022821567692973034,0.0,2.1170798568802304e-14,0.00086321110070879657,0.0,5.8394747060496192e-13,0.0,2.7168119441888707e-07,8.7897866403150645e-25,2.0112244737623547e-06,6.7084028932343906e-19,7.2623106460324289e-19,0.0,0.0,1.4147632731818126e-13,2.1089597384263155e-18,0.0057086788689739518,0.0014868089112072794,4.0508178485179954e-08,2.8479466604358153e-09,0.00025904589613591955,0.00061594484101623972,1.2996300812196516e-05
2.1644158596906115e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948319399819154,0.11208532250383083,0.022821567692972826,0.0,2.1243532863464646e-14,0.00086449410536229359,0.0,5.8604578828223761e-13,0.0,2.7205543496449717e-07,8.8478400735782085e-25,2.0122069481249477e-06,6.7371654957001811e-19,7.2977298450066956e-19,0.0,0.0,1.4181817436615047e-13,2.119654019374625e-18,0.0057086294960703938,0.001486981924366291,4.0506996510411485e-08,2.8488665922151047e-09,0.00025909877366192465,0.00061659984393236812,1.3015807914349204e-05
2.1661913534343295e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948234353979439,0.11208466361712804,0.022821567692972618,0.0,2.1316443366304681e-14,0.0008657774034291039,0.0,5.8814977545606484e-13,0.0,2.724296958120991e-07,8.906222540745256e-25,2.0131876010535052e-06,6.7660215146108735e-19,7.3332834537747692e-19,0.0,0.0,1.4216046100960366e-13,2.1303941284448318e-18,0.0057085801359524685,0.0014871543586839171,4.0505814183975443e-08,2.8497850507360625e-09,0.00025915160547136949,0.00061725488494244552,1.3035319556162959e-05
2.1679668471780475e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948149364874407,0.11208400472527655,0.02282156769297241,0.0,2.1389530305953959e-14,0.00086706099394257225,0.0,5.9025944022934426e-13,0.0,2.7280397648122004e-07,8.9649355406814771e-25,2.0141664348848345e-06,6.7949711208063649e-19,7.3689718206669079e-19,0.0,0.0,1.4250318716045871e-13,2.1411802143719294e-18,0.0057085307885852308,0.0014873262160012837,4.0504631506588114e-08,2.8507020350690429e-09,0.00025920439169445765,0.00061790996391889439,1.305483572247125e-05
2.1697423409217656e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32948064432325241,0.11208334582830907,0.022821567692972201,0.0,2.1462793911004726e-14,0.0008683448759388803,0.0,5.9237479069891449e-13,0.0,2.7317827649228682e-07,9.0239805770199676e-25,2.0151434519572969e-06,6.8240144850254561e-19,7.4047952944009757e-19,0.0,0.0,1.4284635273020961e-13,2.1520124261625479e-18,0.0057084814539337964,0.0014874974981541212,4.0503448479085388e-08,2.8516175504543676e-09,0.00025925713246097799,0.00061856508073453728,1.3074356398151766e-05
2.171340285291112e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947988041238863,0.11208275281669124,0.022821567692972014,0.0,2.152888239336839e-14,0.00086950061815907205,0.0,5.942834740789925e-13,0.0,2.7351516264396776e-07,9.077406247447491e-25,2.0160212159275687e-06,6.8502338169663826e-19,7.4371522256386993e-19,0.0,0.0,1.4315557737265087e-13,2.1618009777601797e-18,0.0057084370635907397,0.0014876511618388984,4.0502383456139075e-08,2.8524402635931783e-09,0.00025930456039242183,0.00061915471811633583,1.309192884931448e-05
2.1729382296604582e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947911695688659,0.11208215980097976,0.022821567692971827,0.0,2.1595114326422962e-14,0.00087065659500332475,0.0,5.9619677532058225e-13,0.0,2.7385206372655622e-07,9.1311031920472452e-25,2.016897511925265e-06,6.8765293554467638e-19,7.4696191309533368e-19,0.0,0.0,1.4346515780725134e-13,2.1716271212307083e-18,0.0057083926834939408,0.0014878043624536746,4.0501318151611084e-08,2.8532617938942332e-09,0.00025935195170288886,0.00061974438595303871,1.3109504929893335e-05
2.1745361740298045e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947835395545383,0.11208156678119832,0.022821567692971639,0.0,2.1661489876729811e-14,0.00087181280577488585,0.0,5.981147003135947e-13,0.0,2.7418897939231114e-07,9.1850725168946539e-25,2.017772341658186e-06,6.9029012247221368e-19,7.5021962653631818e-19,0.0,0.0,1.4377509396861533e-13,2.1814909657637634e-18,0.0057083483136181013,0.0014879571013255489,4.0500252565930876e-08,2.8540821420512319e-09,0.00025939930648615498,0.00062033408415276034,1.31270846289557e-05
2.1761341183991508e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947759140680072,0.11208097375737074,0.022821567692971452,0.0,2.1728009210823949e-14,0.00087296924977884769,0.0,6.0003725494389693e-13,0.0,2.7452590929408115e-07,9.2393153312089158e-25,2.0186457068350763e-06,6.9293495489794774e-19,7.5348838841391031e-19,0.0,0.0,1.4408538579107314e-13,2.1913926207267733e-18,0.0057083039539379647,0.001488109379778112,4.049918669983186e-08,2.8549013132493338e-09,0.00025944662483572671,0.00062092381262387347,1.3144667935597721e-05
2.177732062768497e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947682930964162,0.11208038072952062,0.022821567692971265,0.0,2.1794672495214027e-14,0.0008741259263221453,0.0,6.0196444509330934e-13,0.0,2.748628530853043e-07,9.2938327473532784e-25,2.0195176091656357e-06,6.955874452337158e-19,7.5676822428044867e-19,0.0,0.0,1.4439603320868137e-13,2.2013321956649457e-18,0.0057082596044283175,0.0014882611991314494,4.0498120554694397e-08,2.8557193139652848e-09,0.00025949390684484473,0.00062151357127500969,1.3162254838944276e-05
2.1793300071378434e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947606766269388,0.11207978769767166,0.022821567692971077,0.0,2.1861479896382132e-14,0.00087528283471355209,0.0,6.0389627663958078e-13,0.0,2.7519981042000799e-07,9.3486258808409707e-25,2.0203880503604809e-06,6.982476058844103e-19,7.60059159713459e-19,0.0,0.0,1.447070361552242e-13,2.2113098003011145e-18,0.0057082152650639872,0.001488412560702168,4.049705413106148e-08,2.856536140728502e-09,0.00025954115260649755,0.00062210336001505817,1.3179845328148895e-05
2.1809279515071897e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3294753064646786,0.11207919466184743,0.02282156769297089,0.0,2.1928431580783629e-14,0.00087643997426367236,0.0,6.0583275545637092e-13,0.0,2.7553678095280895e-07,9.4036958503391208e-25,2.0212570321311398e-06,7.0091544924792348e-19,7.633612203156088e-19,0.0,0.0,1.450183945642146e-13,2.2213255445356167e-18,0.005708170935819842,0.0014885634658033846,4.0495987429363727e-08,2.8573517990374831e-09,0.00025958836221340277,0.00062269317875316484,1.3197439392393685e-05
2.1823661014396014e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947462176924774,0.11207866092622626,0.022821567692970716,0.0,2.1988811596463267e-14,0.00087748159693117023,0.0,6.0757956465904921e-13,0.0,2.7584006543171849e-07,9.4534964447986915e-25,2.0220378693323473e-06,7.0332308723572703e-19,7.6634260805799421e-19,0.0,0.0,1.4529892099752925e-13,2.2303724146788456e-18,0.0057081310481321363,0.0014886988911955445,4.0495027160965772e-08,2.8580848955777138e-09,0.00025963082002372948,0.00062322404119091572,1.321327709795534e-05
2.1838042513720132e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947393743549114,0.11207812718742137,0.022821567692970546,0.0,2.2049308737677199e-14,0.00087852340578030408,0.0,6.0933014718130176e-13,0.0,2.7614336007084906e-07,9.5035230050612184e-25,2.022817527035977e-06,7.0573696728561911e-19,7.6933304664557489e-19,0.0,0.0,1.4557973525250324e-13,2.2394503474269456e-18,0.0057080911686032002,0.0014888339488605866,4.0494066668775101e-08,2.8588170503455065e-09,0.00025967324869082659,0.00062375492778783681,1.3229117682714061e-05
2.185242401304425e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947325346248357,0.11207759344544989,0.022821567692970376,0.0,2.2109923125715459e-14,0.00087956540031229981,0.0,6.1108450729648034e-13,0.0,2.7644666461964006e-07,9.5537763531990606e-25,2.0235960064915613e-06,7.0815709842095473e-19,7.7233255479479968e-19,0.0,0.0,1.4586083728010708e-13,2.248559423265727e-18,0.0057080512972148027,0.001488968639748564,4.0493105953290935e-08,2.8595482654651701e-09,0.00025971564828174539,0.00062428583847822558,1.3244961138842775e-05
2.1866805512368367e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947256984930201,0.11207705970032895,0.022821567692970206,0.0,2.2170654881850261e-14,0.00088060758002957639,0.0,6.1284264927522031e-13,0.0,2.7674997882791728e-07,9.6042573133617436e-25,2.0243733089491955e-06,7.1058348966038255e-19,7.7534115123852105e-19,0.0,0.0,1.4614222703113522e-13,2.2576997227972299e-18,0.0057080114339487405,0.0014891029648072599,4.0492145015096297e-08,2.8602785430889675e-09,0.00025975801886336688,0.00062481677319654644,1.3260807458533037e-05
2.1881187011692484e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32947188659502541,0.11207652595207561,0.022821567692970036,0.0,2.2231504127335956e-14,0.00088164994443574334,0.0,6.1460457738542959e-13,0.0,2.7705330244589267e-07,9.6549667117781213e-25,2.0251494356595259e-06,7.1301615001781352e-19,7.7835885472597042e-19,0.0,0.0,1.4642390445620702e-13,2.2668713267396593e-18,0.005707971578786838,0.001489236924982196,4.0491183854768228e-08,2.8610078853007867e-09,0.0002598003605024027,0.00062534773187743014,1.327665663399496e-05
2.1909950010340717e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3294705211595147,0.11207545844623994,0.022821567692969693,0.0,2.2353555571287263e-14,0.00088373522533512401,0.0,6.1813980905818288e-13,0.0,2.7765997691371586e-07,9.7570741387001766e-25,2.026698166843535e-06,7.1790031411840919e-19,7.844216579106854e-19,0.0,0.0,1.4698812213008605e-13,2.2853087713104461e-18,0.0057078918927029598,0.0014895037544515907,4.048926086994085e-08,2.8624637719955216e-09,0.00025988495721871938,0.00062640972086623408,1.3308363521166835e-05
2.193871300898895e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32946915714862857,0.11207439092807898,0.02282156769296935,0.0,2.2476078427243335e-14,0.0008858212390630497,0.0,6.2169023640313173e-13,0.0,2.7826668603252666e-07,9.860105285458446e-25,2.0282422100594324e-06,7.2280966273818823e-19,7.90521114669484e-19,0.0,0.0,1.4755348990321247e-13,2.3038724050446893e-18,0.0057078122388183302,0.0014897691356758117,4.0487337003306832e-08,2.8639159424365352e-09,0.00025996943896101552,0.00062747180492498441,1.3340081738409484e-05
2.1967476007637182e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32946779455507919,0.11207332339772851,0.022821567692969006,0.0,2.2599073664587301e-14,0.00088790798169103842,0.0,6.252558934644935e-13,0.0,2.7887342781791592e-07,9.9640668369390929e-25,2.0297815753313277e-06,7.2774426781501747e-19,7.9665737558350822e-19,0.0,0.0,1.4812000737428273e-13,2.3225628778638017e-18,0.005707732616988574,0.001490033076137972,4.0485412259356427e-08,2.8653644134301746e-09,0.000260053806256927,0.0006285339835366573,1.3371811224068956e-05
2.202500200493365e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32946507359101507,0.11207118830099981,0.022821567692968312,0.0,2.2846485159497865e-14,0.00089208363802721115,0.0,6.3243303269011821e-13,0.0,2.8008700148164103e-07,1.0174808061105767e-24,2.0328463121786161e-06,7.3768953469578487e-19,8.0904091349849378e-19,0.0,0.0,1.4925648979132319e-13,2.3603269496994819e-18,0.0057075734689184844,0.0014905566645299609,4.0481560157396658e-08,2.8682503239648219e-09,0.00026022219960684641,0.00063065862236369615,1.3435303755487994e-05
2.2082528002230116e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32946235820972036,0.11206905315713139,0.022821567692967622,0.0,2.3095797805175568e-14,0.00089626216329106632,0.0,6.3967149819427855e-13,0.0,2.813006821529868e-07,1.0389351960648254e-24,2.0358924577328388e-06,7.4773668867602894e-19,8.2157348148681608e-19,0.0,0.0,1.5039756611601366e-13,2.3986062232046747e-18,0.0057074144473469052,0.0014910745787788992,4.0477704599696863e-08,2.871121636700198e-09,0.00026039014143647911,0.00063278363326315767,1.3498840628047049e-05
2.2140053999526584e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32945964835414804,0.11206691796719413,0.022821567692966924,0.0,2.3347019345977805e-14,0.00090044352672791108,0.0,6.4697156071185636e-13,0.0,2.8251445417864228e-07,1.0607753223279671e-24,2.038920092456492e-06,7.5788630237238132e-19,8.3425629350115062e-19,0.0,0.0,1.5154323303988102e-13,2.4374059643137137e-18,0.0057072555511355101,0.0014915868774696003,4.0473845621670398e-08,2.8739784836575274e-09,0.00026055763587181838,0.00063490901219199331,1.3562421359017046e-05
2.219757999682305e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32945694396780195,0.11206478273225208,0.022821567692966224,0.0,2.3600157521387176e-14,0.00090462769787847763,0.0,6.5433349024428729e-13,0.0,2.8372830200377787e-07,1.0830067077037463e-24,2.0419292969182111e-06,7.6813894707295953e-19,8.470905675901817e-19,0.0,0.0,1.526934872117294e-13,2.4767314684376718e-18,0.0057070967791534944,0.0014920936186249068,4.0469983258506418e-08,2.8768209957845887e-09,0.00026072468699733233,0.00063703475514782565,1.3626045470278956e-05
2.2255105994119519e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32945424499473219,0.11206264745336258,0.022821567692965519,0.0,2.3855220065938221e-14,0.00090881464657651702,0.0,6.6175755605072702e-13,0.0,2.8494221017192781e-07,1.1056349292275588e-24,2.044920151784156e-06,7.7849519270846017e-19,8.6007752587347603e-19,0.0,0.0,1.5384832523818277e-13,2.5165880603935826e-18,0.0057069381302776436,0.0014925948597101495,4.0466117545170119e-08,2.8796493029615017e-09,0.000260891298856431,0.00063916085816848934,1.3689712488286837e-05
2.2312631991415986e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32945155137953058,0.1120605121315759,0.022821567692964811,0.0,2.4112214709147303e-14,0.00091300434294646997,0.0,6.6924402663958535e-13,0.0,2.8615616332486871e-07,1.12866561835677e-24,2.0478927378098001e-06,7.8895560782446672e-19,8.7321839451700273e-19,0.0,0.0,1.5500774368420569e-13,2.5569810943340817e-18,0.005706779603392398,0.0014930906576374706,4.0462248516402313e-08,2.8824635340062229e-09,0.00026105747545191447,0.00064128731733159084,1.375342194403202e-05
2.242768398600892e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32944618000378345,0.11205624136347768,0.022821567692963386,0.0,2.463203118411618e-14,0.00092139186063992784,0.0,6.8440525239641614e-13,0.0,2.8858414364267688e-07,1.175957198446331e-24,2.0537834267622542e-06,8.1019121359747231e-19,8.9996678763823713e-19,0.0,0.0,1.5734030788949559e-13,2.6393980510374268e-18,0.0057064629111699683,0.0014940661489258723,4.045450065041107e-08,2.8880502776902129e-09,0.00026138853866273013,0.00064554128859189823,1.3880966315179787e-05
2.2542735980601856e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32944082940796843,0.11205197043622003,0.022821567692961946,0.0,2.5159668679456289e-14,0.0009297900176804025,0.0,6.9981930025257174e-13,0.0,2.9101212205123647e-07,1.2249275951096813e-24,2.0596020113021459e-06,8.3185028402520615e-19,9.2734563627660711e-19,0.0,0.0,1.5969115153359965e-13,2.7240257557249335e-18,0.0057061466937164494,0.001495020536886582,4.0446739933962593e-08,2.893582236346327e-09,0.00026171790785662832,0.00064979663832870024,1.4008674921047842e-05
2.2646282775735496e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32943603128780469,0.11204812647234409,0.022821567692960641,0.0,2.5641280351948032e-14,0.00093735726648345433,0.0,7.1390985882466706e-13,0.0,2.9319720231737294e-07,1.2704751919775284e-24,2.0647776240422232e-06,8.5170922592945867e-19,9.5253386395015005e-19,0.0,0.0,1.6182251583751552e-13,2.8021171382171193e-18,0.0057058624967883777,0.0014958618030874431,4.0439744525106377e-08,2.8985149788920805e-09,0.0002620129170543707,0.00065362760688918468,1.4123750116492972e-05
2.2749829570869137e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32943124935215945,0.1120442823920117,0.022821567692959319,0.0,2.6129321869089373e-14,0.0009449327840851681,0.0,7.2820845759520893e-13,0.0,2.95382098427411e-07,1.3174556124103841e-24,2.0698958306408831e-06,8.7191807638495371e-19,9.7824811987453066e-19,0.0,0.0,1.6396864154644331e-13,2.8820670748709794e-18,0.0057055786712048974,0.001496686640580971,4.0432739120197808e-08,2.9034048624149648e-09,0.00026230660078552476,0.0006574596462647173,1.4238952860485547e-05
2.2853376366002778e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32942648330285063,0.11204043820100749,0.022821567692957991,0.0,2.6623838054494105e-14,0.00095251640964151346,0.0,7.4271662479737969e-13,0.0,2.9756672547855595e-07,1.3659043418267392e-24,2.0749571046045603e-06,8.92480079006413e-19,1.0044957430631663e-18,0.0,0.0,1.6612950674740832e-13,2.9639081773255739e-18,0.0057052952108347403,0.0014974953557753371,4.0425723911084568e-08,2.9082525886412209e-09,0.00026259898054794932,0.00066129273538806073,1.4354280626879829e-05
2.295692316113642e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32942173284695209,0.11203659390503953,0.022821567692956651,0.0,2.7124873672442765e-14,0.00096010798512866362,0.0,7.5743587997939878e-13,0.0,2.9975099958369331e-07,1.4158574547135835e-24,2.0799619196116578e-06,9.1339846024085133e-19,1.0312841124903694e-18,0.0,0.0,1.6830508914050076e-13,3.047673357320343e-18,0.0057050121096302508,0.0014982882497026565,4.0418699087253889e-08,2.913058848728175e-09,0.00026289007745581135,0.00066512685356766397,1.4469730933597101e-05
2.306046995627006e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32941699769671545,0.11203274950973889,0.022821567692955302,0.0,2.7632473426717098e-14,0.00096770735530046737,0.0,7.7236773386386375e-13,0.0,3.0193483786783891e-07,1.467351617663306e-24,2.0849107493812699e-06,9.346764289091125e-19,1.0586206466115872e-18,0.0,0.0,1.7049536604788749e-13,3.1333958250797688e-18,0.0057047293616276041,0.0014990656180985545,4.0411664835836572e-08,2.9178243233770649e-09,0.00026317991224708033,0.00066896198048030679,1.4585301341969415e-05
2.31640167514037e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32941227756949026,0.11202890502065944,0.022821567692953942,0.0,2.8146681959465281e-14,0.00097531436764637094,0.0,7.8751368821092584e-13,0.0,3.0411815846440534e-07,1.5204240922995213e-24,2.089804067546304e-06,9.5631717576048464e-19,1.0865128028827837e-18,0.0,0.0,1.7270031442265074e-13,3.2211090876569022e-18,0.0057044469609469272,0.0014998277514809866,4.0404621341612515e-08,2.9225496829476811e-09,0.00026346850529083976,0.00067279809616392833,1.470098945608987e-05
2.326756354653734e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3294075721876476,0.11202506044327765,0.022821567692952571,0.0,2.8667543850092749e-14,0.00098292887234969822,0.0,8.0287523568476233e-13,0.0,3.0630088051129836e-07,1.5751127381046107e-24,2.0946423475303682e-06,9.7832387303863422e-19,1.1149680772783268e-18,0.0,0.0,1.7491991085748411e-13,3.3108469472371488e-18,0.0057041649017923121,0.0015005749352284786,4.0397568787016279e-08,2.9272355875725962e-09,0.00026375587659444602,0.00067663518101060438,1.4816792922168115e-05
