Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),HOCO(73),CHO2X(213),CHO2(74),S(216)
2.9686622854717854e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44197826207328345,0.08452509512345127,0.009198623362547478,0.0002672337618199726,0.003804192469982366,0.047618415318143724,0.022810822866673134,4.672645634654278e-05,1.3414731706577843e-10,0.0020134892099290536,5.368679133203815e-11,0.0005121377097064459,2.8194265136131464e-09,7.487917864089556e-06,2.1246113500978387e-09,1.2416675504928677e-10,1.4360673848375233e-05,1.7677532909611462e-05,0.006060769914473138,1.0370748344755403e-05,0.0005081526775754426,1.2716676244281003e-08,4.607792322613479e-09,2.7104990237606107e-09,1.601895062633776e-10,1.1182392008341934e-05,0.0027274144548884833,5.7347048415515336e-05,1.7047417713927805e-07,0.0009513773009440195,6.227777361564674e-09,2.7975053085573605e-05,7.05358907830336e-08,6.571013630105274e-06,1.508777043131278e-09,6.723793165336467e-10,1.149343176228784e-10,1.2865721272198345e-07,2.0064386706843406e-06,8.281887527230376e-11,4.978745468251557e-12,1.0434390742100344e-11,1.898038810060616e-14,5.827149058855783e-13,1.8140216875432474e-18
2.9750997025436136e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.441962676175898,0.08447641033319908,0.009180557473384447,0.0002671951290247064,0.003803821826326646,0.04772275491267309,0.022847454687959155,4.667570831325089e-05,1.3492608810138216e-10,0.0020124018021002157,5.364900106687949e-11,0.0005123600175265893,2.8189867820027715e-09,7.464634986937654e-06,2.1289466012821803e-09,1.243298171344282e-10,1.4333287815020946e-05,1.7713984585187622e-05,0.006057066927431407,1.0291391789130058e-05,0.0005086538906269492,1.2633245194067644e-08,4.596259118027262e-09,2.7089592070837753e-09,1.6148558646259564e-10,1.1262120018291265e-05,0.0027440570649139517,5.7435161469653425e-05,1.704515440000576e-07,0.0009534299015965039,6.224194482061121e-09,2.8032739522042774e-05,7.064667307455149e-08,6.560803970233084e-06,1.5126390612554129e-09,6.712289203606396e-10,1.1505671905958491e-10,1.2851294953636237e-07,2.010555770387316e-06,8.255844712790126e-11,4.988835879400056e-12,1.043741088069915e-11,1.8885504571388672e-14,5.828835726669811e-13,1.8174995361695653e-18
2.9815371196154417e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4419470506049609,0.08442775389224011,0.009162528133132149,0.00026715624776052857,0.003803447608867771,0.04782703846456863,0.022884016615128084,4.6625021767668006e-05,1.357071443601662e-10,0.0020113150871793203,5.3611267181442213e-11,0.0005125820041931997,2.8185484168181012e-09,7.4414691000286695e-06,2.133276957738779e-09,1.2449229813531563e-10,1.4305983684901348e-05,1.775039535724423e-05,0.006053365669278028,1.0212875557889726e-05,0.0005091542127793288,1.2550617930597719e-08,4.584755555972193e-09,2.707420468345303e-09,1.627877521548538e-10,1.1342130706401561e-05,0.002760738928886312,5.752309089517615e-05,1.7042873671682801e-07,0.0009554811490794278,6.220613424378522e-09,2.8090361226869e-05,7.075722491251984e-08,6.550605286126706e-06,1.5164985667766731e-09,6.700875518258094e-10,1.1517860902737032e-10,1.2836885399343079e-07,2.014667697775609e-06,8.229932362094584e-11,4.9989135983732906e-12,1.0440413458715922e-11,1.8791376793506945e-14,5.830512587407108e-13,1.8209704134049446e-18
2.98797453668727e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44193138547816946,0.0843791257853255,0.009144535269174008,0.0002671171204711342,0.0038030698467084565,0.04793126597550483,0.02292050877198406,4.657439656766684e-05,1.3649048364045848e-10,0.0020102290637846565,5.35735894363395e-11,0.0005128036706786113,2.818111411944111e-09,7.418419334032366e-06,2.1376024202096723e-09,1.2465419928103066e-10,1.4278760866403607e-05,1.77867652683986e-05,0.006049666141274043,1.0135188222113221e-05,0.0005096536466172041,1.2468784196626633e-08,4.573281558020982e-09,2.7058828068951247e-09,1.6409600771932286e-10,1.1422423842208585e-05,0.002777459936765753,5.7610837008399174e-05,1.7040575665897595e-07,0.0009575310432366038,6.217034186577181e-09,2.8147918267496885e-05,7.086754669107825e-08,6.540417599149045e-06,1.5203555496803137e-09,6.689551012460305e-10,1.1529998883017305e-10,1.2822492575520255e-07,2.018774457657629e-06,8.204149509095624e-11,5.008978636967207e-12,1.0443398581727398e-11,1.869799624210179e-14,5.83217970003105e-13,1.8244343317214264e-18
2.994411953759098e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44191568091297423,0.08433052599721332,0.009126578809018567,0.00026707774957113216,0.003802688568618819,0.04803543744744428,0.02295693128226592,4.652383257249018e-05,1.3727610372496735e-10,0.0020091437305517984,5.35359675948193e-11,0.0005130250179500867,2.8176757613338985e-09,7.395484826569148e-06,2.1419229894798273e-09,1.24815521800109e-10,1.4251618776267626e-05,1.7823094361185463e-05,0.006045968344672901,1.0058318543568353e-05,0.0005101521947124622,1.2387733898678024e-08,4.561837045989014e-09,2.704346222109408e-09,1.6541035747300188e-10,1.1502999193226247e-05,0.002794219978583101,5.769840012556277e-05,1.7038260518079767e-07,0.0009595795839199068,6.2134567667633254e-09,2.820541071123987e-05,7.097763880430728e-08,6.530240930377213e-06,1.5242100000358848e-09,6.678314606344332e-10,1.1542085977002175e-10,1.2808116448721598e-07,2.0228760548370196e-06,8.178495195466982e-11,5.019031006967022e-12,1.0446366354259361e-11,1.8605354518292434e-14,5.833837122917959e-13,1.8278913035407467e-18
3.000849370830926e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4418999370265804,0.08428195451266816,0.009108658680299423,0.00026703813744648745,0.0038023038030414254,0.04813955288263366,0.022993284269645503,4.647332964272926e-05,1.3806400238088892e-10,0.0020080590861332927,5.349840142272414e-11,0.0005132460469698508,2.817241459007459e-09,7.372664722172409e-06,2.146238666376712e-09,1.2497626692051907e-10,1.4224556839427415e-05,1.785938267805813e-05,0.00604227228072046,9.982255470931634e-06,0.0005106498596243495,1.2307457103912803e-08,4.550421941932685e-09,2.7028107133899294e-09,1.6673080567096326e-10,1.1583856524964142e-05,0.002811018944441667,5.7785780562828155e-05,1.7035928362172448e-07,0.0009616267709891881,6.209881163088138e-09,2.8262838625281843e-05,7.108750164622123e-08,6.520075300604569e-06,1.5280619079967071e-09,6.667165236688485e-10,1.1554122314702146e-10,1.2793756985847532e-07,2.026972494112773e-06,8.152968470562585e-11,5.029070720147578e-12,1.0449316879801219e-11,1.851344334695668e-14,5.835484913865263e-13,1.8313413412349738e-18
3.007286787902754e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44188415393594993,0.08423341131646135,0.00909077481077509,0.000266998286454954,0.003801915578096237,0.04824361228359989,0.023029567857725856,4.642288764030255e-05,1.3885417736001464e-10,0.002006975129198339,5.3460890688451165e-11,0.0005134667586951264,2.8168084990506244e-09,7.349958172250472e-06,2.1505494517698952e-09,1.251364358696412e-10,1.4197574488856234e-05,1.7895630261388744e-05,0.006038577950655029,9.906988136095136e-06,0.0005111466438995661,1.2227944037036602e-08,4.539036168148184e-09,2.7012762801635737e-09,1.6805735650656283e-10,1.1664995600944276e-05,0.0028278567245190716,5.787297863627187e-05,1.703357933065495e-07,0.0009636726043121916,6.206307373746685e-09,2.8320202076679466e-05,7.119713561076204e-08,6.5099207303427135e-06,1.5319112637994198e-09,6.656101856602987e-10,1.1566108025933651e-10,1.2779414154139304e-07,2.0310637802793322e-06,8.1275683913746e-11,5.039097788273437e-12,1.0452250260820778e-11,1.8422254574408932e-14,5.837123130099999e-13,1.834784457127156e-18
3.0137242049745823e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44186833175780293,0.0841848963933705,0.009072927128328958,0.0002669581989265001,0.0038015239215854627,0.04834761565314607,0.023065782170039545,4.6372506428434774e-05,1.3964662639883747e-10,0.0020058918584324906,5.342343516291286e-11,0.0005136871540781694,2.816376875614053e-09,7.327364335048148e-06,2.1548553465707026e-09,1.2529602987424672e-10,1.417067116541528e-05,1.7931837153469913e-05,0.0060348853557073935,9.832505850558202e-06,0.0005116425500723567,1.2149185077286469e-08,4.52767964716975e-09,2.699742921881703e-09,1.6939001411168607e-10,1.1746416182718687e-05,0.002844733209069048,5.795999466188065e-05,1.7031213554564466e-07,0.0009657170837644697,6.202735396977158e-09,2.8377501132363142e-05,7.130654109179393e-08,6.499777239823529e-06,1.535758057763421e-09,6.645123435224521e-10,1.157804324031801e-10,1.2765087921173335e-07,2.0351499181266965e-06,8.102294022490592e-11,5.049112223099134e-12,1.0455166598778697e-11,1.8331780166142154e-14,5.83875182828661e-13,1.8382206634920747e-18
3.0201616220464104e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44185247060861976,0.08413640972817935,0.009055115560969143,0.00026691787716372575,0.003801128860998327,0.04845156299434778,0.02310192733004698,4.632218587163606e-05,1.4044134721865836e-10,0.0020048092725373475,5.3386034619498063e-11,0.0005139072340663027,2.815946582912043e-09,7.304882375607936e-06,2.159156351731819e-09,1.2545505016047722e-10,1.4143846317705937e-05,1.796800339651595e-05,0.006031194497100849,9.75879810190145e-06,0.0005121375806646039,1.2071170755514747e-08,4.516352301767992e-09,2.6982106380195413e-09,1.707287825570056e-10,1.1828118029886923e-05,0.002861648288423209,5.804682895554844e-05,1.7028831163517255e-07,0.0009677602092292986,6.199165231060006e-09,2.843473585913828e-05,7.141571848309652e-08,6.489644849001158e-06,1.539602280290347e-09,6.634228957422783e-10,1.1589928087280308e-10,1.2750778254855562e-07,2.039230912440527e-06,8.077144436050505e-11,5.059114036369564e-12,1.045806599414216e-11,1.8242012204805908e-14,5.84037106453455e-13,1.84164997255684e-18
3.0265990391182386e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44183657060464243,0.08408795130567767,0.009037340036828437,0.0002668773234422723,0.0038007304235157485,0.0485554543105493,0.02313800346113471,4.6271925835681515e-05,1.4123833752569195e-10,0.002003727370230262,5.334868883403356e-11,0.0005141269996019503,2.8155176152214797e-09,7.282511465730884e-06,2.1634524682468747e-09,1.256134979538239e-10,1.4117099401925385e-05,1.8004129032662843e-05,0.006027505376051224,9.685854550341201e-06,0.0005126317381859199,1.1993891751296626e-08,4.505054054948847e-09,2.696679428075731e-09,1.7207366585217997e-10,1.1910100900112195e-05,0.002878601852992806,5.813348183307078e-05,1.7026432285730285e-07,0.0009698019805975986,6.195596874316815e-09,2.8491906323687814e-05,7.152466817835827e-08,6.479523577554019e-06,1.543443921863656e-09,6.623417423505087e-10,1.1601762696047528e-10,1.2736485123415897e-07,2.0433067680022433e-06,8.052118711703638e-11,5.069103239820038e-12,1.0460948546398876e-11,1.815294288802588e-14,5.841980894406464e-13,1.845072396501471e-18
3.0330364561900667e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44182063186187615,0.08403952111066117,0.009019600484164175,0.0002668365400112246,0.003800328636014929,0.048659289605359944,0.02317401068661382,4.622172618759096e-05,1.4203759501117192e-10,0.002002646150244048,5.331139758474608e-11,0.0005143464516226729,2.8150899668809175e-09,7.260250783937126e-06,2.1677436971501127e-09,1.2577137447910746e-10,1.4090429881725573e-05,1.8040214103969827e-05,0.006023817993766907,9.61366502536208e-06,0.0005131250251337337,1.1917338890105757e-08,4.493784829951919e-09,2.6951492915717396e-09,1.7342466794609232e-10,1.1992364549138607e-05,0.00289559379327045,5.821995361013947e-05,1.7024017048041687e-07,0.000971842397767855,6.192030325109638e-09,2.8549012592573106e-05,7.163339057117207e-08,6.469413444886773e-06,1.5472829730480603e-09,6.612687848929255e-10,1.1613547195647614e-10,1.2722208495402725e-07,2.0473774895891246e-06,8.027215936564539e-11,5.079079845176479e-12,1.0463814354070929e-11,1.8064564526219748e-14,5.843581372925617e-13,1.848487947459641e-18
3.039473873261895e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44180465449609124,0.08399111912793124,0.009001896831358158,0.00026679552909350594,0.0037999235250738635,0.048763068882650404,0.023209949129718275,4.617158679560896e-05,1.4283911735145573e-10,0.002001565611326694,5.327416065222489e-11,0.0005145655910611995,2.8146636322894446e-09,7.23809951542617e-06,2.1720300395160226e-09,1.2592868096045796e-10,1.4063837228075365e-05,1.807625865242091e-05,0.0060201323514488805,9.54221952242597e-06,0.0005136174439933826,1.1841503140599594e-08,4.482544550248714e-09,2.6936202280512353e-09,1.7478179272712703e-10,1.2074908730808613e-05,0.002912623999831818,5.83062446023402e-05,1.7021585575930638e-07,0.0009738814606460372,6.18846558184024e-09,2.860605473223473e-05,7.17418860550283e-08,6.459314470132326e-06,1.5511194244889957e-09,6.602039264031093e-10,1.1625281714908633e-10,1.270794833967753e-07,2.0514430819744024e-06,8.002435205168919e-11,5.089043864155861e-12,1.0466663514727581e-11,1.7976869540780478e-14,5.845172554582896e-13,1.8518966375192403e-18
3.045911290333723e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4417886386228242,0.0839427453422948,0.008984229006916542,0.0002667542928862658,0.003799515116975763,0.04886679214654921,0.023245818913603306,4.6121507529185136e-05,1.4364290220812928e-10,0.0020004857522410847,5.323697781938469e-11,0.0005147844188454633,2.8142386059056204e-09,7.216056852036847e-06,2.176311496458922e-09,1.260854186212949e-10,1.4037320919125871e-05,1.8112262719924434e-05,0.006016448450290737,9.47150819975511e-06,0.0005141089972382006,1.1766375611913391e-08,4.471333139541799e-09,2.6920922370797203e-09,1.761450440233568e-10,1.2157733197078672e-05,0.002929692363337332,5.8392355125147116e-05,1.7019137993538012e-07,0.0009759191691455218,6.18490264294892e-09,2.8663032808995304e-05,7.185015502330806e-08,6.44922667215378e-06,1.5549532669122642e-09,6.591470713747402e-10,1.1636966382456721e-10,1.2693704625409554e-07,2.055503549927354e-06,7.977775619429743e-11,5.098995308466226e-12,1.0469496124998525e-11,1.7889850462048184e-14,5.846754493344748e-13,1.855298478722875e-18
3.052348707405551e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4417725843573792,0.0838943997385643,0.008966596939469749,0.0002667128335612607,0.0037991034377133992,0.048970459401439265,0.02328162016134384,4.607148825895471e-05,1.444489472281108e-10,0.0019994065717647194,5.319984887142912e-11,0.0005150029358986343,2.813814882246656e-09,7.194121992207079e-06,2.1805880691326247e-09,1.2624158868430737e-10,1.4010880440078784e-05,1.8148226348314505e-05,0.006012766291478713,9.40152137518778e-06,0.0005145996873296047,1.169194755100638e-08,4.460150521763252e-09,2.6905653182439667e-09,1.7751442560276517e-10,1.2240837698035912e-05,0.002946798774533813,5.847828549391691e-05,1.701667442368578e-07,0.0009779555231870176,6.181341506913903e-09,2.8719946889060362e-05,7.195819786927938e-08,6.439150069546397e-06,1.5587844911234426e-09,6.58098125734521e-10,1.1648601326715193e-10,1.267947732207047e-07,2.0595588982133955e-06,7.953236288592159e-11,5.108934189806804e-12,1.0472312280587272e-11,1.7803499927144245e-14,5.848327242660294e-13,1.8586934830686114e-18
3.058786124477379e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44175649181482995,0.08384608230155739,0.00894900055777235,0.0002666711532652274,0.0037986885129933745,0.04907407065195434,0.023317352995932968,4.602152885671934e-05,1.4525725004375434e-10,0.0019983280686894506,5.3162773595814724e-11,0.0005152211431391512,2.8133924558873347e-09,7.172294140933366e-06,2.184859758730099e-09,1.2639719237143484e-10,1.3984515283057719e-05,1.8184149579353038e-05,0.006009085876191713,9.332249523104086e-06,0.000515089516717181,1.1618210340136143e-08,4.448996621072749e-09,2.6890394711513725e-09,1.7888994117354994e-10,1.2324221981915685e-05,0.0029639431242561155,5.856403602388734e-05,1.7014194987895552e-07,0.0009799905226984896,6.177782172250736e-09,2.8776797038518566e-05,7.206601498609079e-08,6.429084680639565e-06,1.562613088007335e-09,6.570569968169052e-10,1.1660186675904096e-10,1.2665266399429255e-07,2.0636091315941693e-06,7.928816329188426e-11,5.118860519868532e-12,1.0475112076283027e-11,1.7717810678366994e-14,5.849890855467674e-13,1.8620816625105285e-18
