Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),C2H6X(52),C2H4X(215),CHO2X(213),C2H4X(70),S(216),HOCO(73)
3.3892808883500406e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4394329805206144,0.0810035370914997,0.008122546904144084,2.6914134853252243e-05,0.005072483800424696,0.05389573987779267,0.024221661707867152,4.357773340712974e-05,1.835238982498965e-10,0.001944318487165159,5.2435440888402434e-11,0.0005248290846799641,2.8513015999327787e-09,9.185589210016402e-06,2.311887968518485e-09,1.2877244626771095e-10,1.6470779502097324e-05,2.137531908864706e-05,0.00577496272262741,3.94009624652681e-06,0.0005351656014071235,2.1514225242048634e-08,3.9289846149172826e-09,5.377526086740957e-09,1.5152402195622457e-09,4.864917582973189e-05,0.00542383969670378,1.416442776057141e-05,2.2600795598036124e-07,0.0010707026854457542,5.979196875164511e-09,3.382693885482894e-05,5.973127344270113e-06,7.446720210400427e-08,5.055858789220449e-11,1.1061929664224055e-10,8.152688294599564e-10,1.0101067365971339e-10,1.1785033903364741e-10,1.1929688050774263e-07,2.4166316261578785e-06,7.027198844968039e-14,5.985534289692817e-12,2.209140178629589e-19,1.0770804201714591e-12
3.3924836815881006e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43942330293098575,0.08098031996348444,0.008114690788069576,2.691758188504393e-05,0.005073030523840838,0.05394484916528413,0.024236865794846865,4.355372454112115e-05,1.8396189988558176e-10,0.0019437870660120105,5.241683194668949e-11,0.000524927824877142,2.8510849173055274e-09,9.167375780319246e-06,2.3137740991459216e-09,1.2883114388936583e-10,1.645099175523244e-05,2.139216289036821e-05,0.005773180840345927,3.9289367723338925e-06,0.0005353832694790392,2.146296183746406e-08,3.924111674466369e-09,5.376114785266213e-09,1.5193781626195146e-09,4.87613642847808e-05,0.005434017580698092,1.4172834574018786e-05,2.2602732830485225e-07,0.0010716553519203652,5.977430997608906e-09,3.3853594932023326e-05,5.9684025203328155e-06,7.451230473345229e-08,5.0496735387192416e-11,1.1056472745370836e-10,8.161024686805419e-10,1.0080816662793086e-10,1.1789208337740274e-10,1.1922852670993597e-07,2.4185028635570797e-06,7.014769977403071e-14,5.99011898227416e-12,2.211164169349868e-19,1.0774207716321595e-12
3.3956864748261606e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4394136182561658,0.08095710966448597,0.008106842573674744,2.6921021070433665e-05,0.005073575944821784,0.05399394510787386,0.024252055265209488,4.3529732262670885e-05,1.8440038969265743e-10,0.001943255854310816,5.2398239802053534e-11,0.0005250265012335458,2.8508686664347417e-09,9.14921735404773e-06,2.315659097732618e-09,1.2888972491879645e-10,1.643124619537831e-05,2.140899685948626e-05,0.005771399423755148,3.917817424145345e-06,0.0005356007582691759,2.1411857753684746e-08,3.919245053801657e-09,5.374704683625497e-09,1.5235225687781953e-09,4.887367892894439e-05,0.0054442024328517,1.4181232386620127e-05,2.260466379100906e-07,0.0010726076928476351,5.97566573976532e-09,3.388023544867453e-05,5.963680705670871e-06,7.455735916630873e-08,5.0435014235916544e-11,1.1051030614707146e-10,8.169357594620246e-10,1.0060627162365222e-10,1.1793372891639443e-10,1.1916021930448938e-07,2.4203728533827253e-06,7.002368457086368e-14,5.994700617236475e-12,2.2131869444550076e-19,1.0777607303031828e-12
3.3988892680642206e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43940392650662186,0.08093390619234757,0.008099002252992002,2.6924452430944056e-05,0.005074120066557116,0.05404302770746499,0.024267230132176864,4.350575654716305e-05,1.8483936731551776e-10,0.001942724851749283,5.2379664412603406e-11,0.0005251251138340454,2.850652846165507e-09,9.131113723222203e-06,2.317542964601324e-09,1.2894818948701906e-10,1.6411542679457262e-05,2.1425821002455425e-05,0.005769618472887342,3.906738025613624e-06,0.0005358180680047163,2.1360912379180543e-08,3.914384744074367e-09,5.373295781718375e-09,1.5276734381599605e-09,4.898611968559203e-05,0.005454394242648905,1.4189621206460472e-05,2.2606588494608512e-07,0.001073559708261205,5.973901100843896e-09,3.3906860414984375e-05,5.958961900736389e-06,7.460236544580475e-08,5.037342399472963e-11,1.1045603221181959e-10,8.177687014869774e-10,1.0040498633197005e-10,1.1797527577817922e-10,1.190919582269733e-07,2.422241596414773e-06,6.989994209261947e-14,5.99927919648287e-12,2.2152085044681107e-19,1.0781002969921782e-12
3.4020920613022805e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4393942276928172,0.08091070954491392,0.00809116981806118,2.6927875988026184e-05,0.005074662892225944,0.05409209696596487,0.02428239040896423,4.348179737006862e-05,1.8527883239801928e-10,0.0019421940580163243,5.236110573661762e-11,0.000525223662763301,2.8504374553469877e-09,9.113064680695667e-06,2.319425700076136e-09,1.2900653772496662e-10,1.6391881065027522e-05,2.144263532571005e-05,0.005767837987774633,3.895698401317326e-06,0.0005360351989124796,2.131012509641931e-08,3.9095307364711146e-09,5.371888079423608e-09,1.5318307708832355e-09,4.9098686477838824e-05,0.005464592999577531,1.4198001041644812e-05,2.260850695624832e-07,0.0010745113981949048,5.972137080077854e-09,3.393346984114881e-05,5.9542461059721104e-06,7.46473236149366e-08,5.031196422208364e-11,1.1040190514490329e-10,8.18601294467386e-10,1.0020430844733235e-10,1.1801672409002071e-10,1.1902374341319024e-07,2.424109093432217e-06,6.977647168940598e-14,6.0038547219138174e-12,2.2172288499208816e-19,1.0784394725040729e-12
3.4052948545403405e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43938452182521154,0.08088751972003119,0.008083345260929534,2.6931291763059947e-05,0.005075204424996931,0.0541411528852851,0.02429753610878022,4.345785470694487e-05,1.857187845834828e-10,0.0019416634728020496,5.2342563732543444e-11,0.0005253221481057664,2.8502224928346808e-09,9.095070020150663e-06,2.3213073044825018e-09,1.2906476976348866e-10,1.6372261210279896e-05,2.1459439835678853e-05,0.005766057968449012,3.884698376741081e-06,0.0005362521512186999,2.1259495296248692e-08,3.904683022182367e-09,5.370481576638394e-09,1.5359945670493449e-09,4.921137922876025e-05,0.0054747986931287336,1.4206371900257366e-05,2.2610419190838516e-07,0.0010754627626827547,5.9703736766917244e-09,3.396006373734383e-05,5.949533321811441e-06,7.46922337168145e-08,5.02506344783131e-11,1.1034792444171091e-10,8.194335380969863e-10,1.0000423567338857e-10,1.1805807397917755e-10,1.1895557479917385e-07,2.4259753452131033e-06,6.965327261262947e-14,6.00842719542722e-12,2.2192479813407276e-19,1.0787782576417087e-12
3.4081773684545944e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43937578052200854,0.08086665470913866,0.008076309888462372,2.6934359324552297e-05,0.005075690701673685,0.05418529180925794,0.02431115478621568,4.343632040944577e-05,1.8611515772820736e-10,0.0019411861241375133,5.2325890149153144e-11,0.0005254107306169136,2.8500293918321164e-09,9.078921152399001e-06,2.3229997816547713e-09,1.2911707935572943e-10,1.6354638928837185e-05,2.1474555509603373e-05,0.0057644563493302395,3.874832068870892e-06,0.0005364472557765577,2.121406262684867e-08,3.900325452826135e-09,5.369216749637024e-09,1.5397475099138494e-09,4.9312910335587516e-05,0.005483989739454345,1.4213898004710397e-05,2.2612134890122657e-07,0.001076318712493888,5.968787140856258e-09,3.398398497418672e-05,5.9452943904836396e-06,7.473261174673457e-08,5.019554852173432e-11,1.102994665320511e-10,8.201822584050708e-10,9.982468565592903e-11,1.1809520483317747e-10,1.1889426249467664e-07,2.4276539077809308e-06,6.954262480653213e-14,6.012539813767195e-12,2.2210641620531986e-19,1.0790828311575035e-12
3.4110598823688483e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43936703352131556,0.08084579522120054,0.0080692808847897,2.6937420615331935e-05,0.00507617593595673,0.054229419931446414,0.02432476167661768,4.3414799450836004e-05,1.8651192487621997e-10,0.0019407089438988302,5.230923000643368e-11,0.0005254992617522751,2.849836636003714e-09,9.06281601836141e-06,2.324691343165422e-09,1.291692950276271e-10,1.633705025588704e-05,2.1489663244641923e-05,0.0057628551075479305,3.864997570199091e-06,0.0005366422160143423,2.1168756587403083e-08,3.895972967526824e-09,5.367952894080021e-09,1.5435056882989134e-09,4.94145433501937e-05,0.005493186388278934,1.4221416850579e-05,2.2613845568339753e-07,0.001077174398746659,5.967201103911921e-09,3.400789364737689e-05,5.941057898391168e-06,7.477295090851155e-08,5.014056721621709e-11,1.1025112640501296e-10,8.209306952739335e-10,9.964562226444874e-11,1.181322561603699e-10,1.1883298751405533e-07,2.4293314629024494e-06,6.943219569675891e-14,6.016649962970694e-12,2.222879360212257e-19,1.0793870897006662e-12
3.4139423962831022e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4393582808307495,0.08082494125464955,0.00806225824412935,2.6940475650837944e-05,0.0050766601301345,0.054273537253252714,0.024338356789601466,4.339329181347453e-05,1.8690908576639795e-10,0.001940231931862555,5.229258327444042e-11,0.00052558774157299,2.8496442245244197e-09,9.046754469343574e-06,2.326381989254476e-09,1.2922141687439697e-10,1.6319495089352135e-05,2.15047630454548e-05,0.005761254243125114,3.855194755380375e-06,0.0005368370320960341,2.1123576735077673e-08,3.891625559904461e-09,5.3666900098857536e-09,1.5472691022588566e-09,4.9516278216170674e-05,0.00550238863194889,1.4228928443760817e-05,2.2615551236267572e-07,0.0010780298214662595,5.965615565310678e-09,3.4031789764306036e-05,5.936823845830733e-06,7.481325123342388e-08,5.008569024534704e-11,1.1020290369941616e-10,8.216788484973907e-10,9.946704384401777e-11,1.1816922805318858e-10,1.1877174981115355e-07,2.431008011142886e-06,6.932198476821188e-14,6.020757644416257e-12,2.224693576207942e-19,1.0796910338514685e-12
3.416824910197356e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43934952245792536,0.08080409280791911,0.00805524196070402,2.6943524446463416e-05,0.005077143286488689,0.05431764377608175,0.024351940134777934,4.337179747977598e-05,1.8730664013727256e-10,0.0019397550878060131,5.227594992333728e-11,0.0005256761701400616,2.849452156571659e-09,9.030736357187705e-06,2.328071720162826e-09,1.292734449911989e-10,1.6301973327562162e-05,2.1519854916712637e-05,0.005759653756084728,3.845423499639739e-06,0.0005370317041851863,2.1078522642078155e-08,3.887283223557014e-09,5.365428097002909e-09,1.5510377518294923e-09,4.9618114877133276e-05,0.0055115964628128355,1.4236432790121333e-05,2.2617251904637518e-07,0.0010788849806780058,5.964030524477572e-09,3.405567333233896e-05,5.9325922330930125e-06,7.485351275307389e-08,5.003091729378173e-11,1.101547980482893e-10,8.224267178304913e-10,9.928894874556649e-11,1.1820612060422737e-10,1.1871054933996369e-07,2.4326835530668516e-06,6.921199143148587e-14,6.024862859481962e-12,2.2265068104191425e-19,1.079994664189335e-12
3.41970742411161e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4393407584104547,0.08078324987944377,0.008048232028741241,2.694656701755552e-05,0.005077625407294276,0.05436173950134115,0.02436551172175353,4.3350316432210285e-05,1.8770458772703086e-10,0.0019392784115072994,5.225932992339639e-11,0.0005257645475143605,2.8492604313238655e-09,9.014761534270713e-06,2.3297605361322184e-09,1.2932537947313752e-10,1.6284484869252064e-05,2.153493886306722e-05,0.005758053646449616,3.835683678795938e-06,0.0005372262324452296,2.1033593869413094e-08,3.882945952120435e-09,5.364167155346631e-09,1.5548116370517238e-09,4.972005327642841e-05,0.005520809873221939,1.4243929895557932e-05,2.2618947584167553e-07,0.0010797398764073372,5.962445980868391e-09,3.4079544358842796e-05,5.9283630604626715e-06,7.489373549874086e-08,4.997624804762021e-11,1.1010680909321287e-10,8.231743030726961e-10,9.911133532609125e-11,1.1824293390574085e-10,1.1864938605462603e-07,2.4343580892383435e-06,6.91022152645289e-14,6.028965609544473e-12,2.2283190632369027e-19,1.0802979812916092e-12
3.4222851441529895e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4393329162636857,0.08076461553204389,0.00804196869418908,2.6949282610940183e-05,0.005078055673935071,0.054401163448580314,0.02437763831280762,4.333111800598648e-05,1.880607896084127e-10,0.001938852280346906,5.2244478588084256e-11,0.0005258435366519063,2.849089268492239e-09,9.000512416683343e-06,2.3312700038070144e-09,1.2937174323030662e-10,1.6268873746444118e-05,2.1548421140951706e-05,0.005756623050333671,3.8270002597497615e-06,0.0005374000698120851,2.0993521603334735e-08,3.879071583726159e-09,5.363040366834016e-09,1.5581909103008604e-09,4.981129894496995e-05,0.005529053787203743,1.4250628137134197e-05,2.2620459747670638e-07,0.001080504153252028,5.961029405865707e-09,3.4100880672643333e-05,5.924583142881825e-06,7.492967231989366e-08,4.992744704893856e-11,1.1006399298490752e-10,8.238425986793182e-10,9.8952909191199e-11,1.182757875613921e-10,1.1859472156666581e-07,2.435854710390205e-06,6.900423020369261e-14,6.032632452605979e-12,2.2299388595178146e-19,1.0805689611404246e-12
