Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970865,0.11866996602708423,0.022821567693012405,0.0,2.005833201565222e-42,1.7179998849276488e-24,5.68893368021037e-53,8.2862382506638e-37,4.223277235482189e-85,5.1800455843573544e-14,9.419209070258603e-72,5.180045583751418e-14,5.9384040084566315e-49,6.874575164150842e-48,5.970927332170049e-71,6.92327532024325e-72,2.6275352577615585e-34,3.9599248787596956e-55,2.8289650988088896e-12,8.376062858871232e-14,3.35323887547857e-16,5.204264869414293e-26,1.9270516471685058e-25,3.3531990430084423e-16,1.957789382733644e-21,2.1624259184146994e-23,7.95158723736055e-27,4.438664438757629e-46,1.0194055979292689e-36,6.601419737611905e-35,3.856537198360985e-48,1.0515356887505017e-64,4.6390126998902876e-67
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.209325780735991e-41,6.880863070644363e-24,6.167149663457578e-51,6.628997106387703e-36,1.8300750295520672e-82,1.0360095559944652e-13,6.02830271351717e-70,1.0360095557520904e-13,9.501456198128583e-48,1.0999264758524692e-46,1.2939846317234933e-68,1.5003716646645686e-69,2.1020271795162232e-33,2.466684611843511e-53,5.657932594419865e-12,1.6752132818050174e-13,6.706521527889238e-16,2.0817045273877772e-25,7.708207160303248e-25,6.70636135034656e-16,7.746343422000889e-21,1.7119988989393844e-22,1.0804448682514178e-25,2.408073126012108e-44,8.155224798071944e-36,5.287500958924823e-34,1.2214901020561614e-46,2.2788252093013204e-62,1.0062458437661978e-64
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767883463,0.11866996601844092,0.022821567692886766,0.0,5.13489163499557e-40,2.7592224323542993e-23,7.086040282757715e-49,5.303200227225208e-35,8.40769741553173e-80,2.0720195511260753e-13,3.8581164159021375e-68,2.072019550156576e-13,1.5202337064276927e-46,1.7598616036359318e-45,2.972790322161696e-66,3.446941004869522e-67,1.681618230250195e-32,1.5341103180279625e-51,1.1315867581611683e-11,3.350427273588372e-13,1.3413214526859882e-15,8.326798807427985e-25,3.083280380979192e-24,1.3412567232731801e-15,3.032702282063244e-20,1.3417180237613674e-21,1.554239628019634e-24,1.3841630961219181e-42,6.524140604550754e-35,4.239887066714098e-33,3.8304160038922356e-45,5.235347410297259e-60,2.312922928240459e-62
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767766927,0.11866996600691651,0.022821567692719244,0.0,8.215726982699914e-39,1.1088744827457892e-22,8.326467848039807e-47,4.242561102265535e-34,3.9512186782853595e-77,4.1440395414458936e-13,2.469195144063756e-66,4.144039537567904e-13,2.432374284337384e-45,2.8156922224584314e-44,6.98569129362098e-64,8.099880934899413e-65,1.3452882155312137e-31,9.40107884587923e-50,2.2631737539874796e-11,6.700855256945351e-13,2.6827142989104567e-15,3.330702496175982e-24,1.2333095777963204e-23,2.682450408516087e-15,1.163433663017276e-19,1.0312428788503359e-20,2.2842196924823975e-23,8.133903211263625e-41,5.2192468109791705e-34,3.406847217581566e-32,1.1783381962964181e-43,1.230238401040248e-57,5.43642840185886e-60
9.390747672678601e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3144840463587972e-37,4.472540016660306e-22,9.670512161191807e-45,3.394049095845563e-33,1.8357468673911445e-74,8.288079522311899e-13,1.5802848153786888e-64,8.28807950679998e-13,3.8917984414683017e-44,4.504855657313812e-43,1.6227447659391984e-61,1.881563194017051e-62,1.0762200862250741e-30,5.573797013636872e-48,4.526347739191894e-11,1.3401711222820392e-12,5.3657390285949895e-15,1.3322670636147764e-23,4.933216538380894e-23,5.364647827523902e-15,4.299053723225305e-19,7.645719811562484e-20,3.3151462943951935e-22,4.722956103059037e-39,4.1752912255439745e-33,2.746900043839658e-31,3.4985942234434626e-42,2.857771033344896e-55,1.262723810592785e-57
1.8781495842896944e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767067711,0.11866996593777003,0.022821567691714114,0.0,2.1030709266518625e-36,1.813058811784462e-21,1.0710489876362211e-42,2.7152391156854365e-32,8.135248190193368e-72,1.6576159484949177e-12,1.0113818976728932e-62,1.6576159422901828e-12,6.226874946205186e-43,7.206964238508336e-42,3.5952774625294555e-59,4.1686909431302147e-60,8.609591789723394e-30,3.11300202692464e-46,9.052695683807886e-11,2.6803423151214808e-12,1.073288073374509e-14,5.328956193507596e-23,1.9732689620956882e-22,1.0728282967278938e-14,1.4893770906856822e-18,5.326516053879941e-19,4.583708474366762e-21,2.6143290677142617e-37,3.3400625968194467e-32,2.2255321411838038e-30,9.77000355944207e-41,6.331465899073674e-53,2.7962607611500016e-55
2.817224401311529e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727666015674,0.11866996589167238,0.02282156769104403,0.0,7.740606309253176e-36,3.882601606042908e-21,6.733301861940357e-42,8.060865711529977e-32,6.704987799073401e-71,2.486423944849172e-12,5.74232610134326e-62,2.4864239316641375e-12,2.355752785411018e-42,2.74754966185664e-41,2.6095506358635837e-58,3.0257472572252887e-59,2.461777404462511e-29,1.6714742276656644e-45,1.357904360263104e-10,4.020513507625356e-12,1.6101219988253934e-14,1.13238673619712e-22,4.1931705503299517e-22,1.609115851641196e-14,2.8790163508921443e-18,1.4114770511739903e-18,1.5817132788617812e-20,1.3946949770237212e-36,9.55021161121119e-32,6.403191799813168e-30,4.347597937186878e-40,4.595535494248494e-52,2.0400767052109952e-54
3.756299218333363e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,1.9631844414450381e-35,6.66402719268137e-21,2.717703189559257e-41,1.7564201016364718e-31,3.309954958667727e-70,3.3152319412939116e-12,2.2083817458503035e-61,3.315231918801864e-12,6.13200990477224e-42,7.391988703922864e-41,1.1691134504435748e-57,1.355573187322276e-58,5.192548447803188e-29,5.839826610098268e-45,1.8105391495661358e-10,5.360684699793665e-12,2.1470838528153716e-14,1.9316927178407082e-22,7.153014782563237e-22,2.145327458254155e-14,4.520772617247852e-18,2.7869484298761696e-18,3.795982763968325e-20,5.035587112134416e-36,2.0143626793185687e-31,1.3573651162225172e-29,1.332597492173195e-39,2.0588538094801963e-51,1.0093251050380565e-53
5.634448852377032e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072765203136,0.11866996575337942,0.022821567689033772,0.0,6.865495797079211e-35,1.3915713598763182e-20,2.105617341704322e-40,5.09834500102149e-31,3.4135731176884287e-69,4.97284793439566e-12,1.6807513958702273e-60,4.972847887829034e-12,2.2503603046186492e-41,2.989333340555948e-40,1.0487038600392796e-56,1.2159521952369779e-57,1.418221903511376e-28,3.4635081704410883e-44,2.7158087221187786e-10,8.041027083342737e-12,3.2213264517676263e-14,3.999235245890058e-22,1.4809267235285673e-21,3.2175724588472106e-14,8.222540573173829e-18,6.862812225888803e-18,1.2163920489108524e-19,3.339726772601053e-35,5.501605756350884e-31,3.733952237918994e-29,6.588964988557105e-39,1.8467900474320402e-50,1.4169663212028092e-52
7.5125984864207e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708485,0.11866996566118411,0.0228215676876936,0.0,1.7155102603090662e-34,2.382839649230487e-20,8.434926417297373e-40,1.1149504131501924e-30,1.676746751949632e-68,6.630463927829983e-12,6.346510426271869e-60,6.630463848632812e-12,5.835351012449101e-41,8.096367921816128e-40,4.688372413299394e-56,5.436061482043378e-57,2.967349875067955e-28,1.2027838563536376e-43,3.6210782851864753e-10,1.0721369465657823e-11,4.2960844901941623e-14,6.801507491528697e-22,2.518645603708193e-21,4.2895382598320676e-14,1.243761284093304e-17,1.3139882306411291e-17,2.8350002871658973e-19,1.1701787943842075e-34,1.1510747788201108e-30,7.855920199533263e-29,1.9845419681794838e-38,8.256276613937336e-50,6.867594703994107e-52
9.390748120464367e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763338561,0.1186699655689888,0.02282156768635343,0.0,3.63963023212949e-34,3.6614513752796576e-20,2.669040648549656e-39,2.091798445378399e-30,6.4709479103494356e-68,8.288079921620499e-12,1.94126849578542e-59,8.288079800625818e-12,1.2758855566817518e-40,1.8186083011246156e-39,1.6473597666832002e-55,1.9100696510845888e-56,5.401864250657083e-28,3.3530482459867278e-43,4.5263478380917314e-10,1.3401711846650784e-11,5.3714194337879275e-14,1.0390941152000685e-21,3.84788560116668e-21,5.3612049902809675e-14,1.6987893554320396e-17,2.1956220358789593e-17,5.623356133037903e-19,3.3046932139528207e-34,2.095404022341253e-30,1.4371069923118054e-28,4.85645985123306e-38,2.901000617984196e-49,2.617395584231236e-51
