Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C6H8(455),C8H9X(653),C8H10(458),C8H9X(652),C8H9X(651),C8H9X(650),C6H7X(915),C6H7X(867),C6H7X(914),C2H2(37)
4.517750222116273e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066815429779601504,0.49325144809702193,4.7563675975845893e-13,0.0,1.6349208924776191e-12,1.8615407601977086e-35,0.0,0.0,0.0,0.0,0.0,0.19141532408254616,0.0044950828687056387,0.070241588318336615,0.00011366636016120676,0.0098608692790981625,0.0030384693036651172,1.3547680681768655e-05,0.00014219549299040169,0.00029052061394266808,0.00028727616883500055,5.8450929520791281e-05,7.180104675309498e-07,1.4149826824715383e-05,9.2171892524495424e-06,9.0553277968037461e-06,9.1363129935394153e-06,2.5281083722127848e-07,1.3125775960864065e-08,2.7162253830832424e-06,9.5918992693867529e-06
4.533803246276827e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066714517111281499,0.49318495971257797,4.7659874457487062e-13,0.0,1.635489044743623e-12,1.8652847499845216e-35,0.0,0.0,0.0,0.0,0.0,0.19150765627890382,0.0044812731332294336,0.07025605443244208,0.00011331608348813912,0.0098820031090384643,0.0030396418126700138,1.3510130279848754e-05,0.00014231402436794166,0.00029130315158602647,0.00028803194620111101,5.8668830382595111e-05,7.160482729235865e-07,1.4206821756502081e-05,9.2488257225700957e-06,9.0856789186048256e-06,9.1673072493897036e-06,2.5298546528919616e-07,1.3134755338473392e-08,2.7309116857026836e-06,9.6063674387623871e-06
4.5498562704373813e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066614069226473643,0.49311887739953236,4.7755811083295849e-13,0.0,1.6360541709822752e-12,1.8690221240483649e-35,0.0,0.0,0.0,0.0,0.0,0.19159950122393879,0.004467547822719878,0.070270360742822308,0.00011296783351317377,0.0099030769661502937,0.0030408017860257598,1.3472757125536535e-05,0.00014243151778287747,0.00029208373733785359,0.00028878567422319611,5.8886487513003997e-05,7.1409448933680454e-07,1.4263758114313387e-05,9.2803965674490918e-06,9.1159601188658015e-06,9.1982337335778354e-06,2.5315787604555428e-07,1.3143628919645309e-08,2.7456081810226729e-06,9.620791227023832e-06
4.5659092945979354e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.06651408241226274,0.49305319746505005,4.7851487274952775e-13,0.0,1.6366162982453599e-12,1.872752920941539e-35,0.0,0.0,0.0,0.0,0.0,0.19169086309891087,0.0044539061490730964,0.070284508945335389,0.0001126215928233343,0.0099240911700693435,0.0030419493543463651,1.3435560140066553e-05,0.00014254798308669896,0.00029286238019629005,0.00028953736207682076,5.9103901018327846e-05,7.1214908010540984e-07,1.4320635845969063e-05,9.3119019738597842e-06,9.1461715942538209e-06,9.229092637820662e-06,2.5332808988435646e-07,1.3152397628192526e-08,2.760314750945963e-06,9.6351709050524986e-06
4.5819623187584895e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066414552997769896,0.49298791626136707,4.7946904442385718e-13,0.0,1.6371754532490844e-12,1.8764771788680184e-35,0.0,0.0,0.0,0.0,0.0,0.19178174603558304,0.0044403473340789007,0.07029850071356096,0.00011227734420255332,0.009945046037903681,0.0030430846465765,1.3398538250556877e-05,0.0001426634300164854,0.00029363908910477667,0.00029028701888253336,5.9321071010910873e-05,7.102120084340842e-07,1.4377454901928885e-05,9.3433421287705369e-06,9.1763135416032641e-06,9.2598841540162079e-06,2.534961269781661e-07,1.3161062378312618e-08,2.7750312783965654e-06,9.6495067412052483e-06
4.5980153429190437e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066315477353539043,0.49292303018509986,4.8042063983899308e-13,0.0,1.6377316623793761e-12,1.8801949356876963e-35,0.0,0.0,0.0,0.0,0.0,0.19187215411696693,0.0044268706092650345,0.070312337699157929,0.0001119350706289476,0.0099659418842598779,0.0030442077900173863,1.336169039004099e-05,0.00014277786819649052,0.00029441387295238479,0.00029103465370619515,5.9537997609004197e-05,7.0828323740975423e-07,1.4434215235243785e-05,9.3747172193211111e-06,9.2063861578920173e-06,9.2906084742199512e-06,2.5366200728096034e-07,1.3169624074708049e-08,2.7897576473092341e-06,9.663799001346006e-06
4.614068367079598e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066216851890934431,0.49285853567656596,4.8136967286302757e-13,0.0,1.6382849516970676e-12,1.8839062289205634e-35,0.0,0.0,0.0,0.0,0.0,0.19196209137805423,0.0044134752157443582,0.07032602153221526,0.00011159475527213715,0.0099867790212688299,0.0030453189103521912,1.332501549749669e-05,0.00014289130713970296,0.00029518674057414792,0.00029178027555930828,5.9754680936640757e-05,7.0636273001350513e-07,1.4490916801507895e-05,9.4060274327995515e-06,9.2363896402183472e-06,9.3212657906217161e-06,2.5382575053093992e-07,1.3178083612704481e-08,2.8044937426190629e-06,9.678047948876936e-06
4.630121391240152e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066118673061548741,0.49279442921911704,4.8231615725035753e-13,0.0,1.6388353469429929e-12,1.8876110957508261e-35,0.0,0.0,0.0,0.0,0.0,0.19205156180653532,0.0044001604040649275,0.070339553821596165,0.00011125638149060746,0.010007557758611247,0.0030464181316709783,1.3288512517872101e-05,0.00014300375624938156,0.00029595770075139269,0.00029252389339934543,5.9971121123512918e-05,7.044504491320568e-07,1.4547559558811524e-05,9.4372729566197867e-06,9.266324185778478e-06,9.3518562955232501e-06,2.5398737625330104e-07,1.3186441878367406e-08,2.8192394502512217e-06,9.6922538447690756e-06
4.646174415400706e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.066020937356621692,0.49273070733848578,4.8326010664292752e-13,0.0,1.6393828735429776e-12,1.8913095730309574e-35,0.0,0.0,0.0,0.0,0.0,0.19214056934350388,0.0043869254340628723,0.070352936155275866,0.00011091993282911381,0.010028278403542827,0.0030475055764951939,1.3252180402108855e-05,0.00014311522482056619,0.00029672676221207024,0.00029326551613007837,6.0187318304852309e-05,7.0254635756881785e-07,1.460414346769498e-05,9.4684539782997918e-06,9.2961899918447212e-06,9.3823801813163678e-06,2.5414690376296352e-07,1.319469974861702e-08,2.8339946571108096e-06,9.7064169475925255e-06
4.66222743956126e-07,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.065923641306468966,0.49266736660214261,4.8420153457145567e-13,0.0,1.6399275566127462e-12,1.8950016972856912e-35,0.0,0.0,0.0,0.0,0.0,0.19222911788415034,0.0043737695747180496,0.070366170100672823,0.00011058539301612674,0.01004894126091912,0.0030485813658017104,1.3216018107162671e-05,0.00014322572204156483,0.00029749393363108685,0.00029400515260190677,6.0403272621312085e-05,7.0065041805453108e-07,1.4660668491103253e-05,9.4995706854403698e-06,9.325987255744288e-06,9.4128376404617558e-06,2.5430435216726037e-07,1.3202858091341469e-08,2.8487592510728468e-06,9.7205375135461494e-06
