Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),CHOX(53),H2OX(23),COX(50)
6.914294909897216e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,3.5639215559970358e-72,1.5159697558230701e-42,6.8188055374616057e-27,1.1008905002128258e-54,3.9114203478638576e-43,1.2285180244274133e-92,7.0308459342593282e-19,2.8677834861731717e-87,7.0308459325362333e-19,6.4917628469629994e-60,4.3079822934911382e-52,1.1456791479028799e-76,6.9226898868687181e-78,5.9136248844579398e-39,2.075699555924958e-69,2.7883331706739875e-12,1.3406553676033213e-13,5.1674942061909462e-17,5.1677516432983442e-17,9.0411358516551436e-22,2.5527652791143453e-22,9.1805344053853024e-26,3.9419854028719435e-26,1.3782626771772332e-44,8.3430650444190813e-66,2.4287914089376342e-37,8.4953369471161501e-68,7.8810246565259285e-37,1.014123579958525e-66
1.3828595681119819e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,1.4599046744108983e-69,2.4240981626730121e-41,4.5082929596306306e-26,1.1293222258968758e-52,3.1290084241917842e-42,5.0444346914626181e-90,1.4061697831005834e-18,1.8353104529314811e-85,1.4061697824113512e-18,1.0386410909771146e-58,6.8882335477638238e-51,2.3510242985844601e-74,1.4205838817148559e-75,4.7279793290291339e-38,6.6419811204617108e-68,5.5766687032544149e-12,2.6813118716582541e-13,1.0334760912847498e-16,1.0335857460652696e-16,2.9489746711606849e-21,1.6876910261875067e-21,1.1757319413312736e-24,1.5757509643849082e-25,7.0663850528371992e-43,1.7086247125203807e-63,3.2311467168322122e-36,1.7431092336137589e-65,6.30091533139604e-36,2.0810494811655792e-64
2.7657197223565027e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,5.4690837092683925e-67,3.8739096171435871e-40,2.6692860462898106e-25,1.0612788333715941e-50,2.5029984765517038e-41,1.8989117853597604e-87,2.8123401631578979e-18,1.174505189376255e-83,2.8123401604010251e-18,1.6616920285324978e-57,1.1006659383968141e-49,4.4207629042566868e-72,2.6711777215476761e-73,3.7777146878346828e-37,2.125265707799183e-66,1.115333976303063e-11,5.3626248796571531e-13,2.0668598739140267e-16,2.0673310224601705e-16,8.5497316180176765e-21,9.9871530825197321e-21,1.3773408441750527e-23,6.2946677364675428e-25,3.3173183626476965e-41,3.1996863612411557e-61,3.8617227333526191e-35,3.276009434689173e-63,5.0344908303463085e-35,3.9130675724157847e-62
5.531440030845544e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,1.8295413850468696e-64,6.1834322302124957e-39,1.3983236496480302e-24,8.9348600710131588e-49,2.0020641393594757e-40,6.4103991534025655e-85,5.6246809261038721e-18,7.5156281350318659e-82,5.6246809150772984e-18,2.6582773187885737e-56,1.7563949208100718e-48,7.4484069845312029e-70,4.5004977863382931e-71,3.0147267197593036e-36,6.7997680762129747e-65,2.2306681861044497e-11,1.0725250895211155e-12,4.133349241819758e-16,4.1353585136383472e-16,2.1802729237700408e-20,5.2249809046416865e-20,1.443985056337048e-22,2.5112216458726803e-24,1.3946722271277547e-39,5.35014728762198e-59,4.0936200377429173e-34,5.516461944320116e-61,4.0176398495091037e-34,6.5928500015390182e-60
1.1062880647823627e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,5.4887488080893999e-62,9.8463869070530845e-38,6.5854604438868717e-24,6.7882487508327195e-47,1.6011154771359798e-39,1.9559028066084452e-82,1.1249362463318136e-17,4.808457315239694e-80,1.1249362419217802e-17,4.2518667267771098e-55,2.7954553171749553e-47,1.1325583124071113e-67,6.8429116134090718e-69,2.3999534454290263e-35,2.175232526444804e-63,4.4613365970917971e-11,2.14505029245443e-12,8.2652154877614224e-16,8.2736313684694695e-16,4.9981112835483456e-20,2.4539506793434309e-19,1.3659402997119907e-21,9.9921117404110355e-24,5.2911164359775781e-38,8.0226346751362465e-57,3.901436265244386e-33,8.3794137928669653e-59,3.1982998692567775e-33,1.0024200149255698e-57
2.2125761881779792e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,1.5062943618303496e-59,1.5605574964163444e-36,2.880961698209441e-23,4.7748887963388489e-45,1.2800354149464498e-38,5.5407916621704005e-80,2.2498725583007954e-17,3.0754359763617763e-78,2.2498725406652981e-17,6.7985821279296617e-54,4.4261294668811648e-46,1.5942645139662943e-65,9.6317935159513848e-67,1.9013048064162993e-34,6.9563088646140415e-62,8.9226733846047936e-11,4.2901006976113824e-12,1.6524500415226028e-15,1.6559146536460014e-15,1.0707270961808762e-19,1.0675594262869996e-18,1.197135537889304e-20,3.9552398842941643e-23,1.8589110090736882e-36,1.1004951769098467e-54,3.4455205103883827e-32,1.1784999562064523e-56,2.5336972944833485e-32,1.4109391175097943e-55
3.318864311573596e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756305971974,0.11866996589612272,0.022821567689836713,1.1495099232284799e-58,5.717846629394147e-36,6.2895370258454234e-23,2.7172352622608024e-44,3.7986595037970942e-38,4.2327764347362547e-79,3.3748088747931347e-17,1.7457637599727778e-77,3.3748088373242329e-17,2.5712401907456625e-53,1.679553594360806e-45,1.0602507987591851e-64,6.4053816892800315e-66,5.4062291330742813e-34,3.2442558903622179e-61,1.3384010137656087e-10,6.435151102059048e-12,2.4779340172024867e-15,2.4853675979134669e-15,1.6422075144324252e-19,2.3217537119665014e-18,3.5022019867083209e-20,8.3445118355332362e-23,8.8453019542152935e-36,7.3244872538226715e-54,1.0115829783148063e-31,7.8976724128663982e-56,7.2042655007229091e-32,9.3830464749951813e-55
5.531440558364829e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756296619961,0.1186699658068943,0.022821567687691661,1.0457880344376997e-56,4.3294629043066279e-35,1.7847096486121684e-22,7.0024039463190037e-43,1.7770637618667531e-37,3.4120366563018455e-77,5.6246815258487429e-17,4.6870536636769361e-76,5.6246814223070686e-17,2.0267516151990098e-52,1.3541346448588478e-44,4.7498627363364097e-63,2.8690004195919836e-64,2.4434137213126257e-33,4.3422764781004415e-60,2.2306683505911881e-10,1.0725251908118554e-11,4.1271258132640079e-15,4.1479092734308572e-15,2.7841492308685647e-19,6.5231104832251901e-18,1.6447060787749401e-19,2.2650789162468253e-22,1.3290545139350459e-34,3.7920779907882806e-52,4.7970967431543679e-31,4.2653783983032642e-54,3.2558844855895745e-31,4.2025807355471743e-53
7.522759180476939e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756288203149,0.11866996572658874,0.022821567685761115,5.9929815313404336e-56,1.1836711227961693e-34,3.2074375464930662e-22,2.8737898005882845e-42,4.0974927468954041e-37,1.7361116842858743e-76,7.6495669263800886e-17,2.0341085700749101e-75,7.6495667420601041e-17,5.684154002887442e-52,3.909054396260742e-44,2.1746065730080834e-62,1.3133709930452004e-63,5.4496072316299308e-33,1.440444783373925e-59,3.0337089425995481e-10,1.4586342631283247e-11,5.6099651014253652e-15,5.6471545483423747e-15,3.8109156477691625e-19,1.1646814263117233e-17,3.7196510323553809e-19,3.9848776809703007e-22,4.7816845600361285e-34,2.0067177019946447e-51,1.0905502448616689e-30,2.2764617935191124e-53,7.2614631783221581e-31,1.9238446525455826e-52
9.51407780258905e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756279786337,0.11866996564628317,0.022821567683830569,2.3655863653020085e-55,2.6445316481084802e-34,5.0346414635802604e-22,8.9514043148242969e-42,7.8838094211111894e-37,7.1831965360829325e-76,9.6744523423216176e-17,6.1566899818744158e-75,9.6744520546876351e-17,1.3006106615251884e-51,8.8691562189928355e-44,7.8463075991695247e-62,4.7385911653450917e-63,1.0201755676070449e-32,3.8683611278591179e-59,3.8367495228220977e-10,1.8447433352024888e-11,7.0912889011714611e-15,7.1495552975096066e-15,4.8366334586199e-19,1.8161794554820137e-17,7.0382613982585158e-19,6.1455411470683362e-22,1.2660263693185772e-33,6.7625665200499999e-51,2.0745996496546003e-30,7.801273419698641e-53,1.3593151518630787e-30,6.9410773318547113e-52
