Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),COX(50)
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,0.0,5.4977075043573656e-39,2.9865072584199753e-28,2.1489823631581224e-48,9.3135573203703006e-37,1.4449157684122349e-84,5.461614365355536e-18,3.2008556220750963e-78,5.4616119235460561e-18,1.2007598659279307e-52,4.6616721849896464e-46,1.7359481782498412e-69,1.0489401317440274e-70,2.7604432646920955e-36,2.9824330249384144e-61,2.1659973511985275e-11,1.0414307772451208e-12,4.0142345612318533e-16,2.3680857513182501e-24,4.014239267405004e-16,2.327448293098885e-22,1.6790977820797957e-24,4.3115939316191344e-27,3.8939014491192676e-44,8.7868102848787778e-38,3.6787653633797218e-34,1.5366093064620354e-59
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,0.0,8.755654417311727e-38,1.1951969898330821e-27,2.7262921831624868e-46,7.4508386501347492e-36,7.3325225920021671e-82,1.0923234186506234e-17,2.0485470160449642e-76,1.0923224419272434e-17,1.9212140072974525e-51,7.4218352445890607e-45,4.4046750678794878e-67,2.6615081141773532e-68,2.1978354634482103e-35,9.5437770489359129e-60,4.3319949210835984e-11,2.082861664621087e-12,8.0284648563977227e-16,9.4240058340428976e-24,8.02848374851642e-16,9.2433500660781846e-22,1.3309182926440239e-23,6.8370004949082375e-26,2.4698996957778594e-42,7.032713221503183e-37,2.9289499290660835e-33,3.8988526863499195e-57
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,0.0,1.3880632796382949e-36,4.7854462758399141e-27,3.4285610861830409e-44,5.9606582849497066e-35,3.6887186620870063e-79,2.1846488459963924e-17,1.3110686256642862e-74,2.1846449391066306e-17,3.0739361107526464e-50,1.1758690118320841e-43,1.1078947140466212e-64,6.6944107418346529e-66,1.7416682040848789e-34,3.0540025049146298e-58,8.6639900283612784e-11,4.1657234387038819e-12,1.6056911372468309e-15,3.7314798738782446e-23,1.60569874737155e-15,3.6452343488804663e-21,1.0453761892796059e-22,1.0746615823563239e-24,1.5529536348055734e-40,5.6312939959073563e-36,2.3209682697435547e-32,9.8064977933921027e-55
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,0.0,2.1808979400441151e-35,1.9177614896626863e-26,4.2385368231174267e-42,4.7685059696714019e-34,1.8242504717979385e-76,4.36930555312992e-17,8.3908192366357946e-73,4.3692899256018553e-17,4.9182771257536342e-49,1.8452103838177045e-42,2.7394446927528828e-62,1.6552983997519641e-63,1.3674896577698549e-33,9.7727676479370728e-57,1.7327980112946804e-10,8.3314469841948455e-12,3.2113748107764236e-15,1.4629427175977906e-22,3.2114056672440472e-15,1.4180148818899145e-20,8.066043957942869e-22,1.6603538553580149e-23,9.5978166301360339e-39,4.5129266998268529e-35,1.8222242674545913e-31,2.4247276798584829e-52
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,0.0,7.9577239013759891e-35,4.0803386731036011e-26,2.7414678089625023e-41,1.4156467112340568e-33,1.5372507937911382e-75,6.5539681126849109e-17,4.7640516773102841e-72,6.5539349042335305e-17,1.8606803656799683e-48,6.97345294762275e-42,2.0386401040738195e-61,1.2318399732107227e-62,3.8685936486967097e-33,4.5589668934089034e-56,2.5991970067562487e-10,1.2497170527013873e-11,4.8170528546414563e-15,3.0662045147543066e-22,4.817119023561071e-15,2.9562834719420406e-20,2.2591572629176469e-21,6.0097149943503223e-23,5.2908435538829937e-38,1.2916740167316684e-34,5.1548475410266713e-31,1.8044174680505448e-51
1.0742149580962393e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.11866996559675769,0.022821567682639977,0.0,5.940199218339848e-34,1.1314867962459075e-25,1.1602140464353239e-39,6.6311311409233621e-33,2.0277772773531543e-73,1.0923316641316436e-16,1.2807026454979962e-70,1.0923224830042721e-16,1.4684559695501228e-47,5.5322885343162268e-41,1.5140578362099766e-59,9.1486264114889195e-61,1.722725564434365e-32,6.109263433522852e-55,4.3319949456914508e-10,2.082861760197294e-11,8.0283864238725609e-15,8.1884619608489155e-22,8.0285734551661645e-15,7.7936932371359429e-20,9.7710295615263699e-21,4.3632315160732755e-22,1.2930246220253275e-36,5.9524649259311722e-34,2.2952683203867105e-30,1.3400235416803755e-49
1.4609323450597878e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080294,0.022821567678890826,0.0,1.6135768429711459e-33,2.018651841157656e-25,5.412012263382555e-39,1.530192865089053e-32,1.1109301162539359e-72,1.4855749226153824e-16,5.5609775156917744e-70,1.4855585737863725e-16,4.1209498150215704e-47,1.583915378860875e-40,7.7251618628374915e-59,4.6678922854203968e-60,3.8110707766200459e-32,2.0276152169759391e-54,5.8915130487395567e-10,2.8326919960820286e-11,1.0918568446837206e-14,1.4252651354050561e-21,1.091890618000506e-14,1.3452170293061645e-19,2.126662244853675e-20,1.1701596253619434e-21,5.4044894160226028e-36,1.3418580017542406e-33,5.0773694097931411e-30,6.8371158718492724e-49
1.8476497320233363e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756241904395,0.11866996528484822,0.022821567675141676,0.0,3.5797400186129676e-33,3.156830653231193e-25,1.8650284022053174e-38,2.9462799588461895e-32,5.0533032729987441e-72,1.8788201825710821e-16,1.6838636415029474e-69,1.8787946618791648e-16,9.4351233618193215e-47,3.5690893057757763e-40,3.0754034441915284e-58,1.8582978347775249e-59,7.0751555070450122e-32,5.4482070942859697e-54,7.4510311073383229e-10,3.5825222310564213e-11,1.3808731216893077e-14,2.1750908127852673e-21,1.3809265565343015e-14,2.0362913484265799e-19,3.8824635726455911e-20,2.5600546631402162e-21,1.5866987879859718e-35,2.5399181746100023e-33,9.4254223400513356e-30,2.7218128281928215e-48
2.234367118986885e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756225558804,0.11866996512889348,0.022821567671392526,0.0,6.7866645575772221e-33,4.5329766675437053e-25,5.1626834889411963e-38,5.0093762089426846e-32,1.6943111943664255e-71,2.2720673331174852e-16,4.3714818985298363e-69,2.2720307474316258e-16,1.8398995338581288e-46,6.9429906901405471e-40,9.3846240404413043e-58,5.6706126851175561e-59,1.1631803980176904e-31,1.2052695313802749e-53,9.0105491239499771e-10,4.3323524651711323e-11,1.669887580064948e-14,3.0523373559252895e-21,1.669965132526672e-14,2.836056626421626e-19,6.2846203075575141e-20,4.7924836543917829e-21,3.982187920582826e-35,4.2509586165049485e-33,1.5494823628336809e-29,8.305497614780487e-48
3.007801892913982e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756192867632,0.11866996481698404,0.022821567663894222,0.0,1.71769983452747e-32,7.8302006625088314e-25,2.3860395402277116e-37,1.1075682232269808e-31,9.8688493034817713e-71,3.0585659456338824e-16,1.9335915002966112e-68,3.0585029127433801e-16,4.8848263461208013e-46,1.8814335964389277e-39,4.8682228333492064e-57,2.9415961475040721e-58,2.4183073495386594e-31,3.792135838351522e-53,1.2129585061422454e-09,5.8320129314418578e-11,2.24791234949683e-14,5.0757408817736038e-21,2.2480486244449829e-14,4.6582621630909817e-19,1.2743630810055324e-19,1.1890721655906298e-20,1.6449442445776679e-34,9.0937706526079716e-33,3.2211407559445831e-29,4.3083283554540295e-47
