Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24)
2.137508246398604e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30519540747231311,0.11164427621178598,0.010253898076992098,1.0138233238636767e-14,2.4150710487122902e-10,0.0033865726105105913,7.3960044007647234e-08,2.6360799649503507e-12,2.1065177997727769e-21,1.415627095140809e-07,7.0353549411684223e-24,2.8077068035542823e-07,6.4135867102052318e-19,3.2334209286185553e-17,2.6663442270971099e-17,7.5690551677081647e-20,6.5682038627119043e-13,2.9382429164246271e-17,0.0052661470435498075,0.025135197572818194,3.1101309151597123e-10,0.00016366277177785115,3.4492564272292115e-12,5.0146623729330677e-06,0.0017542454534641842,6.4078381851605472e-10,6.681629401216235e-08,4.7820452163704488e-05,1.6566804837285274e-19
2.1397294873417345e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3051767974955375,0.11164167482659369,0.010245992764007133,1.0181573834421166e-14,2.4229465781154177e-10,0.0033925180514829613,7.4148509308196184e-08,2.6430345735852321e-12,2.1177109153659012e-21,1.4167247953658443e-07,7.0714851483835055e-24,2.8099083877577058e-07,6.434637523327412e-19,3.2441050693984381e-17,2.6752508199287655e-17,7.5971801141345152e-20,6.5759146649631135e-13,2.951027271747541e-17,0.0052657024943783409,0.025151007846929242,3.1119978614186363e-10,0.00016378028152289718,3.4605473288121979e-12,5.0272454187522924e-06,0.0017572783446321962,6.4168633686338097e-10,6.6977996666508367e-08,4.790155723775844e-05,1.6618357532250594e-19
2.141950728284865e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30515819985489212,0.1116390716484314,0.010238094508332045,1.0225046904714808e-14,2.4308387342773603e-10,0.0033984667698169699,7.433721552039388e-08,2.6499999292229365e-12,2.1289505074161141e-21,1.4178221160415471e-07,7.1077619469067143e-24,2.8121092143077223e-07,6.455734779415036e-19,3.2548099818067385e-17,2.684176116211916e-17,7.6253762075333741e-20,6.5836187986356432e-13,2.9638535642819448e-17,0.0052652580892749755,0.025166804005990924,3.113862916176915e-10,0.0001638977393584299,3.4718622536872418e-12,5.039845322113767e-06,0.001760312867454823,6.4258895422369994e-10,6.7139886247300376e-08,4.7982700373282416e-05,1.6670003347679661e-19
2.144171969227996e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30513961453720617,0.11163646667936876,0.010230203302343302,1.0268652678216177e-14,2.438747531368468e-10,0.0034044187616646725,7.4526162564132261e-08,2.6569760363772837e-12,2.1402367123161868e-21,1.418919057437704e-07,7.1441857720569938e-24,2.8143092838080789e-07,6.4768785295402444e-19,3.2655356713471049e-17,2.6931201286469952e-17,7.6536435366074667e-20,6.5913162560548143e-13,2.9767218864681304e-17,0.0052648138281095359,0.025182586065250499,3.1157260814163793e-10,0.00016401514533245963,3.48320122250349e-12,5.0524620824921386e-06,0.0017633490199932701,6.4349166995002869e-10,6.730196266128435e-08,4.8063881515475528e-05,1.6721742300737498e-19
2.1463932101711265e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30512104152933323,0.111633859921472,0.010222319138431303,1.0312391383632705e-14,2.4466729835401301e-10,0.0034103740231844417,7.4715350359017618e-08,2.6639628995538418e-12,2.1515696667547175e-21,1.4200156198228418e-07,7.1807570602465825e-24,2.8165085968611932e-07,6.4980688247600381e-19,3.2762821434609579e-17,2.7020828699017462e-17,7.6819821900086543e-20,6.5990070296058932e-13,2.98963233088424e-17,0.0052643697107520844,0.025198354039927328,3.1175873591157115e-10,0.00016413249949289821,3.494564255808533e-12,5.0650956993594814e-06,0.001766386800311932,6.4439448339523963e-10,6.7464225815189296e-08,4.8145100609641414e-05,1.6773574410543305e-19
2.148614451114257e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30510248081814195,0.11163125137680521,0.010214442008995021,1.0356263249676834e-14,2.4546151049320908e-10,0.0034163325505385438,7.4904778824475967e-08,2.6709605232531057e-12,2.1629495076022997e-21,1.4211118034647182e-07,7.2174762485610025e-24,2.8187071540686647e-07,6.5193057161219296e-19,3.2870494035514716e-17,2.7110643526195015e-17,7.7103922563574622e-20,6.6066911117110693e-13,3.0025849901932232e-17,0.0052639257370728177,0.025214107945223652,3.1194467512513976e-10,0.00016424980188755537,3.5059513737210249e-12,5.0777461721935842e-06,0.001769426206477155,6.4529739392362752e-10,6.7626675615229067e-08,4.8226357601151099e-05,1.6825499696411165e-19
2.150835692057388e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30508393239052367,0.11162864104742935,0.010206571906446445,1.0400268505068195e-14,2.462573909666325e-10,0.003422294339895137,7.5094447879673512e-08,2.6779689119678308e-12,2.1743763720070434e-21,1.4222076086299212e-07,7.2543437751128596e-24,2.8209049560308725e-07,6.540589254658895e-19,3.2978374569635872e-17,2.7200645894164171e-17,7.7388738242264348e-20,6.6143684948482426e-13,3.0155799571873284e-17,0.0052634819069421607,0.025229847796315655,3.1213042597964108e-10,0.00016436705256421484,3.5173625965528033e-12,5.0904135004421112e-06,0.0017724672365582951,6.4620040090111011e-10,6.7789311967421464e-08,4.8307652435471802e-05,1.6877518173923871e-19
2.1530569330005185e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30506539623338202,0.11162602893540363,0.010198708823204413,1.0444407378529165e-14,2.4705494118554542e-10,0.0034282593874255074,7.5284357443627695e-08,2.6849880701867107e-12,2.1858503972629788e-21,1.4233030355844349e-07,7.2913600785560764e-24,2.8231020033475269e-07,6.5619194913961618e-19,3.3086463090116775e-17,2.7290835928858734e-17,7.7674269821628119e-20,6.6220391715248158e-13,3.0286173247267968e-17,0.0052630382202306395,0.025245573608365837,3.1231598867225108e-10,0.00016448425157058815,3.5287979452348198e-12,5.1030976835096585e-06,0.0017755098886263147,6.4710350367839127e-10,6.7952134778296695e-08,4.8388985058126565e-05,1.6929629858398295e-19
2.155278173943649e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30504687233364092,0.1116234150427844,0.010190852751699538,1.0488680098787873e-14,2.4785416255959739e-10,0.0034342276893062746,7.5474507435122245e-08,2.6920180023914233e-12,2.1973717209156696e-21,1.4243980845931951e-07,7.3285255984767292e-24,2.8252982966172526e-07,6.5832964773457683e-19,3.3194759649574239e-17,2.7381213755948672e-17,7.7960518186701754e-20,6.6297031342984383e-13,3.0416971857890451e-17,0.0052625946768089862,0.025261285396513147,3.1250136339991706e-10,0.00016460139895427595,3.5402574399412505e-12,5.1157987208426129e-06,0.0017785541607548293,6.4800670161443797e-10,6.8115143954165794e-08,4.847035541472707e-05,1.6981834772516818e-19
2.15749941488678e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30502836067824501,0.11162079937162528,0.010183003684373948,1.0533086894576987e-14,2.4865505649686003e-10,0.0034401992417192897,7.5664897772708221e-08,2.6990587130567795e-12,2.2089404807572083e-21,1.425492755920124e-07,7.3658407753757784e-24,2.8274938364376124e-07,6.6047202635066784e-19,3.3303264300109599e-17,2.7471779500813681e-17,7.8247484222091693e-20,6.6373603757758897e-13,3.0548196334663347e-17,0.00526215127654812,0.025276983175873499,3.1268655035918821e-10,0.00016471849476280546,3.5517411006214217e-12,5.128516611863309e-06,0.0017816000510201132,6.4890999408800842e-10,6.827833940032717e-08,4.8551763450973064e-05,1.7034132930723447e-19
2.1597206558299105e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30500986125415475,0.11161818192397739,0.010175161613679103,1.0577627994632027e-14,2.4945762440412509e-10,0.0034461740408506412,7.5855528374746682e-08,2.706110206652015e-12,2.220556814779737e-21,1.4265870498283246e-07,7.4033060504975159e-24,2.8296886234052869e-07,6.6261909008672815e-19,3.3411977093406445e-17,2.7562533288602826e-17,7.8535168812054762e-20,6.6450108886037149e-13,3.0679847609441104e-17,0.0052617080193191196,0.025292666961544159,3.1287154974644743e-10,0.00016483553904365829,3.5632489477877285e-12,5.1412513559613121e-06,0.0017846475575006091,6.4981338046116262e-10,6.8441721022710692e-08,4.8633209112634991e-05,1.7086524348922009e-19
2.161941896773041e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30499137404834448,0.11161556270189019,0.010167326532074212,1.0622303627691025e-14,2.5026186768711592e-10,0.0034521520828899562,7.6046399159437511e-08,2.7131724876417379e-12,2.2322208611417185e-21,1.4276809665802223e-07,7.4409218657043276e-24,2.8318826581162272e-07,6.6477084404070983e-19,3.3520898080800991e-17,2.7653475244229743e-17,7.8823572840557297e-20,6.6526546654616432e-13,3.0811926614852963e-17,0.0052612649049931888,0.025308336768606877,3.1305636175793946e-10,0.00016495253184422589,3.5747810019827548e-12,5.1540029525118186e-06,0.0017876966782765479,6.507168600921847e-10,6.8605288727346964e-08,4.8714692345545608e-05,1.7139009045356466e-19
