Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),CO2X(24),HOCO(73)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,5.338067036421702e-99,1.6324139775549235e-45,2.042661272096818e-30,9.536384894052326e-72,1.0820897966923209e-45,8.473816187454958e-110,5.650824820958718e-17,1.5992806611370108e-89,5.650824820957914e-17,8.465798490260345e-61,1.193409107896022e-59,1.0957938370301607e-92,1.2705704540256702e-93,7.357674541456264e-32,2.660011480215485e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579701742971846e-19,6.195908170481083e-32,2.2942387403700563e-31,3.657970158375282e-19,7.939717045526306e-28,3.223727413717924e-33,1.1443466319956816e-37,7.693363104558325e-63,1.3248122349906752e-45,8.56859100968548e-44,2.0640398811088023e-31,5.313218765575842e-62,1.9297960765423254e-86,6.869785752964392e-25,2.846140085242435e-89,5.9257108837293455e-102,5.3117380529910766e-76,1.097026454384517e-59,2.654759041605992e-85,1.1343127449976798e-73,4.285727892386617e-89,4.630646130370737e-121
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,1.379687661807303e-96,1.3069237619013062e-44,8.175968871718704e-30,6.159211578561146e-70,8.66549450774115e-45,2.1891072094937424e-107,1.130655913350839e-16,1.0251215901185748e-87,1.1306559133505181e-16,1.3559990311142427e-59,1.911676702319297e-58,1.415439381723226e-90,1.641198733503422e-91,2.9449872819092144e-31,1.0365564360720332e-69,6.174822337592369e-15,1.828255147159556e-16,7.319118444647497e-19,2.479977953220231e-31,9.182933914560329e-31,7.319118380918265e-19,3.177943055800552e-27,2.5809315663321164e-32,9.235833923202996e-37,2.4845386136180052e-61,1.0606553221912906e-44,6.860083233765113e-43,8.261538559430282e-31,1.7023222580149426e-60,2.4927219617684383e-84,1.3745541515450424e-24,3.6781275434438995e-87,1.5315341727124734e-99,3.4037634554678512e-74,1.75714885133974e-58,2.066780276888553e-83,3.634165702002305e-72,5.538537733090322e-87,2.39403860248895e-118
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,3.590497569936017e-94,1.0459362139726116e-43,3.271452881604207e-29,4.006188697241165e-68,6.935907775239e-44,5.695053457218761e-105,2.261802775860835e-16,6.565845036230367e-86,2.2618027758595513e-16,2.170776138945302e-58,3.0604615725352105e-57,1.841212163917624e-88,2.134881302101332e-89,1.178378515123635e-30,4.49963225541098e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641415033283308e-18,9.923142011782367e-31,3.674369693851803e-30,1.4641414778282337e-18,1.2715808354155318e-26,2.0655127983716457e-31,7.510082136909516e-36,8.081092203140422e-60,8.488465991830794e-44,5.490152075930686e-42,3.305691532460939e-30,5.450748442419301e-59,3.242547896303866e-82,2.749705746077686e-24,4.786104144052502e-85,3.9854353366437697e-97,2.1797569644961207e-72,2.81296425122812e-57,1.791974381307134e-81,1.1636318930000557e-70,7.206933310594185e-85,1.246059486064142e-115
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,9.47990524579862e-92,8.36907891283517e-43,1.3087944678239303e-28,2.64391935236957e-66,5.550131430541981e-43,1.5031496556088077e-102,4.52409650088107e-16,4.203762948407432e-84,4.524096500875932e-16,3.474184241629931e-57,4.898161996634539e-56,2.429977709426807e-86,2.817553606153997e-87,4.71428137452121e-30,2.1961861923980635e-66,2.470733297473954e-14,7.315402162863289e-16,2.928600840230109e-18,3.9699028633201516e-30,1.4699871345209174e-29,2.9286007382122907e-18,5.087068668542587e-26,1.6526970938070756e-30,6.1990111635861e-35,2.6671944554026742e-58,6.792062274189727e-43,4.3929567182767275e-41,1.3224918614553793e-29,1.7447494246710947e-57,4.279419416008099e-80,5.500010703284724e-24,6.3186673320984245e-83,1.052145360315311e-94,1.395459409286637e-70,4.501964020784588e-56,1.747002608079472e-79,3.7247405818199506e-69,9.514673712982764e-83,6.579118166035914e-113
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,2.5729803272033623e-89,6.695898948512621e-42,5.235606277963092e-28,1.7937031086605924e-64,4.4406672965535014e-42,4.0778374010382047e-100,9.04868395092252e-16,2.6909274832299264e-82,9.04868395090196e-16,5.559448827854218e-56,7.838197958363607e-55,3.296436421330406e-84,3.8222104981317204e-85,1.885866023554227e-29,1.1866988683681664e-64,4.941734715751277e-14,1.4631598183800437e-15,5.8575195907364695e-18,1.5880903076860626e-29,5.880427064486698e-29,5.85751918262538e-18,2.0349269334203076e-25,1.322240064062177e-29,5.263381318679995e-34,9.051256795599293e-57,5.4341654098521175e-42,3.5147005271963618e-40,5.290397942010827e-29,5.583879613225856e-56,5.805334705514554e-78,1.1000627690265799e-23,8.575763553674855e-81,2.8550706421425007e-92,8.932054748637489e-69,7.204119546311968e-55,1.88607308011664e-77,1.192095944534087e-67,1.2913420891803711e-80,3.5703488168412107e-110
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,7.333069865239139e-87,5.356973611549895e-41,2.094329592173145e-27,1.2777598260309975e-62,3.5527587107775135e-41,1.1613395392044612e-97,1.809785885100932e-15,1.7223597497926996e-80,1.809785885092707e-15,8.895721395382172e-55,1.254202715576843e-53,4.694833703480243e-82,5.4436489336230216e-83,7.543771052726664e-29,6.894076350599308e-63,9.883737552275174e-14,2.9263990225670727e-15,1.1715357398595085e-17,6.35261909612786e-29,2.3522665171739264e-28,1.1715355766031474e-17,8.13950983026678e-25,1.0577732285839216e-28,4.696804387639408e-33,3.226167732034432e-55,4.3475381640591957e-41,2.8118962400017597e-39,2.116245253978172e-28,1.7868643986170858e-54,8.268043785805109e-76,2.2001889954495944e-23,1.2222738748585875e-78,8.134126272145474e-90,5.716598372664959e-67,1.1527373016468054e-53,2.1899734490428636e-75,3.814993144624263e-66,1.8405059935130162e-78,2.034114017274436e-107
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,2.2590327610637067e-84,4.28568085202812e-40,8.377503704292033e-27,9.83789611397554e-61,2.8422969191183522e-40,3.573790408521775e-95,3.619620865119854e-15,1.1023634129649505e-78,3.619620865086954e-15,1.4233636849993638e-53,2.0067969694630894e-52,7.225603609083617e-80,8.378070791873547e-81,3.01756981395673e-28,4.1875514404093736e-61,1.976774322519998e-13,5.852877430939531e-15,2.343103424197333e-17,2.5410988376195533e-28,9.40925731638788e-28,2.343102771116345e-17,3.255446942206786e-24,8.461282219164174e-28,4.534842946244854e-32,1.243288991428371e-53,3.4781122102505394e-40,2.2495741202864382e-38,8.465152972286357e-28,5.717451687490499e-53,1.2724967311784659e-73,4.400452764402822e-23,1.8831689520537648e-76,2.504468073506376e-87,3.658299804770826e-65,1.844442223052514e-52,2.6594209093946874e-73,1.2208434365464926e-64,2.8356876387976803e-76,1.2523237603523037e-104
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,7.736734837344599e-82,3.4285857536422245e-39,3.3510474818177766e-26,8.420311255232575e-59,2.273873513381857e-39,1.2223291400745761e-92,7.239290825163946e-15,7.055295985487819e-77,7.23929082503234e-15,2.2774205008115044e-52,3.210932572812613e-51,1.2360759976076555e-77,1.4332272619167965e-78,1.2070402043221455e-27,2.607653849437202e-59,3.9535754570557623e-13,1.1705834247678047e-14,4.6862392841592394e-17,1.016449475110814e-27,3.7637410656549885e-27,4.6862366714707523e-17,1.3018535584569533e-23,6.767339561042745e-27,4.871157392165604e-31,5.3277233796963124e-52,2.7825213879676013e-39,1.79968662528607e-37,3.386095419663895e-27,1.8291496958020027e-51,2.1768459313392624e-71,8.801025566738073e-23,3.2257878056618698e-74,8.571605952614217e-85,2.340760870737867e-63,2.9511575862730556e-51,3.311438440546056e-71,3.906771038778048e-63,4.857420444577407e-74,8.56991945691086e-102
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,2.980064565456708e-79,2.742885490007402e-38,1.340435332854856e-25,8.105679232504255e-57,1.819113197793525e-38,4.702028098167934e-90,1.4478630745277112e-14,4.51544385635767e-75,1.447863074475069e-14,3.6439036685740243e-51,5.137535881023654e-50,2.378227550038138e-75,2.7575492744117087e-76,4.828185375332362e-27,1.6451163590529442e-57,7.907177725930509e-13,2.3411747881129477e-14,9.372512971002948e-17,4.065815381762698e-27,1.505503965492541e-26,9.372502517492433e-17,5.204734955121916e-23,5.411079278280654e-26,5.8846382556219944e-30,2.56768526552102e-50,2.2260280747314874e-38,1.4397673899569362e-36,1.3544448853805316e-26,5.850328849438444e-50,4.1882816419759374e-69,1.7602352229123741e-22,6.214599501416874e-72,3.2994656412404594e-82,1.4973381802214929e-61,4.721892149629897e-50,4.1777804251684556e-69,1.250177639579322e-61,9.358034422494602e-72,6.595913202199345e-99
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,1.2738489559350649e-76,2.194315879945893e-37,5.361831035457237e-25,8.659757669744978e-55,1.4552963062813748e-37,2.0078192323283752e-87,2.895731058560341e-14,2.889901457870103e-73,2.8957310583497713e-14,5.830270509730994e-50,8.220085466933977e-49,5.078962371033649e-73,5.889044664987759e-74,1.9312790621170948e-26,1.0444715402443272e-55,1.5814382262892864e-12,4.682357514792993e-14,1.8745068226529756e-16,1.6263277298644623e-26,6.022030231477509e-26,1.8745026390793794e-16,2.0797378039581489e-22,4.324363446890025e-25,7.883223596284026e-29,1.373026828937146e-48,1.7808241517331597e-37,1.1518325819493047e-35,5.417791947258707e-26,1.870192731027054e-48,8.944526893315007e-67,3.5205729784755715e-22,1.328568671113065e-69,1.409639902311005e-79,9.573252774733402e-60,7.555059409546334e-49,5.304563699905471e-67,4.000581932473338e-60,2.0005927188451075e-69,5.634912189370295e-96
6.5619792086459545e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679674265,0.11866996602674416,0.022821567693007465,5.869301165258411e-74,1.755456872058221e-36,2.144795819548981e-24,9.97327906937826e-53,1.1642393333511518e-36,9.24474132981033e-85,5.791467026665582e-14,1.8495424638370675e-71,5.7914670258233e-14,9.328452355086551e-49,1.3152136938686284e-47,1.169470139716877e-70,1.3559976744691902e-71,7.725126075363302e-26,6.647616575203822e-54,3.1628791333669043e-12,9.36472296811212e-14,3.7490210377838795e-16,6.505298720958643e-26,2.4088143993059094e-25,3.749004286248087e-16,8.301720145760536e-22,3.4522957446399884e-24,1.1372041979975106e-27,7.911850018533006e-47,1.4246556880933613e-36,9.214917681433459e-35,2.167118436595324e-25,5.972367828484676e-47,2.059545207865359e-64,7.041538181946179e-22,3.061185791785841e-67,6.4927100367710944e-77,6.114440707964905e-58,1.208812050575131e-47,6.752005825147231e-65,1.2801858380604927e-58,4.609679537375022e-67,5.190364726834128e-93
1.3123963979955323e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679348537,0.11866996602352299,0.02282156769296064,2.8300046504643775e-71,1.4043690415360458e-35,8.579671351592597e-24,1.202085340818785e-50,9.313923645771436e-36,4.455797235719603e-82,1.1582938963035987e-13,1.1837089032515732e-69,1.1582938959666861e-13,1.492553884765198e-47,2.1043348042157313e-46,2.818590708322581e-68,3.268148123768911e-69,3.0900523978579285e-25,4.2297750526360315e-52,6.325760946262723e-12,1.8729453874586522e-13,7.498062213887086e-16,2.60210476655479e-25,9.635257673141768e-25,7.497995070660993e-16,3.3069765664796043e-21,2.750383190672605e-23,1.7153562388576932e-26,4.769958375645489e-45,1.1397162011145586e-35,7.37232680401807e-34,8.668470474110607e-25,1.9033552594708757e-45,4.963794962158028e-62,1.408462735826395e-21,7.380565959647206e-65,3.129964841318715e-74,3.897391670261283e-56,1.9341012767397893e-46,8.592108040908972e-63,4.0965778297932916e-57,1.1114334167774395e-64,5.004456132298567e-90
2.624793352257406e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767869708,0.11866996601708064,0.022821567692866994,1.3960968249888276e-68,1.1234996533387477e-34,3.432251293509269e-23,1.4824587510112245e-48,7.451142229245706e-35,2.1977143069845705e-79,2.316588283641649e-13,7.575741948953912e-68,2.3165882822939987e-13,2.3880872453094187e-46,3.366907214293701e-45,6.951337131672782e-66,8.060052775288549e-67,1.2360213545517876e-24,2.6829044232789145e-50,1.2651524567016699e-11,3.745891568687992e-13,1.4996196258437528e-15,1.0408291367635744e-24,3.854099454436006e-24,1.4995926600123594e-15,1.311946066996863e-20,2.1821833093024927e-22,2.6458145829375684e-25,2.9418071470866044e-43,9.117585877270325e-35,5.898476251503099e-33,3.467382265081927e-24,6.041343490232275e-44,1.2241916754121025e-59,2.817544078840322e-21,1.8204676948700561e-62,1.5439117471494505e-71,2.4742615287520502e-54,3.0945635107346766e-45,1.0899282398284538e-60,1.3108918136098317e-55,2.741588328967412e-62,4.938047444161699e-87
5.2495872607811537e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677394167,0.11866996600419596,0.0228215676926797,6.932364617857906e-66,8.988062945362367e-34,1.3731991537759648e-22,1.8402745389422917e-46,5.9609146621242655e-34,1.0912246434802774e-76,4.633177058573625e-13,4.848475725044561e-66,4.633177053183027e-13,3.820939850883575e-45,5.386955847864429e-44,1.7257862983085007e-63,2.001041913975368e-64,4.944086223951722e-24,1.6890611899261534e-48,2.5303051788373996e-11,7.491783930884511e-13,2.9992676634559795e-15,4.163212407211754e-24,1.5416361548184926e-23,2.999158950427094e-15,5.1629882738232895e-20,1.7173869509861675e-21,4.106205833455183e-24,1.8260280574939227e-41,7.293834683066801e-34,4.719740595360437e-32,1.386947505061455e-23,1.9023070164565135e-42,3.0392511596475446e-57,5.6375607958677375e-21,4.5193253247111995e-60,7.666001658648473e-69,1.5583964180491288e-52,4.951302379685902e-44,1.3722489063552975e-58,4.194766327662629e-54,6.806813463150987e-60,4.906053697286274e-84
1.0499175077828648e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727674788346,0.11866996597842659,0.02282156769230511,3.4159441636624956e-63,7.190553496422028e-33,5.495079305651931e-22,2.2670398794424945e-44,4.768731367102659e-33,5.377392592885357e-74,9.266354609461026e-13,3.1030238337141745e-64,9.266354587898698e-13,6.113502159011051e-44,8.618796505576658e-43,4.2521411662383584e-61,4.930331418184569e-62,1.9776346626702319e-23,1.0473680695336124e-46,5.0606106150485984e-11,1.4983568654228913e-12,5.9986528452326675e-15,1.6652012599848292e-23,6.166514133618481e-23,5.998211471485112e-15,2.0003427775720025e-19,1.3304768286428989e-20,6.321921601081463e-23,1.1246746309193614e-39,5.834691722052639e-33,3.777261417193356e-31,5.547745490278684e-23,5.897832919913673e-41,7.488317628002547e-55,1.1285010353905062e-20,1.1132127451220967e-57,3.7774313878919083e-66,9.665591534517082e-51,7.922083099631944e-43,1.7015621526080701e-56,1.3422651867530121e-52,1.677013122179359e-57,5.6697392867174205e-81
2.0998350711923639e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276695767,0.11866996592688785,0.02282156769155593,1.6421379455582525e-60,5.752606990374663e-32,2.1997053043238353e-21,2.7247162552168074e-42,3.814983806194839e-32,2.5856033269039726e-71,1.8532709715329387e-12,1.985933885345318e-62,1.8532709629080504e-12,9.781596383561136e-43,1.3789040989299572e-41,1.02222225119649e-58,1.185256408040141e-59,7.910539092367879e-23,6.309383725362226e-45,1.0121221455229949e-10,2.9967138096723193e-12,1.1997809957614375e-14,6.660134723107493e-23,2.466580971226202e-22,1.1995996291635518e-14,7.525808050167617e-19,1.0005304135221313e-19,9.4920751303414e-22,6.757253948477026e-38,4.6671511835598156e-32,3.0239692561253068e-30,2.2190623084128903e-22,1.775781225151319e-39,1.8001799968115598e-52,2.2609573965784432e-20,2.6744477421636003e-55,1.8159737302565967e-63,5.823247040199349e-49,1.2675328176214e-41,2.0493911293243934e-54,4.294873522233935e-51,4.030725708738579e-55,5.460695635750507e-78
