Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
2.693403297158235e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44422444405690004,0.08654877060977999,0.01020492966713523,5.706402082400371e-05,0.0013161615854423504,0.045742364007449354,0.02349130775646635,4.7927082248039444e-05,1.198722021500198e-10,0.002036875542357135,5.348515709017426e-11,0.0005104840059811479,2.77279245634203e-09,1.3305650995265023e-06,2.1808712278067794e-09,1.2738861994817956e-10,1.606082763593475e-06,1.598552665333859e-05,0.006236447962268057,0.00030692556102011165,0.0005010803437860737,8.575734957063421e-08,5.171246220593555e-09,1.695410712956e-08,2.506353888577747e-10,2.841170660571969e-06,0.00011521945435993494,1.5847550586172332e-06,5.9288596595565984e-08,0.0009184976713792878,2.5297381929957816e-05,7.300923135100362e-08,2.507565404515195e-10,3.138905117939675e-10
2.6943910041839742e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442257125354029,0.08654112050451913,0.010201890172979577,5.70692203357008e-05,0.001316219494810881,0.045758549852897144,0.023499063337072995,4.791845415779114e-05,1.199950858763605e-10,0.002036693099114134,5.3478592446381084e-11,0.0005105172356657358,2.772703079810359e-09,1.3292595788948029e-06,2.18173340748793e-09,1.274265275654808e-10,1.6021174737696197e-06,1.5991447017858357e-05,0.006235916153337047,0.0003051858742670474,0.0005011643576619643,8.528538859700348e-08,5.169242935827509e-09,1.695228565304816e-08,2.519298227977721e-10,2.8558527803163616e-06,0.00011579580361902085,1.5852616684840558e-06,5.9291271100421746e-08,0.0009188255830241995,2.530675117125365e-05,7.303354379595998e-08,2.5087804181735403e-10,3.1294176660194104e-10
2.6953787112097135e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442269721948126,0.08653347133910913,0.01019885156682181,5.707438295981853e-05,0.001316276642496069,0.04577473462495244,0.023506813539255135,4.7909827710752136e-05,1.2011803805342471e-10,0.002036510683646153,5.347202914780902e-11,0.000510550459975936,2.7726137445131166e-09,1.3279534929091119e-06,2.1825951599418416e-09,1.2746441130556777e-10,1.598155895577318e-06,1.5997366282949337e-05,0.006235384300299861,0.0003034506217072287,0.0005012483424058872,8.481450328589622e-08,5.167240447354051e-09,1.6950466271501343e-08,2.532342961703945e-10,2.8706475722319243e-06,0.0001163765354391595,1.5857677987908456e-06,5.9293910478989316e-08,0.0009191534570171511,2.5316118672655696e-05,7.305783821293377e-08,2.509994838586126e-10,3.119948262829916e-10
2.696366418235453e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442282229670019,0.08652582311375584,0.01019581384852877,5.707950877034025e-05,0.0013163330301237946,0.045790918322745726,0.023514558327830986,4.790120291018642e-05,1.2024105865233404e-10,0.002036328296081692,5.346546719953488e-11,0.0005105836789240921,2.7725244506790582e-09,1.3266468458773948e-06,2.1834564818410165e-09,1.275022710675903e-10,1.59419807459976e-06,1.600328444881745e-05,0.006234852402331923,0.00030171983695800354,0.0005013322979322965,8.434470370200254e-08,5.165238755247753e-09,1.6948649000500344e-08,2.5454889118621436e-10,2.8855559436284323e-06,0.00011696168450217592,1.5862734465156624e-06,5.929651479642603e-08,0.0009194812931818859,2.532548443448979e-05,7.308211447980007e-08,2.511208660489033e-10,3.1104971375859246e-10
2.697354125261192e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44422946478356506,0.08651817582866567,0.010192777017968151,5.708459784211994e-05,0.00131638865933671,0.04580710094539607,0.023522297667467367,4.7892579759376325e-05,1.2036414764391697e-10,0.0020361459365500923,5.345890660666094e-11,0.0005106168925225983,2.7724351985382847e-09,1.3253396421321673e-06,2.184317369843207e-09,1.275401067499405e-10,1.5902440567356172e-06,1.6009201515669405e-05,0.006234320458604197,0.00029999355376748795,0.000501416224155217,8.387599995283594e-08,5.163237859585441e-09,1.6946833855710905e-08,2.558736904700044e-10,2.900578806046574e-06,0.0001175512856391463,1.5867786086317768e-06,5.9299084118612235e-08,0.0009198090913411189,2.533484845708296e-05,7.310637247390227e-08,2.512421878594258e-10,3.101064520302112e-10
2.6983418322869313e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442306975758259,0.08651052948404568,0.010189741075008515,5.708965025088609e-05,0.0013164435317943146,0.045823282492010994,0.023530031522683428,4.788395826162269e-05,1.2048730499870738e-10,0.002035963605181535,5.345234737431513e-11,0.0005106501007838992,2.7723459883222436e-09,1.3240318860306668e-06,2.1851778205917537e-09,1.275779182502529e-10,1.5862938881989253e-06,1.6015117483712664e-05,0.006233788468283234,0.0002982718060107823,0.0005015001209882722,8.34084021872307e-08,5.161237760446189e-09,1.694502085288136e-08,2.5720877704790476e-10,2.915717075156935e-06,0.0001181453738268083,1.5872832821119498e-06,5.930161851215543e-08,0.0009201368513165512,2.5344210740763575e-05,7.313061207206698e-08,2.513634487612363e-10,3.0916506422473357e-10
2.6993295393126706e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44423192127484407,0.0865028840801033,0.010186706019519294,5.7094666073245596e-05,0.0013164976491730261,0.045839462961686527,0.023537759857854453,4.7875338420245045e-05,1.2061053068694371e-10,0.0020357813021070472,5.344578950765128e-11,0.0005106833037204908,2.7722568202637395e-09,1.3227235819550211e-06,2.1860378307159323e-09,1.2761570546540442e-10,1.5823476155188923e-06,1.602103235315549e-05,0.006233256430531232,0.00029655462768605134,0.0005015839883446995,8.294192059402732e-08,5.159238457911302e-09,1.694321000783975e-08,2.5855423433711896e-10,2.930971670665029e-06,0.00011874398418382691,1.5877874639317087e-06,5.930411804439597e-08,0.0009204645729288838,2.535357128586123e-05,7.315483315061688e-08,2.5148464822687883e-10,3.082255735823975e-10
2.70031724633841e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442331358114247,0.08649523961704633,0.010183671851370778,5.709964538668754e-05,0.001316551013166251,0.04585564235350712,0.02354548263721587,4.7866720238581665e-05,1.2073382467856747e-10,0.0020355990274585002,5.343923301184932e-11,0.0005107165013449184,2.772167694596939e-09,1.321414734312424e-06,2.1868973968313113e-09,1.2765346829151482e-10,1.57840528553961e-06,1.6026946124207027e-05,0.00623272434450609,0.00029484205291046477,0.0005016678261373362,8.247656540178213e-08,5.157239952064333e-09,1.6941401336495764e-08,2.59910146148054e-10,2.9463435162412883e-06,0.00011934715196689319,1.5882911510630376e-06,5.9306582783409486e-08,0.0009207922559978293,2.5362930092706715e-05,7.317903558538212e-08,2.5160578572633924e-10,3.0728800340855184e-10
2.701304953364149e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442343411161252,0.08648759609508294,0.010180638570434133,5.7104588269586764e-05,0.0013166036254844524,0.04587182066654569,0.02355319982486732,4.785810371998982e-05,1.2085718694322224e-10,0.002035416781368611,5.343267789211552e-11,0.0005107496936697789,2.772078611557376e-09,1.320105347535302e-06,2.1877565155401185e-09,1.2769120662394744e-10,1.5744669454196817e-06,1.603285879707712e-05,0.0062321922093614675,0.0002931341159159953,0.0005017516342786494,8.20123468771097e-08,5.155242242991098e-09,1.69395948548385e-08,2.612765966701277e-10,2.9618335394078866e-06,0.00011995491256672235,1.5887943404786796e-06,5.930901279801044e-08,0.0009211199003421292,2.537228716163223e-05,7.320321925171696e-08,2.5172686072934695e-10,3.0635237712507555e-10
2.7022926603898884e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44423553711926456,0.08647995351442149,0.010177606176581398,5.7109494801207567e-05,0.0013166554878552147,0.045887997899863565,0.023560911384777006,4.784948886784586e-05,1.2098061745025273e-10,0.0020352345639709475,5.3426124153682644e-11,0.0005107828807077179,2.7719895713819558e-09,1.318795426081487e-06,2.1886151834316372e-09,1.2772892035730982e-10,1.5705326426317602e-06,1.603877037197645e-05,0.006231660024246859,0.0002914308510450779,0.0005018354126807594,8.154927532298165e-08,5.153245330779646e-09,1.6937790578932155e-08,2.6265367045736463e-10,2.9774426714263794e-06,0.00012056730150390688,1.5892970291577939e-06,5.931140815775836e-08,0.0009214475057795674,2.5381642492971203e-05,7.322738402451458e-08,2.518478727084499e-10,3.0541871827135615e-10
