Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,2.4144963250121329e-72,1.2682162413384723e-42,6.0162764353400431e-27,8.1445284668346808e-55,3.4194651981646397e-43,8.3064852118444262e-93,6.7227745667098787e-19,2.1917596436477255e-87,6.7227745651344766e-19,5.42659343014606e-60,6.4063975902428564e-50,8.1044177568756909e-77,4.8970640909922052e-78,9.1969234470787792e-37,1.6590905353095066e-69,2.6661564623941047e-12,1.281911720494541e-13,4.9410743887003717e-17,4.9413089421293559e-17,8.3479143616072478e-22,2.2522951870243023e-22,7.7692436081227884e-26,3.6064777835681359e-26,6.8940249547204811e-37,1.0663915388794608e-44,5.9113251551443829e-66
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,9.9489499061305581e-70,2.0291374671697945e-41,4.0023779223471622e-26,8.3906900841394041e-53,2.7354654010894249e-42,3.423973807589849e-90,1.3445554834549078e-18,1.4026743949179768e-85,1.3445554828247527e-18,8.6822224643738713e-59,1.0250029557676689e-48,1.6701852555723561e-74,1.0092031807754465e-75,7.3575197493237221e-36,5.3088931996438893e-68,5.3323151832779289e-12,2.563824527646214e-13,9.8819409608275554e-17,9.8829390347401728e-17,2.7409947373994969e-21,1.4983252159321323e-21,9.9935689722439799e-25,1.4425868909341694e-25,5.5151955710677188e-36,5.4910372222132563e-43,1.217768382327836e-63
2.6445338700486946e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,3.7639397625083373e-67,3.2465888210921738e-40,2.3882589056175148e-25,7.9377807753829488e-51,2.188198276305218e-41,1.2965026196781624e-87,2.689111537670078e-18,8.9764331358723929e-84,2.6891115351495041e-18,1.3890487469769156e-57,1.6399358320622476e-47,3.1614333081337348e-72,1.9102841984397139e-73,5.8859788379572988e-35,1.6987172750143714e-66,1.0664632620122478e-11,5.1276501418480979e-13,1.9763038136060481e-16,1.9767326136428097e-16,8.0127055903835701e-21,8.9361668516478791e-21,1.1786422745857856e-23,5.7703082817655807e-25,4.412112520385568e-35,2.5950561591741684e-41,2.3030635591577138e-61
5.2890683005472925e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,1.2762747018573952e-64,5.194439468706235e-39,1.2607994336879263e-24,6.7309671071123158e-49,1.750278902310838e-40,4.4016019668675531e-85,5.3782236486891169e-18,5.744036641858591e-82,5.3782236386076224e-18,2.2221343790398161e-56,2.623615289774839e-46,5.3648643248530984e-70,3.2416990137778892e-71,4.708721314161308e-34,5.4350682500871877e-65,2.1329267474119179e-11,1.0255301369846023e-12,3.9522688937853102e-16,3.9540992545585054e-16,2.0596535023513808e-20,4.7116657897032308e-20,1.2446369450967602e-22,2.3080907875956083e-24,3.5296177566139653e-34,1.0989002408445518e-39,3.9034101455208897e-59
1.0578137161544488e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.11866996598730599,0.022821567692028758,3.9004515089185263e-62,8.3107721922365387e-38,5.9732918443058912e-24,5.144396845743883e-47,1.3997752017698539e-39,1.3469455611756747e-82,1.0756447881079304e-17,3.6750546170982947e-80,1.0756447840758541e-17,3.5543143833849117e-55,4.1969693808968666e-45,8.2059262151877871e-68,4.9583996355685707e-69,3.7668771977160155e-33,1.7386919993982899e-63,4.265853710334297e-11,2.0510603824218507e-12,7.90318189655226e-16,7.9108579672258445e-16,4.7488386056447916e-20,2.2263797744295306e-19,1.1843757171938607e-21,9.232100759988294e-24,2.8235778101031418e-33,4.1938941741401835e-38,5.9627172546999554e-57
2.115627488353888e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464665,0.022821567691003228,1.1016658672512867e-59,1.3296174587341457e-36,2.6229744062666256e-23,3.633573148860492e-45,1.1191037658084193e-38,3.8085672687157309e-80,2.1512896387243669e-17,2.3505903397643194e-78,2.1512896226001147e-17,5.6833822309195453e-54,6.712551405664782e-44,1.1598239430125444e-65,7.0081911188069348e-67,3.0133415858483189e-32,5.5604245119895774e-62,8.5317076046712157e-11,4.1021208726470036e-12,1.5800941365638825e-15,1.5832571766139167e-15,1.0206473023298401e-19,9.7243670717301753e-19,1.0422423545767772e-20,3.6926299686885439e-23,2.2586757191355557e-32,1.4794970227302611e-36,8.4184526938527445e-55
4.2312550327527663e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932797,0.022821567688952167,2.9515320446238106e-57,2.1270483492855122e-35,1.1010594929447986e-22,2.4342504800865848e-43,8.9413824492695222e-38,1.0211881670971469e-77,4.3025793564912862e-17,1.5025309458065945e-76,4.3025792920265862e-17,9.0821591386371015e-53,1.0731770842439972e-42,1.5546123870150908e-63,9.3936826878462885e-65,2.4104168652998826e-31,1.7771689953123729e-60,1.7063415267313691e-10,8.2042418504999411e-12,3.1580210892141026e-15,3.1709079174184883e-15,2.1131173582533997e-19,4.0387591423742598e-18,8.7073640704517594e-20,1.4768836583585602e-22,1.8066420588767379e-31,4.9519539370003571e-35,1.1274990684465338e-52
6.346882577151645e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400929,0.022821567686901106,2.2509846184144228e-56,7.8283997879044586e-35,2.373060185420222e-22,1.3725554752629978e-42,2.652542535794362e-37,7.73227966278304e-77,6.4538690907720068e-17,8.5273980527556863e-76,6.4538689538310107e-17,3.4339184131910447e-52,4.0904157978892593e-42,1.0254919586099181e-62,6.1964933660645301e-64,6.8918646097190694e-31,8.286318201955453e-60,2.5595122803924811e-10,1.2306362825755509e-11,4.7343247723941423e-15,4.7618926236390415e-15,3.204593708457849e-19,8.6412065147528135e-18,2.5102200953218693e-19,3.1381305825145348e-22,5.1653768684319135e-31,2.3317767543738822e-34,7.4993591525215749e-52
8.462510121550523e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756284231054,0.11866996568869061,0.022821567684850046,1.1113184476431466e-55,1.9853366012568299e-34,4.0778571552901541e-22,5.0284650316836946e-42,5.7752935925007133e-37,3.5302736530699845e-76,8.605158841547738e-17,3.2780033547329831e-75,8.6051586080167034e-17,8.9330473413022708e-52,1.1000398442135675e-41,4.212918521276964e-62,2.5456384993812753e-63,1.4536132840022416e-30,2.5219317480907104e-59,3.4126830214504562e-10,1.6408483798413731e-11,6.3090068560682929e-15,6.3562365046770474e-15,4.2949554177981943e-19,1.4749571601613449e-17,5.3081688175529466e-19,5.3528933715611728e-22,1.0894337883737217e-30,7.549849618978352e-34,3.3980852921546264e-51
1.269376521034828e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756266346583,0.11866996551805326,0.022821567680747924,1.4168514816644742e-54,6.9422230067951606e-34,8.5018174030717458e-22,3.2827666846500638e-41,1.6737179167248493e-36,3.145838196094923e-75,1.2907738381752582e-16,2.4918335451803082e-74,1.2907737898515108e-16,3.2741768149892269e-51,4.4442578870578634e-41,3.2261024898240759e-61,1.9493578382772753e-62,3.9699022991199969e-30,1.1478122204470738e-58,5.1190244739876215e-10,2.461272573763442e-11,9.4545704022361249e-15,9.5528840490973025e-15,6.4730484489385025e-19,3.0409059406367532e-17,1.448658183392889e-18,1.1081144536678645e-21,2.9751549817061837e-30,4.1613783186877565e-33,3.9429010850840325e-50
