Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
6.789328335849801e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3353866313493663,0.11648903349230291,0.022821567693054285,0.0,1.0892283033529641e-25,3.4946296188310358e-12,0.0,1.6799397549568675e-19,0.0,6.8702920199069194e-10,1.6290185663708162e-37,6.8003994308899681e-10,1.1520375670044107e-27,1.0378618748469783e-32,0.0,0.0,2.1384559527071322e-23,1.4280617181338207e-28,0.0021809318506333286
6.92847301956992e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33535185229628678,0.11645425442519319,0.022821567693054285,0.0,1.1805789805263016e-25,3.6378157425415026e-12,0.0,1.7851402315375547e-19,0.0,7.0105929677074442e-10,1.836175967020948e-37,6.9378366564266707e-10,1.24661363157021e-27,1.1481644293545981e-32,0.0,0.0,2.2716647848819049e-23,1.5775244654664662e-28,0.0022157109037129392
7.067617703290039e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33531740901717971,0.11641981113205749,0.022821567693054285,0.0,1.2775316519911936e-25,3.7838226066972018e-12,0.0,1.8946365957166022e-19,0.0,7.1508808562831916e-10,2.0646823541386819e-37,7.0752044079382843e-10,1.3467850916218012e-27,1.2676325917451323e-32,0.0,0.0,2.4102561048176095e-23,1.7391246682889704e-28,0.0022501541828198555
7.2067623870101575e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33528329826702952,0.11638570036787976,0.022821567693054285,0.0,1.3803083135411845e-25,3.9326474934101263e-12,0.0,2.0085144096169859e-19,0.0,7.2911560568597388e-10,2.3162416516793919e-37,7.2125031110083119e-10,1.4527579155567729e-27,1.3968238431468763e-32,0.0,0.0,2.5543337337776076e-23,1.9135727098946128e-28,0.0022842649329700665
7.345907070730276e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33524951683224208,0.11635191891906595,0.022821567693054285,0.0,1.4891351046458328e-25,4.0842877153140305e-12,0.0,2.1268592235750611e-19,0.0,7.4314189371178536e-10,2.5926553786674672e-37,7.3497331870650242e-10,1.5647410526259317e-27,1.5363176230610315e-32,0.0,0.0,2.7040013499498659e-23,2.1016048406590659e-28,0.0023180463677576028
7.485051754450395e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33521606153034139,0.11631846360314019,0.022821567693054285,0.0,1.6042423008781122e-25,4.2387406151708363e-12,0.0,2.2497565769261965e-19,0.0,7.5716698612266358e-10,2.8958261219739407e-37,7.4868950534224494e-10,1.6829463995189981e-27,1.6867157393541471e-32,0.0,0.0,2.859362489654324e-23,2.3039835450700383e-28,0.0023515016696582444
7.624196438170513e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33518292920967013,0.11628533126844495,0.022821567693054285,0.0,1.7258643064910781e-25,4.396003565483165e-12,0.0,2.3772919987783783e-19,0.0,7.711909189876254e-10,3.2277610638938282e-37,7.6239891233208765e-10,1.8075887675141577e-27,1.8486427775012439e-32,0.0,0.0,3.0205205485306971e-23,2.5214979036723639e-28,0.0023846339903295603
7.763341121890631e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33515011674908496,0.11625251879383698,0.022821567693054285,0.0,1.8542396468312079e-25,4.5560739681002517e-12,0.0,2.5095510087988358e-19,0.0,7.8521372803110882e-10,3.5905754501798473e-37,7.7610158059678687e-10,1.9388858490497605e-27,2.0227465106376302e-32,0.0,0.0,3.187578782746438e-23,2.7549639602243655e-28,0.0024174464509147263
7.902485805610749e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33511762105766502,0.11622002308839545,0.022821567693054285,0.0,1.9896109612454064e-25,4.7189492538440765e-12,0.0,2.6466191179609294e-19,0.0,7.9923544863616417e-10,3.986496239282161e-37,7.8979755065776632e-10,2.0770581860995887e-27,2.2096983071421671e-32,0.0,0.0,3.3606403101418805e-23,3.0052250725912315e-28,0.0024499421423345509
8.041630489330867e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33508543907441041,0.11618784109112007,0.022821567693054285,0.0,2.1322249955687535e-25,4.8846268821183704e-12,0.0,2.7885818293247794e-19,0.0,8.1325611584774588e-10,4.4178655979725905e-37,8.0348686264119003e-10,2.2223291370669564e-27,2.410193540326334e-32,0.0,0.0,3.5398081114271351e-23,3.2731522769991302e-28,0.0024821241255892513
