Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,0.0,1.2682163592678273e-42,4.5429486005662138e-30,9.2609523591915857e-55,1.7369974783153171e-39,9.4344743061099662e-93,6.7227768635680197e-19,1.1133540266386312e-83,6.7227767743007941e-19,2.7565611224846494e-56,4.6003261538790156e-48,9.2084210328288797e-77,5.5641519590630375e-78,9.1969379308579699e-37,8.4277188969135923e-66,2.6661564623941043e-12,1.281911720494541e-13,4.94117892134339e-17,4.9411818767619033e-17,3.6064777824073679e-26,1.4709030926747008e-23,5.4400746505490322e-26,1.7211254689914365e-29,2.3552056569613403e-48,6.8940249526593978e-37,8.1510772139064287e-67
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,0.0,2.0291376458311303e-41,1.825213717519674e-29,1.1804470076934325e-52,1.3895985832983676e-38,4.8102935438205928e-90,1.3445559603651079e-18,7.1254727651915442e-82,1.344555924658203e-18,4.4105000918609214e-55,7.3605029961599944e-47,2.3475131725583631e-74,1.4184755315478968e-75,7.3575313334018777e-36,2.6968715692025033e-64,5.3323151832779281e-12,2.563824527646214e-13,9.8823590838681924e-17,9.8823709271866563e-17,1.4425868899195674e-25,5.8619967161340807e-23,4.3357660332809864e-25,2.7422116492311536e-28,1.5010169588529699e-46,5.5151955674656806e-36,2.0779611086537023e-64
2.6445338700486946e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,0.0,3.24658907030416e-40,7.3644651471590342e-29,1.4997646900031884e-50,1.1116781785039727e-37,2.4446491777905391e-87,2.6891125616441779e-18,4.5603012115023171e-80,2.6891124188165885e-18,7.0567962773281278e-54,1.1776724418655428e-45,5.965134403044643e-72,3.6044087692783501e-73,5.8859881000989087e-35,8.6299845892326408e-63,1.0664632620122474e-11,5.1276501418480979e-13,1.9764710566388827e-16,1.9764758111147367e-16,5.770308272676832e-25,2.3276807257885292e-22,3.4427990174596352e-24,4.354657167595903e-27,9.535007330222959e-45,4.4121125139416312e-35,5.280179499999043e-62
5.2890683005472925e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,0.0,5.1944396966904592e-39,2.9956455989791396e-28,1.8924153704987131e-48,8.8934078212376532e-37,1.2339216288536093e-84,5.3782259772517884e-18,2.9185877371864737e-78,5.3782254059419113e-18,1.1290852687702251e-52,1.8842485829911366e-44,1.5054120471049313e-69,9.0963922239484342e-71,4.7087287151060717e-34,2.7615899640691469e-61,2.1329267474119163e-11,1.0255301369846023e-12,3.9529378161378579e-16,3.9529569687108554e-16,2.3080907795084423e-24,9.1765392773439847e-22,2.7137488196969711e-23,6.8673018135248062e-26,6.015346217558495e-43,3.5296177451435784e-34,1.3325453333481266e-59
1.0578137161544488e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.11866996598730599,0.022821567692028758,0.0,8.3107720432945118e-38,1.2365749993632788e-27,2.3556046339140655e-46,7.114695447606611e-36,6.1442505026553135e-82,1.0756453660661782e-17,1.867888766578072e-76,1.0756451375426765e-17,1.8065288782878568e-51,3.0147071193686043e-43,3.7479600821927056e-67,2.2646897871536408e-68,3.7668831042003002e-33,8.8370515878912505e-60,4.2658537103342905e-11,2.0510603824218511e-12,7.9058571871655977e-16,7.9059348363930345e-16,9.2321006909069977e-24,3.5674945322462945e-21,2.1087022558165343e-22,1.0681683953551165e-24,3.7434242576343396e-41,2.8235777904615603e-33,3.317552977164037e-57
2.115627488353888e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464665,0.022821567691003228,0.0,1.3296172675340978e-36,5.2298337099143433e-27,2.8570128225013428e-44,5.6917060080725294e-35,2.9813134965548774e-79,2.1512912436236471e-17,1.1954389444448427e-74,2.1512903295333329e-17,2.8904214656212755e-50,4.8232432692430569e-42,9.0924469184332775e-65,5.4940737719464751e-66,3.0133462880575555e-32,2.8278326976023768e-58,8.5317076046711886e-11,4.1021208726470036e-12,1.5811639337746698e-15,1.5811957682721811e-15,3.6926299112987556e-23,1.3506901570087914e-20,1.5945850263461699e-21,1.6183870021427119e-23,2.2696365487393552e-39,2.2586756864437904e-32,8.0481542730403889e-55
4.2312550327527663e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932797,0.022821567688952167,0.0,2.1270475019421844e-35,2.2876621473750545e-26,3.3053390807515196e-42,4.5532838257766394e-34,1.3800713782845248e-76,4.3025843622209066e-17,7.6506818710634737e-73,4.3025807058894037e-17,4.6245947201981099e-49,7.7162668514115353e-41,2.1042699237315407e-62,1.2714961665112895e-63,2.410420590108264e-31,9.0489113188803257e-57,1.7063415267313578e-10,8.2042418504999411e-12,3.162297727625984e-15,3.1624305009096007e-15,1.4768836114171277e-22,4.875987206329832e-20,1.1476554563408293e-20,2.3376173291697116e-22,1.3123677510024478e-37,1.8066420053441669e-31,1.8625253018494526e-52
6.346882577151645e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400929,0.022821567686901106,0.0,7.8283958536684571e-35,5.1163935219689658e-26,2.0988154547617615e-41,1.3517424585556793e-33,1.1463588820175427e-75,6.4538788442808818e-17,4.343805541074214e-72,6.4538710746202322e-17,1.7495636122258224e-48,2.9416707094282825e-40,1.5408173383210889e-61,9.3103227210283922e-63,6.891875191880172e-31,4.221267935214841e-56,2.5595122803924568e-10,1.2306362825755509e-11,4.7434088855374286e-15,4.7436982158353963e-15,3.1381304421006451e-22,9.674871520224429e-20,3.0929572908409633e-20,8.2013630371862974e-22,7.0820851640705948e-37,5.1653766645552019e-31,1.3637912992008976e-51
1.0578137665949401e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337194,0.022821567682798985,0.0,6.0216574245953759e-34,1.558453789515579e-25,8.0180789707233208e-40,6.331627407526667e-33,1.3620738387010978e-73,1.075647326209556e-16,1.1676949664434368e-70,1.0756451781581167e-16,1.3807280170436804e-47,2.4184840015794171e-39,1.0319036518683068e-59,6.2352293369950292e-61,3.1666650016262122e-30,5.6565913599188051e-55,4.2658537373020946e-10,2.0510604765877332e-11,7.9055406601983395e-15,7.9063824383841723e-15,8.6742455393790265e-22,2.2874595869519665e-19,1.2109747645012537e-19,5.4117369528953938e-21,1.5636174982672509e-35,2.3731345032657133e-30,9.1329237580820627e-50
1.4386267245867383e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979833,0.022821567679107077,0.0,1.658199360579579e-33,2.9183514646852012e-25,3.6267958821266291e-39,1.4610563113063895e-32,7.304072123424098e-73,1.4628812643272286e-16,5.070220371013576e-70,1.4628774393208965e-16,3.8747085908105271e-47,7.0527612332744946e-39,5.1312409619751664e-59,3.1005269185464407e-60,7.1274008092550266e-30,1.8773579698839345e-54,5.8015610077997123e-10,2.7894422503594995e-11,1.0751386124071383e-14,1.07529278814443e-14,1.5444181779940526e-21,3.6878433292623144e-19,2.4990373742576571e-19,1.3910022861016193e-20,6.2999240819607908e-35,5.3410518432864081e-30,4.5413845135307113e-49
