Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
1.0170534453481524e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314977884923246,0.1097620695264921,0.022130083070211422,0.0,2.850379326427894e-05,0.0005423495256327818,0.00018031267803124786,1.8862088363307961e-06,1.3963213383021149e-15,0.0008347425321126819,1.175577944770562e-13,0.00034191456516355893,7.606305855919852e-11,9.795055752396998e-08,1.1095591598267881e-11,1.9927463668873466e-13,1.3487720310632287e-05,5.708201514337156e-09,0.007874789328255846,0.0011599954205293024,9.74598035700722e-05,5.554983616252537e-07,4.595512931014221e-09,1.5019510831353065e-08,1.393431819606294e-09,1.1659286721111814e-11,1.3889939307738607e-07,1.3984626155800441e-05,5.0295696179087096e-09,1.0549451901501964e-05,9.022879687808556e-09,5.589871182246196e-10,3.2046336461892134e-13,2.5886424924107976e-09,3.20475847912429e-10,1.6119244219878634e-15
1.0199802668512617e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44314704004404604,0.10975885597870222,0.02212814050019674,0.0,2.874019895841851e-05,0.0005450065871839927,0.00018137037361614134,1.9005252332236423e-06,1.4116374471155382e-15,0.0008368191989397686,1.1909646999419755e-13,0.0003421664465710347,7.665982314154908e-11,9.909708384346633e-08,1.1169356406046429e-11,2.010611251910498e-13,1.3567695130808654e-05,5.771000616374458e-09,0.00787483415545503,0.0011625033503174366,9.758693904194446e-05,5.574273430777186e-07,4.606542058102571e-09,1.5056113989157908e-08,1.4047703012760905e-09,1.168992632822736e-11,1.3912071392824454e-07,1.3988570831286752e-05,5.051454079176685e-09,1.0602186021652127e-05,9.122178538032783e-09,5.622627971605797e-10,3.222796084627261e-13,2.5950667527696393e-09,3.245466888856062e-10,1.6296480461055991e-15
1.022907088354371e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431443109855819,0.10975564722022305,0.022126198130648967,0.0,2.8977791670906223e-05,0.000547667315077441,0.0001824306503275631,1.914901076927602e-06,1.427071281860544e-15,0.0008388935821624357,1.2065000977612835e-13,0.0003424166869502291,7.72591988437519e-11,1.0025308010477991e-07,1.1243325157371557e-11,2.028573488463964e-13,1.3647849711803547e-05,5.8342882903403176e-09,0.007874873768896439,0.0011650069220885196,9.771382911005381e-05,5.593559638414381e-07,4.617556649431946e-09,1.509267589684571e-08,1.416164134885003e-09,1.1720545014411477e-11,1.393417494840776e-07,1.3992511770246387e-05,5.073372353974787e-09,1.065499489373443e-05,9.222250206752482e-09,5.655464506185997e-10,3.2410085192942164e-13,2.6014839088745937e-09,3.2865556967888135e-10,1.6475094524256947e-15
1.0258339098574804e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431415915786565,0.10975244316202555,0.022124255961463446,0.0,2.921657320758757e-05,0.0005503316959844241,0.00018349350519941958,1.929336354593771e-06,1.4426233682863247e-15,0.0008409656814715224,1.2221850119547344e-13,0.00034266529729340276,7.78611857169591e-11,1.0141858903773969e-07,1.1317497436115498e-11,2.046633244724614e-13,1.3728183434955928e-05,5.8980666413597096e-09,0.00787490826080991,0.001167506137797164,9.784047501138815e-05,5.612842147442802e-07,4.6285567068972054e-09,1.5129196549925635e-08,1.42761339611297e-09,1.1751142808342887e-11,1.3956250151347675e-07,1.3996449017057625e-05,5.095324395686175e-09,1.07078782428098e-05,9.32309802539596e-09,5.688380693491545e-10,3.2592709426256854e-13,2.6078939597605027e-09,3.328027078456667e-10,1.6655092336765936e-15
1.0284680492102788e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44313915228712236,0.10974956345608879,0.02212250818042038,0.0,2.9432494521210008e-05,0.0005527327511587829,0.00018445227645977165,1.942378909308415e-06,1.4567217863896436e-15,0.0008428286178679472,1.2364299940408494e-13,0.00034288766194807947,7.840520646984173e-11,1.0247571571238235e-07,1.138442615973453e-11,2.062970543165143e-13,1.3800636440840047e-05,5.955888425928098e-09,0.007874934999552588,0.001169751709122523,9.79542485745075e-05,5.630193167911226e-07,4.638444333833151e-09,1.516202986157926e-08,1.4379651839894538e-09,1.1778662963862601e-11,1.397609373835147e-07,1.399998941884116e-05,5.115110065519437e-09,1.075553670856733e-05,9.414527423606597e-09,5.718073288711281e-10,3.275749849345587e-13,2.6136569298626595e-09,3.365680222833832e-10,1.6818278372113987e-15
1.0308387746277974e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44313696348860887,0.10974697486354512,0.022120935316108453,0.0,2.9627649347253606e-05,0.0005548962135574978,0.00018531695225778273,1.954158351524881e-06,1.4694929401400179e-15,0.0008445036785453574,1.2493551585561192e-13,0.00034308667535807766,7.889663351966862e-11,1.0343377302252751e-07,1.1444802426678912e-11,2.0777418655961951e-13,1.3865967409435632e-05,6.008270576435578e-09,0.00787495563399075,0.0011717697090681903,9.805647726769738e-05,5.645806406996119e-07,4.6473331353500975e-09,1.5191551266104847e-08,1.447320276767879e-09,1.1803416663977286e-11,1.399393355929126e-07,1.4003173280382916e-05,5.1329404935690814e-09,1.0798480553003922e-05,9.497355718621912e-09,5.744851668134706e-10,3.290615471005688e-13,2.6188386811326794e-09,3.39983582681349e-10,1.6966111794775281e-15
1.0332095000453159e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.443134780858478,0.10974438920172676,0.022119362583070748,0.0,2.982358734483003e-05,0.000557062049192944,0.0001861833143130325,1.965976763071145e-06,1.4823426160628633e-15,0.0008461772402779241,1.2623799769931502e-13,0.0003432846386089106,7.938977374224939e-11,1.0439814750700524e-07,1.1505311491084079e-11,2.0925774675258307e-13,1.3931414812512948e-05,6.060978402615713e-09,0.007874973066940504,0.0011737848544989423,9.815854793073436e-05,5.661417057895716e-07,4.6562124050090025e-09,1.5221045596838617e-08,1.4567118688635174e-09,1.1828156694943342e-11,1.4011755089901967e-07,1.400635479747421e-05,5.150792993546913e-09,1.084147277699319e-05,9.580699168178282e-09,5.771682143278183e-10,3.3055138706123555e-13,2.624015769213404e-09,3.43424631469074e-10,1.7114863632502467e-15
1.0355802254628345e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431326043491797,0.10974180642630744,0.022117789981253164,0.0,3.0020309457913275e-05,0.0005592302510945375,0.0001870513610492387,1.9778341356903486e-06,1.4952710949966412e-15,0.0008478493029482791,1.2755049152470192e-13,0.00034348155740408364,7.988462710203035e-11,1.0536886183530457e-07,1.1565953133576056e-11,2.1074774370386085e-13,1.3996978320901398e-05,6.114013022876808e-09,0.007874987344385622,0.0011757971464665814,9.826046120257386e-05,5.677025072738096e-07,4.665082144074239e-09,1.5250512852192763e-08,1.4661399997500918e-09,1.185288307089278e-11,1.4029558422411385e-07,1.4009533993165787e-05,5.1686675408490065e-09,1.0884513236782866e-05,9.664559542202011e-09,5.798564664999899e-10,3.320445043157614e-13,2.629188193743695e-09,3.46891284791502e-10,1.7264537034199927e-15
1.0379509508803531e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431304339138172,0.10973922649360418,0.02211621751060191,0.0,3.021781662696345e-05,0.0005614008123166686,0.0001879210908901454,1.9897304608090204e-06,1.5082786581009846e-15,0.0008495198664493974,1.2887304395422523e-13,0.0003436774374165799,8.038119354955742e-11,1.0634593866745162e-07,1.1626727135185146e-11,2.1224418619298423e-13,1.406265760535338e-05,6.167375555525792e-09,0.007874998511657074,0.0011778065860258188,9.836221771814836e-05,5.692630403829525e-07,4.673942353867696e-09,1.5279953030765243e-08,1.4756047087332373e-09,1.187759580539568e-11,1.4047343648413466e-07,1.4012710890399745e-05,5.1865641108749505e-09,1.0927601789143386e-05,9.748938610460889e-09,5.825499184160569e-10,3.3354089834743235e-13,2.634355954395726e-09,3.503836589084608e-10,1.7415135148464695e-15
1.0403216762978717e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431282695061382,0.10973664936056789,0.022114645171063506,0.0,3.0416109788930647e-05,0.0005635737259385899,0.00018879250225953064,2.0016657295383254e-06,1.5213655868561821e-15,0.0008511889306845345,1.302057016425434e-13,0.00034387228428902283,8.087947302153323e-11,1.0732940065373975e-07,1.1687633277348363e-11,2.137470829705663e-13,1.4128452336547871e-05,6.2210671187592434e-09,0.007875006613442249,0.0011798131742342685,9.846381810840102e-05,5.70823300366047e-07,4.682793035767307e-09,1.5309366131333063e-08,1.4851060349468705e-09,1.190229491206126e-11,1.406511085901464e-07,1.40158855120108e-05,5.204482679044024e-09,1.097073829136558e-05,9.833838142550012e-09,5.85248565162409e-10,3.3504056863425715e-13,2.639519050874781e-09,3.5390187019341157e-10,1.7566661123558338e-15
1.0426924017153902e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431261110805254,0.10973407498477453,0.022113072962584825,0.0,3.061518987725864e-05,0.0005657489850643077,0.00018966559358121486,2.0136399326753217e-06,1.5345321630630813e-15,0.0008528564955671651,1.3154851127578242e-13,0.0003440661036338371,8.137946544087388e-11,1.0831927043446045e-07,1.1748671341911802e-11,2.152564427583084e-13,1.4194362185094067e-05,6.275088830654431e-09,0.00787501169379411,0.001181816912152443,9.856526300032116e-05,5.723832824905456e-07,4.6916341912070634e-09,1.5338752152850496e-08,1.4946440173593165e-09,1.1926980404589091e-11,1.4082860144839754e-07,1.401905788072889e-05,5.22242322079956e-09,1.1013922601258372e-05,9.919259907877638e-09,5.879524018258234e-10,3.36543514653088e-13,2.6446774829191088e-09,3.574460351321975e-10,1.771911810738184e-15
