Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
1.2561040091333215e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411309748309974,0.09858534945384384,0.015652416350155785,0.0,0.0038996880351851414,0.01752847833087403,0.01021142754448871,6.2782762685945469e-05,9.9018129959823328e-12,0.00233725358389298,6.5834306762086977e-11,0.00043786971447248965,2.9895855678606608e-09,2.6753392202051932e-05,8.1306180650148342e-10,5.5677686950781724e-11,3.134465666267947e-05,6.8582917995800757e-06,0.0071023363681060785,0.00016842951620487423,0.00032565155792747439,2.6820411663172419e-07,9.1013955548407199e-09,3.9749174480135038e-08,1.7565096536799343e-07,9.2151861982984532e-10,7.8703575096501706e-06,0.00023773423918920235,1.6484120950661409e-07,0.00035147614764860984,1.0852747070552244e-05,3.1728311250721979e-08,3.5018503037912551e-11
1.2584492200803897e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411297933387439,0.098564763286848919,0.015641355032867611,0.0,0.0039024020583546559,0.017569736306309654,0.010232315296391251,6.276306373402577e-05,9.9622869465239938e-12,0.0023367492140969966,6.5823569646697465e-11,0.00043799917474613743,2.989328223687957e-09,2.6697388196925196e-05,8.1496656057436021e-10,5.5802744776799353e-11,3.1164217139526413e-05,6.8769783868001985e-06,0.0071008527379651885,0.00016718803096947243,0.00032598248230283384,2.6649768345573768e-07,9.0930010930334876e-09,3.9740061529000683e-08,1.7577269727107657e-07,9.2953107303003941e-10,7.9321459386088043e-06,0.00023935736971191399,1.6516388014718071e-07,0.00035230476705709911,1.0882319555929329e-05,3.1793204285445555e-08,3.512271489652485e-11
1.260794431027458e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441128420786003,0.098544183352153203,0.015630301535536566,0.0,0.0039050994962293267,0.017610999150696329,0.010253190647986164,6.2743234286465098e-05,1.0022999700071447e-11,0.0023362441673454156,6.5812602372978097e-11,0.00043812852796953498,2.9890670367140932e-09,2.6641261309112048e-05,8.1687110949050283e-10,5.5927689157712457e-11,3.098509559638787e-05,6.8956586176449766e-06,0.0070993692445177493,0.00016595868225659317,0.00032631301621255761,2.6480629581456068e-07,9.084611319677454e-09,3.9730952809082594e-08,1.7589368001540814e-07,9.3759432199751863e-10,7.9942599459879815e-06,0.00024098729981587643,1.6548635335481743e-07,0.00035313347049022826,1.0911881983183984e-05,3.1858057385378023e-08,3.5226983460120031e-11
1.2631396419745262e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411268586337288,0.098523609627480024,0.015619255853630325,0.0,0.0039077804799793918,0.017652266742218668,0.010274053611283468,6.2723276221593262e-05,1.008395159457947e-11,0.002335738461511183,6.5801408259054298e-11,0.00043825777417034789,2.9888020767685114e-09,2.6585014823030397e-05,8.1877545216134274e-10,5.6052520102101731e-11,3.0807284793014629e-05,6.9143324657159855e-06,0.007097885888727608,0.0001647413400414975,0.00032664316068828022,2.6312981239514093e-07,9.076226304229481e-09,3.9721848631452264e-08,1.7601391947461707e-07,9.4570845964194288e-10,8.0566995400740069e-06,0.00024262401401712265,1.6580862935109826e-07,0.00035396225549229131,1.0941434310520152e-05,3.1922870590001467e-08,3.533130851525432e-11
1.2654848529215944e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411251083316328,0.098503042090720833,0.015608217982609489,0.0,0.0039104451397334074,0.017693538960242023,0.010294904198376864,6.2703191400580077e-05,1.014514296696176e-11,0.0023352321142312859,6.578999059143894e-11,0.00043838691337835936,2.9885334128434217e-09,2.6528651993280624e-05,8.2067958751215033e-10,5.6177237622225795e-11,3.063077743710491e-05,6.93299990509401e-06,0.0070964026715527083,0.00016353587535283809,0.0003269729167621365,2.6146809257458378e-07,9.0678461150241305e-09,3.9712749303661585e-08,1.76133421476356e-07,9.5387357856416351e-10,8.1194647279397174e-06,0.00024426749688458296,1.6613070835636669e-07,0.00035479111963155675,1.0970976496900369e-05,3.1987643939072193e-08,3.5435689849602043e-11
1.2678300638686626e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411231713180477,0.098482480719935428,0.015597187917927682,0.0,0.0039130936045791249,0.017734815685307645,0.010315742421433903,6.2682981667512152e-05,1.0206574153093952e-11,0.0023347251429086968,6.57783526251712e-11,0.00043851594562540328,2.9882611131014653e-09,2.6472176044667793e-05,8.2258351448117175e-10,5.6301841733943061e-11,3.0455566186705354e-05,6.9516609103333064e-06,0.007094919593944848,0.00016234216027893666,0.00032730228546657694,2.5982099644146094e-07,9.0594708192848406e-09,3.970365512977611e-08,1.7625219180232026e-07,9.6208977108742832e-10,8.1825555157143943e-06,0.00024591773304766219,1.6645259058964013e-07,0.00035562006050015346,1.1000508502036698e-05,3.2052377472588248e-08,3.5540127251914059e-11
1.2701752748157309e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411210490197967,0.098461925493351879,0.015586165655031665,0.0,0.0039157260025646373,0.017776096799127596,0.010336568292686461,6.26626488494704e-05,1.026824548781664e-11,0.0023342175647143183,6.5766497583957689e-11,0.0004386448709452999,2.9879852448833522e-09,2.6415590172228918e-05,8.244872320187841e-10,5.6426332456633743e-11,3.0281643652588398e-05,6.9703154564559055e-06,0.0070934366568494245,0.00016116006797355794,0.00032763126783418646,2.5818838481633083e-07,9.0511004831351075e-09,3.969456641040887e-08,1.7637023618827879e-07,9.7035712928795981e-10,8.245971908847573e-06,0.00024757470720358668,1.6677427626851874e-07,0.00035644907571395036,1.1030030286381694e-05,3.2117071230757975e-08,3.5644620511978326e-11
1.272520485762799e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411187428520787,0.0984413763893668,0.015575151189361428,0.0,0.00391834246069977,0.017817382184579473,0.01035738182442144,6.2642194756607693e-05,1.0330157304938335e-11,0.0023337093965889355,6.5754428660316107e-11,0.0004387736893737909,2.9877058747154695e-09,2.63588975412655e-05,8.2639073908667077e-10,5.6550709813122248e-11,3.0109002400605338e-05,6.988963518945982e-06,0.0070919538612051929,0.00015998947266118599,0.00032795986489750801,2.5657011927150078e-07,9.0427351716096165e-09,3.968548344275363e-08,1.7648756032411668e-07,9.7867574502500334e-10,8.3097139123661858e-06,0.00024923840412451997,1.6709576560909909e-07,0.00035727816291243511,1.1059541811119503e-05,3.2181725253969143e-08,3.5749169420580303e-11
1.2748656967098673e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411162542183469,0.098420833386545239,0.015564144516350301,0.0,0.0039209431049577539,0.017858671725700864,0.010378183028971736,6.2621621182227817e-05,1.0392309937238375e-11,0.0023332006552451577,6.5742149015721049e-11,0.00043890240094847784,2.9874230683174748e-09,2.6302101287380952e-05,8.282940346570193e-10,5.6674973829599649e-11,2.9937634954014346e-05,7.0076050737442596e-06,0.0070904712079440484,0.00015883024964181039,0.00032828807768886937,2.549660621499987e-07,9.034374948665342e-09,3.9676406520618552e-08,1.7660416985389036e-07,9.8704570997029464e-10,8.3737815311256169e-06,0.0002509088086644454,1.6741705882589185e-07,0.00035810731975858677,1.1089043038157007e-05,3.2246339582759173e-08,3.5853773769465576e-11
1.2772109076569356e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411135845102023,0.098400296463620585,0.015553145631425062,0.0,0.0039235280602771053,0.01789996530768375,0.010398971918707456,6.2600929902864404e-05,1.0454703716469815e-11,0.002332691357169374,6.5729661780752057e-11,0.00043903100570876169,2.9871368906098543e-09,2.6245204516523092e-05,8.3019711771173789e-10,5.6799124535546661e-11,2.9767533795782788e-05,7.0262400972424791e-06,0.0070889886979907963,0.00015768227529522791,0.00032861590724021534,2.5337607658380678e-07,9.0260198771926145e-09,3.9667335934459636e-08,1.7672007037589244e-07,9.9546711563693667e-10,8.4381747700537414e-06,0.00025258590576581451,1.677381561317439e-07,0.00035893654393874633,1.1118533930115064e-05,3.231091425778601e-08,3.5958433351302493e-11
