Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
3.581032537479652e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33159288801810138,0.1133681776372534,0.022485789557955688,0.0,2.6135216826064561e-07,5.2386512938281174e-08,6.2483319442010013e-07,4.3885627184341026e-17,4.5581551372170215e-25,6.1896439126054336e-09,1.0310947185999008e-32,3.7026661889500487e-09,2.5576911789931022e-24,2.8121390877450547e-14,2.2201894643129457e-18,1.0301759690911728e-20,1.1781648205666656e-07,1.0971455475967199e-24,0.0053007881199865717,0.00067028451177159228,4.1393855049079496e-11,3.1078827680760895e-06,2.8699968054687028e-15,4.7643900609179526e-11,2.268217790832246e-07,1.2536428023863938e-07,5.3233432973012616e-11,1.4233903912672415e-07
3.592618439852106e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33158696261927778,0.1133643682617798,0.022484728751884543,0.0,2.6555840496836167e-07,5.2986566520369143e-08,6.2982595594425276e-07,4.4587924300088602e-17,4.6353213786261505e-25,6.2388249284896944e-09,1.0644326387823475e-32,3.7160511051833099e-09,2.6189788032533401e-24,2.8506832831905926e-14,2.2485665147258844e-18,1.0427461725757303e-20,1.190437360241582e-07,1.1240129546137458e-24,0.005304591917535335,0.00067239426733229442,4.1505538015159316e-11,3.1183762829942835e-06,2.8777539177867683e-15,4.7788911888514273e-11,2.2674339264890043e-07,1.2617977459735546e-07,5.3956427062740718e-11,1.4295315078157788e-07
3.60420434222456e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33158106846749824,0.11336058972530638,0.022483668078471741,0.0,2.6981362787510513e-07,5.3590538644731659e-08,6.3483458048652452e-07,4.530142529805001e-17,4.713473562351957e-25,6.2884002291638225e-09,1.0988405113105688e-32,3.7294413614202093e-09,2.6817126139680566e-24,2.8896227187277263e-14,2.2771778775787724e-18,1.0554161540544336e-20,1.202786219503753e-07,1.1515240459787151e-24,0.0053083648608797029,0.00067450368492398278,4.161720985946284e-11,3.1288156101476794e-06,2.8855102368688109e-15,4.7932814701504095e-11,2.266641531780211e-07,1.2699563321496449e-07,5.4685279220985794e-11,1.4356706346568645e-07
3.6157902445970146e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33157520531518453,0.11335684177974682,0.022482607537637915,0.0,2.741181063755071e-07,5.419841952261165e-08,6.3985902054856639e-07,4.6026309645506522e-17,4.7926198662734788e-25,6.338372206874649e-09,1.1343523946697728e-32,3.7428368036220428e-09,2.7459259200046277e-24,2.9289599770562838e-14,2.3060242475522513e-18,1.0681862276378734e-20,1.2152113802229906e-07,1.1796940063402179e-24,0.0053121071981050956,0.00067661276451424167,4.1728870418420745e-11,3.1392002695211112e-06,2.8932657500190531e-15,4.80756080110927e-11,2.2658409509535734e-07,1.278118155303899e-07,5.5419979213881585e-11,1.4418078881737992e-07
3.627376146969469e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33156937291674782,0.11335312417900968,0.022481547129305262,0.0,2.7847210718235338e-07,5.4810198957350653e-08,6.4489922928120236e-07,4.6762759510705329e-17,4.8727684933891272e-25,6.3887432521818371e-09,1.1710034141210306e-32,3.7562372766900506e-09,2.8116527640873035e-24,2.9686976475563023e-14,2.3351063148764024e-18,1.0810567065136095e-20,1.2277128200563626e-07,1.2085383699117047e-24,0.0053158191753020093,0.00067872150606993712,4.1840519528351842e-11,3.1495297875780481e-06,2.9010204445435685e-15,4.8217290859743672e-11,2.2650325214532135e-07,1.2862828101864303e-07,5.6160516033711937e-11,1.4479433848437312e-07
3.638962049341923e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33156357102857287,0.11334943667898242,0.022480486853397531,0.0,2.8287589427719289e-07,5.5425866345854504e-08,6.4995516048314484e-07,4.751095979710378e-17,4.9539276716639075e-25,6.4395157538186135e-09,1.2088297941775709e-32,3.7696426244851858e-09,2.8789279378064636e-24,3.0088383263374215e-14,2.3644247653354612e-18,1.094027902959152e-20,1.2402905124553278e-07,1.2380730281671005e-24,0.0053195010365820524,0.00068082990955729047,4.1952157025501764e-11,3.1598036973477582e-06,2.9087743077532221e-15,4.8357862368566964e-11,2.2642165739825476e-07,1.2944498919853919e-07,5.6906877902004909e-11,1.4540772411873902e-07
3.6505479517143775e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33155779940900243,0.11334577903751551,0.02247942670984,0.0,2.8732972886163425e-07,5.6045410680170721e-08,6.5502676859948957e-07,4.8271098177911864e-17,5.0361056538765699e-25,6.490692098552775e-09,1.2478688920271394e-32,3.7830526898480861e-09,2.9477869968986472e-24,3.0493846162908732e-14,2.3939802802722755e-18,1.1071001283549084e-20,1.2529444266736821e-07,1.2683142376936246e-24,0.0053231530240938803,0.00068293797494195063,4.2063782746081712e-11,3.1700215385108241e-06,2.9165273269666186e-15,4.8497321736478803e-11,2.2633934325682904e-07,1.302618996404061e-07,5.7659052272910556e-11,1.4602095737199846e-07
3.662133854086832e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3315520578183202,0.11334215101440663,0.022478366698559484,0.0,2.9183386930935299e-07,5.666882054917696e-08,6.6011400871998968e-07,4.9043365130932806e-17,5.1193107174666859e-25,6.5422746710480439e-09,1.2881592319262506e-32,3.7964673146192359e-09,3.0182662768012312e-24,3.0903391271440696e-14,2.4237735365925037e-18,1.1202736931970948e-20,1.2656745277762918e-07,1.2992786282046488e-24,0.0053267753780389905,0.00068504570218906765,4.2175396526307089e-11,3.1801828574829651e-06,2.9242794895130148e-15,4.8635668239394199e-11,2.2625634146255223e-07,1.3107897197378259e-07,5.841702583690443e-11,1.4663404989032626e-07
3.673719756459286e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.331546346018736,0.11333855237138488,0.022477306819484299,0.0,2.9638857111882747e-07,5.7296084140379987e-08,6.6521683657711963e-07,4.9827953973702161e-17,5.2035511643816534e-25,6.5942658537257866e-09,1.3297405405928e-32,3.8098863396593259e-09,3.0904029084856434e-24,3.1317044755177991e-14,2.453805206768542e-18,1.1335489071106084e-20,1.2784807766486296e-07,1.3309832107154687e-24,0.0053303683366873779,0.00068715309126336202,4.2286998202435707e-11,3.1902872074971377e-06,2.9320307827352311e-15,4.8772901229451182e-11,2.2617268310237699e-07,1.3189616589510336e-07,5.9180784524777917e-11,1.4724701330987458e-07
3.6853056588317405e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3315406637743693,0.11333498287209545,0.022476247072544274,0.0,3.0099408686682583e-07,5.7927189241824568e-08,6.7033520854393109e-07,5.0625060898925415e-17,5.288835320923576e-25,6.6466680266271019e-09,1.3726537836241608e-32,3.8233096048697884e-09,3.1642348345730541e-24,3.1734832849860574e-14,2.4840759588431925e-18,1.1469260788618512e-20,1.2913631300070981e-07,1.3634453858848981e-24,0.0053339321363930787,0.00068926014212919743,4.2398587610806258e-11,3.2003341486838697e-06,2.9397811939925611e-15,4.8909020134267038e-11,2.2608839861540373e-07,1.3271344117536802e-07,5.9950313511930155e-11,1.4785985925221239e-07
3.696891561204195e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33153501085123421,0.11333144228208403,0.022475187457670704,0.0,3.0565066616266248e-07,5.8562123244111747e-08,6.7546908163170987e-07,5.1434885010214301e-17,5.375171537596095e-25,6.6994835672753441e-09,1.4169412029685649e-32,3.8367369492135154e-09,3.239800825736485e-24,3.2156781861385083e-14,2.5145864564330551e-18,1.1604055163715067e-20,1.3043215404101507e-07,1.3966829525256367e-24,0.0053374670116095929,0.00069136685475064755,4.2510164587876106e-11,3.2103232481497966e-06,2.9475307106636362e-15,4.9044024456224451e-11,2.2600351779967281e-07,1.3353075766778963e-07,6.0725597222966991e-11,1.4847259931988089e-07
3.708477463576649e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3315293870172239,0.11332793036878162,0.022474127974796369,0.0,3.1035855560324298e-07,5.9200873142525739e-08,6.8061841348743694e-07,5.2257628358121777e-17,5.4625681889510647e-25,6.7527148505390598e-09,1.4626463554782293e-32,3.8501682107357476e-09,3.3171404973933434e-24,3.2582918166455997e-14,2.5453373587316512e-18,1.1739875267272647e-20,1.3173559562701944e-07,1.4307141162864067e-24,0.0053409731949051603,0.00069347322909156647,4.2621728970259406e-11,3.2202540800543695e-06,2.9552793201493104e-15,4.9177913771788691e-11,2.2591806981904175e-07,1.3434807531542219e-07,6.1506619336581106e-11,1.4908524509206494e-07
3.7200633659491034e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33152379204209509,0.11332444690148936,0.022473068623855504,0.0,3.1511799872891804e-07,5.984342553926855e-08,6.85783162391061e-07,5.3093495976475666e-17,5.551033673435142e-25,6.8063642484954141e-09,1.5098141525734166e-32,3.8636032265851481e-09,3.3962943266923812e-24,3.3013268213263372e-14,2.5763293205122741e-18,1.187672416196486e-20,1.330466321866286e-07,1.465557498508898e-24,0.0053444509169779438,0.00069557926511565403,4.2733280594764688e-11,3.230126225684699e-06,2.9630270098755056e-15,4.9310687730853632e-11,2.2583208321014045e-07,1.3516535415876142e-07,6.2293362790739663e-11,1.4969780812038004e-07
3.731649268321558e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33151822569745287,0.11332099165136338,0.022472009404783805,0.0,3.1992923598016356e-07,6.0489766645801853e-08,6.9096328725258803e-07,5.3942695919011081e-17,5.6405764132362356e-25,6.8604341302940863e-09,1.5584909010473036e-32,3.877041833035011e-09,3.477303669799134e-24,3.3447858522187208e-14,2.6075629921305704e-18,1.2014604902388125e-20,1.3436525773575977e-07,1.5012321452625919e-24,0.0053479004066710589,0.00069768496278652429,4.2844819298432212e-11,3.2399392735284954e-06,2.9707737672960417e-15,4.9442346056116692e-11,2.2574558588940026e-07,1.3598255434331813e-07,6.3085809788147875e-11,1.503102999247739e-07
3.743235170694012e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33151268775673604,0.11331756439139998,0.022470950317518383,0.0,3.247925046551062e-07,6.1139882285294764e-08,6.961587476089923e-07,5.4805439296301491e-17,5.7312048541298361e-25,6.9149268620216988e-09,1.6087243450422689e-32,3.8904838655046519e-09,3.5602107794839204e-24,3.3886715686528593e-14,2.6390390195268425e-18,1.2153520535187077e-20,1.3569146587976761e-07,1.537757536560588e-24,0.0053513218909875104,0.00069979032206776877,4.2956344918571335e-11,3.2496928193450913e-06,2.9785195798954608e-15,4.957288854248178e-11,2.2565860516015079e-07,1.3679963612715938e-07,6.388394180201479e-11,1.5092273198954286e-07
3.754821073066466e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33150717799520169,0.11331416489642082,0.022469891361997795,0.0,3.2970803886790991e-07,6.1793757895177012e-08,7.0136950362095645e-07,5.5681940312988152e-17,5.822927465325204e-25,6.9698448065667742e-09,1.6605637092289586e-32,3.9039291585809454e-09,3.6450588230164824e-24,3.4329866373267551e-14,2.6707580442280854e-18,1.2293474099179337e-20,1.370252498149462e-07,1.5751535957595951e-24,0.0053547155951049917,0.00070189534292302257,4.3067857292797487e-11,3.2593864662344989e-06,2.9862644351918176e-15,4.9702315056489675e-11,2.2557116771978038e-07,1.3761655988841598e-07,6.4687739582087791e-11,1.5153511575946176e-07
3.7664069754389206e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33150169618991021,0.11331079294305818,0.022468832538161985,0.0,3.3467606950804418e-07,6.2451378529796453e-08,7.0659551606944503e-07,5.6572416305308169e-17,5.9157527393113847e-25,7.0251903234852651e-09,1.7140597432202341e-32,3.9173775460399961e-09,3.7318919003714388e-24,3.4777337323847954e-14,2.7027207033497495e-18,1.2434468625479571e-20,1.3836660233010899e-07,1.6134406991472915e-24,0.0053580817423905663,0.00070400002531602562,4.3179356259068828e-11,3.2690198247044759e-06,2.9940083207394603e-15,4.9830625535774586e-11,2.2548329966695415e-07,1.3843328613275202e-07,6.5497183160985027e-11,1.5214746263602762e-07
