Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),CO2X(24),H2OX(23),O(29),acetyl(44),C2H4X(215),C2H4X(70)
2.455613867457867e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44210495929154947,0.08803812684406212,0.010831138536891091,3.672748606245576e-06,0.0002640950763664322,0.043596337916553894,0.02157579862777931,5.1044496041453106e-05,9.604505692861717e-11,0.002102299509472613,5.751726042923713e-11,0.0005057756402240596,2.8863904013821523e-09,6.846992123663773e-06,1.9845538837731497e-09,1.20071150957088e-10,1.4559862644878707e-05,1.453622371366022e-05,0.006313851286398938,0.0020781006452042397,0.0004885769999996313,6.457977197064057e-08,5.664863151314653e-09,4.1967263585171346e-09,4.863315069289785e-11,2.378931159799875e-06,0.00042002499557805724,2.6413162627969254e-05,0.0008711709302624147,2.3003774994760596e-05,6.50433304870847e-09,6.673601621708838e-08,9.599340425107579e-10,5.910743803236188e-11,1.1832718527231021e-08,7.5405778085479035e-06,1.1350654393245147e-10,1.645635883114719e-06,4.095195551707289e-12
2.45935571091303e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44211031751480373,0.08800761055746963,0.010818764692917836,3.6796561815330754e-06,0.0002644301394454913,0.043660813509491074,0.021607088166677207,5.100911447868477e-05,9.646330872392002e-11,0.002101568288901238,5.7488384306335293e-11,0.0005059140665016413,2.885938371242959e-09,6.840238077152393e-06,1.987975964355166e-09,1.2022828494609302e-10,1.4545325682188258e-05,1.4559565246381315e-05,0.006311739079920018,0.0020712001725684335,0.0004889139386034588,6.440893741443569e-08,5.6564233302036e-09,4.1948753953906135e-09,4.8914339094356544e-11,2.3916750841657035e-06,0.0004219892789890819,2.645086224450245e-05,0.0008724710777739917,2.304071403039392e-05,6.502149519650649e-09,6.683360806805179e-08,9.61955447969701e-10,5.899463369390377e-11,1.184783330274553e-08,7.533981745244596e-06,1.1363161583374809e-10,1.6483386423042627e-06,4.101821122598125e-12
2.4630975543681934e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44211566339626035,0.0879771075708825,0.01080640461780325,3.686544252733516e-06,0.00026476466034902694,0.04372526210147231,0.021638350925188062,5.0973750188584906e-05,9.688258292132817e-11,0.0021008372434674336,5.7459517343456874e-11,0.0005060523516593542,2.8854864833761854e-09,6.83347580023966e-06,1.9913965994806382e-09,1.20385177694313e-10,1.453079557013996e-05,1.4582890159406886e-05,0.006309627611548643,0.0020642995562742713,0.0004892505098006228,6.423776035484521e-08,5.64799567824233e-09,4.1930249662866515e-09,4.919749801276604e-11,2.4045037538255657e-06,0.0004239661609710704,2.6488528542671853e-05,0.0008737706923702623,2.307762676469422e-05,6.4999662961772455e-09,6.693111756053671e-08,9.639767846139826e-10,5.888119544029236e-11,1.186292375131029e-08,7.527388318908047e-06,1.137564419211348e-10,1.6510395210241509e-06,4.108442055924518e-12
2.4668393978233566e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44212099671528227,0.08794661788162188,0.010794058297409153,3.693412737023031e-06,0.0002650986386259051,0.043789683700732655,0.021669586807811534,5.0938403275415915e-05,9.730287947233421e-11,0.002100106374957408,5.7430659726911984e-11,0.0005061904960457514,2.8850347429688273e-09,6.826705402522938e-06,1.9948157773140583e-09,1.205418289012413e-10,1.451627234900109e-05,1.4606198458604468e-05,0.006307516878247799,0.0020573989206907977,0.0004895867141256204,6.406624523906417e-08,5.639580183712613e-09,4.191175080758079e-09,4.94826438026815e-11,2.4174178525083526e-06,0.00042595574014666954,2.6526161381717532e-05,0.0008750697736526146,2.311451320694626e-05,6.4977833807812676e-09,6.702854435459013e-08,9.65998043435538e-10,5.876712727782634e-11,1.1877989845592566e-08,7.520797540841062e-06,1.1388102197766329e-10,1.6537385188308562e-06,4.115058350565796e-12
2.47058124127852e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421263172499529,0.08791614148697093,0.010781725717621437,3.7002615521993393e-06,0.0002654320738313279,0.043854078315627695,0.021700795718400837,5.090307384255798e-05,9.772419832191306e-11,0.0020993756851495956,5.7401811641329894e-11,0.0005063285000087579,2.8845831551706433e-09,6.8199269929481545e-06,1.99823348596038e-09,1.2069823826383043e-10,1.4501756058832817e-05,1.4629490149905828e-05,0.006305406876963858,0.002050498390779608,0.0004899225521086645,6.389439654147065e-08,5.631176834879915e-09,4.189325748363827e-09,4.976979295268357e-11,2.4304180692083962e-06,0.0004279581158444638,2.6563760619934753e-05,0.0008763683212198466,2.3151373366536492e-05,6.495600775917576e-09,6.712588810787191e-08,9.680192153880543e-10,5.865243325165113e-11,1.1893031558487833e-08,7.5142094222948425e-06,1.140053557837535e-10,1.6564356352789999e-06,4.121670005395228e-12
2.4780649281888463e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44213691907216585,0.08785522857044027,0.010757101723529021,3.713899849544206e-06,0.0002660973132804904,0.04398278662634761,0.021763132235651506,5.0832467826959874e-05,9.856990266398862e-11,0.002097914848716307,5.7344144793309124e-11,0.0005066040880531936,2.8836804578179514e-09,6.806346570772658e-06,2.005064447812879e-09,1.2101033023102503e-10,1.4472744430630717e-05,1.4676023732865662e-05,0.006301189058148985,0.002036698150788982,0.0004905931311483788,6.354971643469285e-08,5.614406527288932e-09,4.185628781246283e-09,5.035016796088774e-11,2.4566796390595325e-06,0.0004320016576565579,2.663885772233977e-05,0.0008789638135910806,2.3225014875781862e-05,6.491236507418232e-09,6.732032511079896e-08,9.72061262308706e-10,5.842118398380965e-11,1.1923041732847728e-08,7.501041208513199e-06,1.1425328375315857e-10,1.6618242223082553e-06,4.134879391079983e-12
2.4843175991875404e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421457357644656,0.08780437616882844,0.010736570229919773,3.7252336934419882e-06,0.0002666514558225795,0.044090240600896384,0.021815131225794735,5.0773530539630264e-05,9.92796293033341e-11,0.0020966948737409694,5.729599459241967e-11,0.0005068339160999403,2.882926761159506e-09,6.794976416925139e-06,2.0107671498679654e-09,1.212703406724254e-10,1.444852662904977e-05,1.4714851970668446e-05,0.006297667259861752,0.002025169399515717,0.0004911522854648238,6.32607508812833e-08,5.600431970390656e-09,4.182541721638964e-09,5.084136840593165e-11,2.4788916981239818e-06,0.00043542020630172256,2.6701497526916727e-05,0.0008811307244198141,2.3286462326495064e-05,6.487591105132429e-09,6.748252076433765e-08,9.75438072509112e-10,5.822609059368625e-11,1.19480404186716e-08,7.490047332887057e-06,1.1445967196528655e-10,1.6663206487891103e-06,4.1459016809741424e-12
2.4905702701862345e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44215451381678367,0.08775356085270561,0.010716076920828193,3.736511567107114e-06,0.0002672040763920307,0.0441976193408695,0.021867053624019132,5.071464337873708e-05,9.99922095298451e-11,0.002095475420669589,5.7247873351891476e-11,0.0005070633565592519,2.8821735564501696e-09,6.783585288576892e-06,2.016465592147231e-09,1.2152967176659893e-10,1.4424328695641714e-05,1.4753633914207006e-05,0.006294147465124134,0.0020136425953970094,0.000491710423605736,6.297091325285511e-08,5.586491174135059e-09,4.179456331469346e-09,5.1338382924457974e-11,2.5013534079978234e-06,0.0004388758085022578,2.6764041624809766e-05,0.0008832961396319723,2.3347836514668303e-05,6.48394660056736e-09,6.76444799895772e-08,9.788145207177323e-10,5.802930383699236e-11,1.1972970679811242e-08,7.479061028245493e-06,1.1466536961363526e-10,1.6708118160922972e-06,4.156911000246009e-12
2.4968229411849285e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44216325215765573,0.08770278260831813,0.010695621731072852,3.747733104948263e-06,0.0002677551730942071,0.044304922888638146,0.02191889896350867,5.0655806803112805e-05,1.0070764290227467e-10,0.002094256497595221,5.719978188835714e-11,0.0005072924110374028,2.8814208667279396e-09,6.772173676159142e-06,2.0221597174654665e-09,1.2178832202718547e-10,1.4400150811690086e-05,1.4792369592918746e-05,0.00629062965922044,0.0020021183381827316,0.0004922675479259425,6.268022519491555e-08,5.572584083360814e-09,4.176372655538447e-09,5.184129226385515e-11,2.5240681325455533e-06,0.00044236894758568717,2.6826489328371707e-05,0.0008854600572811895,2.3409137486884066e-05,6.480303004147853e-09,6.780620112190053e-08,9.821905636432652e-10,5.783084368953817e-11,1.1997832396324291e-08,7.468082345668082e-06,1.1487037560028406e-10,1.6752977220786907e-06,4.167907343448364e-12
2.5030756121836226e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44217194970557333,0.08765204142160839,0.010675204595659777,3.75889794653178e-06,0.00026830474408571657,0.04441215128751664,0.02197066677237056,5.0597021265380404e-05,1.0142592892749531e-10,0.002093038112557471,5.7151721006619793e-11,0.0005075210811360297,2.880668714770348e-09,6.760742065224961e-06,2.0278494681656237e-09,1.220462899473911e-10,1.4375993156948922e-05,1.4831059036719289e-05,0.00628711382730455,0.0019905972322769674,0.0004928236607474332,6.238870856828915e-08,5.558710642806549e-09,4.173290738710566e-09,5.2350178247787954e-11,2.547039277478639e-06,0.0004459001124192393,2.6888839942625e-05,0.0008876224753999098,2.3470365290481356e-05,6.476660326023877e-09,6.796768247790083e-08,9.855661576917823e-10,5.763073043692408e-11,1.202262545012443e-08,7.457111335848232e-06,1.1507468880706887e-10,1.6797783645896324e-06,4.178890705075797e-12
2.5093282831823167e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44218060536898535,0.08760133727821298,0.010654825449782383,3.770005736653101e-06,0.0002688527875748352,0.04451930458176322,0.022022356573635625,5.053828721209645e-05,1.0214706706025326e-10,0.0020918202735440124,5.7103691499926636e-11,0.0005077493684521849,2.8799171231008777e-09,6.749290936493983e-06,2.033534786117874e-09,1.2230357399987152e-10,1.4351855909659796e-05,1.4869702275997507e-05,0.006283599954399895,0.0019790798867371433,0.0004933787643595004,6.209638544961648e-08,5.544870797116624e-09,4.170210625916279e-09,5.2865123782395396e-11,2.5702702904872034e-06,0.00044946979740941864,2.695109276526911e-05,0.0008897833919991971,2.353151997354807e-05,6.4730185760756334e-09,6.81289223553692e-08,9.889412589657005e-10,5.742898467583637e-11,1.2047349724999528e-08,7.4461480490967615e-06,1.1527830809568955e-10,1.6842537414458632e-06,4.189861079562336e-12
2.5155809541810108e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421892180463071,0.08755067016346067,0.01063448422882139,3.7810561254084995e-06,0.0002693993018219317,0.04462638281658081,0.022073967885262943,5.0479605083890594e-05,1.0287105670292133e-10,0.002090602988492062,5.70556941502353e-11,0.0005079772745783886,2.8791661139951156e-09,6.7378207658967385e-06,2.039215612719053e-09,1.2256017263662623e-10,1.4327739246568614e-05,1.4908299341610437e-05,0.006280088025399526,0.0019675669152688625,0.0004939328610188727,6.180327813171168e-08,5.531064490846774e-09,4.16713236215514e-09,5.338621286196725e-11,2.593764661345072e-06,0.00045307850249734765,2.7013247086732558e-05,0.0008919428050685601,2.3592601584913626e-05,6.469377763918592e-09,6.828991903329583e-08,9.923158232640954e-10,5.722562731537493e-11,1.2072005106628981e-08,7.435192535345467e-06,1.1548123230783989e-10,1.6887238504464943e-06,4.200818461278761e-12
2.521833625179705e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421977866259362,0.08750004006237028,0.010614180868344756,3.7920487682669612e-06,0.00026994428513989465,0.044733386038117946,0.022125500220147473,5.0420975315602256e-05,1.0359789720525111e-10,0.002089386265289807,5.7007729728475e-11,0.0005082048011026751,2.8784157094868752e-09,6.726332024618628e-06,2.044891888892379e-09,1.228160842889044e-10,1.4303643342942192e-05,1.494685026487898e-05,0.006276578025066284,0.001956058936217743,0.0004944859529498703,6.150940912381406e-08,5.517291668469386e-09,4.16405599249825e-09,5.391353057421454e-11,2.6175259219980414e-06,0.00045672673315113064,2.7075302190202983e-05,0.0008941007125757916,2.3653610174141196e-05,6.465737898908456e-09,6.845067077188777e-08,9.956898060828917e-10,5.702067957801361e-11,1.2096591482603324e-08,7.42424484415063e-06,1.1568346026534547e-10,1.6931886893680139e-06,4.211762844531103e-12
2.528086296178399e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44220630998627497,0.08744944695964847,0.010593915304107578,3.8029833261422746e-06,0.0002704877358945583,0.04484031429346958,0.022176953086131237,5.03623983364137e-05,1.0432758786412376e-10,0.002088170111777801,5.6959798994800934e-11,0.0005084319496086431,2.877665931374236e-09,6.714825179143511e-06,2.0505635550875056e-09,1.230713073671228e-10,1.4279568372584574e-05,1.4985355077583408e-05,0.006273069938033034,0.0019445565725578137,0.0004950380423445695,6.121480115174069e-08,5.503552274378678e-09,4.1609815620905995e-09,5.4447163105231404e-11,2.6415576466339725e-06,0.0004604150003548167,2.713725735162431e-05,0.0008962571124668249,2.3714545791520354e-05,6.462098990146176e-09,6.861117581259478e-08,9.990631626136615e-10,5.681416300045842e-11,1.2121108742444008e-08,7.413305024696493e-06,1.1588499077032107e-10,1.69764825596334e-06,4.2226942235589985e-12
2.534338967177093e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422147869957615,0.08739889083968759,0.010573687472051996,3.8138594654652467e-06,0.0002710296525051304,0.04494716763067805,0.02222832598601906,5.030387456998041e-05,1.0506012792330059e-10,0.0020869545357503167,5.691190269884351e-11,0.000508658721675499,2.876916801225228e-09,6.7033006912969485e-06,2.0562305512809845e-09,1.233258402607955e-10,1.4255514507853116e-05,1.502381381195819e-05,0.006269563748803033,0.0019330604518752157,0.0004955891313629503,6.091947715788635e-08,5.489846252896035e-09,4.157909116152985e-09,5.4987197743877e-11,2.665863451721214e-06,0.0004641438205927078,2.7199111839798688e-05,0.0008984120026656042,2.3775408488060602e-05,6.458461046482998e-09,6.877143237814519e-08,1.002435847745388e-09,5.660609943482268e-11,1.2145556777620239e-08,7.402373125798693e-06,1.1608582260535997e-10,1.7021025479609047e-06,4.233612592532603e-12
2.540591638175787e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44222321651291024,0.0873483716865632,0.010553497308307099,3.8246768582561035e-06,0.0002715700334446208,0.045053946098733866,0.02227961841759884,5.0245404434558317e-05,1.0579551657317264e-10,0.002085739544956657,5.686404157995169e-11,0.0005088851188781013,2.876168340383468e-09,6.691759018289099e-06,2.0618928169771408e-09,1.235796813384771e-10,1.423148191967433e-05,1.5062226500688035e-05,0.006266059441750355,0.0019215712063474233,0.0004961392221330634,6.062346030105326e-08,5.476173548274781e-09,4.154838699983819e-09,5.5533722885449326e-11,2.6904469960198984e-06,0.0004679137158292136,2.72608649164719e-05,0.0009005653810739772,2.3836198315484023e-05,6.454824076525328e-09,6.893143867260872e-08,1.0058078160669862e-09,5.639651104915493e-11,1.2169935481569021e-08,7.391449195907663e-06,1.1628595453373131e-10,1.7065515630637859e-06,4.244517945551392e-12
2.546844309174481e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422315973863603,0.08729788948403185,0.010533344749188796,3.835435182196965e-06,0.00027210887724026927,0.045160649747576775,0.022330829873665747,5.018698834312818e-05,1.065337529505101e-10,0.002084525147102433,5.681621636743119e-11,0.0005091111427869998,2.8754205699739168e-09,6.680200612757288e-06,2.0675502912093515e-09,1.2383282894771926e-10,1.4207470777559509e-05,1.5100593176904252e-05,0.006262557001120443,0.0019100894727186683,0.0004966883167512219,6.0326773956173e-08,5.462534104704665e-09,4.1517703589607675e-09,5.608682803508107e-11,2.715311980577167e-06,0.0004717252134849291,2.7322515836274645e-05,0.0009027172455716088,2.3896915326217697e-05,6.45118808863974e-09,6.909119288147245e-08,1.009179021864486e-09,5.6185420327602265e-11,1.219424474971813e-08,7.380533283111985e-06,1.1648538529959483e-10,1.7109952989488771e-06,4.255410276644035e-12
2.5530969801731753e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422399284549311,0.08724744421552844,0.010513229731199714,3.846134120704404e-06,0.0002726461824739744,0.04526727862809657,0.022381959842050787,5.012862670351708e-05,1.0727483613821178e-10,0.002083311349850798,5.6768427780776974e-11,0.0005093367949684756,2.87467351090817e-09,6.6686259228082064e-06,2.073202912541696e-09,1.2408528141504117e-10,1.4183481249620032e-05,1.5138913874179251e-05,0.006259056411030762,0.0018986158922709188,0.0004972364172821734,6.00294417139027e-08,5.44892786631695e-09,4.148704138541817e-09,5.664660381068221e-11,2.74046214868996e-06,0.00047557884640829273,2.738406384684324e-05,0.0009048675940159111,2.395755957338836e-05,6.447553090958153e-09,6.925069317171408e-08,1.012549419122544e-09,5.597285007150089e-11,1.2218484479502077e-08,7.369625435141721e-06,1.1668411362825933e-10,1.7154337532661012e-06,4.2662895797646635e-12
2.5593496511718693e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422482085476898,0.08719703586416377,0.010493152191029042,3.856773363001988e-06,0.00027318194778272063,0.04537383279213402,0.022433007805654433,5.007031991851705e-05,1.0801876516505421e-10,0.0020820981608236423,5.672067652990064e-11,0.0005095620769845767,2.8739271838894984e-09,6.657035392059778e-06,2.0788506190710567e-09,1.2433703704591527e-10,1.415951350258247e-05,1.5177188626522405e-05,0.006255557655471559,0.0018871511107896198,0.0004977835257592788,5.973148737999717e-08,5.435354777188901e-09,4.145640084266198e-09,5.7213141944783826e-11,2.7659012858292804e-06,0.0004794751528420349,2.7445508189052213e-05,0.0009070164242419905,2.4018131110815783e-05,6.443919091382605e-09,6.940993769190943e-08,1.0159189615330375e-09,5.575882339948945e-11,1.2242654570380543e-08,7.358725699371684e-06,1.1688213822644829e-10,1.7198669236376746e-06,4.277155848791009e-12
