Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H2X(98)
2.1253759110871182e-16,0.004023131612903226,0.0,0.0,0.010942917611459633,0.49999999991465094,1.6137834312141046e-118,9.632803471150198e-41,3.9136830374873773e-71,3.5410624351621569e-83,8.238449806519211e-126,2.5504058457382055e-30,1.2257583590566369e-36,0.0,0.49999999775510923,2.8239176502251947e-10,1.958550985292959e-09,8.534917716264562e-11,1.253913479049645e-17,3.9481744055150727e-12,3.9478729570756294e-12,2.652579202930431e-21,1.5072156714279459e-16
2.71936743263934e-16,0.004023131612903226,0.0,0.0,0.010942917506584977,0.49999999989080351,6.2351913491277268e-118,1.9903451163576999e-40,4.9529425738657148e-71,6.5121019231740908e-83,3.7842528826863185e-125,4.1751614880705482e-30,2.5326017768791857e-36,0.0,0.49999999712781806,3.6121217016296129e-10,2.5059184003904246e-09,1.0919657502695366e-10,2.0527146114879969e-17,5.0516481680476564e-12,5.0511546839775114e-12,5.480634694234419e-21,2.4673655443866898e-16
3.313358954191562e-16,0.004023131612903226,0.0,0.0,0.01094291740175698,0.49999999986695853,1.7134519592427409e-117,3.5790482434491095e-40,7.5897044001875587e-71,1.0604376838987991e-82,1.2149303661027644e-124,6.198345619887549e-30,4.554039278910565e-36,0.0,0.49999999650057125,4.3998836245160124e-10,3.0532855767998815e-09,1.330415062513764e-10,3.0473901096835949e-17,6.1551454506893123e-12,6.1544128426201844e-12,9.8550044876969406e-21,3.6629417956020775e-16
3.9073504757437836e-16,0.004023131612903226,0.0,0.0,0.010942917296975611,0.49999999984311611,4.1767911231860059e-117,5.8561594096115848e-40,1.4081140893272291e-70,1.7717949502428864e-82,3.4711170562426784e-124,8.6199668258508175e-30,7.4513459967885677e-36,0.0,0.49999999587336896,5.1872036742844658e-10,3.6006525145214844e-09,1.5688397109872564e-10,4.2379398761199694e-17,7.2586662529315217e-12,7.2576474328339376e-12,1.6124592325431843e-20,5.0939392420069306e-16
5.095333518848227e-16,0.004023131612903226,0.0,0.0,0.010942917087552666,0.49999999979543858,3.5186756989292223e-116,1.2962079501348048e-39,5.8330665982399806e-70,6.9527664913885174e-82,4.2289180179109221e-123,1.4658553400603559e-29,1.6492397024865801e-35,0.0,0.49999999461909739,6.7605191332311445e-10,4.6953856739017284e-09,2.0456150267035049e-10,7.2066618411037215e-17,9.4657784142665666e-12,9.4640459073236713e-12,3.5687958560202183e-20,8.6621778348911424e-16
6.164518257642227e-16,0.004023131612903226,0.0,0.0,0.010942916899231242,0.49999999975253723,1.7557135842374723e-115,2.2942324740879841e-39,1.7376327319747542e-69,2.2154329230295607e-81,2.5497848101736431e-122,2.1456019425145212e-29,2.9190166635272866e-35,0.0,0.49999999349040475,8.1749943157750525e-10,5.6806447010330069e-09,2.4746284862536104e-10,1.0548400659795396e-16,1.1452259791566232e-11,1.1449723928691421e-11,6.3162451066974988e-20,1.2678682749565921e-15
7.233702996436225e-16,0.004023131612903226,0.0,0.0,0.010942916711060511,0.49999999970964387,7.1299250992335445e-115,3.7062947032612896e-39,4.4292886347448661e-69,6.2873463391598926e-81,1.1903270001049537e-121,2.9544550864548764e-29,4.7155223988654094e-35,0.0,0.49999999236185555,9.5880416697553652e-10,6.6659029548179983e-09,2.9035620747618679e-10,1.4524770634496854e-16,1.3438817364710893e-11,1.3435325585795592e-11,1.0203197831543252e-19,1.7457874256738949e-15
8.302887735230224e-16,0.004023131612903226,0.0,0.0,0.01094291652304033,0.49999999966675851,2.5471018971743993e-114,5.6041663647112029e-39,9.9821173760591344e-69,1.5760153410479417e-80,4.8747914679813309e-121,3.8924196289024702e-29,7.1300397483593085e-35,0.0,0.49999999123344979,1.0999662635532701e-09,7.6511604352575926e-09,3.3324158070924899e-10,1.9135771210062503e-16,1.5425451130821977e-11,1.5420850877677623e-11,1.5427031488176701e-19,2.2999723018616153e-15
1.0441257212818223e-15,0.004023131612903226,0.0,0.0,0.010942916147451028,0.49999999958101177,2.9285341763471009e-113,1.1144593883382593e-38,4.0151261747094877e-68,8.0644093898765385e-80,7.3940661699972195e-120,6.1557023439298016e-29,1.4178407749779535e-34,0.0,0.49999998897706793,1.3818631156359467e-09,9.6216730761041435e-09,4.1898837626822599e-10,3.0261661943120983e-16,1.9398947230424096e-11,1.9391672361942376e-11,3.0675008385503463e-19,3.6371274907741097e-15
1.257962669040622e-15,0.004023131612903226,0.0,0.0,0.010942915772462173,0.49999999949529683,1.7427923905558165e-112,1.9490144120763401e-38,1.2208587312429713e-67,2.9239721289726041e-79,5.1608145809608026e-119,8.935488960023911e-29,2.4794821944192468e-34,0.0,0.49999998672125795,1.6631911378123484e-09,1.159218262357976e-08,5.0470324719416379e-10,4.3926068417247666e-16,2.3372748067330827e-11,2.336218837382177e-11,5.3639543474689692e-19,5.2793103590914304e-15
1.4717996167994217e-15,0.004023131612903226,0.0,0.0,0.010942915398072612,0.49999999940961387,7.6438650355881673e-112,3.121566817970562e-38,3.0956573361452169e-67,8.5383011158130491e-79,2.6065951410206111e-118,1.2231818352923944e-28,3.971015470331995e-34,0.0,0.49999998446601868,1.9439514779717375e-09,1.3562689077691542e-08,5.9038620537647204e-10,6.0128986190436454e-16,2.7346853618495391e-11,2.7332398905657463e-11,8.5899898892506689e-19,7.2264974199712798e-15
1.6856365645582215e-15,0.004023131612903226,0.0,0.0,0.010942915024281184,0.49999999932396283,2.7851344613777589e-111,4.6896178487071967e-38,6.9147320923429364e-67,2.1520279807156894e-78,1.0829406606299094e-117,1.6044729397042725e-28,5.9655367901006542e-34,0.0,0.49999998221134895,2.2241452816874295e-09,1.5533192438446577e-08,6.7603726270056693e-10,7.8870410820597837e-16,3.1321263860868564e-11,3.1302303949797901e-11,1.2903503596822129e-18,9.478665184965081e-15
1.899473512317021e-15,0.004023131612903226,0.0,0.0,0.010942914651086735,0.49999999923834371,8.818515107543557e-111,6.7106821857931853e-38,1.4046400908103026e-66,4.8656486535064667e-78,3.8610275451596853e-117,2.0374260963682562e-28,8.5361479235457084e-34,0.0,0.49999997995724776,2.5037736921807802e-09,1.7503692705851967e-08,7.616564310473534e-10,1.0015033786565079e-15,3.5295978771399703e-11,3.5271903498598641e-11,1.846235448972085e-18,1.2035790165081032e-14
2.3271474078346206e-15,0.004023131612903226,0.0,0.0,0.010942913906484161,0.49999999906720088,6.9843946942821922e-110,1.2341970035081312e-37,4.7173207797829355e-66,1.9850141226554609e-77,3.8539643498621269e-116,3.058334113344266e-28,1.5698069714909764e-33,0.0,0.49999997545074598,3.0613388953416345e-09,2.1444683960642114e-08,9.3279914831095619e-10,1.5032568143227441e-15,4.3246322504727782e-11,4.3210186079636835e-11,3.3947322996122714e-18,1.8064817813179955e-14
2.75482130335222e-15,0.004023131612903226,0.0,0.0,0.010942913164255693,0.49999999889618568,3.6507037545345039e-109,2.047580783902955e-37,1.2920497411406579e-65,6.3824897864200436e-77,2.3593236403254877e-115,4.2859369767398489e-28,2.6041698273220765e-33,0.0,0.49999997094650428,3.6166561868206784e-09,2.5385662842118606e-08,1.1038144521242895e-09,2.1065498135417558e-15,5.1197884634049056e-11,5.1147246587757513e-11,5.6307019065364581e-18,2.5313392443863272e-14
3.1824951988698195e-15,0.004023131612903226,0.0,0.0,0.01094291242439218,0.4999999987252976,1.4815224611131552e-108,3.1572784214394685e-37,3.0595857911817013e-65,1.7324404979593213e-76,1.0948130102524931e-114,5.7202657720410521e-28,4.0152037330822349e-33,0.0,0.49999996644451361,4.1697346290126925e-09,2.9326629350337985e-08,1.2747024373726995e-09,2.811382020955813e-15,5.9150664974911444e-11,5.9083084962058914e-11,8.6802974383304956e-18,3.3781326128824283e-14
3.610169094387419e-15,0.004023131612903226,0.0,0.0,0.010942911686884495,0.49999999855453692,5.067357585703693e-108,4.6093698280470802e-37,6.5005655258935929e-65,4.148945521031483e-76,4.2254819014263013e-114,7.3613515798644621e-28,5.8614178045682694e-33,0.0,0.49999996194476498,4.7205832479252077e-09,3.3267583485356761e-08,1.4454631988710245e-09,3.6177530812102573e-15,6.7104663342841073e-11,6.7017701141750584e-11,1.2669613946037013e-17,4.3468430931301191e-14
4.465516885422619e-15,0.004023131612903226,0.0,0.0,0.010942910218900329,0.49999999821339669,4.6612042870087639e-107,8.7251590968049367e-37,2.3408063645969917e-64,1.8667644713174014e-75,4.9655056019389349e-113,1.1263918531359696e-27,1.1093466929552534e-32,0.0,0.49999995295195765,5.8156269392471433e-09,4.1149454636017955e-08,1.7866034295251559e-09,5.5351103388355625e-15,8.3016313421897034e-11,8.288326667469947e-11,2.3971500207016258e-17,6.6499402098571099e-14
5.3208646764578175e-15,0.004023131612903226,0.0,0.0,0.010942908760230951,0.49999999787276422,2.6356082339203708e-106,1.4764010069542577e-36,6.7008581663904978e-64,6.3642650465423807e-75,3.3022404343234504e-112,1.5993886378925614e-27,1.8768565866483848e-32,0.0,0.49999994396801095,6.901858745581432e-09,4.9031276294552663e-08,2.1272359011959197e-09,7.8586187436378921e-15,9.893283339498942e-11,9.8743942702511467e-11,4.0543958367283938e-17,9.4404802280616883e-14
6.176212467493016e-15,0.004023131612903226,0.0,0.0,0.010942907310804696,0.49999999753263874,1.1228002326547365e-105,2.309532245750195e-36,1.6351681608752155e-63,1.7941794250962919e-74,1.6122977037302891e-111,2.155150359214333e-27,2.9355103859060574e-32,0.0,0.49999993499285383,7.979349576403532e-09,5.6913048461410144e-08,2.4673613698637664e-09,1.0588275452883678e-14,1.1485422178554371e-10,1.1459972874288358e-10,6.3393653481784039e-17,1.271831276765832e-13
