Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CH2OH(40)
2.5187300376833353e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4457025851928809,0.112215897955329,0.022646173251415647,2.7477086709545458e-11,1.262270135769898e-06,2.9853632400011956e-05,4.9553823305162065e-06,3.6112973974011976e-08,1.3362649291392994e-10,0.000221697810360102,1.3835876890840585e-16,0.00016425939212751347,1.2802414303396278e-12,3.069522872565194e-09,1.3768746853472556e-13,1.0907518107096308e-15,7.569711200318673e-06,2.2762756476324688e-11,0.00621876164932551,0.0003360837704514156,4.048060422520958e-05,2.7895150157462724e-07,1.2487464983020525e-09,4.172169735119709e-09,8.586884722834937e-11,2.4074386140497694e-12,3.500562311343258e-08,8.533907141360494e-06,4.704010920100401e-10,1.302880687687454e-13,5.121668308876243e-07,6.324458451727047e-07,6.913949097900637e-10,3.5847025836689195e-11,2.355704683524919e-11,1.5442207563597938e-11,3.420950874284245e-14,1.2378179522738014e-14,8.993067003248489e-11,2.7488088101816557e-15,1.9613405137871937e-09,4.584402533843983e-13,1.2878681808789822e-17,6.464889553138799e-18,2.1313830435910624e-13,2.8492803929042664e-13
2.5281302844496957e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456915380251685,0.11220520061572004,0.022645534351258115,2.7954039899484492e-11,1.2810842752217555e-06,3.0109824455926465e-05,5.0155890617456015e-06,3.651108503391337e-08,1.3545441351167805e-10,0.0002225205663814831,1.40976070085321e-16,0.00016470833550074883,1.2950260904491095e-12,3.126649585781477e-09,1.397893628115725e-13,1.1085089612206015e-15,7.649821823809564e-06,2.3110434709582797e-11,0.006228540007364109,0.0003371965675625986,4.0595029496581494e-05,2.806706071044158e-07,1.2533465451001267e-09,4.186739150224375e-09,8.704495507991024e-11,2.418986665469838e-12,3.5248840667999275e-08,8.568776507389758e-06,4.742529944453507e-10,1.319462700026842e-13,5.168987992861128e-07,6.365238620406378e-07,6.939439636261288e-10,3.639520405454571e-11,2.380581397774047e-11,1.5629486820980163e-11,3.4845430984438684e-14,1.2515127199897522e-14,9.095648471869469e-11,2.7925329391161294e-15,1.982248857142227e-09,4.669107866380034e-13,1.3015584225748062e-17,6.563471927665462e-18,2.1609353543771864e-13,2.9033819702133344e-13
2.537530531216056e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44568054880026964,0.11219455886539646,0.022644895568531203,2.8437045804269588e-11,1.300077423618968e-06,3.036705189442204e-05,5.076240617675714e-06,3.691205182546607e-08,1.3730262838819066e-10,0.000223343274340005,1.4363282770759468e-16,0.0001651562975127975,1.3099261181295647e-12,3.184589547193516e-09,1.4191310429604228e-13,1.1264782241746734e-15,7.730378092053482e-06,2.346210568586225e-11,0.006238262487334865,0.00033830805101964175,4.07087968494157e-05,2.823893070848737e-07,1.2579460661578224e-09,4.201307017465465e-09,8.823080965640646e-11,2.430542197878407e-12,3.549182833022852e-08,8.603531347728703e-06,4.781156014761021e-10,1.3361669125769038e-13,5.216527264794418e-07,6.406107310025156e-07,6.964928309077437e-10,3.694968498931535e-11,2.40559593511683e-11,1.581814575074145e-11,3.5490392801343374e-14,1.2652731932627762e-14,9.198992364756806e-11,2.836752961969594e-15,2.003335999824076e-09,4.755046124390889e-13,1.3153652671610873e-17,6.663184211510271e-18,2.19081906877082e-13,2.958273732835216e-13
2.5469307779824165e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44566961719769527,0.11218397238759589,0.02264425690325845,2.8926148838349657e-11,1.3192501329453415e-06,3.0625311024931097e-05,5.137337567142713e-06,3.73158836669922e-08,1.3917132245062463e-10,0.0002241659340673478,1.463294858016739e-16,0.0001656032800374443,1.3249419884513485e-12,3.2433504786660534e-09,1.4405879226341382e-13,1.1446611194367424e-15,7.811379457606453e-06,2.3817800283025758e-11,0.006247929406179154,0.00033941822025159997,4.082191109797747e-05,2.8410758001759026e-07,1.2625450606234389e-09,4.215873333388668e-09,8.942642962795496e-11,2.442104933370506e-12,3.573457684235991e-08,8.638171064298837e-06,4.819888222880904e-10,1.3529933347527693e-13,5.264285457523921e-07,6.44706416086791e-07,6.990415116192827e-10,3.751051744008295e-11,2.430748122968568e-11,1.6008186088703845e-11,3.614447985375479e-14,1.2790990279776613e-14,9.303101272560029e-11,2.881471921097351e-15,2.0246031449218224e-09,4.842230405822447e-13,1.3292894946364454e-17,6.7640351240011545e-18,2.2210372362267e-13,3.013963479448678e-13
2.556331024748777e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456587428986995,0.11217344086735578,0.022643618355463347,2.9421393418231006e-11,1.3386029510793155e-06,3.0884598156028084e-05,5.198880463817736e-06,3.772258986698581e-08,1.4106068193331804e-10,0.0002249885453946017,1.4906649169657348e-16,0.0001660492849468332,1.3400741767351054e-12,3.302940133192936e-09,1.4622652535439813e-13,1.1630591683194653e-15,7.892825367336912e-06,2.417754950367312e-11,0.0062575410790389205,0.00034052707471184405,4.0934377073039965e-05,2.858254050765482e-07,1.2671435276420712e-09,4.230438094562618e-09,9.06318334928233e-11,2.4536746142911124e-12,3.5977077120085416e-08,8.672695073990819e-06,4.858725662601131e-10,1.3699419714898339e-13,5.312261899974157e-07,6.488108814128436e-07,7.015900057386605e-10,3.807775040329921e-11,2.4560377870325082e-11,1.619960952381326e-11,3.68077781459972e-14,1.2929898744447223e-14,9.407977783293972e-11,2.9266928547055144e-15,2.0460514995216775e-09,4.930673895640394e-13,1.3433318875365518e-17,6.866033419664099e-18,2.2515929285642047e-13,3.0704590434108863e-13
2.5657312715151373e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456479255862715,0.11216296399150355,0.022642979925169296,2.9922823960912666e-11,1.3581364218599039e-06,3.114490959616317e-05,5.26086984628003e-06,3.813217972410855e-08,1.429708944024185e-10,0.00022581110815227167,1.5184429603567794e-16,0.00016649431411150725,1.3553231585509757e-12,3.3633662947792965e-09,1.4841640157114587e-13,1.1816738935299126e-15,7.974715262626888e-06,2.4541384475200512e-11,0.006267097819266919,0.00034163461387773565,4.1046199620044296e-05,2.87542762098487e-07,1.2717414663556446e-09,4.245001297575486e-09,9.184703967128461e-11,2.4652509756870086e-12,3.621932022467396e-08,8.707102808618972e-06,4.897667430436004e-10,1.387012823001384e-13,5.360455917348883e-07,6.529240911908306e-07,7.04138313237292e-10,3.865143307287431e-11,2.4814647513627e-11,1.6392417698369043e-11,3.748037402521168e-14,1.3069453827286137e-14,9.51362448233764e-11,2.9724187966045613e-15,2.067682274685391e-09,5.020389866048081e-13,1.357493230918168e-17,6.969187888223959e-18,2.282489240049591e-13,3.12776829265231e-13
2.5741914936048618e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456382384679845,0.11215358126678518,0.02264240543838732,3.037943715729613e-11,1.3758714498550447e-06,3.1380062625904924e-05,5.317042468877736e-06,3.850328379978125e-08,1.4470807102825842e-10,0.0002265513729666251,1.5437957774757846e-16,0.0001668940076427252,1.3691474939143735e-12,3.4184715121209825e-09,1.504063030199279e-13,1.198613664078766e-15,8.048795310076886e-06,2.4872355093983482e-11,0.006275652175624241,0.0003426302741374871,4.11462937964939e-05,2.8908796710730704e-07,1.2758791587852738e-09,4.258106845242874e-09,9.294912132614446e-11,2.4756751896638607e-12,3.643711188279398e-08,8.737969896948167e-06,4.932803477678513e-10,1.4024810800605423e-13,5.404015998985724e-07,6.566334269901536e-07,7.064316303964432e-10,3.917330279238905e-11,2.5044662642866866e-11,1.6567130327652782e-11,3.809373139452419e-14,1.3195603446389364e-14,9.609367157172558e-11,3.0140064300647384e-15,2.087306946044103e-09,5.102233250266061e-13,1.3703407934988527e-17,7.063022730836135e-18,2.310589725321949e-13,3.180048848505956e-13
2.5818056934856137e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44562955912020213,0.11214517425620393,0.02264188848168906,3.0794730642818696e-11,1.3919587830599543e-06,3.1592404958511316e-05,5.367907712809042e-06,3.883928656890381e-08,1.4628621710349948e-10,0.00022721757744210326,1.5669017600078852e-16,0.00016725305848843457,1.3816708974559737e-12,3.46865566839011e-09,1.5221267527932118e-13,1.2140114912188774e-15,8.115774101879695e-06,2.5173098779902704e-11,0.006283313455291498,0.0003435254568307737,4.123593924715289e-05,2.904783025570264e-07,1.2796027149771744e-09,4.269900754637824e-09,9.394780700509489e-11,2.4850612705322645e-12,3.6632935001973385e-08,8.76566904159457e-06,4.964497007598937e-10,1.4164871444114182e-13,5.443369873672984e-07,6.599778389963867e-07,7.084954865465609e-10,3.9647516357699794e-11,2.525262482456956e-11,1.6725332736792e-11,3.865230452501156e-14,1.330958147340258e-14,9.696072301820441e-11,3.0517889641344216e-15,2.1050970613127764e-09,5.176790902191105e-13,1.3819870003018085e-17,7.148286244935487e-18,2.336120106704746e-13,3.227675119494726e-13
2.5894198933663656e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456209166033016,0.11213680254679254,0.02264137160212456,3.121416170697441e-11,1.4081655965169023e-06,3.1805412779752075e-05,5.419066804570426e-06,3.917719780650904e-08,1.4787838271256103e-10,0.00022788374974781604,1.59028354300649e-16,0.0001676114724688518,1.3942717756266668e-12,3.5194025982485928e-09,1.54033747781e-13,1.2295541914210671e-15,8.183043182366863e-06,2.5476578882015974e-11,0.00629093924499421,0.00034441977570722637,4.13251711989456e-05,2.918682971882835e-07,1.283325923012114e-09,4.281693635697935e-09,9.495295630440869e-11,2.494451273276918e-12,3.6828574032988044e-08,8.793290936413494e-06,4.996257389679938e-10,1.4305733812090825e-13,5.482865288263307e-07,6.633279248990375e-07,7.105592201829151e-10,4.012604969168478e-11,2.5461484653908426e-11,1.6884446441779858e-11,3.9217132447926924e-14,1.3423977610922249e-14,9.783287355252452e-11,3.0899082132035607e-15,2.123009028947285e-09,5.252207314218556e-13,1.393712654578271e-17,7.234324068007202e-18,2.361879544041187e-13,3.275849351669252e-13
2.5970340932471175e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4456123107521091,0.112128465975512,0.022640854799706105,3.163775394893845e-11,1.424492171772378e-06,3.201908413060296e-05,5.470520001727689e-06,3.95170224353771e-08,1.4948467011458243e-10,0.000228549889792584,1.6139435855692688e-16,0.00016796925057513843,1.4069503816398024e-12,3.5707164975014004e-09,1.558695713641131e-13,1.2452425763607381e-15,8.25060224497545e-06,2.5782812182712848e-11,0.006298529707868178,0.0003453132305337898,4.141399224729479e-05,2.9325794150533294e-07,1.2870487824280706e-09,4.293485486634039e-09,9.596457878176214e-11,2.50384505850506e-12,3.70240245348826e-08,8.820835307751127e-06,5.02808414924236e-10,1.4447397827017142e-13,5.52250187785747e-07,6.666836658516728e-07,7.126228312780426e-10,4.0608929317768416e-11,2.567124116676782e-11,1.704447222684042e-11,3.97882617046561e-14,1.353879006396478e-14,9.871013686376067e-11,3.128365780508791e-15,2.1410435000992606e-09,5.328489708293994e-13,1.4055181783274572e-17,7.32114093897385e-18,2.387869725233808e-13,3.324575792333299e-13
2.6046482931278694e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.445603741402182,0.11212016438007413,0.022640338074445928,3.206553096514882e-11,1.4409387887607035e-06,3.223341705330685e-05,5.5222675555006776e-06,3.985876537404668e-08,1.5110518215087072e-10,0.00022921599748498595,1.6378843612902895e-16,0.00016832639379783153,1.4197069688146183e-12,3.6226015750780937e-09,1.577201965858745e-13,1.2610774582114524e-15,8.318450981149976e-06,2.609181551821864e-11,0.006306085006298611,0.0003462058210871253,4.150240499055445e-05,2.9464722627385825e-07,1.2907712927617026e-09,4.305276305661563e-09,9.698268392832752e-11,2.513242494374158e-12,3.7219282140428846e-08,8.848301888215688e-06,5.059976812752648e-10,1.4589863396111769e-13,5.56227927633067e-07,6.700450430466547e-07,7.146863198017927e-10,4.109618184455668e-11,2.58818933930696e-11,1.720541085658949e-11,4.036573898168456e-14,1.3654017034295264e-14,9.959252662961868e-11,3.1671632671847477e-15,2.1592011275904754e-09,5.405645344336455e-13,1.4174039946077934e-17,7.40874161194881e-18,2.4140923480053464e-13,3.373858703472176e-13
2.6122624930086213e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44559520838980615,0.11211189759893825,0.022639821426356208,3.249751634880339e-11,1.457505725826348e-06,3.2448409591597406e-05,5.574309710791287e-06,4.020243153681342e-08,1.5274002224647284e-10,0.00022988207273335985,1.6621083583010116e-16,0.00016868290312685403,1.4325417905759691e-12,3.6750620529930903e-09,1.5958567372039002e-13,1.2770596496268536e-15,8.386589080405882e-06,2.6403605778614303e-11,0.00631360530192359,0.0003470975471535044,4.159041202946001e-05,2.9603614251536653e-07,1.2944934535483815e-09,4.3170660910163415e-09,9.800728121269961e-11,2.5226434572654773e-12,3.7414342534135664e-08,8.875690416671387e-06,5.091934907627487e-10,1.4733130408341216e-13,5.602197116397661e-07,6.734120377150913e-07,7.167496857214305e-10,4.1587833965869855e-11,2.609344035696958e-11,1.7367263076122137e-11,4.0949611110153305e-14,1.3769656596662978e-14,1.0048005651643113e-10,3.2063022724463185e-15,2.177482565905561e-09,5.483681520313363e-13,1.4293705275241858e-17,7.497130856250762e-18,2.4405491199266653e-13,3.4237023617170997e-13
2.619115272901298e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4455875596125498,0.1121044871292302,0.022639356509066254,3.288992084503821e-11,1.4725190716395875e-06,3.264246523190031e-05,5.6213997321932315e-06,4.051337949815139e-08,1.5422371477565876e-10,0.00023048151264130147,1.684154178001118e-16,0.00016900322036156928,1.4441602302732184e-12,3.7227719504140587e-09,1.6127734284940125e-13,1.2915702436095054e-15,8.448160517048901e-06,2.6686613836818724e-11,0.006320343773581935,0.00034789936130790903,4.166927363822248e-05,2.972858448271567e-07,1.2978430990086725e-09,4.327676012578735e-09,9.893497733206195e-11,2.531107221503291e-12,3.75897247704655e-08,8.90027314698054e-06,5.120752747943751e-10,1.4862755847961543e-13,5.638242945574118e-07,6.764471203751835e-07,7.186066101932975e-10,4.203410465950696e-11,2.628459681409472e-11,1.751371179312812e-11,4.1480602445927074e-14,1.3874083555442027e-14,1.012832395040339e-10,3.241820695260229e-15,2.1940422609094153e-09,5.554673002826318e-13,1.440209771249381e-17,7.577359358678623e-18,2.464561831444075e-13,3.469044639323283e-13
2.625282774804707e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4455807006679061,0.11209784160930067,0.0226389381369654,3.324602994421936e-11,1.4861147681383057e-06,3.2817569594692736e-05,5.6639850833249435e-06,4.079457094873005e-08,1.555690959713819e-10,0.00023102098597019012,1.7041948098239115e-16,0.00016929106815065788,1.4546713357602205e-12,3.766114843417558e-09,1.628101953417866e-13,1.3047328507177935e-15,8.503774802918601e-06,2.6943273147148906e-11,0.00632638436484508,0.00034862039508709586,4.173997148675219e-05,2.9841031052358796e-07,1.3008575372400594e-09,4.337224223821194e-09,9.9774412135151e-11,2.5387268789850773e-12,3.774742675373787e-08,8.922343222569449e-06,5.146733509834981e-10,1.4979973609380192e-13,5.670780977008577e-07,6.791825609148e-07,7.202777572610908e-10,4.243882995041437e-11,2.645725600206259e-11,1.764614927422417e-11,4.196298431761103e-14,1.3968351265692341e-14,1.0200968166150998e-10,3.274025861183302e-15,2.2090325822490463e-09,5.61918467668353e-13,1.4500215420937966e-17,7.650117340526455e-18,2.4863376614392e-13,3.510246600016195e-13
