Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.4314273653128398e-42,4.805396029288456e-30,1.144971474269527e-54,1.9023604347781334e-39,1.239312926592242e-92,6.9296841925601961e-19,1.3354282237604042e-83,6.9296774073005693e-19,3.1119012766844649e-56,2.796687144550557e-47,1.1735064488688513e-76,7.0908687858173923e-78,7.5538476547432345e-38,9.8069241085103415e-66,2.7482111771924732e-12,1.3213643565785279e-13,5.0932520850579354e-17,3.8317085160309591e-26,5.0932521927690896e-17,7.5500150023849975e-37,1.793923149497452e-40,2.3533706169398863e-30,2.1843756474851409e-25,1.1594085763650131e-29,3.7762221108930507e-33,5.4786925748237702e-52,1.7162352741784164e-50
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,2.2901800329434653e-41,1.9221596597787146e-29,1.4619906653656577e-52,1.5218898049846632e-38,6.3298583406909647e-90,1.385938782896691e-18,8.5467590025437191e-82,1.3859360687911518e-18,4.9790471652513236e-55,4.4744922488698396e-46,2.9968670051012032e-74,1.8108456546265054e-75,6.0428062196988654e-37,3.1382190557746973e-64,5.4964246823308054e-12,2.6427298332565152e-13,1.0186508315727178e-16,1.5326092750493452e-25,1.0186508746577463e-16,6.0397287852384608e-36,1.4351395990080804e-39,9.4134961977669363e-30,8.7370441496882731e-25,9.2717968849965163e-29,6.0397193051366749e-32,3.497781921866904e-50,2.7459792557897523e-49
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,3.6639517232965695e-40,7.6886412911360183e-29,1.8622786973022146e-50,1.2175123692765352e-37,3.2252266856382008e-87,2.7718835810221516e-18,5.4699369076415773e-80,2.7718727245968624e-18,7.9664791942124345e-54,7.1585125130140082e-45,7.6348704521179804e-72,4.6133417808743302e-73,4.8338046087544097e-36,1.0042305867344052e-62,1.0992851687376673e-11,5.2854607865046877e-13,2.0373020261078555e-16,6.1298382847184317e-25,2.0373021984523392e-16,4.8313245662905649e-35,1.1481121288470629e-38,3.7654058721542319e-29,3.4944476295751056e-24,7.4118798495825523e-28,9.6565058222436483e-31,2.2276887508389361e-48,4.3935688406121613e-48
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,5.8612432911378605e-39,3.075457171533904e-28,2.3608024985032141e-48,9.7401001341467063e-37,1.6354887021762377e-84,5.5437894606479074e-18,3.5007699299589891e-78,5.5437460349423711e-18,1.2746368516230956e-52,1.1451450580493671e-43,1.9357750261770197e-69,1.1696847489756556e-70,3.8663371359648133e-35,3.2135383674037056e-61,2.1985705676545238e-11,1.0570922692569831e-12,4.0746042087833109e-16,2.4514552239622486e-24,4.0746048981957319e-16,3.8643241592573855e-34,9.1848991152536965e-38,1.5061675451069858e-28,1.3974824491832259e-23,5.920625443876029e-27,1.5427990561898027e-29,1.4119618361829877e-46,7.0297110585832209e-47
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,9.3745339877469374e-38,1.2301830993056823e-27,2.9646219864775698e-46,7.7920791053375137e-36,8.2156449562113305e-82,1.1087666353385526e-17,2.2405153122830245e-76,1.1087492650569733e-17,2.03941872996179e-51,1.8315374017314004e-42,4.8619543319984646e-67,2.9378173604389311e-68,3.0919389671555695e-34,1.0283321688322053e-59,4.3971413571189661e-11,2.1141846502975351e-12,8.1492077485551115e-16,9.8019799461125739e-24,8.1492105064826888e-16,3.0902823034590358e-33,7.3479205831120603e-37,6.0247103139928674e-28,5.5875570532674026e-23,4.7223480869794207e-26,2.4613382013448758e-28,8.864818218967988e-45,1.1247536147895164e-45
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,1.4988206820588503e-36,4.9207336549961157e-27,3.6552807179454051e-44,6.2336605251536335e-35,4.0522957453954293e-79,2.2175680672699536e-17,1.4339515720050921e-74,2.2174985861569846e-17,3.2630685751931605e-50,2.9282387039396022e-41,1.1990143417676319e-64,7.2449975235181188e-66,2.4717435628117773e-33,3.2906615687577512e-58,8.7942829025707707e-11,4.2283694116887456e-12,1.6298411525783669e-15,3.9177221202724076e-23,1.6298422559724344e-15,2.4703442621598792e-32,5.8783377131410129e-36,2.4099159451500343e-27,2.2331266144756508e-22,3.755407367932802e-25,3.9154693058463781e-27,5.4642023487304508e-43,1.7996049314458905e-44
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,2.3945850780879889e-35,1.9682943490360154e-26,4.35397958680227e-42,4.9869235431620423e-34,1.9311665259566876e-76,4.4352751445837024e-17,9.1775667772008007e-73,4.4349972202551609e-17,5.2209047448770823e-49,4.6780891101063072e-40,2.8568148312690112e-62,1.7262188195960334e-63,1.9745086639444716e-32,1.0530107161458528e-56,1.7588565859566058e-10,8.456738931711764e-12,3.2596805870991794e-15,1.5646382456957511e-22,3.2596850024778275e-15,1.9732711332954509e-31,4.7026718341191247e-35,9.6399177621144822e-27,8.9173722469856031e-22,2.9689162358195762e-24,6.1932861847247646e-26,3.2534020759996718e-41,2.8793648771816505e-43
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,0.0,8.8074409235570477e-35,4.1826267751548297e-26,2.7853994154287987e-41,1.480492090893608e-33,1.6134990836242771e-75,6.6530864352640179e-17,5.210743128816154e-72,6.6524958462514904e-17,1.9751733937680319e-48,1.7822954089878847e-39,2.1056196525544041e-61,1.2723120809092585e-62,5.6411276528655077e-32,4.9122699375976965e-56,2.6382848682653032e-10,1.2685108448975377e-11,4.8895187006962171e-15,3.3212634520959468e-22,4.8895280860366507e-15,5.637395445742835e-31,1.3446704937061836e-34,2.0485198117652243e-26,1.8927230962157621e-21,8.4317597473758033e-24,2.2670298228998752e-25,1.7708463894376349e-40,1.0893216647795238e-42
1.0903694729758509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,0.0,6.7594727979710155e-34,1.1563741808069992e-25,1.1166867208627525e-39,6.9349231226870844e-33,2.0132726713829719e-73,1.1089125869413361e-16,1.400903748437706e-70,1.1087493065836768e-16,1.5588239241544676e-47,1.4614320984062624e-38,1.4803099030326419e-59,8.9447058796276304e-61,2.5859042799982588e-31,6.5827485005742744e-55,4.3971413793193717e-10,2.1141847472467223e-11,8.1491896442040869e-15,9.1568039866109024e-22,8.1492156112822456e-15,2.5839212264093707e-30,6.1796095295172558e-34,5.6638205372577539e-26,5.2170742621052776e-21,3.7971457205104647e-23,1.7107493335650583e-24,4.102455990232414e-39,8.5970193996076748e-42
1.4829024853268719e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,0.0,1.8594448473658674e-33,2.0591608640521585e-25,5.1712898136871986e-39,1.6003019711226638e-32,1.0995552456407686e-72,1.5081898075100425e-16,6.0831643961660415e-70,1.5078990537286257e-16,4.3745645337549855e-47,4.2559477914325006e-38,7.5144884549013091e-59,4.5405938020142969e-60,5.8126847397557923e-31,2.1847666133546164e-54,5.9801121960019253e-10,2.875291258469675e-11,1.1082889225437146e-14,1.6275526659638519e-21,1.1082935488238109e-14,5.8078871509955426e-30,1.3910243441477767e-33,1.008589998966373e-25,9.2715320739309627e-21,8.451872832609061e-23,4.669885194849871e-24,1.6983701958601233e-38,2.4126017618372259e-41
1.875435497677893e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756240729974,0.11866996527364282,0.022821567674872298,0.0,4.1826549751799767e-33,3.2143808320136844e-25,1.7403300049373803e-38,3.0812812643504239e-32,4.9096476713223077e-72,1.9075026686086082e-16,1.8420006303116763e-69,1.9070487981027649e-16,1.0015818395031232e-46,9.726267502402932e-38,2.9304503814149705e-58,1.7707105823988651e-59,1.0970214467333429e-30,5.8704895009382061e-54,7.5630829668881878e-10,3.6363977687491688e-11,1.4016584289167702e-14,2.5359181443331955e-21,1.4016656542986106e-14,1.0960486712640861e-29,2.6291274057293143e-33,1.5744726269226018e-25,1.4443904947070756e-20,1.5788875826806558e-22,1.0415335931498851e-23,4.8463108655316469e-38,5.5237907624563708e-41
2.267968510028914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756224138573,0.11866996511534277,0.022821567671066766,0.0,8.0295473121078422e-33,4.6080511141206304e-25,4.7533214373938205e-38,5.238929927885992e-32,1.625033228431092e-71,2.3068491959168287e-16,4.7821900592973271e-69,2.3061985398595812e-16,1.9531440228406316e-46,1.9208325622008006e-37,8.8234494573108268e-58,5.3315255281406297e-59,1.8311215528418396e-30,1.2986914771112081e-53,9.1460536945150032e-10,4.3975042781376805e-11,1.6950275085644755e-14,3.6289981961200973e-21,1.6950378717677541e-14,1.8293930280373837e-29,4.3944880135468333e-33,2.2571885966564523e-25,2.0666756853511953e-20,2.6105697620526402e-22,1.9840185510723527e-23,1.2015530909769459e-37,1.0771718989242826e-40
3.053034534730956e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756190955772,0.1186699647987427,0.022821567663455701,0.0,2.0725663113052052e-32,7.9391741949624622e-25,2.1799279385125732e-37,1.1583304419678284e-31,9.3544135601942103e-71,3.1056190255671206e-16,2.1154538403736135e-68,3.104498017404456e-16,5.1855117384121355e-46,5.3586344803283069e-37,4.5302484640500178e-57,2.7373769159334109e-58,3.9005790663510246e-30,4.0860869315118918e-53,1.231199505111626e-09,5.9197172948832006e-11,2.2817646947223995e-14,6.2338281686697927e-21,2.2817825642912043e-14,3.8965349076870211e-29,9.381735029363028e-33,3.8890842557065265e-25,3.5492237273144892e-20,5.4765764895521747e-22,5.0587736125630183e-23,4.9455762014444004e-37,2.8598438301378531e-40
3.838100559432998e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756157772971,0.11866996448214263,0.022821567655844636,0.0,4.381792458888421e-32,1.2151709431346474e-24,6.9620605537635004e-37,2.1701124310534672e-31,3.6054941319573356e-70,3.9045132988263537e-16,6.3659170277856582e-68,3.9027974852746406e-16,1.124806289499919e-45,1.1972827869216324e-36,1.6000478816944465e-56,9.6681935687809789e-58,7.0779682195176522e-30,1.0106988629492002e-52,1.5477936247812997e-09,7.4419303083359751e-11,2.8685003035350914e-14,9.513960295982523e-21,2.8685276772286578e-14,7.0700088197792391e-29,1.7059674000638906e-32,5.9529235612028167e-25,5.4154658668592333e-20,9.7961117140749706e-22,1.0577329154540036e-22,1.3914567623382295e-36,6.2033800264655761e-40
