Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),COX(50)
3.2460949452797783e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32627448193030212,0.11291827333582273,0.020016599678367365,0.0,2.9323508162435706e-06,7.9535048467515229e-05,4.9754302827226475e-05,6.4142093900646354e-10,1.3305909657098352e-20,6.586982714230589e-06,3.6446153161499247e-21,5.9637187610625784e-08,7.1618426953640095e-17,5.0580323039341368e-10,3.7250800480333691e-15,9.71359157580287e-18,2.9321610894710519e-09,3.5585992869365802e-16,0.0056949724220220254,0.0055571702691933301,7.7745964802132262e-08,7.5444494707005897e-08,3.9296429951572166e-05,3.0652635625379279e-11,1.3271481863460443e-07,1.6662864326560442e-07,3.7849640894070718e-11,1.4622423355244795e-10,1.1893598830120252e-06,4.0000379495585066e-11
3.253183706596678e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32626358247020032,0.11291823418888308,0.02001096948067185,0.0,2.9550287954233001e-06,7.9907297201171733e-05,4.996315339525829e-05,6.4707338647431627e-10,1.3431874969697345e-20,6.6101557392595753e-06,3.7048671429741539e-21,5.9745066742050067e-08,7.23910830407106e-17,5.0976308630832231e-10,3.7477379929510151e-15,9.7771855485027345e-18,2.9466086081553929e-09,3.604331686562736e-16,0.0056947791852023574,0.0055681988525445227,7.7900264390687033e-08,7.5708162322714124e-08,3.9354371963970648e-05,3.0738738441020201e-11,1.3291054576935252e-07,1.6662312621908102e-07,3.798876078909611e-11,1.473361706955462e-10,1.1949217598563844e-06,4.0166946432350132e-11
3.2602724679135777e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32625268744709784,0.11291819455953866,0.020005341242545532,0.0,2.9778298716153819e-06,8.0280262763102642e-05,5.0172411014836688e-05,6.5276313997763671e-10,1.3558740199617581e-20,6.633350750121596e-06,3.7659822790545844e-21,5.9852816675881729e-08,7.3170433214204549e-17,5.1374465797930633e-10,3.7704767749619693e-15,9.8410608445236982e-18,2.9610886151024735e-09,3.6505569510605401e-16,0.0056945860019033158,0.0055792229862498804,7.8054499105136312e-08,7.5972128161323104e-08,3.9412262540220244e-05,3.0824883749380564e-11,1.3310609311140603e-07,1.6661760367966787e-07,3.8128106030192952e-11,1.4845400401922342e-10,1.2004941441657979e-06,4.0333829936722918e-11
3.2673612292304774e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32624179685922478,0.11291815444808681,0.019999714963060248,0.0,3.0007544386655759e-06,8.0653944263003728e-05,5.0382075484531785e-05,6.5849035654568882e-10,1.3686509742359383e-20,6.6565676647071729e-06,3.8279711507827141e-21,5.9960437949195337e-08,7.395652060246166e-17,5.1774801272760111e-10,3.793296479273565e-15,9.9052181445125655e-18,2.9756010788518413e-09,3.6972793457726021e-16,0.0056943928721105846,0.0055902426719738347,7.820866889390105e-08,7.6236391670945237e-08,3.9470101814901284e-05,3.0911071355624802e-11,1.3330146100075554e-07,1.6661207553479836e-07,3.8267676475131882e-11,1.4957775154871009e-10,1.2060770216144976e-06,4.0501029820626908e-11
3.2737411144156874e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32623199912079903,0.11291811793582389,0.019994652985394913,0.0,3.0214924594924875e-06,8.0990869004092463e-05,5.0571121197543613e-05,6.6367701233046138e-10,1.3802279160803456e-20,6.6774815477951574e-06,3.8845168785804538e-21,6.0057187531572397e-08,7.4669795355026876e-17,5.2136971219501286e-10,3.8139034720111378e-15,9.9632013909039984e-18,2.9886900207432996e-09,3.7397580947684794e-16,0.005694219101033216,0.0056001565874758017,7.8347366150118628e-08,7.6474482878471371e-08,3.9522113409649122e-05,3.0988676487730866e-11,1.3347713894386448e-07,1.6660709532295403e-07,3.8393482304435123e-11,1.5059419585639135e-10,1.2111105711151034e-06,4.0651780065201642e-11
3.2801209996008974e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32622220497219062,0.11291808103351123,0.019989592592801649,0.0,3.0423311148254883e-06,8.1328372284893347e-05,5.0760496148924769e-05,6.6889425532885091e-10,1.3918787863834089e-20,6.6984130469202075e-06,3.9417866043397936e-21,6.0153833717916711e-08,7.5388594008701779e-17,5.2500915962236146e-10,3.8345761425777671e-15,1.002141410927644e-17,3.0018052040982222e-09,3.7826461445685242e-16,0.0056940453732740055,0.0056100669026712324,7.8486010738145276e-08,7.6712814348785437e-08,3.9574083654887621e-05,3.106631575955045e-11,1.336526720421497e-07,1.6660211040394895e-07,3.8519470328070524e-11,1.5161545841726595e-10,1.2161525980192119e-06,4.0802786287695339e-11
3.2865008847861075e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32621241441211396,0.11291804374136533,0.019984533784605043,0.0,3.06327069250945e-06,8.1666453456495999e-05,5.0950200191622758e-05,6.7414220044743822e-10,1.4036039080616861e-20,6.7193621025869044e-06,3.9997881413685647e-21,6.025037689268985e-08,7.611294836253247e-17,5.2866640414260797e-10,3.8553145527440612e-15,1.0079856796994759e-17,3.0149466058619064e-09,3.825946661841753e-16,0.0056938716888225898,0.0056199736187705317,7.8624602620740925e-08,7.6951385684118619e-08,3.9626012646522409e-05,3.1143988785968681e-11,1.338280605392981e-07,1.6659712069678982e-07,3.8645640444720474e-11,1.5264155241509367e-10,1.2212030918907864e-06,4.0954048350895672e-11
3.2928807699713175e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32620262743928563,0.11291800605960266,0.019979476560130056,0.0,3.0843114806184314e-06,8.2005111870023985e-05,5.1140233178519491e-05,6.7942096272792229e-10,1.4154036048169425e-20,6.7403286554138391e-06,4.0585293709849422e-21,6.0346817438144523e-08,7.6842890328939681e-17,5.3234149490592773e-10,3.8761187641711081e-15,1.0138529951795612e-17,3.0281142029422478e-09,3.8696628314666634e-16,0.00569369804766863,0.0056298767369831818,7.8763141760981689e-08,7.7190196476577398e-08,3.9677900479794971e-05,3.1221695892479451e-11,1.3400330467030736e-07,1.6659212612716722e-07,3.87719925460076e-11,1.5367249099075979e-10,1.2262620422960702e-06,4.1105566117651469e-11
3.2979827630131005e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32619480337942275,0.11291797564527702,0.019975433437830269,0.0,3.1012108207275055e-06,8.2276351895976818e-05,5.1292439136792328e-05,6.8366464165542879e-10,1.4248937030467845e-20,6.757108155282749e-06,4.1060423483130418e-21,6.0423867327339502e-08,7.743066719339014e-17,5.3529333968217044e-10,3.8928032809014691e-15,1.0185617044071687e-17,3.0386631628481838e-09,3.9049239025147522e-16,0.0056935592180192025,0.0056377936705841094,7.8873893508294391e-08,7.7381345470812905e-08,3.9719365616349516e-05,3.1283862717867823e-11,1.3414334364080924e-07,1.6658812842115238e-07,3.8873167186750715e-11,1.5450042743055925e-10,1.2303137624296895e-06,4.1226918763274093e-11
3.3030847560548834e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32618698161220128,0.1129179449820327,0.019971391327575496,0.0,3.11817521882814e-06,8.2547960332802559e-05,5.1444855291966466e-05,6.8792816138857868e-10,1.4344318673282921e-20,6.7738987767685522e-06,4.1540375537962402e-21,6.0500852019509325e-08,7.8022054356780576e-17,5.3825665408044839e-10,3.9095299496349202e-15,1.0232852098071159e-17,3.0492288485411105e-09,3.9404544862062469e-16,0.0056934204160474936,0.0056457083046558242,7.8984611483755055e-08,7.757264714713168e-08,3.9760804539846642e-05,3.1346050807901929e-11,1.3428329056026524e-07,1.6658412751527597e-07,3.8974458094519625e-11,1.5533147726507314e-10,1.2343708786789867e-06,4.1348434778396006e-11
