Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
9.753181363042891e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3300034463227221,0.1129108681913356,0.021926440899102954,0.0,3.6741443796176046e-17,3.6329189326415665e-06,7.8502613933805303e-07,1.9977849106854791e-14,7.8930962828272703e-21,1.21588450496849e-08,3.4937857503046653e-29,1.5937475248413063e-08,8.9039102766997015e-22,3.7511744726642342e-23,1.4298494114463842e-17,3.0316323540541335e-20,1.7653499819652567e-16,1.8368468324676868e-21,0.005753142980648605,0.0017894681961695747,1.7045726070560912e-09,1.629563186492878e-05,3.1530210781275146e-13,5.5033403784788937e-13,9.5642283094987504e-08,5.0599602724706138e-06,3.6463854477197756e-10,5.2395322660195979e-08,6.3828570494968909e-13,1.3892507270400045e-15
9.797546368598668e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32999537597330203,0.11291075419691181,0.021922492070663317,0.0,3.7553733938127044e-17,3.6911656967263604e-06,7.9682086502427853e-07,2.0231890244939143e-14,8.1145887620282662e-21,1.2224454889180326e-08,3.5805938071864737e-29,1.604646559345036e-08,9.038607325618156e-22,3.8428533151177801e-23,1.4620515325890763e-17,3.0921166839535176e-20,1.8027226506863946e-16,1.8725069688955995e-21,0.0057532066687997849,0.0017973540539921763,1.7116267309251832e-09,1.6377130551454981e-05,3.1828184750351932e-13,5.5839282795588309e-13,9.6830515357362303e-08,5.0972065866144657e-06,3.6895694552818985e-10,5.3254142981753975e-08,6.4786021414978512e-13,1.4127684403306329e-15
9.841911374154445e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32998731371636175,0.11291064598198243,0.021918544146376038,0.0,3.8379278249125564e-17,3.7499536777201445e-06,8.0873160638347444e-07,2.0488059592019973e-14,8.3409411868840024e-21,1.2290163213362491e-08,3.6691869048806015e-29,1.6155595320939516e-08,9.1747749219432036e-22,3.9364284696221262e-23,1.4948041957338968e-17,3.1535076493869139e-20,1.8406599096755046e-16,1.9087054434797029e-21,0.0057532643710606884,0.0018052379874646432,1.7186791797365291e-09,1.645834849079613e-05,3.212697939404822e-13,5.6652997526580265e-13,9.8025762624110979e-08,5.1345361392907903e-06,3.73304996232378e-10,5.4121189182270402e-08,6.5752860258213751e-13,1.436541442790984e-15
9.886276379710221e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32997925936935718,0.11291054336376,0.02191459712581267,0.0,3.9218209011833259e-17,3.8092828543897211e-06,8.2075883293883999e-07,2.074636574111386e-14,8.572227701354128e-21,1.2355969937553315e-08,3.7595943118554043e-29,1.6264860635451689e-08,9.3124229841331012e-22,4.0319320550499425e-23,1.5281134060186377e-17,3.2158141497734143e-20,1.8791662165128886e-16,1.9454481213289503e-21,0.0057533162702761327,0.0018131199969742924,1.7257299520773222e-09,1.6539285520868791e-05,3.2426586777042093e-13,5.7474556952041263e-13,9.9228001795233068e-08,5.1719484267892201e-06,3.7768273385887794e-10,5.4996462441828578e-08,6.6729124545990035e-13,1.4605707137940289e-15
9.930641385265998e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32997121275524222,0.11291044616501963,0.021910651008549307,0.0,4.0070658866007575e-17,3.86915317146981e-06,8.3290301182433216e-07,2.1006817281440421e-14,8.8085230117549205e-21,1.2421874974681396e-08,3.8518456566636622e-29,1.6374257764915135e-08,9.4515614494788623e-22,4.1293966010647576e-23,1.5619851841924511e-17,3.279045120466539e-20,1.9182460130325744e-16,1.9827409070154941e-21,0.0057533625437284196,0.0018210000829017878,1.7327790465697496e-09,1.6619941548466883e-05,3.2726999097052766e-13,5.8303969726183521e-13,1.0043720984950483e-07,5.2094429476600111e-06,3.8209019486886278e-10,5.5879963380957409e-08,6.7714851601964396e-13,1.4848572274004195e-15
9.975006390821774e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32996317370230138,0.11291035421392973,0.021906705794166405,0.0,4.09367608069067e-17,3.92956454037292e-06,8.4516460778072659e-07,2.1269422798424033e-14,9.0499023856527683e-21,1.2487878235303557e-08,3.9459709308416673e-29,1.6483782961171398e-08,9.5922002738479223e-22,4.2288550510900007e-23,1.5964255661845196e-17,3.3432095325716087e-20,1.9579037249802277e-16,2.0205897446490375e-21,0.0057534033633065348,0.0018288782456214138,1.7398264618703734e-09,1.6700316547817932e-05,3.3028208684537916e-13,5.9141244186802607e-13,1.0165336385199604e-07,5.247019202711865e-06,3.8652741521496844e-10,5.677169207140787e-08,6.8710078551852663e-13,1.5094019524778857e-15
9.999999999999998e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32995864806297515,0.11291030466008672,0.021904483603218835,0.0,4.1430752861791452e-17,3.9638362983416256e-06,8.5212422016746471e-07,2.1418316846276782e-14,9.1881540108065931e-21,1.2525105260261511e-08,3.9998342726429183e-29,1.654554041517361e-08,9.6720954709352824e-22,4.2857768686895049e-23,1.6160806807281052e-17,3.3797718454384123e-20,1.9805015751831109e-16,2.0421595037854267e-21,0.005753424020746893,0.0018333156653839295,1.7437959759765348e-09,1.6745473116338261e-05,3.3198247317589053e-13,5.9616398852230894e-13,1.0234155039203367e-07,5.2682240862887359e-06,3.8904030013175185e-10,5.7277682259439888e-08,6.9274950116038442e-13,1.5233436176942224e-15
1.0019371396377551e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32995514204398679,0.11291026734388807,0.021902761482248703,0.0,4.1816648183788448e-17,3.9905168398995769e-06,8.5754408315190665e-07,2.1534190873695392e-14,9.2964416508012257e-21,1.2553979627626646e-08,4.0420004918162274e-29,1.6593432500512871e-08,9.7343494314299009e-22,4.3303407652674233e-23,1.6314406026753993e-17,3.4083163927628081e-20,1.9981437616805075e-16,2.0590006179501653e-21,0.0057534388956702164,0.0018367544855013396,1.7468721966695699e-09,1.6780410559137091e-05,3.3330208002527877e-13,5.9986388365125337e-13,1.0287644096293553e-07,5.2846766950081343e-06,3.9099443034576465e-10,5.7671648046962937e-08,6.9714842323148514e-13,1.5342058529529615e-15
1.0063736401933328e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32994711761876028,0.11291018539336263,0.021898818072385046,0.0,4.2710454698519173e-17,4.0520099169484231e-06,8.7004189788136539e-07,2.1801130085093146e-14,9.5482171941208767e-21,1.2620179057529522e-08,4.1399650658195166e-29,1.6703202684201807e-08,9.878018914484566e-22,4.4338875234057208e-23,1.6670363586710912e-17,3.4743747431000071e-20,2.0389705157138142e-16,2.0979795503226755e-21,0.0057534693024090195,0.0018446288029038719,1.7539162496908143e-09,1.6860223687181091e-05,3.3632989647234796e-13,6.0839410017128782e-13,1.0410641844675216e-07,5.3224149298626263e-06,3.954912752071895e-10,5.8579830314273216e-08,7.0729179644863175e-13,1.5592698879089538e-15
1.0108101407489104e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32993910026993994,0.11291010820573742,0.021894875564168314,0.0,4.361831440428356e-17,4.1140435872257374e-06,8.826585095089303e-07,2.2070249006665329e-14,9.8053059606970373e-21,1.2686476428585329e-08,4.239895750811708e-29,1.681308983897084e-08,1.0023218733092058e-21,4.5395295279187751e-23,1.7032189130799389e-17,3.5413936608453143e-20,2.0803883626024041e-16,2.1375326049249077e-21,0.0057534947401965408,0.0018525011981857043,1.7609586196900626e-09,1.6939756099805926e-05,3.3936546347495211e-13,6.170031662414923e-13,1.053432736784311e-07,5.3602334148378225e-06,4.0001798424735224e-10,5.9496237363710142e-08,7.175312704729949e-13,1.5845950116655442e-15
