Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58)
5.753864727135448e-10,0.004023131612903226,0.0,0.0,0.010931572397739861,0.49999976957598258,9.7026976661354427e-32,4.2753941183161684e-06,6.9874469681054743e-18,1.0247119572649843e-23,2.8562352462500902e-33,2.9277845105506191e-10,7.1715625864131843e-10,0.0,0.49869524316589953,1.4029026324585366e-07,0.0012394217776945018,2.3042401818377522e-07,2.7715356181601836e-05,1.2115384520772256e-06,9.763336623433241e-06
5.775203348771601e-10,0.004023131612903226,0.0,0.0,0.010931539632346832,0.4999997695766733,9.9528992478655222e-32,4.2921337476589261e-06,7.0807792927197437e-18,1.0429393732789361e-23,2.9352576449849523e-33,2.9295149364441848e-10,7.2091782056933615e-10,0.0,0.49869468909424591,1.4028968680390732e-07,0.0012397196434239637,2.3042332742005517e-07,2.7826895087753185e-05,1.2111801855490431e-06,9.7964615501952807e-06
5.796541970407754e-10,0.004023131612903226,0.0,0.0,0.010931506886441743,0.4999997695773637,1.0208443138065667e-31,4.3088632944319279e-06,7.1749311087889129e-18,1.0614097036830962e-23,3.0161033453462198e-33,2.9312284425790243e-10,7.2467990368389259e-10,0.0,0.49869413979649624,1.4028911195691602e-07,0.0012400130600801705,2.3042263706725056e-07,2.7938281491482646e-05,1.2108222572032905e-06,9.8295666488294452e-06
5.817880592043907e-10,0.004023131612903226,0.0,0.0,0.010931474160000954,0.49999976957805359,1.0469419544142881e-31,4.3255827710244733e-06,7.2699056748736745e-18,1.0801250762598141e-23,3.0988059250090789e-33,2.9329252792143318e-10,7.2844248410926661e-10,0.0,0.49869359520435591,1.4028853868536359e-07,0.0012403020965421382,2.3042194712486286e-07,2.8049515088729026e-05,1.2104646664801754e-06,9.8626519435556963e-06
5.839219213680059e-10,0.004023131612903226,0.0,0.0,0.01093144145300087,0.49999976957874315,1.0735919788174933e-31,4.3422921898019473e-06,7.3657062443073344e-18,1.0990876272286148e-23,3.1833994201892193e-33,2.934605692969307e-10,7.3220553833117054e-10,0.0,0.4986930552505815,1.4028796696999736e-07,0.001240586820618231,2.3042125759239444e-07,2.8160595584686188e-05,1.210107412820224e-06,9.8957174585464874e-06
5.860557835316212e-10,0.004023131612903226,0.0,0.0,0.010931408765417948,0.49999976957943232,1.1008036315491121e-31,4.3589915631058648e-06,7.4623360652085537e-18,1.1182995012326696e-23,3.2699183296417064e-33,2.9362699268759375e-10,7.3596904319148537e-10,0.0,0.49869251986896629,1.4028739679183927e-07,0.0012408672990628054,2.3042056846934873e-07,2.827152269365139e-05,1.209750495664399e-06,9.9287632179269399e-06
5.881896456952365e-10,0.004023131612903226,0.0,0.0,0.010931376097228683,0.49999976958012099,1.1285862703276206e-31,4.3756809032539076e-06,7.5597983804941414e-18,1.1377628513253003e-23,3.3583976186735619e-33,2.9379182204310077e-10,7.3973297588307125e-10,0.0,0.49869198899432299,1.4028682813225001e-07,0.0012411435975926044,2.3041987975523012e-07,2.8382296138876049e-05,1.2093939144542076e-06,9.9617892457750766e-06
5.903235078588518e-10,0.004023131612903226,0.0,0.0,0.010931343448409623,0.49999976958080933,1.1569493669197394e-31,4.392360222539961e-06,7.6580964278919506e-18,1.1574798389565166e-23,3.4488727231700117e-33,2.9395508096473717e-10,7.4349731394465237e-10,0.0,0.49869146256246805,1.4028626097285176e-07,0.0012414157809028912,2.3041919144954389e-07,2.849291565241881e-05,1.2090376686318036e-06,9.9947955661219607e-06
5.924573700224671e-10,0.004023131612903226,0.0,0.0,0.01093131081893736,0.49999976958149717,1.185902508005422e-31,4.4090295332341698e-06,7.7572334399537757e-18,1.177452633959584e-23,3.5413795536343667e-33,2.9411679271044705e-10,7.4726203525577834e-10,0.0,0.49869094051020657,1.4028569529550859e-07,0.001241683912683336,2.3041850355179637e-07,2.860338097500092e-05,1.2086817576400807e-06,1.0027782202951911e-05
5.945912321860823e-10,0.004023131612903226,0.0,0.0,0.010931278208788531,0.49999976958218467,1.2154553960451262e-31,4.4256888475829828e-06,7.857212644068326e-18,1.1976834145376319e-23,3.6359544992414881e-33,2.9427698019981316e-10,7.5102711803185674e-10,0.0,0.49869042277531639,1.4028513108241322e-07,0.0012419480556336525,2.3041781606149495e-07,2.8713691855863863e-05,1.2083261809227611e-06,1.0060749180202677e-05
5.967250943496976e-10,0.004023131612903226,0.0,0.0,0.010931245617939817,0.49999976958287179,1.2456178501493668e-31,4.4423381778091897e-06,7.9580372624742493e-18,1.2181743672502885e-23,3.7326344319047919e-33,2.9443566601896455e-10,7.547925408192591e-10,0.0,0.49868990929653317,1.402845683160252e-07,0.0012422082714789924,2.304171289781477e-07,2.8823848052629265e-05,1.2079709379244726e-06,1.0093696521765616e-05
5.988589565133129e-10,0.004023131612903226,0.0,0.0,0.010931213046367945,0.49999976958355841,1.2763998069505221e-31,4.4589775361119979e-06,8.0597105122731895e-18,1.2389276870003522e-23,3.8314567103567567e-33,2.9459287242541265e-10,7.5855828249049649e-10,0.0,0.49868940001353596,1.4028400697901509e-07,0.001242464620985101,2.3041644230126392e-07,2.8933849331160898e-05,1.207616028090829e-06,1.0126624251485869e-05
