Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),H2OX(23),CH3OO(77),C2H6X(52)
6.401393203337883e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319729431,0.11866996602738379,0.022821567692992227,0.0,1.1144362941907057e-42,4.2400566600595828e-30,0.0,1.5767262672102053e-39,0.0,6.5093255054843492e-19,9.1737825584206298e-84,6.5093006217995118e-19,2.4227598797808959e-56,3.4856679460836809e-47,0.0,0.0,6.2608545910880386e-38,7.1719693205037014e-66,2.5814948943341385e-12,1.2412056861963838e-13,4.7842770996335149e-17,3.3809293295064273e-26,4.7842773450887941e-17,1.4868510997574267e-40,6.2576688368604375e-37,2.076509506030996e-30,1.3361693073608332e-50
1.2802791833208623e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319458858,0.11866996602480225,0.022821567692930166,0.0,1.7830222806344896e-41,1.6960237439696252e-29,0.0,1.2613821404020911e-38,0.0,1.3018706295473668e-18,5.8712445634520058e-82,1.3018606760675387e-18,3.876419554675715e-55,5.5768263733210107e-46,0.0,0.0,5.0084722058243722e-37,2.2950324854383421e-64,5.1629919754920003e-12,2.4824124245450503e-13,9.5685577638073403e-17,1.352310341331353e-25,9.5685587456296589e-17,1.189481760676986e-39,5.0059147952196986e-36,8.3060703922411889e-30,2.1378729524229432e-49
2.5605589092950103e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318917713,0.11866996601963915,0.022821567692806046,0.0,2.8525897499684093e-40,6.7840971456278015e-29,0.0,1.0091060179341891e-37,0.0,2.6037617174918981e-18,3.7576183935923578e-80,2.6037219035634687e-18,6.202273419720961e-54,8.9221316119215264e-45,0.0,0.0,4.0064350019243297e-36,7.3441066295742972e-63,1.0325986133192315e-11,4.964825901147264e-13,1.9137117618719395e-16,5.4087451466100173e-25,1.9137121546014532e-16,9.515857591825124e-39,4.0043749859759464e-35,3.322450882892967e-29,3.4205978810508091e-48
5.1211183612433056e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317835429,0.11866996600931297,0.022821567692557804,0.0,4.5633541963911422e-39,2.7136393000867325e-28,0.0,8.0728470452634692e-37,0.0,5.207603613149424e-18,2.4049010504581945e-78,5.2074443574383456e-18,9.9236364081204937e-53,1.427286919394669e-43,0.0,0.0,3.2045979351754259e-35,2.3501139042535197e-61,2.0651974430131317e-11,9.9296528539712196e-13,3.8274231434802994e-16,2.1631001545096536e-24,3.8274247144023078e-16,7.6126874487018169e-38,3.202927389234549e-34,1.3289979002496997e-28,5.4729559631221829e-47
1.0242237265139896e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315670861,0.1186699659886606,0.022821567692061322,0.0,7.2988396892059967e-38,1.0854558147103751e-27,0.0,6.458273483875236e-36,0.0,1.0415526283390958e-17,1.5391966644184207e-76,1.0414889260720169e-17,1.5877808540736915e-51,2.2828450211858839e-42,0.0,0.0,2.5627979679592869e-34,7.5203600155340763e-60,4.130395095016279e-11,1.9859306758097268e-12,7.6548435492022848e-16,8.6492169629825761e-24,7.6548498329204273e-16,6.0901504653425726e-37,2.5614254972084823e-33,5.3161307102473311e-28,8.7567239923991921e-46
2.0484475072933077e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311341718,0.11866996594735588,0.022821567691068356,0.0,1.1670063228278346e-36,4.3418234986612978e-27,0.0,5.1666111852939879e-35,0.0,2.0832327138402324e-17,9.8514441796548717e-75,2.0829779049412086e-17,2.5404457538593632e-50,3.6499493082072936e-41,0.0,0.0,2.0488308850394215e-33,2.4065118449370373e-58,8.2607903694839635e-11,3.9718614560262051e-12,1.5309674930679078e-15,3.4571420720376727e-23,1.5309700065789202e-15,4.8721205048815132e-36,2.0476753140590297e-32,2.1265633178699637e-27,1.4010737848673309e-44
4.096895068851944e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302683433,0.11866996586474642,0.022821567689082424,0.0,1.8646293639493657e-35,1.7367294878032212e-26,0.0,4.1332764021537796e-34,0.0,4.166975089711812e-17,6.3056710582987437e-73,4.1659558555309006e-17,4.0647012419123581e-49,5.8316064497528501e-40,0.0,0.0,1.6368170944591981e-32,7.7008156091415741e-57,1.6521580800264893e-10,7.9437230140243781e-12,3.0619299973858176e-15,1.3808251637870907e-22,3.0619400516188824e-15,3.8976963450362047e-35,1.6358006778786597e-31,8.5071410323160582e-27,2.241711260581784e-43
6.145342630410581e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756294025148,0.11866996578213695,0.022821567687096492,0.0,6.8585228129204585e-35,3.6905502753585463e-26,0.0,1.2270643039701185e-33,0.0,6.2510996695103522e-17,3.580154128310196e-72,6.2489337989719021e-17,1.5377568543724779e-48,2.2218632628030352e-39,0.0,0.0,4.6765876504871026e-32,3.5924092784983093e-56,2.4782371112891378e-10,1.1915584569587763e-11,4.5928887297356841e-15,2.9312745284351043e-22,4.5929100952571772e-15,1.1144975333401802e-34,4.6735305241012749e-31,1.807897844680984e-26,8.4808366226993872e-43
1.0242237753527853e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756276708583,0.11866996561691805,0.022821567683124631,0.0,5.2645327763646721e-34,1.0203286731565331e-25,0.0,5.7477933802284167e-33,0.0,1.0420877637281218e-16,9.6274943925284726e-71,1.0414889657259144e-16,1.2136064133355604e-47,1.8221778310576826e-38,0.0,0.0,2.1440847376150011e-31,4.8140349466254237e-55,4.1303951265526615e-10,1.9859307670977245e-11,7.6547911066386823e-15,8.0829534139437092e-22,7.6548501779887771e-15,5.1218162542102158e-34,2.1424711292891454e-30,4.9992351880225888e-26,6.6931232513954088e-42
1.3929443364333399e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756261123677,0.11866996546822103,0.022821567679549955,0.0,1.4483067563065007e-33,1.816903146828075e-25,0.0,1.3263568169003532e-32,0.0,1.4174912707194146e-16,4.181065743114532e-70,1.4164249906620063e-16,3.4057658677725734e-47,5.3069757960282617e-38,0.0,0.0,4.819955770326904e-31,1.5977409004323863e-54,5.617337302113841e-10,2.700865845436306e-11,1.0410491058643607e-14,1.4368437339133113e-21,1.0410596249530628e-14,1.1529156574532173e-33,4.816063523445429e-30,8.903253735226221e-26,1.8783032891637195e-41
