Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
1.8559646102513778e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44233181599076443,0.0926807899620118,0.01319609486455576,1.1203090608639267e-06,0.004639632988338794,0.029174153450678884,0.014503988010091154,5.994208603316392e-05,3.4242392025910794e-11,0.0022709236533270437,7.00052605233755e-11,0.0004715578284246517,3.238794404050679e-09,4.295994999228189e-05,1.2438219569982348e-09,8.138730750347167e-11,4.697848363824183e-05,1.4881901425087706e-05,0.006650746832462861,1.4644018719259562e-05,0.0004056537307348047,1.209737315770137e-07,7.455361431005973e-09,6.170380388285524e-08,2.081052801622104e-07,2.689162504543118e-08,0.00013024142349717156,0.0021888287388415347,1.1127997075392364e-07,0.0005830901301363919,1.561147927457707e-11,2.3550864333684696e-05,4.488522536729453e-08,4.249024567808678e-11,7.029647372937413e-09,1.6750032641609221e-06,4.1947323091732056e-12
1.8614390575555776e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44232166327692474,0.0926353317174412,0.013174511947208487,1.1228800816661376e-06,0.00464433719623675,0.029267000785490018,0.014543000169335058,5.9869894990077226e-05,3.4541342253766026e-11,0.002269609011059704,6.993691978826014e-11,0.00047179303146755136,3.2378101319637607e-09,4.273054998479149e-05,1.2477901896831037e-09,8.159964741249789e-11,4.6742865797499416e-05,1.4939065479977377e-05,0.0066473325826804115,1.4553357105035173e-05,0.0004062227641263342,1.2039331567029014e-07,7.438858915930935e-09,6.17601744704746e-08,2.0831137374673143e-07,2.7096662399266892e-08,0.00013104862041974621,0.0021992588745195496,1.1156796420490823e-07,0.0005849346256682962,1.5591253547008656e-11,2.3641329670154327e-05,4.5004923035778285e-08,4.266094739951334e-11,7.0254166353539935e-09,1.6814762638727348e-06,4.2107483794126045e-12
1.8669135048597773e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4423114859077835,0.0925898992037112,0.013152965304866893,1.1254451471437176e-06,0.004649022224088361,0.029359804327023172,0.014581955536940722,5.979791278399864e-05,3.484180231452089e-11,0.0022682974219391723,6.986903248560346e-11,0.00047202776329002794,3.236840788084804e-09,4.250232323580932e-05,1.2517556308394175e-09,8.181149214090814e-11,4.650877401806431e-05,1.4996299327106838e-05,0.0066439199640529675,1.4463427526846877e-05,0.00040679065719837837,1.1981654922523162e-07,7.422400979839692e-09,6.181726593996474e-08,2.0851658657567784e-07,2.7302662284767535e-08,0.00013185852851947276,0.0022097107146218076,1.1185551334666471e-07,0.0005867781270498232,1.5571037611090084e-11,2.373190545802009e-05,4.512443690220763e-08,4.283167766510772e-11,7.021195143813257e-09,1.6879564094877293e-06,4.226783145676692e-12
1.872387952163977e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4423012838848089,0.09254449238174767,0.013131454877567313,1.1280042634429747e-06,0.004653688166657348,0.029452564087018216,0.014620854162069926,5.972613876448383e-05,3.514377333688248e-11,0.0022669888744764268,6.980159743141064e-11,0.00047226202614215613,3.235886355667178e-09,4.227526604445367e-05,1.2557182733872713e-09,8.202284244908192e-11,4.627619563997213e-05,1.5053603890292835e-05,0.006640508974121578,1.4374222361162901e-05,0.000407357414621977,1.1924340169940016e-07,7.405987466772158e-09,6.187508011244087e-08,2.0872092291653032e-07,2.750962649839726e-08,0.0001326711499236156,0.002220184260897842,1.1214261854308509e-07,0.0005886206342675662,1.555083188923164e-11,2.3822593159292767e-05,4.524376711084372e-08,4.3002435499369333e-11,7.016982862802854e-09,1.6944438028281753e-06,4.242836864301763e-12
1.8778623994681768e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422910572099304,0.09249911121278481,0.013109980605436566,1.130557436795312e-06,0.004658335118066453,0.02954528007720098,0.014659696094122715,5.965457227277903e-05,3.5447256432124e-11,0.002265683357191948,6.973461343300709e-11,0.0004724958222579977,3.234946818122045e-09,4.204937467432223e-05,1.259678110325751e-09,8.223369909781018e-11,4.604511815705763e-05,1.5110980098115665e-05,0.006637099610457126,1.4285734087406074e-05,0.0004079230410323532,1.18673842912245e-07,7.389618221337609e-09,6.193361880753859e-08,2.0892438700813477e-07,2.7717556828232536e-08,0.00013348648672481533,0.002230679514572154,1.1242928015985168e-07,0.0005904621473087758,1.5530636800450412e-11,2.3913394243522986e-05,4.536291380675828e-08,4.3173219932217566e-11,7.0127797568481495e-09,1.7009385462359545e-06,4.2589097929377775e-12
1.8833368467723766e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44228080588553664,0.09245375565836121,0.01308854242869187,1.1331046735164753e-06,0.00466296317180489,0.02963795230927913,0.014698481382733558,5.958321264228144e-05,3.57522526941487e-11,0.0022643808586177558,6.966807928998807e-11,0.0004727291538556994,3.234022159034721e-09,4.18246453547437e-05,1.2636351347320625e-09,8.244406284827745e-11,4.5815529214072346e-05,1.5168428883952573e-05,0.006633691870659983,1.4197955286167439e-05,0.00040848754102930027,1.18107843039431e-07,7.373293088721529e-09,6.199288384336579e-08,2.0912698306124343e-07,2.7926455053905846e-08,0.00013430454098110875,0.002241196476348238,1.1271549856442642e-07,0.0005923026661612815,1.551045275995367e-11,2.4004310187852047e-05,4.5481877135852564e-08,4.3344029998946924e-11,7.008585790516893e-09,1.7074407425760175e-06,4.275002190562061e-12
1.8888112940765764e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422705299144731,0.09240842568031556,0.013067140287640734,1.135645980005796e-06,0.004667572420735658,0.029730580794938247,0.014737210077767574,5.95120591989836e-05,3.605876319955376e-11,0.0022630813672993564,6.96019937951345e-11,0.00047296202313759086,3.2331123621806317e-09,4.1601074282000923e-05,1.2675893397606792e-09,8.265393446204421e-11,4.558741660387409e-05,1.5225951186010589e-05,0.00663028575235962,1.411087863745649e-05,0.0004090509191775659,1.1754537260713111e-07,7.357011914690066e-09,6.205287703647954e-08,2.093287152587802e-07,2.8136322946561007e-08,0.0001351253147159379,0.0022517351464125994,1.130012741260621e-07,0.0005941421908134197,1.549028018032197e-11,2.4095342477064214e-05,4.5600657244850384e-08,4.3514864740327175e-11,7.0044009284254254e-09,1.7139504952398811e-06,4.291114317488638e-12
1.894285741380776e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44226022930003933,0.09236312124078246,0.013045774122680846,1.1381813627454264e-06,0.004672162957102704,0.029823165545837988,0.014775882229316856,5.944111126190288e-05,3.6366789007693956e-11,0.0022617848717976304,6.953635573529586e-11,0.0004731944322902833,3.2322174115402306e-09,4.137865762052625e-05,1.2715407186425309e-09,8.286331470102971e-11,4.536076826468756e-05,1.5283547947358988e-05,0.006626881253214254,1.402449691899369e-05,0.0004096131800072282,1.1698640248534872e-07,7.340774545591357e-09,6.211360020189854e-08,2.0952958775596662e-07,2.8347162268828505e-08,0.0001359488099181708,0.002262295524438738,1.1328660721572684e-07,0.0005959807212539635,1.5470119470707283e-11,2.4186492603640203e-05,4.57192542812451e-08,4.368572320244408e-11,7.0002251352461945e-09,1.7204679081491641e-06,4.307246435371293e-12
1.8997601886849759e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44224990404598774,0.09231784230218872,0.013024443874300002,1.1407108282995628e-06,0.00467673487253794,0.029915706573608404,0.014814497887696818,5.937036814349577e-05,3.6676331160745095e-11,0.0022604913606906357,6.947116389224143e-11,0.00047342638348476845,3.2313372913136545e-09,4.1157391504069716e-05,1.275489264684176e-09,8.307220432749529e-11,4.5135572277433416e-05,1.534122011596381e-05,0.00662347837091049,1.3938803004534055e-05,0.00041017432801406775,1.1643090388266059e-07,7.32458082836188e-09,6.217505515304799e-08,2.0972960468090197e-07,2.8558974774770372e-08,0.00013677502854212816,0.0022728776095910902,1.1357149820608896e-07,0.000597818257472054,1.5449971036036054e-11,2.4277762067809357e-05,4.58376683933241e-08,4.385660443660848e-11,6.9960583757113756e-09,1.7269930857591602e-06,4.323398807218414e-12
1.9052346359891756e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4422395541565202,0.09227258882724931,0.013003149483075975,1.1432343833136697e-06,0.004681288258068125,0.030008203889846374,0.01485305710344263,5.9299829150057996e-05,3.6987390683767326e-11,0.002259200822575349,6.940641704348093e-11,0.00047365787887651724,3.2304719859352244e-09,4.093727203684092e-05,1.2794349712669791e-09,8.328060410402795e-11,4.491181686312324e-05,1.5398968644721786e-05,0.006620077103162972,1.3853789862229846e-05,0.0004107343676599349,1.1587884834104299e-07,7.308430610530772e-09,6.223724370172256e-08,2.0992877013484665e-07,2.877176220983122e-08,0.00013760397250759667,0.0022834814005289776,1.1385594747154817e-07,0.0005996547994571325,1.5429835278734324e-11,2.4369152377603143e-05,4.595589973017412e-08,4.402750749954478e-11,6.991900614617979e-09,1.7335261330624558e-06,4.339571697404186e-12
