Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(141),C4H5X(381),C4H5X(374),C2H6(343),C4H7X(140),C4H7X(142),C4H7X(143),H2(190),C4H6a(380),C4H5X(577),C2H5(67)
1.1309081729243985e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583399886,0.66999999999814241,1.3189268173455576e-40,0.0,6.4475533375482688e-29,2.2638564233850299e-49,2.6498736193341391e-68,0.0,3.9054954979009733e-91,5.9723973080810633e-79,0.0,1.8577099531186064e-12,1.8577099531185498e-12,2.8125592603292175e-26,3.8494173492467107e-31,6.4117318423483793e-29,7.3999878239549188e-42,1.0882405816407462e-43,1.1970617820723186e-41,3.9108804874480057e-40,3.0611780041940654e-52,3.5441653017882867e-53,2.7270236965897079e-40,1.2465147911384073e-51,9.1627807384681433e-65,1.6767075717390751e-40
2.2618173045323465e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583028344,0.66999999999628468,2.0989875851973201e-39,0.0,2.5790163612423825e-28,9.0554312955794465e-49,8.439067611472266e-67,0.0,9.9468534980396669e-89,3.8043439062561136e-77,0.0,3.7154214801888397e-12,3.7154214801886144e-12,1.1250244191958042e-25,3.0647318785897604e-30,2.5505071871594424e-28,1.1784902925705498e-40,1.7330852315521105e-42,1.9152962724568354e-40,3.1125510226842701e-39,9.7440002617198307e-51,1.1281586406229959e-51,2.1816211117625132e-39,1.9851459433284882e-50,2.9186662944156209e-63,1.3413638408308422e-39
4.523635567748242e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582285261,0.66999999999256921,3.3227752107677043e-38,0.0,1.0316015813459062e-27,3.6221735442802721e-48,2.6749203323995299e-65,0.0,2.5205512569086015e-86,2.4120706344061485e-75,0.0,7.4308445286762855e-12,7.4308445286753857e-12,4.5000991041652128e-25,2.4284511999531202e-29,1.0090275858843502e-27,1.8682149197362685e-39,2.7473927483048386e-41,3.0644605630006302e-39,2.464576451854845e-38,3.085518634387766e-49,3.5724389139748773e-50,1.7452977461425025e-38,3.1469748140937093e-49,9.2550554001734649e-62,1.0730863319307488e-38
9.047272094180034e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580799094,0.66999999998513837,5.2058757933686313e-37,0.0,4.1263646476063647e-27,1.4488695457400907e-47,9.6807888573587915e-64,0.0,9.5669798051852736e-84,1.9956803847807372e-73,0.0,1.4861690581316818e-11,1.4861690581313219e-11,1.8000399228404224e-24,1.9065127843259287e-28,3.9493975037202097e-27,2.9351533893979198e-38,4.3164300973288077e-40,4.9030895957912312e-38,1.9321041902537479e-37,9.6715091503924719e-48,1.1197801368837299e-48,1.3962385278177553e-37,4.9442136958238419e-48,2.9089646172445768e-60,8.5846100186547358e-38
1.8094545147043618e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577826755,0.66999999997027671,7.9957919789508507e-36,0.0,1.6505121154123646e-26,5.7954777944584864e-47,2.9844023332211309e-62,0.0,2.3559044341043965e-81,1.2329640911587223e-71,0.0,2.9723382335482377e-11,2.9723382335467973e-11,7.2001601856169342e-24,1.4704693009301754e-27,1.5144124923846971e-26,4.5330229008842424e-37,6.6662533786448406e-39,7.8447885554914486e-37,1.4859456213549435e-36,2.9728537048767858e-46,3.44201679312871e-47,1.1169909239557704e-36,7.6357964785431848e-47,8.9901824519493321e-59,6.8675570561280595e-37
3.6189091252770783e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282571882077,0.66999999994055337,1.1839330307865595e-34,0.0,6.6017775994863959e-26,2.3181904810705224e-46,8.827174769120899e-61,0.0,5.5889335972463306e-79,7.3273913820737367e-70,0.0,5.944676304912694e-11,5.9446763049069334e-11,2.8800640647404133e-23,1.09795793607352e-26,5.5913980910714538e-26,6.784343635424533e-36,9.9770400616061639e-38,1.2551163116554059e-35,1.1031809846105716e-35,8.8146452121242744e-45,1.0205745614728464e-45,8.9359269303882684e-36,1.1428106231837891e-45,2.693857091747934e-57,5.493835251951421e-36
5.428363735849795e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282565937399,0.66999999991083004,4.3611571189884727e-34,0.0,1.4028379157282119e-25,4.9261536858103763e-46,3.8297027944590977e-60,0.0,3.3965812069116196e-78,3.5788805834410842e-69,0.0,8.9170139114452791e-11,8.9170139114330342e-11,6.1201359356411534e-23,3.0305485606809777e-26,1.1257769747808896e-25,2.4259082512522501e-35,3.5675349201167466e-37,4.7850445098272327e-35,3.0251518725593407e-35,4.0189337057914196e-44,4.6531905864522757e-45,2.6528531206147361e-35,4.0863993188481312e-45,1.2004936859583605e-56,1.5708589207254242e-35
7.05687288536524e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282560587196,0.66999999988407899,1.0427780862305471e-33,0.0,2.2711660719172128e-25,7.9755191936767387e-46,1.2174296745532769e-59,0.0,2.5429174689577906e-77,1.5401322992237937e-68,0.0,1.1592117239612055e-10,1.159211723959223e-10,9.9085964281074748e-23,5.7490509703811288e-26,1.7484347566707054e-25,5.399579549006673e-35,7.9406083228773504e-37,1.1910054669341231e-34,5.7076554572286333e-35,1.0754813680564199e-43,1.2452109661875007e-44,5.3256613964084459e-35,9.0954957541443876e-45,3.0550945032986678e-56,3.0564012196012285e-35
8.515925299186606e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282555793713,0.66999999986011161,1.9360005681551236e-33,0.0,3.2087082755401655e-25,1.1268040886189908e-45,2.6591478169353696e-59,0.0,8.3582525378730594e-77,3.9046726901353993e-68,0.0,1.3988858535718023e-10,1.3988858535690013e-10,1.3999149252019338e-22,9.0853376114668291e-26,2.386415183938709e-25,9.5831090194442013e-35,1.4092895504366529e-36,2.2777972238550512e-34,8.9786700883304174e-35,2.1862422689845797e-43,2.5312693367939392e-44,8.8042928663409964e-35,1.6142576775245994e-44,5.9711224484902803e-56,4.9296885298322412e-35
9.8283493316436e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282551481957,0.66999999983855285,3.104600353920328e-33,0.0,4.1805584638582672e-25,1.4681131784220257e-45,4.7869474287995013e-59,0.0,2.0173964738133761e-76,7.804874402389596e-68,0.0,1.6144737334265398e-10,1.6144737334228902e-10,1.8239495165658993e-22,1.2890667429409036e-25,3.0184298295517226e-25,1.4887203898431455e-34,2.1893082460633333e-36,3.7426946735528658e-34,1.2689511495011999e-34,3.7721197940767888e-43,4.367426068561664e-44,1.2960500793022806e-34,2.5077230309508377e-44,9.9975323533078505e-56,7.1163300176215563e-35
