Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),CO2X(24),C2H4X(215),C2H4X(70),HOCO(73)
4.572017010066986e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402678783176767,0.07284459755624981,0.005651747869431157,6.954671602766838e-06,0.00046183008855777953,0.07546435611219673,0.03384420037336876,3.720625821888828e-05,4.746158139142925e-10,0.0018016096509118288,5.4302225605451806e-11,0.0005658121783546377,3.2717825929349814e-09,3.397051546098066e-06,3.4824003672843467e-09,1.70697655906639e-10,7.953217905168224e-06,3.603759582645684e-05,0.005203155773320969,3.5777639296412363e-06,0.0006288774298469477,2.9902516030103186e-10,2.5331686697215147e-09,1.244770628660432e-07,1.2801385004621976e-07,0.00039837030702591136,0.00429841352979115,2.545363001891781e-07,0.0015023226489245943,5.550862344808597e-09,5.703114920547146e-05,1.0424852578543473e-07,4.382598082022879e-06,2.060180941164297e-08,1.5137805371932642e-10,1.5258241418222108e-10,1.3189455454899797e-11,4.043127369877723e-06,1.0110449446593611e-11,3.0004757491349837e-13
4.574254825590438e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44026040636259534,0.07283013064499538,0.005647906775390197,6.95395713144454e-06,0.0004618830710795631,0.07549455725792648,0.033851849865014376,3.719617278499883e-05,4.75120226668902e-10,0.0018013743127909176,5.432403354474134e-11,0.0005658633725754442,3.2737473162514837e-09,3.3943552397361805e-06,3.4835022311300115e-09,1.7071549202412562e-10,7.948073131356508e-06,3.609091663703906e-05,0.005202034119744134,3.569280918610467e-06,0.0006289867339093172,2.9837740122047775e-10,2.5311163788341198e-09,1.2465989336966843e-07,1.282762654384601e-07,0.00039911091903420176,0.004305583300094101,2.5458857565447247e-07,0.001502898695012453,5.55004306038634e-09,5.711553334305645e-05,1.042703185244351e-07,4.379992006039779e-06,2.060382333742283e-08,1.5143802919799976e-10,1.5259696515949838e-10,1.3187416443791494e-11,4.0489666441178835e-06,1.0125236907903391e-11,3.0004388054588534e-13
4.57649264111389e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402529332698129,0.07281566686340663,0.005644068410212,6.9532427058315695e-06,0.00046193597200615115,0.07552475075512473,0.033859493943926976,3.718609610518185e-05,4.756247926981875e-10,0.0018011391493810889,5.434594272357136e-11,0.0005659145421006224,3.275718743855458e-09,3.3916612686510708e-06,3.4846035280482338e-09,1.7073329550241375e-10,7.94293170663879e-06,3.614437845592056e-05,0.005200912710665202,3.5608273593682574e-06,0.0006290959781609901,2.977317925223312e-10,2.5290660058293326e-09,1.2484291628463006e-07,1.2853885461021679e-07,0.00039985182360832933,0.004312753862250474,2.5464080851964717e-07,0.0015034745644873354,5.549224324511668e-09,5.7200140635898416e-05,1.0429209352210617e-07,4.3773873637784485e-06,2.0605833490467403e-08,1.5149797816283942e-10,1.5261149753409835e-10,1.3185379416591017e-11,4.0548213690072765e-06,1.0140063394179409e-11,3.0004016948037887e-13
4.5787304566373426e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402454590447573,0.07280120621105775,0.0056402327719024,6.952528326085563e-06,0.0004619887913897694,0.07555493660311176,0.03386713261418629,3.71760281727924e-05,4.761295118182745e-10,0.0018009041606035384,5.4367953351235405e-11,0.0005659656869406412,3.2776968910972464e-09,3.3889696309733914e-06,3.485704258269693e-09,1.7075106638003339e-10,7.937793629146212e-06,3.6197981619057515e-05,0.005199791546115055,3.5524031122054503e-06,0.0006292051626387023,2.970883241718103e-10,2.527017548723348e-09,1.250261315068018e-07,1.2880161737319457e-07,0.0004005930201872378,0.004319925211421303,2.5469299881864796e-07,0.0015040502573573618,5.548406136989168e-09,5.728497161566646e-05,1.043138507929866e-07,4.3747841547249255e-06,2.060783987352207e-08,1.5155790061898527e-10,1.5262601133727294e-10,1.3183344364946475e-11,4.0606915815280876e-06,1.0154928997669632e-11,3.00036441733819e-13
4.580968272160795e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402379836928534,0.07278674868752306,0.005636399858468617,6.951813992363363e-06,0.00046204152928261356,0.0755851148012058,0.03387476587986843,3.716596898119679e-05,4.76634383845306e-10,0.001800669346379472,5.439006563733387e-11,0.0005660168071059532,3.279681773348759e-09,3.3862803248343493e-06,3.4868044220249417e-09,1.7076880469547325e-10,7.932658897010022e-06,3.6251726462814454e-05,0.005198670626124494,3.5440080382716668e-06,0.0006293142873790816,2.964469862312186e-10,2.5249710055348666e-09,1.2520953892989682e-07,1.2906455354581897e-07,0.00040133450820978685,0.004327097342769116,2.54745146586544e-07,0.001504625773630635,5.547588497622504e-09,5.737002681467352e-05,1.0433559035158336e-07,4.3721823783647956e-06,2.0609842489334778e-08,1.5161779657041557e-10,1.526405066002776e-10,1.3181311280594767e-11,4.066577318706913e-06,1.0169833810723909e-11,3.0003269732312437e-13
4.582982306131902e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402312549171664,0.0727737395911261,0.005632952564501117,6.951171131492742e-06,0.0004620889237546778,0.07561226863826695,0.03388163120143486,3.7156923176665614e-05,4.770888992531271e-10,0.0018004581627559268,5.441005378626551e-11,0.0005660627941664842,3.281473938530702e-09,3.3838619412306295e-06,3.4877940852665096e-09,1.7078474137048274e-10,7.928040496822724e-06,3.630021823745783e-05,0.005197662007256832,3.5364773007691163e-06,0.0006294124486002635,2.958715954380138e-10,2.5231307514290025e-09,1.2537476986131734e-07,1.293013442196531e-07,0.0004020020961504325,0.0043335529257466,2.5479204324285517e-07,0.0015051435872930432,5.546853090702972e-09,5.7446768641705885e-05,1.0435514082228048e-07,4.369842004168019e-06,2.0611641624845916e-08,1.5167168026953636e-10,1.5265353651094583e-10,1.3179483179920611e-11,4.071887786388686e-06,1.0183281743061838e-11,3.0002931311966404e-13
4.5849963401030085e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44022452523707695,0.07276073302841347,0.005629507474619217,6.950528308141068e-06,0.00046213625229947925,0.0756394162778611,0.033888492151558945,3.714788444199268e-05,4.775435382326544e-10,0.0018002471203994602,5.443012460178344e-11,0.0005661087612565498,3.283271582775491e-09,3.3814454432983535e-06,3.4887832900249974e-09,1.7080065172926837e-10,7.923424803498327e-06,3.6348825291969494e-05,0.005196653586529672,3.5289699817781334e-06,0.0006295105614905369,2.952979151057056e-10,2.52129204455163e-09,1.255401563171925e-07,1.2953827507333317e-07,0.0004026699192964251,0.004340009134846097,2.5483890550237405e-07,0.001505661257924522,5.546118127487684e-09,5.7523692906981146e-05,1.0437467696832974e-07,4.367502789660232e-06,2.0613437713115567e-08,1.5172554250748921e-10,1.5266655145205597e-10,1.3177656660122614e-11,4.077210886125758e-06,1.0196761577514611e-11,3.000259154441538e-13
4.587010374074115e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402177946565351,0.07274772899907499,0.005626064587373057,6.949885522421061e-06,0.0004621835149550077,0.07566655771948701,0.03389534873320472,3.7138852772364804e-05,4.779983006498911e-10,0.0018000362192526489,5.445027823732192e-11,0.0005661547083837339,3.2850747173337442e-09,3.379030829676319e-06,3.4897720364682267e-09,1.7081653579980208e-10,7.918811815674735e-06,3.6397547872403224e-05,0.005195645363965311,3.521485981835214e-06,0.0006296086260765426,2.9472593811806545e-10,2.5194548834627723e-09,1.2570569822235527e-07,1.297753459747529e-07,0.0004033379772383609,0.0043464659665443306,2.5488573339062783e-07,0.0015061787855309473,5.5453836078333574e-09,5.760079999989251e-05,1.043941988002788e-07,4.36516473446551e-06,2.0615230756144287e-08,1.5177938328774504e-10,1.5267955144629947e-10,1.3175831715276224e-11,4.082546645002578e-06,1.021027338162877e-11,3.000225043088454e-13
4.5888230046481115e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402117363674247,0.07273602753844878,0.005622967870907501,6.949307047540899e-06,0.0004622259950410376,0.07569097971727225,0.03390151592408483,3.713073030634085e-05,4.784076922539062e-10,0.0017998465289073152,5.4468487447398825e-11,0.000566196043736194,3.286702241964159e-09,3.37685928737701e-06,3.490661516546225e-09,1.70830809009924e-10,7.914662438710984e-06,3.644149717303485e-05,0.00519473813310497,3.5147702379072546e-06,0.0006296968429257976,2.942126093325839e-10,2.5178027589428984e-09,1.2585481878338976e-07,1.2998882941637263e-07,0.0004039394297981834,0.004352277644483503,2.549278491235418e-07,0.0015066444380951584,5.544722919270783e-09,5.767035302331448e-05,1.0441175621919305e-07,4.3630614756919996e-06,2.0616841892841264e-08,1.5182782164653053e-10,1.526912386802712e-10,1.3174190606625e-11,4.0873596739648635e-06,1.022246139527697e-11,3.000194227890251e-13
4.590635635222108e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4402056773550245,0.07272432812937811,0.005619872936347584,6.948728603314763e-06,0.0004622684218151799,0.07571539669392899,0.033907679581053965,3.712261355561152e-05,4.788171836362703e-10,0.0017996569528534333,5.448676397827157e-11,0.000566237362930366,3.2883342310943322e-09,3.3746892692749266e-06,3.491550625646963e-09,1.708450609695503e-10,7.910515251106794e-06,3.6485540428930455e-05,0.005193831062790702,3.5080732305459725e-06,0.0006297850206895391,2.9370064937673583e-10,2.5161518842985263e-09,1.2600406514095647e-07,1.3020242609037008e-07,0.00040454107191243105,0.004358089821307593,2.5496993705460006e-07,0.0015071099748180995,5.5440625897723534e-09,5.774005473733204e-05,1.0442930205991258e-07,4.360959155382887e-06,2.061845056596853e-08,1.5187624262994827e-10,1.5270291384212143e-10,1.3172550764631885e-11,4.092182998577638e-06,1.0234675408463519e-11,3.000163303855183e-13
4.592448265796104e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4401996176222115,0.07271263077163692,0.005616779782638248,6.9481501898237915e-06,0.00046231079530508905,0.07573980864908915,0.033913839706268,3.711450251668252e-05,4.792267746993232e-10,0.0017994674910491466,5.450510794220894e-11,0.0005662786659717548,3.289970692955073e-09,3.3725207743785213e-06,3.492439363892616e-09,1.7085929169901604e-10,7.90637025186936e-06,3.652967782001565e-05,0.00519292415303866,3.50139488837264e-06,0.0006298731593871332,2.9319005314259363e-10,2.514502258482764e-09,1.26153437239867e-07,1.3041613590005873e-07,0.00040514290328244737,0.004363902494450246,2.550119972023592e-07,0.001507575395704035,5.543402619233571e-09,5.780990542668707e-05,1.0444683633011204e-07,4.358857773263531e-06,2.0620056776982565e-08,1.5192464624055388e-10,1.527145769483295e-10,1.3170912185044902e-11,4.0970166386456605e-06,1.0246915470576263e-11,3.0001322710719666e-13
4.5942608963701e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4401935571718616,0.07270093546499905,0.005613688408725036,6.947571807148796e-06,0.0004623531155384068,0.07576421558238372,0.033919996301881354,3.710639718606406e-05,4.796364653454127e-10,0.0017992781434526,5.452351945161054e-11,0.0005663199528658579,3.2916116357863976e-09,3.3703538016964906e-06,3.4933277314053087e-09,1.7087350121863852e-10,7.902227440005933e-06,3.657390952639019e-05,0.005192017403864965,3.4947351403608667e-06,0.000629961259037935,2.9268081553975575e-10,2.512853880449554e-09,1.2630293502414123e-07,1.3062995874720607e-07,0.00040574492360951394,0.00436971566134576,2.550540295851613e-07,0.0015080407007572242,5.5427430075501005e-09,5.7879905376396954e-05,1.0446435903746646e-07,4.356757329059099e-06,2.0621660527338465e-08,1.519730324809071e-10,1.5272622801534706e-10,1.316927486363009e-11,4.1018606139926665e-06,1.0259181631050284e-11,3.000101129628902e-13
4.596073526944096e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4401874960068501,0.07268924220923843,0.005610598813554079,6.946993455370267e-06,0.0004623953825427627,0.07578861749344289,0.03392614937004686,3.70982975602708e-05,4.800462554768938e-10,0.0017990889100219366,5.454199861900656e-11,0.000566361223618166,3.293257067837483e-09,3.3681883502377783e-06,3.494215728307117e-09,1.70887689548717e-10,7.898086814523807e-06,3.6618235728327755e-05,0.005191110815285703,3.4880939158344432e-06,0.0006300493196612827,2.92172931500596e-10,2.5112067491537143e-09,1.26452558437245e-07,1.30843894533081e-07,0.00040634713259485035,0.004375529319429097,2.5509603422127996e-07,0.0015085058899819172,5.542083754617641e-09,5.7950054871754336e-05,1.0448187018964803e-07,4.3546578224945754e-06,2.0623261818490534e-08,1.5202140135355264e-10,1.527378670596036e-10,1.3167638796172505e-11,4.10671494446134e-06,1.0271473939367046e-11,3.0000698796140434e-13
4.597886157518092e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.440181434130051,0.07267755100412897,0.005607510996072104,6.946415134568367e-06,0.00046243759634577355,0.07581301438189596,0.03393229891291586,3.709020363582178e-05,4.804561449961292e-10,0.0017988997907153017,5.4560545557057663e-11,0.0005664024782341618,3.2949069973666362e-09,3.3660244190115758e-06,3.495103354720063e-09,1.7090185670953308e-10,7.893948374430349e-06,3.666265660627579e-05,0.005190204387316932,3.481471144465183e-06,0.0006301373412764907,2.9166639599399493e-10,2.509560863551056e-09,1.26602307423817e-07,1.310579431611467e-07,0.00040694952993961073,0.00438134346613588,2.551380111292952e-07,0.0015089709633823612,5.541424860331581e-09,5.80203541983269e-05,1.0449936979431616e-07,4.352559253294758e-06,2.0624860651893672e-08,1.5206975286105755e-10,1.5274949409752213e-10,1.31660039784838e-11,4.111579649913301e-06,1.0283792445052233e-11,3.0000385211156293e-13
4.599698788092088e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4401753715443377,0.07266586184944461,0.00560442495522644,6.945836844822941e-06,0.0004624797569750438,0.07583740624737138,0.033938444932638166,3.708211540924046e-05,4.808661338054897e-10,0.0017987107854908384,5.457916037855475e-11,0.0005664437167193214,3.2965614326413515e-09,3.363862007027322e-06,3.4959906107661182e-09,1.709160027213505e-10,7.889812118732972e-06,3.670717234085538e-05,0.005189298119974671,3.4748667562708283e-06,0.0006302253239028625,2.9116120400500827e-10,2.5079162225982288e-09,1.2675218192770266e-07,1.3127210453314662e-07,0.0004075521153448867,0.004387158098902385,2.5517996032754955e-07,0.0015094359209627951,5.540766324587478e-09,5.8090803641957066e-05,1.0451685785913068e-07,4.350461621184261e-06,2.0626457029001335e-08,1.5211808700599928e-10,1.5276110914549697e-10,1.3164370406393454e-11,4.116454750229088e-06,1.0296137197678754e-11,3.0000070542214573e-13
