Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215)
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2306336464603167e-42,1.8110689696973165e-24,5.244387644250715e-53,9.209393121909515e-37,4.103885084605609e-85,5.3219909229048645e-14,1.135297487571297e-71,5.32199092206608e-14,6.780846055803882e-49,1.100780832613776e-47,5.649974614805319e-71,6.551131413057783e-72,6.680313658967056e-35,1.7066069801055353e-53,2.9064853448157633e-12,8.605586529493238e-14,3.445108303308263e-16,5.493366166622483e-26,2.0341100407718572e-25,3.4451014291428724e-16,1.1055205620219626e-36,3.4021521769145503e-22,6.2941489849744535e-25,1.8087556561620756e-28,1.0618125608090104e-47,7.150353344312331e-35,1.6729205892326319e-46,9.950129174129156e-65,7.160895676677238e-68,1.8300112745917447e-25,1.573851448558688e-57
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.568991071653247e-41,7.244323269270269e-24,6.496733590441007e-51,7.367521443934045e-36,2.033211970326142e-82,1.064398635776932e-13,7.265914384513445e-70,1.0643986354414178e-13,1.0849364450177332e-47,1.761240018935206e-46,1.3996783258311819e-68,1.6229231995031951e-69,5.3442260441410286e-34,1.0896036547394721e-51,5.8129731520737614e-12,1.7211180353854266e-13,6.890226450504491e-16,2.1973351557531415e-25,8.136440641516549e-25,6.890198928746668e-16,8.844105488249961e-36,1.358350862931574e-21,5.025293196299397e-24,2.802748174595738e-27,6.5783260186140086e-46,5.720318445121959e-34,5.342853812136561e-45,2.4649613626523324e-62,1.774328651586533e-65,7.320042936537673e-25,1.0053063437317378e-55
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.710306067103197e-40,2.897764280362933e-23,8.15455959863606e-49,5.894019525664338e-35,1.0207366741867913e-79,2.1287977228842712e-13,4.650188085409464e-68,2.1287977215422144e-13,1.7358989963783243e-46,2.817949429439332e-45,3.513506654989053e-66,4.0738998068901e-67,4.275336266270706e-33,6.944816501364752e-50,1.1625948762335729e-11,3.4422368002022863e-13,1.3780483665140776e-15,8.789241755255176e-25,3.2545735355466574e-24,1.3780373378045122e-15,7.075182107530576e-35,5.4134215847495504e-21,4.0042701234049514e-23,4.3988793073753826e-26,4.1289248025940454e-44,4.5763066445102906e-33,1.703029108094982e-43,6.18759631269665e-60,4.454176013382059e-63,2.9280126527859014e-24,6.409005005733815e-54
4.8240377820639456e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.136229397598506e-39,1.1591328588265755e-22,1.0276515274744748e-46,4.715215915869392e-34,5.145279929325622e-77,4.2575958976367407e-13,2.976120695497701e-66,4.257595892268515e-13,2.7774383768188956e-45,4.5086045288795e-44,8.855426099528738e-64,1.0267830511641111e-64,3.42019580211998e-32,4.4099009179860334e-48,2.325189996584356e-11,6.884474329614625e-13,2.756108281171882e-15,3.5156159341080536e-24,1.3018266166183134e-23,2.756064007749721e-15,5.659978890065952e-34,2.1495456238283855e-20,3.178129489537575e-22,6.930228562781924e-25,2.6017543168262672e-42,3.661125504904923e-32,5.407339065207866e-42,1.559514008720041e-57,1.1225323497959424e-60,1.1712008851976404e-23,4.070135481660936e-52
9.648076075301384e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767521082,0.1186699659826045,0.02282156769236584,0.0,1.4617129756848382e-37,4.636743144309346e-22,1.2905312391810659e-44,3.77217180626099e-33,2.584649062000087e-74,8.515192249292803e-13,1.904716579483912e-64,8.515192227819949e-13,4.4438995814521474e-44,7.213382487174824e-43,2.2241742198701426e-61,2.578916973891993e-62,2.7360387507510576e-31,2.779164380120475e-46,4.650380230479479e-11,1.3768949387553785e-12,5.5122628083897e-15,1.4061814282820175e-23,5.2072828443016e-23,5.512084468375509e-15,4.527714997822494e-33,8.474153047972506e-20,2.502852187876308e-21,1.0878280886362894e-23,1.6336038073965561e-40,2.9290254031610736e-31,1.70377173887756e-40,3.9169305493042306e-55,2.8186939866216674e-58,4.684769016867748e-23,2.5651914603595754e-50
1.9296152661776257e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670421644,0.11866996593524366,0.022821567691677393,0.0,2.338472518880022e-36,1.8548597402142077e-21,1.6004062151486745e-42,3.017735403182929e-32,1.282206382425069e-71,1.7030384961209237e-12,1.2190174140941276e-62,1.7030384875318145e-12,7.110232089137655e-43,1.1540201145777952e-41,5.516755648227222e-59,6.396626117117839e-60,2.1886420947046163e-30,1.725688503961822e-44,9.300760671043953e-11,2.7537899499890064e-12,1.102471687751612e-14,5.624205548091767e-23,2.0828939919269133e-22,1.1023993875715201e-14,3.6217425716010424e-32,3.294345997392534e-19,1.941310891179207e-20,1.6859045773069687e-22,1.0128248206779211e-38,2.3434123800267735e-30,5.2885718719834836e-39,9.715279973022134e-53,6.987442787248332e-56,1.873879764800659e-22,1.5928744515223534e-48
3.859230583472601e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276608433,0.11866996584052199,0.022821567690300498,0.0,3.7406976146044e-35,7.420640799796442e-21,1.9322654226544065e-40,2.4141848320088546e-31,6.193404587804143e-69,3.406077041945767e-12,7.801695029603316e-61,3.406077007589586e-12,1.1376347041713294e-41,1.846044850248086e-40,1.332295502296201e-56,1.5447745466293314e-57,1.750611381489937e-29,1.0416555253897091e-42,1.8601521443269814e-10,5.507579971039474e-12,2.205025094733808e-14,2.249266062544074e-22,8.331422308724038e-22,2.204728665991853e-14,2.8967069647785323e-31,1.2472098578920151e-18,1.4627422568383652e-19,2.5430735868268658e-21,6.112869197263778e-37,1.8750147298238672e-29,1.5954179841868852e-37,2.346179003984856e-50,1.6855387884687253e-53,7.495295886165638e-22,9.615053842685318e-47
5.788845900767576e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651264957,0.11866996574580031,0.022821567688923603,0.0,1.3766896326417598e-34,1.5770517701753817e-20,1.241642778906884e-39,7.167105267114445e-31,5.192507178903538e-68,5.109115591212166e-12,4.4295682549029046e-60,5.10911551820549e-12,4.3038987589634226e-41,7.037404750504523e-40,9.857979481133823e-56,1.1430144397269098e-56,5.005158015199375e-29,5.728075925769197e-42,2.790228210659259e-10,8.261369990673152e-12,3.3076453237281324e-14,4.779079361775029e-22,1.7704046584460394e-21,3.3070053438814785e-14,8.28164318397787e-31,2.5531297929541677e-18,4.042680086244385e-19,9.10401478331302e-21,3.344445312485652e-36,5.361811885876453e-29,7.298755916120718e-37,1.735983300328886e-49,1.2530455882475395e-52,1.5927175858022964e-21,5.287351745511139e-46
9.648076535357525e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763210827,0.11866996555635698,0.022821567686169813,0.0,1.0588445520891322e-33,4.361119780671506e-20,5.062117160961876e-38,3.3572134052507944e-30,6.593465754496651e-66,8.515192703508875e-12,1.1907840958144923e-58,8.51519250166985e-12,3.3966669303124315e-40,5.7847425262577866e-39,7.050454383349105e-54,8.174735737937372e-55,2.299495587379391e-28,1.2927748207749597e-40,4.650380299762582e-10,1.3768950024273739e-11,5.513182202422562e-14,1.3208394516884097e-21,4.894487148163716e-21,5.5113483176729887e-14,3.804369400656977e-30,6.4508610184623195e-18,1.6864179435919837e-18,6.38275623315972e-20,7.876029037355957e-35,2.464632575600059e-28,9.621092778288522e-36,1.2415177676424563e-47,1.0919164468514467e-50,4.403161897126164e-21,1.19332455737157e-44
1.3073794908008956e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072761510348,0.11866996538819405,0.02282156768372536,0.0,2.8655145342567645e-33,7.707461430569054e-20,2.2611879050334006e-37,7.654135691625548e-30,3.412829416549486e-65,1.1538660873403913e-11,5.0352412580593575e-58,1.1538660516744409e-11,9.368782264193525e-40,1.658982969262965e-38,3.4241501716279577e-53,3.970138358273924e-54,5.112395807558424e-28,4.955764911677537e-40,6.301579116038528e-10,1.8657856617125712e-11,7.471218642824911e-14,2.333510198568167e-21,8.648691639091178e-21,7.467909484242184e-14,8.457623270565905e-30,1.0765125686692337e-17,3.560444714561099e-18,1.658599650345632e-19,3.1671926822631703e-34,5.481026817325937e-28,3.228102023528543e-35,6.02951888095142e-47,6.332071279673822e-50,7.780404692960853e-21,4.574545757816758e-44
