Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C2H6(343),C6H8(56),C6H7X(481),C6H8(455),C6H7X(480),C6H7X(479),C6H7X(636),C6H7X(635),C6H7X(634),C6H9X(441),C8H10(458),SX(1061),SX(1060),SX(1059),SX(1058),SX(1056),SX(1055),SX(931),C8H10(459),SX(1750),SX(1922)
5.43029061433019e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383230370986777,0.6651352829588647,2.2428507366261072e-16,0.0,1.2288202961034146e-13,1.1036961128562291e-34,0.0,0.0,0.0,0.0,0.0,0.0048656859754372481,0.0046238716180711376,0.00011945109101554806,1.2717265695251475e-07,8.3731531836352102e-07,1.0639743452915488e-10,4.6517905078956535e-09,1.1155753063623362e-11,2.1483978000346061e-11,1.7467668520927741e-11,1.7483538029793654e-11,4.6585567242100115e-14,2.4506730260846722e-14,6.2673727180837443e-14,1.1529415178802795e-19,4.1188252040319596e-15,3.801387357499564e-18,3.8013873646025123e-18,3.8013873646025123e-18,4.0892543948952246e-18,4.0383609957708333e-18,4.0638142638233601e-18,1.6533149569712498e-25,1.4943537438981281e-21,1.3737223097331439e-25,2.5539731636804289e-24
5.470280595794999e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383223558015256,0.66513424615844829,2.2614045262280117e-16,0.0,1.229185400785212e-13,1.1049721002368859e-34,0.0,0.0,0.0,0.0,0.0,0.0048667381864420153,0.0046228722058711492,0.00012045374359899159,1.2826009586830302e-07,8.5155765110090877e-07,1.0728466935832511e-10,4.7324469823775813e-09,1.1374269184713362e-11,2.2028140791448406e-11,1.7925451228635142e-11,1.7941917619114949e-11,4.7892101757373868e-14,2.5199919394330395e-14,6.4796145742731392e-14,1.1870256464437267e-19,4.2622765473528661e-15,3.948261046099515e-18,3.9482610535072086e-18,3.9482610535072086e-18,4.2681622752950889e-18,4.2145981635367884e-18,4.2413871262996159e-18,1.7093062163896862e-25,1.5575064496824203e-21,1.4320445774958229e-25,2.6721467694473092e-24
5.510270577259808e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383216725621744,0.66513320981886082,2.279959816075969e-16,0.0,1.2295504312267896e-13,1.1062189552537058e-34,0.0,0.0,0.0,0.0,0.0,0.0048677900552427456,0.0046218732121571602,0.00012145583757383639,1.2934645423648872e-07,8.6591898435209125e-07,1.081720944646986e-10,4.8137638220468987e-09,1.1594849057576425e-11,2.2581370526405703e-11,1.8391135470166206e-11,1.8408215678127362e-11,4.9223018492154336e-14,2.5906224737857064e-14,6.6972092666455775e-14,1.2318118529678522e-19,4.4094252155268522e-15,4.0993930338385355e-18,4.0993930415609552e-18,4.099393041560956e-18,4.4532853291674572e-18,4.3969344621956278e-18,4.4251171554019443e-18,1.7667081513506052e-25,1.6227779007614665e-21,1.4923324636662452e-25,2.7947021353469722e-24
5.550260558724617e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383209870858459,0.66513217392501489,2.2985166043769457e-16,0.0,1.2299153873533729e-13,1.1074375018009756e-34,0.0,0.0,0.0,0.0,0.0,0.0048688415968599361,0.0046208746514522,0.00012245737328951738,1.3043173267543066e-07,8.8039925154891907e-07,1.0905970978726888e-10,4.8957399181845552e-09,1.1817487981234306e-11,2.3143738970838265e-11,1.8864785620806307e-11,1.8882496903731962e-11,5.0578534496342903e-14,2.6625767036542749e-14,6.9202455952225256e-14,1.2094460648990625e-19,4.5603328478014983e-15,4.2548646493037191e-18,4.2548646573510657e-18,4.2548646573510657e-18,4.6447835369468695e-18,4.5855258739142149e-18,4.6151623329207522e-18,1.8255538695229392e-25,1.6902208061325257e-21,1.5546350860175592e-25,2.9217611358664418e-24
5.590250540189426e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383202991052701,0.66513113846319261,2.3170748893946416e-16,0.0,1.2302802691023171e-13,1.1086285405089239e-34,0.0,0.0,0.0,0.0,0.0,0.004869892824944779,0.0046198765368979473,0.00012345835110133898,1.3151593185594443e-07,8.9499838616160296e-07,1.0994751526762777e-10,4.9783741635995856e-09,1.2042181247292037e-11,2.37153177719245e-11,1.9346465947623717e-11,1.9364825887586296e-11,5.1958866342373177e-14,2.7358666826581886e-14,7.1488130593910696e-14,1.241021230107872e-19,4.7150615371819138e-15,4.4147579216214439e-18,4.4147579300041395e-18,4.4147579300041403e-18,4.8428195513849309e-18,4.780530951379305e-18,4.811683262077239e-18,1.8858530165514801e-25,1.7598887304708162e-21,1.6190023606701252e-25,3.0534478817326895e-24
5.630240521654235e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383196083781624,0.66513010342092038,2.3356346694444348e-16,0.0,1.2306450764220781e-13,1.1097928493943489e-34,0.0,0.0,0.0,0.0,0.0,0.0048709437519046548,0.0046188788803813666,0.00012445877136989434,1.3259905249688105e-07,9.0971632169956956e-07,1.1083551084972867e-10,5.0616654526433137e-09,1.2268924141009309e-11,2.429617849288795e-11,1.9836240609621646e-11,1.9855267116251328e-11,5.3364230124619476e-14,2.810504443454908e-14,7.3830018569395468e-14,1.3026596538268667e-19,4.8736738290078688e-15,4.5791555774922561e-18,4.5791555862209489e-18,4.5791555862209489e-18,5.0475587175754307e-18,4.9821108361528218e-18,5.0148431867138101e-18,1.9476310524071301e-25,1.8318360964554695e-21,1.6854850080542997e-25,3.1898887385911753e-24
5.670230503119044e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2638318914684924,0.66512906878685385,2.3541959428887992e-16,0.0,1.2310098092712836e-13,1.1109311844936959e-34,0.0,0.0,0.0,0.0,0.0,0.0048719943890170696,0.0046178816926498722,0.00012545863446053728,1.3368109536105596e-07,9.2455299171223237e-07,1.1172369647967144e-10,5.1456126812221307e-09,1.2497711942306827e-11,2.4886392608418782e-11,2.0334173657891361e-11,2.0353884971339339e-11,5.4794841458886086e-14,2.8865019976754322e-14,7.6229028830940367e-14,1.2694907186367143e-19,5.0362327195331463e-15,4.7481410382256721e-18,4.748141047311242e-18,4.748141047311242e-18,5.2591690929251779e-18,5.1904292769610198e-18,5.2248080104242677e-18,2.0109269142496347e-25,1.9061181912412649e-21,1.7541345587537061e-25,3.3312123456019939e-24
5.710220484583853e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383182178265729,0.66512803455067526,2.3727587081331277e-16,0.0,1.2313744676178827e-13,1.1120442804789384e-34,0.0,0.0,0.0,0.0,0.0,0.0048730447465334305,0.0046168849834159406,0.00012645794074290308,1.347620612515046e-07,9.3950832978969326e-07,1.1261207210550687e-10,5.2302147468089028e-09,1.2728539926710856e-11,2.5486031467220749e-11,2.0840329035766319e-11,2.0860743729662799e-11,5.6250915481975137e-14,2.9638713358649885e-14,7.868607729555759e-14,1.2930943596740973e-19,5.2028016545071605e-15,4.9217984167752533e-18,4.9217984262288068e-18,4.9217984262288068e-18,5.4778214670704172e-18,5.4056526479174176e-18,5.4417463156236934e-18,2.0757488794062921e-25,1.9827911770947713e-21,1.8250033592283102e-25,3.4775496339533145e-24
5.7502104660486616e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383175176228474,0.66512700070299913,2.3913229636219558e-16,0.0,1.2317390514383521e-13,1.1131328512566514e-34,0.0,0.0,0.0,0.0,0.0,0.0048740948337731944,0.0046158887614520709,0.00012745669059047334,1.3584195100803915e-07,9.545822695633742e-07,1.1350063767705923e-10,5.3154705484531692e-09,1.2961403366239365e-11,2.6095166334618595e-11,2.1354770578977069e-11,2.1375907563384098e-11,5.7732666851313556e-14,3.0426244274278932e-14,8.1202086835386268e-14,1.3772954540961715e-19,5.3734445277588974e-15,5.1002125147742717e-18,5.1002125246071494e-18,5.1002125246071494e-18,5.7036893817388893e-18,5.6279499666795725e-18,5.6658293825580729e-18,2.142118433483793e-25,2.0619120932144214e-21,1.8981445777437768e-25,3.6290338453238557e-24
5.7902004475134705e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383168139104801,0.66512596723528628,2.4098887078355158e-16,0.0,1.2321035607169678e-13,1.1141975905506964e-34,0.0,0.0,0.0,0.0,0.0,0.0048751446592090681,0.0046148930346770088,0.00012845488438018146,1.3692076550408337e-07,9.6977474470658735e-07,1.1438939314576508e-10,5.4013789867901968e-09,1.3196297530233298e-11,2.6713868396782155e-11,2.1877562015806983e-11,2.1899440540165945e-11,5.9240309744652644e-14,3.1227732205771686e-14,8.3777987268078778e-14,1.3331749563148632e-19,5.5482256797832003e-15,5.2834688195724026e-18,5.2834688297961778e-18,5.2834688297961778e-18,5.93694915055757e-18,5.8574929125398167e-18,5.8972312082537438e-18,2.2100814995133781e-25,2.1435388607989556e-21,1.9736122102040014e-25,3.785800550264934e-24
5.8301904289782795e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.26383161065416583,0.66512493413976681,2.428455939286619e-16,0.0,1.2324679954451611e-13,1.1152391724689465e-34,0.0,0.0,0.0,0.0,0.0,0.0048761942305447434,0.0046138978102340583,0.00012945252249205394,1.3799850564376436e-07,9.850856889350516e-07,1.1527833846452703e-10,5.4879389640490039e-09,1.3433217686136313e-11,2.7342208704798395e-11,2.2408766967248591e-11,2.2431406623322501e-11,6.0774057859840411e-14,3.2043296422888971e-14,8.6414715347199089e-14,1.3414896101603614e-19,5.7272098963294754e-15,5.4716535012737718e-18,5.4716535119002575e-18,5.4716535119002575e-18,6.1777798788062538e-18,6.0944558444501281e-18,6.1361285254068262e-18,2.2796462508928871e-25,2.2277302954419702e-21,2.0514610857839804e-25,3.9479876664921164e-24
