Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CH4OX(63),C2H4X(70),C2H6X(52),CO2X(24),OH(D)X(68),CHO2X(213),HOCO(73)
1.176928448025084e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441098993859641,0.09913343621274724,0.015933561035583427,1.1361512878793902e-05,0.00384691495408738,0.016357522007834812,0.009604716792402724,6.426849145277206e-05,8.168674655777033e-12,0.002371079437725772,6.871772328232962e-11,0.0004311864554287395,3.0911165130336873e-09,3.543591855654482e-05,7.530706649186127e-10,5.2929647320234465e-11,5.501652066980608e-05,6.144799679599794e-06,0.007141930696942276,0.00019961370753192887,0.0003165522274665227,3.0908916950522913e-07,9.3989570306483e-09,1.3689752704912208e-08,9.037223855186151e-11,2.23717985728236e-06,0.0002063311431427155,1.3701156749033428e-06,1.7328396346846537e-07,0.00032794610062012575,7.369183110890164e-09,9.723962132737598e-06,2.984295297409163e-08,9.532448621830649e-11,9.689390814954429e-06,5.698885119245538e-11,6.842461684678356e-07,3.9382348928906383e-10,1.738984890595971e-12,1.7779781604535786e-07,1.7176126521542628e-10,1.706766447243018e-10,9.662384819857595e-14,3.7385966518532184e-13
1.1777909610757609e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411003777240776,0.09912567679815226,0.015929339908770206,1.136606492197048e-05,0.003848152663341598,0.01637283739032441,0.009612614271268428,6.42630656788546e-05,8.188434816208191e-12,0.002370901869719962,6.871679403117544e-11,0.00043123698933159456,3.0910610739001366e-09,3.5419094665305e-05,7.537785065642039e-10,5.2978053721596237e-11,5.49320591126541e-05,6.151609643515937e-06,0.007141374501238328,0.00019901416903748438,0.0003166797374518673,3.0828502641664955e-07,9.395763367115892e-09,1.3688553892870222e-08,9.067348137606456e-11,2.2443049037923137e-06,0.00020690503087402327,1.3711904445977829e-06,1.7333952947264984e-07,0.00032825380649122225,7.368633538498526e-09,9.734739190860847e-06,2.986750080292701e-08,9.543766023063836e-11,9.687831917713388e-06,5.703143897318321e-11,6.850314830639947e-07,3.9363663895413074e-10,1.740912660411525e-12,1.7778295051618106e-07,1.7147333927318676e-10,1.7041467331563763e-10,9.644803460058017e-14,3.7405252032646857e-13
1.17856722282137e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441101594383013,0.09911869416398587,0.015925541840033374,1.1370153145774902e-05,0.0038492641851521673,0.01638662225252329,0.009619720453680924,6.42581583657116e-05,8.206245704704106e-12,0.0023707418930700944,6.871591378531813e-11,0.0004312824570734883,3.091010363024683e-09,3.5403920472775556e-05,7.54415544237148e-10,5.302160546351154e-11,5.485622285052931e-05,6.157737929617181e-06,0.0071408739378625305,0.00019847652747891182,0.0003167944460235355,3.0756362266895877e-07,9.39288929087181e-09,1.3687474332002236e-08,9.094530353947772e-11,2.2507316019068767e-06,0.00020742247153064864,1.3721575181750453e-06,1.7338942989480154e-07,0.00032853076054808046,7.368138361030196e-09,9.744437464912325e-06,2.988958885638986e-08,9.553953844205575e-11,9.68642890572015e-06,5.706974880535543e-11,6.857381912203506e-07,3.9346810767979276e-10,1.7426474501204931e-12,1.7776950332780398e-07,1.712149320194667e-10,1.7017945354354376e-10,9.62901783097264e-14,3.742258267947161e-13
1.1793434845669794e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411027838093553,0.09911171232357159,0.015921744666770456,1.1374233230169168e-05,0.00385037342396885,0.016400408072849856,0.009626825169280722,6.425322830199517e-05,8.224081943858424e-12,0.0023705817607055832,6.871499210821499e-11,0.0004313279127140992,3.0909588834435965e-09,3.538871547922269e-05,7.550525630725404e-10,5.306514391875048e-11,5.478055611379118e-05,6.163865568435848e-06,0.0071403733866164465,0.00019794072045391258,0.0003169091068713744,3.068444154574445e-07,9.390015428237777e-09,1.368639417911966e-08,9.12177928051673e-11,2.2571717129496693e-06,0.00020794080368960298,1.3731243842261931e-06,1.7343922735355462e-07,0.0003288077322632372,7.367642654143551e-09,9.7541347147265e-06,2.9911672180946975e-08,9.564143708994712e-11,9.685025890080295e-06,5.7108040495284664e-11,6.864448281059047e-07,3.9329923157985775e-10,1.7443820469014713e-12,1.7775599178889757e-07,1.7095721137604455e-10,1.6994475851521268e-10,9.613267801387916e-14,3.7439888458287413e-13
1.1801197463125886e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411039460702406,0.09910473127588842,0.01591794838882363,1.1378305196540298e-05,0.0038514803858917244,0.016414194845290036,0.009633928418315918,6.424827558074823e-05,8.241943547286624e-12,0.002370421473608456,6.8714029170089e-11,0.0004313733562508403,3.0909066390192797e-09,3.5373479847092794e-05,7.556895630016058e-10,5.310866908235908e-11,5.470505872175908e-05,6.169992558318466e-06,0.007139872847542027,0.00019740674191038573,0.0003170237200320073,3.0612739887322595e-07,9.387141783344097e-09,1.3685313438892597e-08,9.149094969463146e-11,2.2636252385497368e-06,0.00020846002673660115,1.374091042830963e-06,1.7348892212120987e-07,0.00032908472151502546,7.367146421010929e-09,9.763830937686137e-06,2.993375077741189e-08,9.574335614438671e-11,9.683622871362148e-06,5.714631406157644e-11,6.871513934933386e-07,3.9313001246849917e-10,1.746116450280869e-12,1.7774241616055079e-07,1.7070017611385778e-10,1.6971058767746036e-10,9.59755333776146e-14,3.745716942955129e-13
1.1808960080581979e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411050812327496,0.09909775101991727,0.015914153006034947,1.1382369066236323e-05,0.0038525850770084733,0.016427982563845752,0.009641030201040976,6.424330029477056e-05,8.259830528589761e-12,0.0023702610327570057,6.871302514071707e-11,0.0004314187876811854,3.0908536336001446e-09,3.535821373847579e-05,7.56326543956191e-10,5.315218094946452e-11,5.462973049204604e-05,6.17611889761996e-06,0.007139372320681288,0.00019687458580468337,0.0003171382855421598,3.0541256700410877e-07,9.384268360302311e-09,1.3684232115970479e-08,9.176477472029008e-11,2.2700921802787912e-06,0.00020898014005368644,1.3750574940700881e-06,1.7353851446941125e-07,0.0003293617281821105,7.366649664792921e-09,9.773526131187282e-06,2.995582464661904e-08,9.584529557642346e-11,9.682219850129643e-06,5.718456952285579e-11,6.878578871564596e-07,3.929604521559274e-10,1.7478506597875631e-12,1.7772877670317967e-07,1.7044382500227737e-10,1.694769404717718e-10,9.581874409838344e-14,3.7474425653634834e-13
1.181672269803807e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.444110618936391,0.09909077155464092,0.015910358518246324,1.1386424860566092e-05,0.003853687503394339,0.01644177122253493,0.009648130517716628,6.423830253661931e-05,8.277742901354486e-12,0.002370100439125805,6.871198018942995e-11,0.00043146420700266837,3.090799871020643e-09,3.5342917315104364e-05,7.56963505868761e-10,5.3195679515274993e-11,5.4554571240570566e-05,6.1822445847036004e-06,0.007138871806076312,0.00019634424610171332,0.00031725280343865536,3.0469991393488797e-07,9.381395163205266e-09,1.3683150214983269e-08,9.203926839227711e-11,2.276572539654349e-06,0.00020950114301929068,1.376023738025214e-06,1.7358800466924652e-07,0.0003296387521434906,7.3661523886384305e-09,9.783220292639205e-06,2.9977893789423465e-08,9.594725535727296e-11,9.68081682694232e-06,5.722280689776754e-11,6.885643088701949e-07,3.927905524483811e-10,1.749584674952886e-12,1.777150736765275e-07,1.7018815680022277e-10,1.692438163343389e-10,9.566230986678899e-14,3.7491657190818085e-13
1.1824485315494163e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441107270530693,0.09908379287904406,0.015906564925299536,1.1390472600799064e-05,0.003854787671112089,0.016455560815391488,0.009655229368609833,6.423328239860891e-05,8.295680679153056e-12,0.0023699396936857076,6.871089448511234e-11,0.00043150961421288265,3.0907453551013073e-09,3.5327590738353134e-05,7.576004486723921e-10,5.323916477507925e-11,5.447958078156884e-05,6.188369617940989e-06,0.007138371303769255,0.00019581571677504183,0.00031736727375841436,3.0398943374761973e-07,9.378522196127148e-09,1.3682067740541965e-08,9.231443121848791e-11,2.283066318140303e-06,0.00021002303500829595,1.3769897747781493e-06,1.736373929912707e-07,0.00032991579327849683,7.36565459568471e-09,9.792913419464352e-06,2.999995820670063e-08,9.604923545821861e-11,9.679413802355342e-06,5.726102620497577e-11,6.892706584105894e-07,3.9262031514811836e-10,1.7513184953106127e-12,1.7770130733966523e-07,1.6993317025956916e-10,1.690112146960981e-10,9.550623036685541e-14,3.7508864101287687e-13
1.1832247932950256e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411083248000144,0.09907681499211321,0.01590277222703625,1.139451230816509e-05,0.0038558855862119742,0.016469351336465383,0.009662326753993672,6.422823997281153e-05,8.31364387554337e-12,0.002369778797403861,6.870976819620308e-11,0.0004315550093094812,3.0906900896487754e-09,3.531223416923801e-05,7.582373723007664e-10,5.328263672424639e-11,5.440475892760668e-05,6.194493995712015e-06,0.007137870813802323,0.00019528899180699456,0.00031748169653845234,3.0328112052179213e-07,9.375649463123573e-09,1.36809846972384e-08,9.259026370457366e-11,2.2895735171475976e-06,0.00021054581539209694,1.3779556044111314e-06,1.736866797054934e-07,0.00033019285146679343,7.365156289057392e-09,9.802605509098291e-06,3.002201789934616e-08,9.615123585066238e-11,9.678010776919522e-06,5.729922746316327e-11,6.899769355547997e-07,3.9244974205341e-10,1.7530521203969563e-12,1.776874779509923e-07,1.696788641259769e-10,1.687791349827686e-10,9.535050527587816e-14,3.7526046445136564e-13
1.1840010550406348e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441109352238731,0.09906983789283683,0.01589898042329799,1.1398544003854213e-05,0.003856981254731685,0.01648314277982262,0.009669422674147289,6.422317535105708e-05,8.331632504068965e-12,0.002369617751243709,6.870860149069513e-11,0.00043160039229017563,3.0906340784558276e-09,3.529684776841538e-05,7.588742766881657e-10,5.332609535822549e-11,5.4330105489591634e-05,6.200617716404839e-06,0.007137370336217802,0.00019476406518875768,0.00031759607181587916,3.0257496833452583e-07,9.372776968231602e-09,1.367990108964538e-08,9.286676635397851e-11,2.296094138034824e-06,0.00021106948353866276,1.3789212270067772e-06,1.737358650813794e-07,0.00033046992658837787,7.3646574718704834e-09,9.812296558989678e-06,3.004407286827566e-08,9.625325650610711e-11,9.676607751181319e-06,5.733741069103062e-11,6.906831400810921e-07,3.9227883495852914e-10,1.7547855497505553e-12,1.776735857682369e-07,1.6942523713780445e-10,1.6854757661488856e-10,9.519513426459559e-14,3.7543204282363023e-13
1.1855535785318533e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411113268914687,0.0990558860532108,0.015891399498761977,1.1406583444761651e-05,0.0038591658761183444,0.01651072840973146,0.009683610119910318,6.421297988578738e-05,8.367686111628539e-12,0.002369295213123806,6.870614749962683e-11,0.00043169112189499003,3.090519833950699e-09,3.526598611247148e-05,7.601480274801266e-10,5.341297266281402e-11,5.418130309681425e-05,6.212863180149641e-06,0.007136369418365365,0.00019371958301135956,0.0003178246800118018,3.0116912337348243e-07,9.367032708838262e-09,1.3677732199787356e-08,9.342178414557856e-11,2.3091756506254972e-06,0.00021211948057520935,1.3808518514182781e-06,1.7383393289326582e-07,0.0003310241271530681,7.363658318216019e-09,9.831675529404514e-06,3.008816863874706e-08,9.645735849251506e-11,9.673801700961968e-06,5.741372313069403e-11,6.920953303985079e-07,3.919360259253107e-10,1.7582518194261436e-12,1.7764561404803855e-07,1.6892001551737928e-10,1.6808602157195378e-10,9.48854531315304e-14,3.757744667646414e-13
1.1871061020230718e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411131950225236,0.0990419373521117,0.01588382215042108,1.1414591092237901e-05,0.0038613415833210186,0.016538317657967486,0.00969779170825055,6.420269673260479e-05,8.403841609893845e-12,0.002368972086959824,6.870353384693946e-11,0.00043178180301017816,3.0904026516522354e-09,3.523500704855572e-05,7.61421700534296e-10,5.349979665402527e-11,5.403317205779077e-05,6.22510599644479e-06,0.0071353685505512856,0.00019268222235332524,0.00031805309864489537,2.9977185144145386e-07,9.36128944987464e-09,1.367556110717167e-08,9.397948857736969e-11,2.3223108657580434e-06,0.00021317302099552995,1.38278164868055e-06,1.7393159857168196e-07,0.00033157839401922314,7.3626571594020055e-09,9.851050310557875e-06,3.013224552582899e-08,9.666154119148347e-11,9.670995655982578e-06,5.748996367390743e-11,6.935072276109905e-07,3.915919023224012e-10,1.7617173006946608e-12,1.7761739422749155e-07,1.6841749517098923e-10,1.6762654482942e-10,9.45771842042204e-14,3.76115917616563e-13
1.1886586255142903e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411149571644704,0.09902799178151597,0.015876248377002834,1.142256711434987e-05,0.003863508424185344,0.016565910477637814,0.00971196744161194,6.419232661745388e-05,8.440099106698555e-12,0.0023686483803268526,6.870076186053977e-11,0.00043187243561950474,3.0902825614071244e-09,3.520391184890532e-05,7.626952953459131e-10,5.358656729829918e-11,5.388571080131653e-05,6.237346152689982e-06,0.007134367733115752,0.0001916519354732191,0.00031828132801529766,2.9838310508985594e-07,9.355547222974727e-09,1.3673387847700924e-08,9.4539883599364e-11,2.335499792480869e-06,0.00021423009962636525,1.3847106194667928e-06,1.7402886425254582e-07,0.00033213272623884327,7.361654019924677e-09,9.870420882505021e-06,3.017630353753931e-08,9.686580437864258e-11,9.668189620459794e-06,5.756613247086017e-11,6.949188299841812e-07,3.9124647835926865e-10,1.7651819899516162e-12,1.7758892834431182e-07,1.6791766576746475e-10,1.6716914156893112e-10,9.427032461779253e-14,3.7645640014442974e-13
1.1902111490055088e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411166138487956,0.09901404933343089,0.015868678177232705,1.1430511678508795e-05,0.003865666446352488,0.016593506822107564,0.009726137322528434,6.418187026242598e-05,8.47645870964852e-12,0.0023683241007415,6.869783286121392e-11,0.0004319630197076327,3.090159592843481e-09,3.517270177993902e-05,7.639688114192441e-10,5.3673284563324786e-11,5.373891773081592e-05,6.249583636414265e-06,0.007133366966399714,0.00019062867478077691,0.0003185093684245291,2.970028368506368e-07,9.349806059480628e-09,1.3671212456978277e-08,9.51029731281727e-11,2.348742439065169e-06,0.00021529071124557018,1.3866387644551932e-06,1.741257320628862e-07,0.000332687122869279,7.360648924096513e-09,9.889787225505936e-06,3.0220342682191784e-08,9.707014783118094e-11,9.66538359854205e-06,5.76422296719696e-11,6.963301358010835e-07,3.908997681806627e-10,1.7686458836304562e-12,1.7756021842552617e-07,1.674205168739172e-10,1.6671380689285412e-10,9.396487140787861e-14,3.767959190974275e-13
1.1933161959879458e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441119612964782,0.09898617377297741,0.01585354849352845,1.1446307099299461e-05,0.0038699562241311398,0.016648709900197994,0.009754459537598618,6.416070170188268e-05,8.549484663272225e-12,0.002367673852489122,6.869150907135669e-11,0.00043214404226335,3.0899051381866555e-09,3.510994207051759e-05,7.66515605412128e-10,5.3846558832569375e-11,5.344732963690732e-05,6.274050537057351e-06,0.007131365586493365,0.00018860304237170816,0.00031896488357223906,2.942675447756599e-07,9.338327046628273e-09,1.366685542270283e-08,9.623725120972108e-11,2.375388921137656e-06,0.00021742251232782802,1.3904925797743102e-06,1.7431828253535378e-07,0.0003337961056187727,7.35863295972284e-09,9.928507146723688e-06,3.030836440501282e-08,9.747907464877126e-11,9.659771611777084e-06,5.779420988935123e-11,6.99151850984089e-07,3.9020254543101515e-10,1.7755712701755014e-12,1.7750207453590475e-07,1.6643421839668972e-10,1.6580932331425744e-10,9.335817177419892e-14,3.7747208519498075e-13
1.196110738272139e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441121956811931,0.09896109636801152,0.015839943987243435,1.146041705765289e-05,0.0038737873378994715,0.016698404262747196,0.00977992954298167,6.414136222240148e-05,8.615558299409136e-12,0.0023670867437826787,6.868529378080076e-11,0.00043230679648502337,3.089666577938154e-09,3.505307806383434e-05,7.688074459257827e-10,5.4002322818918484e-11,5.318716902584479e-05,6.296061485120901e-06,0.007129564521472066,0.00018680352854106438,0.0003193742040097293,2.9183430066588163e-07,9.327999880412829e-09,1.366292715407328e-08,9.726735532790722e-11,2.3995545447048328e-06,0.0002193531628017918,1.3939581962279381e-06,1.7449023839789819e-07,0.00033479440103131587,7.3568121412309605e-09,9.96334041893055e-06,3.03875195194097e-08,9.784738108785524e-11,9.654720910454259e-06,5.793074874017768e-11,7.016903635524043e-07,3.895707866661036e-10,1.781801362175619e-12,1.7744893055037273e-07,1.6555561047966478e-10,1.6500231193867116e-10,9.281692020428776e-14,3.780773865682089e-13
