Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7X(140),C2H6(343),C4H6(54),C4H7(69),C4H7(68),C4H7X(145),C4H5X(398),C4H7X(142),C4H7X(143),C4H6a(397),C6H10(402),C4H7X(146)
1.31071e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583766437,0.66999999999997517,3.2167875535553629e-30,4.5052420159556687e-45,1.0041113230781441e-23,2.6092123100277627e-29,8.6704964637227805e-51,7.2417671323096674e-66,3.5385655857139822e-70,2.5829959221118853e-54,4.3323732921758351e-72,2.496220368666086e-14,2.4962203689283387e-14,1.311081079263277e-24,1.0040399510713163e-23,7.095315104733037e-28,2.9032887903589098e-31,5.5583190349294444e-29,1.2614497642891512e-30,8.265374794659271e-35,5.6370588629260214e-37,1.8759592439015392e-38,2.2239223359367851e-37,1.1749045177689511e-44,2.0857383714113866e-42,1.203128906587752e-42,1.682893463777576e-46
2.62143e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583761447,0.66999999999995019,5.14767453797488e-29,5.6910198707564108e-43,4.0163756391207936e-23,9.9074297257251295e-29,2.7861354001201766e-49,1.8319713527176895e-63,9.0717289609405775e-68,1.6592334336680151e-52,2.1907400261107359e-69,4.9923075495772856e-14,4.9923075516748926e-14,1.0488175433520669e-23,4.0158023764337719e-23,5.6757754652592648e-27,4.6450752190220289e-30,4.4464546159142268e-28,1.0020630250321539e-29,1.3047888897706921e-33,1.7801367216402454e-35,3.0013828122915929e-37,3.5579495285729022e-36,3.7601562137335217e-43,3.3370431170391643e-41,1.9249266609102465e-41,1.0629888579376666e-44
3.93215e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583756456,0.66999999999992521,1.9626768779999066e-28,3.6887311927600336e-42,8.5345884469826063e-23,2.0320958064991673e-28,1.2318128972708448e-48,1.1115323916344118e-62,5.5896330974370259e-67,8.2341257037780554e-52,1.4583618807087563e-68,7.488158011937996e-14,7.4881580181654293e-14,3.113540016514753e-23,8.532944917533578e-23,1.6228212872087612e-26,1.770889308361579e-29,1.3199831047256114e-27,2.8536795284631842e-29,4.7716209583174409e-33,8.0839599157389162e-35,1.1354379660213965e-36,1.3094895560268886e-35,1.7642888822872034e-42,1.2624276966504721e-40,7.2821379518148792e-41,5.8137862521638612e-44
5.24287e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583751466,0.66999999999990023,5.2809598306099484e-28,1.5856911479229185e-41,1.4558549000327711e-22,3.3572082217159211e-28,4.209203445805078e-48,6.5253970285501154e-62,3.3764129334783203e-66,3.4831355358539342e-51,9.7250214133046137e-68,9.9836771248277664e-14,9.9836771383960818e-14,6.7838098973390332e-23,1.4555072171379795e-22,3.4227919195401505e-26,4.7644584200563704e-29,2.8759914442023914e-27,5.997152921304057e-29,1.2031740332477184e-32,2.3979179246210678e-34,2.9553745045880295e-36,3.3209520504162613e-35,5.4972050940320591e-42,3.2859387371086883e-40,1.8954479652452342e-40,1.9905789540867209e-43
6.55359e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583746476,0.66999999999987525,1.0681976100160834e-27,4.5511120488609494e-41,2.1606303065036287e-22,4.8627678384289642e-28,1.0255466670782417e-47,2.5599844776697699e-61,1.4262982172293985e-65,1.0108800896598411e-50,4.3607685970542692e-67,1.2478910404532908e-13,1.2478910428211706e-13,1.1839080241973857e-22,2.160037723904121e-22,5.8184848960555033e-26,9.6364398277743477e-29,5.0191697586607362e-27,1.0169489222357583e-28,2.2731791826192854e-32,4.9535078653207633e-34,5.6909137089565357e-36,6.2967114698607746e-35,1.1723318738399978e-41,6.3275180799248428e-40,3.6499407012984583e-40,4.4191029100467268e-43
8.305630351797838e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583739803,0.66999999999984194,2.4193776943209281e-27,1.621729156289045e-40,3.3170774466202698e-22,7.2243303020663401e-28,2.9166257097240585e-47,1.2211580454481517e-60,7.2096468780887615e-65,3.5149209823408074e-50,2.3640861661215723e-66,1.5813549209547708e-13,1.5813549253924461e-13,2.2188357597905457e-22,3.3160043106267033e-22,1.0492999273491674e-25,2.1823026133631245e-28,9.406738632913597e-27,1.827485724868969e-28,4.6813711118199435e-32,1.1517132449381803e-33,1.2136919839409807e-35,1.3036930610093952e-34,2.9496214068433756e-41,1.3494854127402504e-39,7.7843189683180774e-40,1.1432025765997375e-42
9.999999999999999e-10,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583733364,0.66999999999980975,4.7327584332536905e-27,4.3579117249805669e-40,4.6821211748639565e-22,9.8717411622300993e-28,6.7500044434334888e-47,3.8185195871093637e-60,2.3471522815948843e-64,9.2712076919741996e-50,7.8207604723511702e-66,1.9037405395683133e-13,1.9037405469947735e-13,3.713265858999492e-22,4.6803719613192773e-22,1.7032050000511405e-25,4.2685310611613472e-28,1.5742364561915685e-26,2.9555536081237676e-28,8.5633956498484941e-32,2.3632596840587107e-33,2.2961195600408749e-35,2.3983328153571076e-34,6.4833694524496774e-41,2.5530685541697191e-39,1.4727021515216795e-39,2.6073205901235821e-42
1.0057670703595677e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583733142,0.66999999999980864,4.8289168519223587e-27,4.4788650799457478e-40,4.7328507504278219e-22,9.9681413227808583e-28,6.9151648015057408e-47,3.9357170155556206e-60,2.4209628026668837e-64,9.5248326990771613e-50,8.0686425013690449e-66,1.9147117105378213e-13,1.9147117180830903e-13,3.7726715551032154e-22,4.7310748685753948e-22,1.7289542198784682e-25,4.3552450855496747e-28,1.5994214594180252e-26,2.9999052056494494e-28,8.7224003342802925e-32,2.4144769381135955e-33,2.3409046969576564e-35,2.4432525998163015e-34,6.635050938841035e-41,2.6028667501199649e-39,1.5014275510375861e-39,2.670752978609466e-42
1.1809711055393515e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583726475,0.66999999999977533,8.7493843367569524e-27,1.109822676084533e-39,6.4137915623745718e-22,1.3061037174501899e-27,1.4447705069376432e-46,1.125987197985015e-59,7.2948019168880129e-64,2.2444280051569871e-49,2.5153311125339891e-65,2.2479388542515839e-13,2.2479388661608062e-13,5.9547054521013782e-22,6.4110429697567783e-22,2.6643955227369399e-25,7.8902600356395097e-28,2.5244932021897447e-26,4.6053465445754902e-28,1.501052945586646e-31,4.6255931003539435e-33,4.1526749773478271e-35,4.2294759100622293e-34,1.3443446737788973e-40,4.6174933573047579e-39,2.6635370457992448e-39,5.6469753707517712e-42
1.3561751407191353e-09,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583719808,0.66999999999974202,1.4717902801699999e-26,2.5012476176074493e-39,8.3620092603690535e-22,1.6465204002228779e-27,2.7484410781475627e-46,2.8838626834709644e-59,1.9594312087111824e-63,4.7631213776413749e-49,7.0297895628477705e-65,2.581013866793585e-13,2.5810138845410212e-13,8.8738900285080122e-22,8.3579690357310033e-22,3.8996231777330229e-25,1.3271197382900786e-27,3.7620794624567736e-26,6.7143709307995107e-28,2.4272684195992351e-31,8.2507921381948317e-33,6.8926273842819621e-35,6.8799231751859121e-34,2.5068112100582227e-40,7.6643419494363264e-39,4.4210696044400025e-39,1.102635094752581e-41
