Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H5X(374),C4H5X(381),C6H8(56),C4H4(439),C6H7X(455),C8H10(458),C6H7X(498),C6H7X(497),C4H3X(623),C4H2(1102),C6H6(755),C4H3X(622),C6H8(474),C6H6(1605),C8H9X(771),S(774),C8H10(478),C8H8(1121)
7.629976210422338e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10658234218988738,0.53358514853572625,1.4437219680940391e-16,0.0,1.4188709892475777e-15,9.0254079316143966e-39,0.0,0.0,0.0,0.0,0.0,0.14617600950165194,0.018248096939506641,0.003539680167007397,0.051112911537932113,0.00049528740526342012,0.00171903442343905,0.0018979632536327237,0.00086186836643023295,2.7663172095968951e-05,4.7754466143041834e-05,3.1908117370314131e-05,3.1841266765495845e-05,2.9701956988568791e-06,9.9396763901932573e-06,7.9501700496643218e-06,7.1548751405900473e-06,4.2819893778990786e-06,7.5805209133629194e-07,5.1775082687225088e-07,1.0262380079426731e-06,7.3690238949084741e-07,1.1891635914192295e-07
7.664149529978291e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10633293203139542,0.53334063630992246,1.4509424445249714e-16,0.0,1.4210267305773311e-15,9.0652464815093896e-39,0.0,0.0,0.0,0.0,0.0,0.14646521673130819,0.018199307166925825,0.0035515843617532354,0.051222747210921668,0.00049513960372749672,0.0017274412391384364,0.0019076128663095538,0.00086767853372747518,2.7801607077508621e-05,4.8197840455721124e-05,3.2166878390307996e-05,3.2099063937395612e-05,2.980688963685965e-06,1.0048001760425745e-05,8.0377457579040976e-06,7.2179355812396199e-06,4.3197132196823182e-06,7.6779452863309162e-07,5.2289120098222507e-07,1.0401622829125653e-06,7.4561992717559531e-07,1.2062705946830092e-07
7.698322849534243e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10608465355557503,0.53309737818068925,1.4581545408980691e-16,0.0,1.4231701491635029e-15,9.1050875322270916e-39,0.0,0.0,0.0,0.0,0.0,0.1467530733382523,0.01815076784314951,0.003563456767618392,0.05133192640483044,0.00049498257988271253,0.0017358264661833697,0.001917230295516735,0.0008734864103245232,2.7939175765799865e-05,4.8641775065037654e-05,3.2425738781666934e-05,3.2356952707197468e-05,2.9910680798339984e-06,1.0156707073219555e-05,8.1256525887602582e-06,7.281083526190149e-06,4.357519632847145e-06,7.7759627070856741e-07,5.2803574287001498e-07,1.0541645259914107e-06,7.5437724236519525e-07,1.2235000328550687e-07
7.732496169090196e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10583749908803756,0.53285536470440709,1.4653582359261224e-16,0.0,1.4253013488552775e-15,9.1449311020223629e-39,0.0,0.0,0.0,0.0,0.0,0.14703958875973791,0.018102477078922232,0.0035752975475846732,0.051440454740316742,0.00049481648193220955,0.0017441901016716304,0.0019268155414315434,0.00087929189204456813,2.8075877644962349e-05,4.908625157345413e-05,3.2684690358963654e-05,3.2614924886837476e-05,3.0013335488788709e-06,1.0265788181946878e-05,8.2138875086789099e-06,7.3443167797216425e-06,4.3954076871525827e-06,7.8745711290299318e-07,5.3318412562416296e-07,1.0682441121678753e-06,7.6317403715563945e-07,1.2408515721395359e-07
7.766669488646149e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10559146102430572,0.53261458653138971,1.472553509038269e-16,0.0,1.4274204323571526e-15,9.1847772088871174e-39,0.0,0.0,0.0,0.0,0.0,0.14732477234516442,0.018054433003022431,0.0035871068634056708,0.051548337775870257,0.00049464145595471667,0.0017525321443629261,0.001936368607268155,0.00088509487644300997,2.8211712318486224e-05,4.9531251777619624e-05,3.294372504668709e-05,3.2872972398413167e-05,3.0114858800428941e-06,1.0375240958380639e-05,8.3024474959953894e-06,7.407633167052681e-06,4.433376459660701e-06,7.9737684917107627e-07,5.3833602556013931e-07,1.0824004148296245e-06,7.7201001401948556e-07,1.2583248746058537e-07
7.800842808202102e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10534653182898787,0.53237503440472211,1.479740340366339e-16,0.0,1.4295275012427818e-15,9.2246258705558068e-39,0.0,0.0,0.0,0.0,0.0,0.1476086333571025,0.018006633762079009,0.0035988848756184893,0.051655581008641566,0.0004944576459343543,0.0017608525946386554,0.0019458894991994597,0.00089089526278196074,2.8346679506474691e-05,4.997675766746588e-05,3.3202834878163264e-05,3.3131087273101003e-05,3.0215255898663336e-06,1.0485061292966862e-05,8.3913295411276978e-06,7.4710305342390235e-06,4.471425034696406e-06,8.0735527212523938e-07,5.4349112222641725e-07,1.0966328058969779e-06,7.8088487583850766e-07,1.2759195982950721e-07
7.835016127758054e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10510270403496524,0.5321366991591131,1.4869187107314632e-16,0.0,1.43162265597067e-15,9.2644771045107175e-39,0.0,0.0,0.0,0.0,0.0,0.14789118097230394,0.01795907752038883,0.0036106317435553388,0.051762189875258942,0.00049426519379008481,0.0017691514544625447,0.0019553782262805939,0.00089669295200511844,2.8480779042933338e-05,5.0422751425276033e-05,3.3462011994478536e-05,3.3389261650076342e-05,3.0314532018890204e-06,1.0595245095085243e-05,8.4805306467619984e-06,7.5345067480700394e-06,4.5095525038069117e-06,8.1739217307819457e-07,5.4864909840939817e-07,1.1109406559538307e-06,7.897983259354453e-07,1.2936353973243785e-07
7.869189447314007e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10485997024259203,0.53189957171976776,1.4940886016309475e-16,0.0,1.4337059959009722e-15,9.3043309279871258e-39,0.0,0.0,0.0,0.0,0.0,0.14817242428269783,0.017911762459735272,0.0036223476253550231,0.051868169752632864,0.00049406423940481174,0.0017774287273421344,0.001964834800374151,0.0009024878467130019,2.8614010873105785e-05,5.0869215424727255e-05,3.3721248643405586e-05,3.3647487775436312e-05,3.0412692463398915e-06,1.070578829329833e-05,8.5700478280303843e-06,7.5980596959630605e-06,4.5477579657208807e-06,8.2748734208482447e-07,5.5380964013722614e-07,1.1253233343758764e-06,7.9875006810487084e-07,1.3114719219898941e-07
7.90336276686996e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10461832311890799,0.53166364310127368,1.5012499952253996e-16,0.0,1.4357776193081491e-15,9.3441873579783196e-39,0.0,0.0,0.0,0.0,0.0,0.14845237229637281,0.017864686779207758,0.0036340326779742958,0.051973525958748344,0.00049385492065412645,0.0017856844182911015,0.0019742592360770402,0.00090827985113855038,2.8746375050855084e-05,5.1316132229908502e-05,3.3980537178332676e-05,3.3905758001125769e-05,3.0509742598342792e-06,1.0816686835589491e-05,8.6598781126810857e-06,7.6616872858558042e-06,4.586040526307271e-06,8.3764056798337499e-07,5.5897243668251864e-07,1.1397802094561605e-06,8.0773980664319086e-07,1.329428818867753e-07
7.937536086425913e-08,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.10437775539686271,0.53142890440650625,1.5084028743261084e-16,0.0,1.4378376233955714e-15,9.38404641124043e-39,0.0,0.0,0.0,0.0,0.0,0.14873103393854534,0.017817848695022502,0.0036456870571991173,0.052078263753445278,0.00049363737343470135,0.0017939185337923912,0.0019836515506489539,0.0009140688711230748,2.8877871736090382e-05,5.1763484594314694e-05,3.4239870057196362e-05,3.4164064783866816e-05,3.0605687850788356e-06,1.0927936689590044e-05,8.7500185412413022e-06,7.7253874460969134e-06,4.6243992985339229e-06,8.4785163843596751e-07,5.6413718056405725e-07,1.1543106485279978e-06,8.1676724637780448e-07,1.3475057309134925e-07
