Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CHO2X(213)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.02282156769301183,0.0,2.1244263758787942e-42,1.7839191596143597e-24,8.052807741326096e-53,8.629351814671808e-37,6.150450471454487e-85,5.2514978642733146e-14,1.0220779770172586e-71,5.251497863671839e-14,6.269604006170076e-49,7.26176619832729e-48,8.574375830927189e-71,9.941967321013442e-72,5.654360034778552e-34,1.1066376454295311e-55,2.8679871504166266e-12,8.491600218226199e-14,3.3995153125984937e-16,5.348831366276761e-26,1.9805808442395846e-25,3.399430302088139e-16,4.106568506361775e-21,9.50459149761889e-23,4.588872887736241e-26,2.63996865046158e-45,1.0621750820097518e-36,6.944595697770633e-35,9.57679772266719e-49,1.5100271020232751e-64,1.3772522667542388e-66,1.8437485114213313e-75
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767940927,0.11866996602412364,0.02282156769296937,0.0,3.3990764179740066e-41,7.21435834984203e-24,7.811582459816306e-51,6.903488253472088e-36,2.3843936967550026e-82,1.0503000180306198e-13,6.541308741635532e-70,1.0503000177900293e-13,1.003137677431203e-47,1.161871246639424e-46,1.6625329647813274e-68,1.9277024446526205e-69,4.523488648797002e-33,6.497267809106859e-54,5.7359767306774536e-12,1.6983207634697563e-13,6.79912315562234e-16,2.1395325204270467e-25,7.92232390306511e-25,6.798779468796287e-16,1.6061514504255928e-20,7.444009995848038e-22,5.584022506158873e-25,1.2819488676949504e-43,8.497384916961032e-36,5.613015335718081e-34,3.0012105252466878e-47,2.9278724454507877e-62,2.6737153788011978e-64,7.13195425719288e-73
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,5.438497282022444e-40,2.9449164662655865e-23,8.203855926240757e-49,5.522793292532623e-35,1.0010572905383103e-79,2.1006004812389653e-13,4.186440530136906e-68,2.100600480276603e-13,1.605021049400668e-46,1.8589545264013778e-45,3.490657187848221e-66,4.047405956420276e-67,3.618787887731562e-32,3.858830346572422e-52,1.1471955887057029e-11,3.396642246710141e-13,1.3598627941015303e-15,8.558121715605338e-25,3.168926959987073e-24,1.3597225761442306e-15,6.15025997454771e-20,5.714545054180277e-21,7.348093044988699e-24,6.736974550229464e-42,6.79787519070998e-35,4.5768314276593664e-33,9.221640474923433e-46,6.147356618888958e-60,5.618777715261358e-62,2.989417120448781e-70
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767763712,0.11866996600659857,0.022821567692714623,0.0,8.701510576159755e-39,1.2200319297150762e-22,8.90875307976383e-47,4.418235660429723e-34,4.347253990498624e-77,4.2012014076627245e-13,2.679322667573903e-66,4.201201403813282e-13,2.5680340877892854e-45,2.9741596604284803e-44,7.579972208094129e-64,8.788947056563361e-65,2.8950238527299003e-31,2.248082142406975e-50,2.2943914183247862e-11,6.793285212975353e-13,2.7198914298646148e-15,3.4232403656417566e-24,1.2675680985866481e-23,2.7193110258411934e-15,2.265059499458251e-19,4.2280834614934373e-20,9.983753014431812e-23,3.6590729190084316e-40,5.438244745958427e-34,3.7848231173172313e-32,2.732398834158346e-44,1.3348960999330805e-57,1.221089263150799e-59,2.007830670299585e-67
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767527425,0.11866996598323182,0.022821567692374957,0.0,1.3922140604771567e-37,5.150911435855536e-22,9.494392012629978e-45,3.5345888597251604e-33,1.853456162988628e-74,8.402403260538497e-13,1.7147664701327707e-64,8.402403245140773e-13,4.1088542157674616e-44,4.758175399222356e-43,1.6157942755706018e-61,1.873504050672376e-62,2.3160081155779464e-30,1.2420767469969747e-48,4.5887830709356267e-11,1.3586571144643554e-12,5.4405325409276756e-15,1.3692891702016394e-23,5.070249702375732e-23,5.438084749707932e-15,7.804510888814259e-19,2.936750694441385e-19,1.3292886685618954e-21,1.9494623320171726e-38,4.350505957945771e-33,3.1878846997727835e-31,7.607802001164193e-43,2.845530209122194e-55,2.603757237217581e-57,8.558948336822245e-65
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.02282156769169563,0.0,2.2274537999306784e-36,2.20910786461868e-21,9.4442243142508e-43,2.827671093701662e-32,7.378386311162689e-72,1.6804806966402835e-12,1.0974501832173845e-62,1.6804806904812307e-12,6.574164400178578e-43,7.611549124785342e-42,3.215600969856634e-59,3.7284591982483766e-60,1.8527887069524128e-29,6.274255553527243e-47,9.177566349648006e-11,2.7173143004531067e-12,1.088450984034878e-14,5.47710028637889e-23,2.028081485838667e-22,1.0874019973601066e-14,2.431795968951034e-18,1.8528027364098087e-18,1.6494411823640653e-20,9.689250368349291e-37,3.4802605860537154e-32,2.72856499205236e-30,1.92666595337453e-41,5.6628343067285945e-53,5.1814372222537535e-55,3.3988731519160955e-62
2.8560845046232673e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766582278,0.1186699658897648,0.0228215676910163,0.0,8.19844934032709e-36,4.857010951009747e-21,5.785015966250376e-42,8.394648422074246e-32,5.959419943315458e-71,2.520721067237996e-12,6.230996383663514e-62,2.5207210541500394e-12,2.487139478162916e-42,2.9017129244023236e-41,2.281366112403893e-58,2.6452203111078695e-59,5.297788507218261e-29,3.2732071311262868e-46,1.3766349601851082e-10,4.075971486096969e-12,1.6331405066924786e-14,1.1638755400728281e-22,4.309646071863016e-22,1.630834345177495e-14,4.4127411517539516e-18,4.671521004495008e-18,5.44905497988803e-20,5.016613122615425e-36,9.951133320731242e-32,8.02677197635469e-30,8.296255166685525e-41,4.017585908499593e-52,3.6965900518880683e-54,2.1987457968761788e-61
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766109704,0.1186699658430313,0.022821567690336973,0.0,2.0793117559584655e-35,8.486710666746654e-21,2.2781187384357522e-41,1.8291496606222516e-31,2.8845169404125942e-70,3.360961437846945e-12,2.3963144378701092e-61,3.3609614155205092e-12,6.474008827058842e-42,7.806299659170651e-41,9.999025894809085e-58,1.1593749943348581e-58,1.1174514474032911e-28,1.1122021658779901e-45,1.835513282754485e-10,5.434628671395945e-12,2.178135815447386e-14,1.98542177080708e-22,7.351706604083833e-22,2.174105566221997e-14,6.593471816045563e-18,8.86811361110321e-18,1.2637082104080231e-19,1.7614207015743705e-35,2.098936925321256e-31,1.7284389332637073e-29,2.463141901044032e-40,1.7608658769856045e-51,1.7895474788881348e-53,1.437768053633068e-60
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072765164557,0.11866996574956427,0.022821567688978316,0.0,7.271657274250775e-35,1.809730138885278e-20,1.6820241799553995e-40,5.309456851460693e-31,2.8580746709995254e-69,5.041442179091115e-12,1.823782985332771e-60,5.041442132867405e-12,2.375869173929119e-41,3.156433162069276e-40,8.584484038888464e-57,9.953543445273306e-58,3.05208113487555e-28,6.252212010696084e-45,2.753269921671668e-10,8.151943041184464e-12,3.2688693316350104e-14,4.1105188839845975e-22,1.5220627484146223e-21,3.260270001858092e-14,1.1204653321934277e-17,2.0676631288553377e-17,3.857916125647894e-19,1.1077656348549181e-34,5.732641782702086e-31,4.848063331012527e-29,1.1475588071647462e-39,1.511744770320824e-50,2.3880804543492215e-52,3.6554350980774227e-59
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194085,0.11866996565609725,0.02282156768761966,0.0,1.817009917474382e-34,3.1421849526129034e-20,6.5701501374120485e-40,1.1611182633153493e-30,1.373232524625519e-68,6.7219229203764245e-12,6.88659733932779e-60,6.721922841762523e-12,6.160805099659601e-41,8.548094941189773e-40,3.7480725146843034e-56,4.3458034297383204e-57,6.385927691840156e-28,2.1044874192304523e-44,3.671026550840434e-10,1.0869257409704712e-11,4.3607846598617713e-14,6.990843769131279e-22,2.588606248016949e-21,4.345842313744443e-14,1.606673700444051e-17,3.793426955565893e-17,8.674431022724677e-19,3.7792113269675715e-34,1.1994222111434856e-30,1.033483481047589e-28,3.341934222762873e-39,6.600390651208652e-50,1.1326555450698315e-51,2.0736902798633528e-58
